"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","16.34","16.37","16.53","16.14","22.49M","0.37%"
"01/19/2023","16.28","16.41","16.49","16.01","32.43M","-2.16%"
"01/18/2023","16.64","17.53","17.64","16.59","42.21M","-2.58%"
"01/17/2023","17.08","16.90","17.12","16.74","32.09M","0.35%"
"01/13/2023","17.02","16.22","17.07","16.01","50.83M","1.13%"
"01/12/2023","16.83","16.03","16.90","15.88","96.11M","9.71%"
"01/11/2023","15.34","15.09","15.50","15.05","28.55M","0.99%"
"01/10/2023","15.19","14.56","15.20","14.56","31.03M","3.97%"
"01/09/2023","14.61","14.25","14.79","14.23","31.41M","3.03%"
"01/06/2023","14.18","14.01","14.25","13.91","29.55M","1.36%"
"01/05/2023","13.99","13.50","14.01","13.42","27.16M","2.94%"
"01/04/2023","13.59","12.86","13.61","12.86","34.29M","6.67%"
"01/03/2023","12.74","12.91","13.00","12.52","21.84M","0.16%"
"12/30/2022","12.72","12.55","12.82","12.53","19.00M","0.16%"
"12/29/2022","12.70","12.39","12.71","12.30","19.64M","3.08%"
"12/28/2022","12.32","12.52","12.68","12.25","20.37M","-1.68%"
"12/27/2022","12.53","12.62","12.79","12.40","18.82M","-1.42%"
"12/23/2022","12.71","12.51","12.71","12.33","17.18M","1.19%"
"12/22/2022","12.56","12.98","12.99","12.23","25.31M","-3.61%"
"12/21/2022","13.03","12.69","13.22","12.65","29.71M","3.99%"
"12/20/2022","12.53","12.42","12.62","12.38","20.25M","0.40%"
"12/19/2022","12.48","12.85","12.89","12.46","21.66M","-2.58%"
"12/16/2022","12.81","12.97","13.10","12.59","26.40M","-0.93%"
"12/15/2022","12.93","13.16","13.31","12.80","26.07M","-3.15%"
"12/14/2022","13.35","13.58","13.69","13.24","33.73M","-0.82%"
"12/13/2022","13.46","14.60","14.74","13.29","51.43M","-5.21%"
"12/12/2022","14.20","13.49","14.21","13.45","22.93M","4.95%"
"12/09/2022","13.53","13.52","13.66","13.42","18.54M","-0.51%"
"12/08/2022","13.60","13.65","13.80","13.38","25.19M","0.37%"
"12/07/2022","13.55","14.24","14.24","13.53","27.96M","-5.44%"
"12/06/2022","14.33","14.14","14.34","14.00","20.66M","1.56%"
"12/05/2022","14.11","13.84","14.34","13.82","26.98M","1.00%"
"12/02/2022","13.97","13.82","13.98","13.67","24.12M","-0.07%"
"12/01/2022","13.98","14.46","14.57","13.93","26.52M","-3.12%"
"11/30/2022","14.43","14.12","14.44","13.93","21.24M","2.05%"
"11/29/2022","14.14","13.89","14.16","13.83","17.34M","2.24%"
"11/28/2022","13.83","14.34","14.44","13.82","21.37M","-4.62%"
"11/25/2022","14.50","14.40","14.70","14.35","9.90M","0.55%"
"11/23/2022","14.42","13.98","14.43","13.88","23.69M","3.15%"
"11/22/2022","13.98","13.85","14.03","13.36","26.39M","0.94%"
"11/21/2022","13.85","14.02","14.27","13.80","25.71M","-1.42%"
"11/18/2022","14.05","14.26","14.57","13.92","25.97M","0.72%"
"11/17/2022","13.95","13.82","14.02","13.68","24.04M","-0.99%"
"11/16/2022","14.09","14.45","14.47","14.01","28.86M","-3.56%"
"11/15/2022","14.61","15.02","15.18","14.52","29.42M","-0.48%"
"11/14/2022","14.68","14.79","15.03","14.55","26.24M","-1.34%"
"11/11/2022","14.88","15.00","15.07","14.72","24.13M","-0.33%"
"11/10/2022","14.93","14.46","14.99","14.36","35.60M","6.80%"
"11/09/2022","13.98","14.12","14.34","13.97","21.05M","-1.89%"
"11/08/2022","14.25","14.29","14.45","14.08","25.42M","-0.49%"
"11/07/2022","14.32","14.32","14.39","13.85","23.80M","1.49%"
"11/04/2022","14.11","14.06","14.40","13.86","28.24M","2.77%"
"11/03/2022","13.73","13.36","13.87","13.20","25.31M","1.10%"
"11/02/2022","13.58","14.00","14.27","13.55","34.82M","-3.76%"
"11/01/2022","14.11","14.44","14.53","14.10","25.61M","-0.49%"
"10/31/2022","14.18","14.03","14.32","13.89","26.49M","1.29%"
"10/28/2022","14.00","14.00","14.10","13.78","26.41M","0.21%"
