"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","147.49","143.56","147.55","142.86","950.11K","2.95%"
"01/19/2023","143.27","146.00","146.21","143.15","881.90K","-2.52%"
"01/18/2023","146.98","150.00","150.97","146.85","653.93K","-1.49%"
"01/17/2023","149.21","150.22","151.00","147.99","828.73K","-1.21%"
"01/13/2023","151.03","150.35","152.00","149.75","832.68K","-0.76%"
"01/12/2023","152.19","152.92","153.34","148.90","997.49K","-0.71%"
"01/11/2023","153.28","152.68","154.87","152.66","590.12K","0.86%"
"01/10/2023","151.97","152.00","153.63","151.27","642.17K","-0.19%"
"01/09/2023","152.26","154.03","155.12","152.15","781.17K","-1.14%"
"01/06/2023","154.02","153.67","155.74","153.33","718.24K","0.56%"
"01/05/2023","153.16","150.45","154.44","149.88","795.90K","0.84%"
"01/04/2023","151.89","152.73","154.50","150.89","833.84K","0.23%"
"01/03/2023","151.54","146.16","151.66","146.00","1.31M","3.07%"
"12/30/2022","147.03","145.55","147.45","145.02","1.00M","0.49%"
"12/29/2022","146.31","146.11","146.90","145.67","719.05K","0.70%"
"12/28/2022","145.30","144.95","146.60","144.33","685.06K","0.19%"
"12/27/2022","145.02","143.28","145.08","141.83","716.06K","1.21%"
"12/23/2022","143.28","141.90","143.59","141.51","524.55K","0.84%"
"12/22/2022","142.08","140.54","142.35","138.52","715.55K","-0.15%"
"12/21/2022","142.29","140.24","142.35","139.20","676.80K","2.09%"
"12/20/2022","139.38","140.00","141.49","138.89","773.82K","-1.08%"
"12/19/2022","140.90","140.75","142.40","140.19","917.35K","0.53%"
"12/16/2022","140.16","141.44","142.33","138.79","1.60M","-2.14%"
"12/15/2022","143.23","140.86","143.41","140.13","1.06M","-0.16%"
"12/14/2022","143.46","144.99","145.93","141.88","1.29M","-1.52%"
"12/13/2022","145.68","148.85","149.07","144.94","1.08M","-0.17%"
"12/12/2022","145.93","145.87","146.56","143.82","843.25K","0.02%"
"12/09/2022","145.90","145.23","147.56","144.92","831.40K","-0.47%"
"12/08/2022","146.59","146.37","148.53","146.07","770.86K","-0.04%"
"12/07/2022","146.65","145.15","148.13","144.75","1.50M","0.77%"
"12/06/2022","145.53","147.96","148.97","143.72","1.34M","-1.91%"
"12/05/2022","148.36","151.79","152.79","147.95","948.13K","-3.05%"
"12/02/2022","153.03","150.08","153.14","147.76","1.32M","1.14%"
"12/01/2022","151.30","151.80","152.94","149.57","931.87K","0.21%"
"11/30/2022","150.99","147.34","151.00","145.14","1.23M","2.07%"
"11/29/2022","147.93","150.34","150.67","146.50","1.14M","-1.79%"
"11/28/2022","150.62","149.20","152.15","148.67","1.07M","0.41%"
"11/25/2022","150.00","150.76","150.78","148.35","579.43K","-0.37%"
"11/23/2022","150.55","149.55","150.89","148.95","1.84M","0.67%"
"11/22/2022","149.55","149.52","151.40","148.50","1.59M","0.88%"
"11/21/2022","148.24","147.61","150.01","146.37","1.56M","0.50%"
"11/18/2022","147.50","149.68","150.27","145.59","1.71M","-0.55%"
"11/17/2022","148.31","153.10","153.74","147.48","2.47M","-5.08%"
"11/16/2022","156.24","155.00","161.73","150.35","5.37M","-15.06%"
"11/15/2022","183.94","184.53","185.94","178.33","1.32M","0.09%"
"11/14/2022","183.78","186.97","189.74","183.65","862.74K","-1.40%"
"11/11/2022","186.39","183.66","187.56","180.40","765.23K","1.56%"
"11/10/2022","183.53","180.80","185.26","180.80","1.01M","4.66%"
"11/09/2022","175.35","181.35","182.07","175.24","927.78K","-3.99%"
"11/08/2022","182.64","184.26","184.73","180.09","568.88K","-0.25%"
"11/07/2022","183.09","181.69","183.45","178.13","780.95K","1.12%"
"11/04/2022","181.07","185.99","185.99","178.10","849.69K","-1.72%"
"11/03/2022","184.24","185.59","186.40","183.09","865.52K","-1.42%"
"11/02/2022","186.89","189.21","194.35","186.74","995.23K","-1.26%"
"11/01/2022","189.28","191.18","191.21","188.38","471.71K","-0.34%"
"10/31/2022","189.92","190.61","192.81","189.46","704.19K","-0.39%"
"10/28/2022","190.67","188.19","190.99","186.74","500.53K","1.38%"
"10/27/2022","188.08","184.39","189.84","183.94","1.14M","3.45%"
"10/26/2022","181.81","182.28","183.90","179.54","573.18K","0.23%"
"10/25/2022","181.40","177.05","181.85","175.14","709.49K","2.71%"
"10/24/2022","176.62","173.50","176.67","173.05","792.67K","3.08%"
"10/21/2022","171.34","170.54","172.76","169.67","826.30K","0.62%"
"10/20/2022","170.28","172.39","173.86","169.40","551.75K","-0.57%"
"10/19/2022","171.25","171.81","174.18","170.18","908.71K","-1.99%"
"10/18/2022","174.73","173.23","175.56","172.40","691.14K","2.87%"
"10/17/2022","169.86","170.70","172.15","169.11","979.99K","0.77%"
"10/14/2022","168.57","172.48","173.32","168.20","552.24K","-1.75%"
"10/13/2022","171.58","166.84","173.22","165.98","681.97K","1.33%"
"10/12/2022","169.32","169.28","170.79","167.52","662.93K","0.27%"
"10/11/2022","168.86","166.41","171.43","165.99","964.90K","1.57%"
"10/10/2022","166.25","162.02","166.86","160.84","719.33K","3.06%"
"10/07/2022","161.32","163.97","164.03","160.10","582.78K","-2.31%"
"10/06/2022","165.14","167.80","168.61","164.77","670.85K","-1.49%"
"10/05/2022","167.64","166.27","169.60","164.96","690.31K","-0.11%"
"10/04/2022","167.83","165.55","168.13","165.32","714.68K","2.73%"
"10/03/2022","163.37","157.25","163.98","157.22","862.43K","4.50%"
"09/30/2022","156.34","158.68","159.20","154.46","574.52K","-2.08%"
"09/29/2022","159.66","160.86","161.54","158.73","404.53K","-2.24%"
"09/28/2022","163.32","161.08","164.44","159.49","671.95K","2.52%"
"09/27/2022","159.31","159.19","162.17","157.83","750.59K","1.03%"
"09/26/2022","157.68","160.89","161.80","157.16","899.17K","-1.76%"
"09/23/2022","160.50","162.45","163.49","157.79","1.00M","-2.20%"
"09/22/2022","164.11","164.78","165.17","162.92","865.02K","-0.84%"
"09/21/2022","165.50","167.78","169.43","165.44","605.48K","-0.22%"
"09/20/2022","165.87","166.24","167.10","164.24","707.69K","-1.37%"
"09/19/2022","168.18","167.44","169.68","165.01","990.64K","0.83%"
"09/16/2022","166.80","166.80","169.56","165.78","1.57M","-0.49%"
"09/15/2022","167.62","169.30","170.58","166.62","1.05M","-1.42%"
"09/14/2022","170.04","173.51","174.05","168.08","973.87K","-1.61%"
"09/13/2022","172.83","177.59","179.20","172.62","1.01M","-4.77%"
"09/12/2022","181.49","182.00","183.63","180.54","662.65K","0.46%"
