"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","149.59","149.43","149.71","147.15","7.02M","0.59%"
"01/19/2023","148.71","148.95","150.54","147.33","7.16M","-0.33%"
"01/18/2023","149.20","152.12","152.42","149.07","6.17M","-2.38%"
"01/17/2023","152.83","153.80","155.10","152.58","7.55M","-0.50%"
"01/13/2023","153.60","152.09","153.81","151.34","6.02M","0.91%"
"01/12/2023","152.22","155.00","155.26","151.72","7.65M","-3.15%"
"01/11/2023","157.17","159.22","159.34","155.06","7.48M","-1.55%"
"01/10/2023","159.64","162.23","162.42","158.30","5.92M","-1.25%"
"01/09/2023","161.66","165.90","166.28","160.88","7.78M","-2.94%"
"01/06/2023","166.55","164.84","168.11","164.12","5.10M","1.87%"
"01/05/2023","163.49","163.09","164.49","162.34","3.52M","-0.12%"
"01/04/2023","163.69","162.40","164.28","161.51","4.37M","0.81%"
"01/03/2023","162.38","162.04","163.02","160.81","4.92M","0.48%"
"12/30/2022","161.61","162.23","162.85","159.82","3.68M","-0.58%"
"12/29/2022","162.56","162.96","163.88","162.19","3.10M","0.20%"
"12/28/2022","162.23","163.70","164.69","162.11","2.93M","-0.47%"
"12/27/2022","162.99","163.49","163.81","161.78","2.58M","-0.07%"
"12/23/2022","163.10","163.39","163.82","162.33","2.69M","-0.10%"
"12/22/2022","163.27","161.87","163.39","161.53","3.60M","0.65%"
"12/21/2022","162.21","161.45","162.73","160.36","3.69M","1.02%"
"12/20/2022","160.58","161.61","161.85","160.07","4.22M","-0.56%"
"12/19/2022","161.49","160.78","162.23","160.06","4.03M","0.63%"
"12/16/2022","160.48","162.05","163.32","160.48","18.91M","-1.61%"
"12/15/2022","163.10","163.89","164.61","161.95","5.20M","-1.07%"
"12/14/2022","164.86","164.60","165.98","162.83","4.32M","0.04%"
"12/13/2022","164.79","166.95","167.50","164.67","5.04M","-0.32%"
"12/12/2022","165.32","163.21","165.49","162.75","3.83M","1.39%"
"12/09/2022","163.06","166.76","167.75","162.81","4.64M","-1.77%"
"12/08/2022","165.99","165.40","166.23","164.28","3.71M","0.36%"
"12/07/2022","165.40","163.69","165.53","163.26","4.62M","1.03%"
"12/06/2022","163.72","164.03","164.38","161.55","5.48M","-0.13%"
"12/05/2022","163.94","162.89","165.19","162.89","4.85M","0.17%"
"12/02/2022","163.66","160.72","163.76","160.51","4.31M","1.26%"
"12/01/2022","161.63","161.00","163.20","159.98","5.79M","0.28%"
"11/30/2022","161.18","158.79","161.18","156.46","11.40M","1.88%"
"11/29/2022","158.20","158.31","159.43","157.21","3.53M","-0.15%"
"11/28/2022","158.43","160.00","160.73","157.83","3.88M","-0.75%"
"11/25/2022","159.62","159.59","160.75","159.24","1.66M","0.14%"
"11/23/2022","159.39","159.95","160.94","158.82","3.22M","-0.25%"
"11/22/2022","159.79","157.69","159.88","157.56","5.35M","1.71%"
"11/21/2022","157.11","155.40","158.63","154.43","6.49M","1.37%"
"11/18/2022","154.98","153.67","155.64","153.67","5.69M","1.85%"
"11/17/2022","152.16","150.97","153.07","149.97","5.07M","0.19%"
"11/16/2022","151.87","153.44","156.69","151.23","7.18M","-0.76%"
"11/15/2022","153.04","153.39","153.42","149.96","5.91M","0.86%"
"11/14/2022","151.74","150.98","154.54","150.98","7.04M","1.05%"
"11/11/2022","150.16","149.32","150.52","145.77","6.79M","0.29%"
"11/10/2022","149.72","150.66","150.66","147.75","5.61M","1.42%"
"11/09/2022","147.62","148.59","150.57","147.04","4.51M","-0.61%"
"11/08/2022","148.53","148.83","151.63","147.96","4.61M","0.29%"
"11/07/2022","148.10","145.28","148.80","144.70","4.27M","1.94%"
"11/04/2022","145.28","145.35","145.58","143.08","4.62M","0.60%"
"11/03/2022","144.42","144.00","145.42","143.03","3.85M","-0.07%"
"11/02/2022","144.52","147.03","148.08","144.48","5.33M","-1.63%"
"11/01/2022","146.91","146.66","147.70","144.55","6.35M","0.35%"
"10/31/2022","146.40","145.17","146.78","144.08","8.54M","-0.82%"
"10/28/2022","147.61","145.93","148.98","142.34","10.81M","-3.84%"
"10/27/2022","153.50","153.76","153.99","152.06","6.43M","0.65%"
"10/26/2022","152.51","151.01","152.89","150.70","4.73M","1.80%"
"10/25/2022","149.82","148.03","150.60","147.29","5.15M","-0.71%"
"10/24/2022","150.89","148.71","151.53","148.70","5.07M","2.60%"
"10/21/2022","147.06","143.34","147.75","142.53","5.42M","2.89%"
"10/20/2022","142.93","143.16","144.04","142.43","3.88M","-0.14%"
"10/19/2022","143.13","144.80","145.45","142.31","3.33M","-1.02%"
"10/18/2022","144.60","145.23","145.87","143.53","3.54M","0.13%"
"10/17/2022","144.41","142.65","144.93","142.10","4.02M","1.03%"
"10/14/2022","142.94","142.60","144.48","142.21","5.29M","0.01%"
"10/13/2022","142.92","136.70","143.18","136.27","5.06M","2.10%"
"10/12/2022","139.98","141.64","143.06","139.93","4.53M","-1.08%"
"10/11/2022","141.51","138.02","143.68","138.02","5.67M","2.31%"
"10/10/2022","138.31","139.03","139.59","136.87","3.81M","-0.32%"
"10/07/2022","138.76","139.01","140.05","137.57","4.65M","-1.09%"
"10/06/2022","140.29","142.79","142.99","139.90","5.12M","-2.12%"
"10/05/2022","143.33","141.47","144.47","141.11","4.78M","0.94%"
"10/04/2022","141.99","139.21","142.72","137.76","6.61M","2.65%"
"10/03/2022","138.32","135.88","138.80","135.31","7.44M","3.06%"
"09/30/2022","134.21","142.16","142.16","134.17","15.36M","-5.96%"
"09/29/2022","142.72","144.85","145.25","141.83","5.51M","-1.30%"
"09/28/2022","144.60","144.22","145.32","142.62","5.22M","2.03%"
"09/27/2022","141.72","142.59","145.54","141.29","5.59M","0.36%"
"09/26/2022","141.21","142.08","142.80","140.11","5.70M","-1.29%"
"09/23/2022","143.06","142.07","143.42","140.95","5.75M","0.03%"
"09/22/2022","143.01","140.21","144.46","140.00","6.16M","1.92%"
"09/21/2022","140.31","142.15","143.63","140.29","5.05M","-1.03%"
"09/20/2022","141.77","141.82","142.49","140.37","4.51M","-0.62%"
"09/19/2022","142.66","143.64","143.86","141.43","4.96M","-0.97%"
"09/16/2022","144.06","143.40","144.85","141.36","13.89M","1.09%"
"09/15/2022","142.51","139.99","143.90","139.39","6.38M","2.12%"
"09/14/2022","139.55","139.17","140.44","138.27","4.67M","0.74%"
"09/13/2022","138.53","140.55","141.93","137.49","6.17M","-2.61%"
"09/12/2022","142.24","141.01","142.87","140.32","4.83M","0.58%"
"09/09/2022","141.42","140.30","142.15","140.10","4.43M","0.64%"
"09/08/2022","140.52","139.64","140.57","138.65","3.86M","1.30%"
"09/07/2022","138.71","137.55","139.04","135.34","3.99M","0.81%"
"09/06/2022","137.59","137.30","139.35","136.24","4.79M","0.96%"
"09/02/2022","136.28","138.66","139.40","135.81","3.60M","-1.57%"
"09/01/2022","138.45","134.64","138.59","134.10","4.52M","2.97%"
"08/31/2022","134.46","135.69","136.04","134.17","5.69M","-0.80%"
