"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","162.21","163.88","164.32","161.27","1.61M","-0.45%"
"01/19/2023","162.94","162.96","164.50","162.31","1.36M","-0.01%"
"01/18/2023","162.95","164.01","164.52","162.92","1.14M","-0.74%"
"01/17/2023","164.16","164.28","165.34","163.73","1.26M","-0.07%"
"01/13/2023","164.28","164.32","166.01","164.16","1.39M","-0.38%"
"01/12/2023","164.90","165.26","165.96","164.12","1.04M","-0.30%"
"01/11/2023","165.39","167.70","168.84","164.76","1.23M","-1.12%"
"01/10/2023","167.26","165.82","167.95","164.90","1.13M","1.39%"
"01/09/2023","164.97","166.21","167.72","164.94","1.32M","-0.45%"
"01/06/2023","165.71","164.63","166.46","163.85","1.22M","1.61%"
"01/05/2023","163.08","162.47","163.41","161.22","1.61M","0.13%"
"01/04/2023","162.87","164.72","164.91","161.85","1.89M","-0.86%"
"01/03/2023","164.29","164.74","164.99","162.84","1.93M","-0.86%"
"12/30/2022","165.71","166.04","166.23","164.25","1.21M","-0.20%"
"12/29/2022","166.05","168.00","168.54","165.85","1.47M","-0.78%"
"12/28/2022","167.36","169.56","169.93","167.12","803.40K","-0.97%"
"12/27/2022","169.00","170.00","170.31","168.79","590.31K","-0.59%"
"12/23/2022","170.01","169.21","170.44","168.84","528.08K","0.44%"
"12/22/2022","169.27","169.33","171.06","168.08","962.44K","-0.03%"
"12/21/2022","169.32","168.25","169.83","167.03","1.15M","1.16%"
"12/20/2022","167.38","167.55","168.61","167.04","1.08M","0.10%"
"12/19/2022","167.22","167.02","168.75","166.35","1.46M","0.26%"
"12/16/2022","166.79","165.05","167.07","164.46","2.91M","0.72%"
"12/15/2022","165.60","164.34","165.79","163.74","1.85M","0.20%"
"12/14/2022","165.27","165.47","166.40","164.25","2.02M","0.15%"
"12/13/2022","165.03","167.92","167.92","164.23","1.74M","-1.30%"
"12/12/2022","167.20","165.99","167.20","165.04","1.36M","1.13%"
"12/09/2022","165.33","165.51","166.93","164.52","2.98M","-3.01%"
"12/08/2022","170.46","171.02","171.69","169.63","834.69K","0.10%"
"12/07/2022","170.29","170.01","171.78","169.76","1.22M","0.57%"
"12/06/2022","169.32","171.36","172.00","168.54","953.41K","-1.14%"
"12/05/2022","171.28","173.17","173.17","170.89","1.32M","-1.56%"
"12/02/2022","173.99","171.41","174.63","171.19","1.53M","1.38%"
"12/01/2022","171.63","170.99","172.17","169.79","1.14M","0.55%"
"11/30/2022","170.69","167.18","171.24","166.80","2.28M","1.66%"
"11/29/2022","167.90","167.03","168.60","166.47","1.68M","0.44%"
"11/28/2022","167.17","167.13","168.60","166.90","1.67M","-0.32%"
"11/25/2022","167.70","166.58","167.92","165.96","914.96K","1.31%"
"11/23/2022","165.53","164.93","166.25","164.16","916.09K","0.50%"
"11/22/2022","164.71","162.42","165.49","161.99","1.27M","2.75%"
"11/21/2022","160.30","162.00","163.16","159.82","1.41M","-1.05%"
"11/18/2022","162.00","160.00","162.00","159.11","1.58M","1.94%"
"11/17/2022","158.92","155.00","158.98","154.91","1.66M","2.00%"
"11/16/2022","155.80","153.72","156.68","153.72","1.21M","1.98%"
"11/15/2022","152.78","154.82","156.27","151.70","1.64M","-1.26%"
"11/14/2022","154.73","153.00","156.84","153.00","1.93M","1.12%"
"11/11/2022","153.01","155.52","155.85","147.10","2.94M","-1.28%"
"11/10/2022","155.00","161.20","161.34","153.78","4.48M","-2.02%"
"11/09/2022","158.19","159.66","162.39","157.81","1.98M","-0.92%"
"11/08/2022","159.66","154.91","160.15","154.91","8.14M","-1.45%"
"11/07/2022","162.01","161.94","163.61","160.55","1.39M","0.23%"
"11/04/2022","161.64","159.97","167.29","159.30","2.72M","2.41%"
"11/03/2022","157.84","152.99","159.52","150.85","1.75M","1.96%"
"11/02/2022","154.81","155.97","158.24","154.77","1.20M","-0.97%"
"11/01/2022","156.32","157.37","157.55","154.74","1.15M","-0.57%"
"10/31/2022","157.22","158.38","159.45","156.41","1.05M","-1.31%"
"10/28/2022","159.31","156.31","159.40","156.07","848.26K","2.19%"
"10/27/2022","155.90","155.35","158.11","155.35","985.66K","0.78%"
"10/26/2022","154.69","153.97","155.35","153.47","909.93K","1.26%"
"10/25/2022","152.77","149.04","152.89","148.80","1.08M","1.78%"
"10/24/2022","150.10","149.19","150.73","148.11","1.18M","1.60%"
"10/21/2022","147.73","142.47","148.39","142.47","1.54M","3.47%"
"10/20/2022","142.77","143.33","143.33","141.58","877.61K","-0.15%"
"10/19/2022","142.99","143.90","144.84","141.82","569.85K","-0.69%"
"10/18/2022","143.99","144.22","145.25","143.15","836.73K","1.13%"
"10/17/2022","142.38","141.45","143.48","141.45","961.75K","1.27%"
"10/14/2022","140.60","143.31","143.70","139.76","731.09K","-1.02%"
"10/13/2022","142.05","136.85","142.57","136.07","1.01M","2.24%"
"10/12/2022","138.94","142.74","143.29","138.84","1.42M","-1.95%"
"10/11/2022","141.71","139.37","143.26","139.37","1.58M","2.97%"
"10/10/2022","137.62","137.68","139.13","137.10","1.02M","0.20%"
"10/07/2022","137.35","138.80","139.27","136.87","1.03M","-1.83%"
"10/06/2022","139.91","142.14","142.38","139.62","938.77K","-1.78%"
"10/05/2022","142.45","141.84","143.52","141.10","728.03K","-0.20%"
"10/04/2022","142.73","140.02","142.85","139.57","1.07M","2.45%"
"10/03/2022","139.31","136.27","139.75","135.81","1.02M","2.94%"
"09/30/2022","135.33","136.60","137.49","135.14","1.34M","-0.54%"
"09/29/2022","136.07","138.40","138.40","135.26","1.12M","-1.69%"
"09/28/2022","138.41","137.11","139.20","135.83","1.08M","2.19%"
