"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","280.47","275.00","280.93","272.82","3.29M","2.78%"
"01/19/2023","272.89","277.28","278.95","272.59","2.21M","-1.80%"
"01/18/2023","277.90","284.58","287.28","276.98","2.19M","-2.45%"
"01/17/2023","284.88","283.04","287.75","282.34","2.78M","0.97%"
"01/13/2023","282.14","280.32","282.66","278.98","2.23M","-0.60%"
"01/12/2023","283.84","282.74","287.97","282.37","2.48M","0.98%"
"01/11/2023","281.08","274.93","281.19","274.70","2.37M","2.24%"
"01/10/2023","274.93","273.34","276.29","271.27","1.84M","0.43%"
"01/09/2023","273.75","271.92","278.49","271.51","2.18M","1.69%"
"01/06/2023","269.21","263.98","270.49","261.37","1.59M","2.37%"
"01/05/2023","262.98","267.42","268.14","261.40","2.48M","-2.36%"
"01/04/2023","269.34","273.43","274.98","267.01","2.03M","-0.34%"
"01/03/2023","270.26","269.20","273.42","267.05","2.23M","1.28%"
"12/30/2022","266.84","265.54","266.89","262.60","1.34M","-0.57%"
"12/29/2022","268.38","265.59","270.87","265.59","1.52M","2.00%"
"12/28/2022","263.12","266.10","269.14","262.67","1.38M","-0.83%"
"12/27/2022","265.31","265.92","267.22","263.70","958.15K","-0.29%"
"12/23/2022","266.09","265.79","266.71","263.31","1.21M","0.50%"
"12/22/2022","264.76","264.44","265.93","260.64","2.20M","-1.55%"
"12/21/2022","268.92","264.48","270.70","264.41","3.47M","2.68%"
"12/20/2022","261.90","253.74","262.43","253.50","2.95M","2.55%"
"12/19/2022","255.40","263.16","264.26","254.16","4.14M","-3.43%"
"12/16/2022","264.48","274.67","275.00","263.24","6.53M","-5.92%"
"12/15/2022","281.12","287.43","288.39","279.28","2.87M","-3.54%"
"12/14/2022","291.45","294.05","297.29","287.86","2.55M","-1.32%"
"12/13/2022","295.35","302.96","303.93","292.93","3.52M","1.03%"
"12/12/2022","292.34","286.14","292.95","284.48","2.11M","1.36%"
"12/09/2022","288.41","289.39","291.77","287.88","1.83M","-1.28%"
"12/08/2022","292.15","288.00","294.06","286.84","2.01M","1.90%"
"12/07/2022","286.69","285.10","287.06","282.19","1.84M","0.45%"
"12/06/2022","285.41","291.27","292.48","282.27","1.92M","-2.50%"
"12/05/2022","292.74","295.77","297.20","290.58","1.79M","-2.46%"
"12/02/2022","300.13","299.05","302.15","296.46","1.74M","-0.89%"
"12/01/2022","302.83","302.45","305.13","300.00","1.77M","0.63%"
"11/30/2022","300.93","286.62","300.97","286.23","2.77M","4.50%"
"11/29/2022","287.98","289.31","290.62","286.61","1.06M","-0.90%"
"11/28/2022","290.60","293.26","294.97","289.78","1.25M","-1.96%"
