"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","237.17","232.66","237.71","232.26","1.71M","1.65%"
"01/19/2023","233.32","232.80","234.93","232.20","1.65M","-0.40%"
"01/18/2023","234.25","237.69","237.90","234.21","2.10M","-1.07%"
"01/17/2023","236.78","243.79","244.35","236.13","2.97M","-3.50%"
"01/13/2023","245.36","243.80","246.67","242.68","1.71M","0.45%"
"01/12/2023","244.26","244.36","245.93","242.58","1.16M","-0.32%"
"01/11/2023","245.05","241.96","245.22","241.48","1.35M","1.77%"
"01/10/2023","240.78","239.01","241.01","237.46","969.28K","0.53%"
"01/09/2023","239.51","241.12","243.52","239.27","1.87M","-0.27%"
"01/06/2023","240.16","235.98","242.51","235.05","1.77M","2.80%"
"01/05/2023","233.63","237.50","238.06","232.18","1.57M","-2.16%"
"01/04/2023","238.78","240.17","241.37","236.92","1.37M","0.47%"
"01/03/2023","237.66","240.79","241.51","235.27","1.75M","-0.50%"
"12/30/2022","238.86","239.70","240.20","236.05","1.04M","-0.73%"
"12/29/2022","240.62","238.18","241.83","238.18","975.22K","1.16%"
"12/28/2022","237.85","241.35","242.74","237.72","1.05M","-1.32%"
"12/27/2022","241.03","241.37","242.18","239.34","926.75K","0.04%"
"12/23/2022","240.94","237.92","241.65","236.59","1.05M","0.74%"
"12/22/2022","239.16","244.48","244.71","236.74","2.37M","-3.19%"
"12/21/2022","247.04","245.92","247.56","244.13","1.32M","1.28%"
"12/20/2022","243.91","244.88","245.30","241.64","1.31M","-0.47%"
"12/19/2022","245.06","245.31","247.10","243.66","1.81M","-0.81%"
"12/16/2022","247.05","246.24","247.92","244.44","4.05M","-0.70%"
"12/15/2022","248.79","256.96","257.70","248.08","1.84M","-4.34%"
"12/14/2022","260.08","262.49","265.46","258.68","1.86M","-0.81%"
"12/13/2022","262.20","273.89","274.92","261.10","2.08M","-0.84%"
"12/12/2022","264.43","258.66","264.98","256.87","1.28M","2.81%"
"12/09/2022","257.20","260.17","260.38","256.95","1.99M","-1.10%"
"12/08/2022","260.05","258.37","261.02","258.20","1.20M","0.32%"
"12/07/2022","259.22","259.23","259.81","257.33","1.26M","0.27%"
"12/06/2022","258.53","264.28","264.67","257.05","1.37M","-2.22%"
"12/05/2022","264.39","266.55","267.00","263.46","1.25M","-2.04%"
"12/02/2022","269.90","263.11","270.88","263.11","1.81M","0.73%"
"12/01/2022","267.95","267.06","269.40","263.91","1.45M","1.44%"
"11/30/2022","264.14","257.08","264.95","254.64","4.16M","2.75%"
"11/29/2022","257.06","257.15","258.71","255.43","1.13M","-0.49%"
"11/28/2022","258.33","263.49","264.35","257.60","1.47M","-2.13%"
"11/25/2022","263.95","263.60","264.93","261.96","594.69K","0.52%"
"11/23/2022","262.58","261.96","264.00","260.24","1.39M","0.23%"
"11/22/2022","261.97","259.83","262.54","258.06","1.27M","1.70%"
"11/21/2022","257.60","257.90","260.43","256.15","1.24M","0.62%"
"11/18/2022","256.02","256.40","257.82","253.82","1.81M","0.97%"
"11/17/2022","253.55","250.94","255.00","249.75","1.12M","-0.03%"
"11/16/2022","253.62","254.65","256.72","253.05","1.43M","0.12%"
"11/15/2022","253.32","250.69","254.94","248.90","1.52M","1.30%"
"11/14/2022","250.08","248.99","252.76","248.36","1.56M","0.34%"
"11/11/2022","249.23","254.21","255.96","247.43","2.13M","-2.22%"
"11/10/2022","254.88","251.18","255.67","247.58","2.67M","6.03%"
"11/09/2022","240.38","243.65","245.60","240.01","1.24M","-1.90%"
"11/08/2022","245.04","240.94","248.45","240.12","1.72M","1.93%"
"11/07/2022","240.41","238.52","241.23","236.32","1.25M","1.50%"
"11/04/2022","236.86","238.82","239.58","232.08","1.47M","0.32%"
"11/03/2022","236.10","234.53","239.86","233.39","1.99M","-0.56%"
"11/02/2022","237.44","243.64","247.75","237.34","1.59M","-2.54%"
"11/01/2022","243.64","242.34","244.31","240.88","1.52M","0.80%"
"10/31/2022","241.70","240.59","242.39","239.46","1.71M","-0.39%"
"10/28/2022","242.64","236.05","243.22","235.57","1.59M","3.26%"
"10/27/2022","234.97","235.33","238.26","233.71","1.81M","-0.07%"
"10/26/2022","235.14","246.03","246.30","233.88","2.94M","-1.10%"
"10/25/2022","237.76","235.32","238.40","235.32","2.22M","0.36%"
"10/24/2022","236.91","235.30","238.38","233.45","1.73M","1.79%"
"10/21/2022","232.74","228.94","233.17","227.42","2.11M","1.42%"
"10/20/2022","229.48","233.60","234.70","228.88","1.31M","-1.61%"
"10/19/2022","233.24","231.24","234.19","230.22","1.63M","-0.76%"
"10/18/2022","235.02","236.75","239.26","232.77","1.62M","0.83%"
"10/17/2022","233.08","230.33","233.56","229.88","2.12M","3.17%"
"10/14/2022","225.91","232.60","233.21","225.42","2.17M","-1.74%"
"10/13/2022","229.90","219.58","231.31","218.80","1.92M","2.58%"
"10/12/2022","224.11","227.26","227.41","224.02","1.22M","-0.95%"
"10/11/2022","226.27","228.18","228.69","225.11","1.45M","-1.06%"
"10/10/2022","228.69","227.86","230.30","226.17","1.08M","0.69%"
"10/07/2022","227.12","231.95","232.72","225.91","2.07M","-3.31%"
