"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","211.29","206.06","211.63","205.10","1.06M","2.62%"
"01/20/2023","205.90","198.24","206.73","198.20","1.25M","5.02%"
"01/19/2023","196.05","195.68","199.25","195.65","987.29K","-0.99%"
"01/18/2023","198.02","201.38","205.47","197.67","1.12M","-1.34%"
"01/17/2023","200.70","200.14","202.61","199.46","1.19M","0.05%"
"01/13/2023","200.59","197.06","201.04","197.06","961.03K","0.32%"
"01/12/2023","199.96","199.58","201.80","197.09","1.24M","0.02%"
"01/11/2023","199.93","195.36","200.28","194.06","1.14M","3.36%"
"01/10/2023","193.43","190.23","194.30","190.23","1.13M","0.50%"
"01/09/2023","192.47","190.52","199.09","190.48","1.40M","2.82%"
"01/06/2023","187.19","184.23","188.60","179.61","1.29M","2.81%"
"01/05/2023","182.07","186.05","186.32","180.38","1.47M","-3.13%"
"01/04/2023","187.96","187.89","190.71","186.00","1.05M","1.52%"
"01/03/2023","185.15","190.62","192.96","183.00","1.16M","-0.92%"
"12/30/2022","186.87","184.78","186.94","183.07","1.06M","-0.66%"
"12/29/2022","188.12","183.47","189.27","182.85","987.18K","3.42%"
"12/28/2022","181.90","184.49","187.41","181.59","1.17M","-2.36%"
"12/27/2022","186.29","188.07","188.07","185.30","910.64K","-0.99%"
"12/23/2022","188.16","186.36","188.80","185.76","941.11K","0.03%"
"12/22/2022","188.10","189.31","190.11","185.85","1.97M","-2.15%"
"12/21/2022","192.23","188.67","193.38","186.28","1.17M","2.29%"
"12/20/2022","187.92","186.28","189.77","185.51","948.76K","-0.33%"
"12/19/2022","188.54","192.72","192.72","188.15","1.28M","-2.01%"
"12/16/2022","192.40","192.73","195.12","189.84","2.29M","-0.88%"
"12/15/2022","194.11","195.80","197.50","192.22","1.80M","-2.97%"
"12/14/2022","200.06","203.41","206.77","199.05","1.40M","-1.46%"
"12/13/2022","203.02","210.88","211.83","201.49","1.52M","1.57%"
"12/12/2022","199.88","193.27","199.98","193.14","1.30M","2.87%"
"12/09/2022","194.31","195.77","197.27","193.84","1.03M","-1.18%"
"12/08/2022","196.63","194.28","197.90","192.70","1.37M","1.70%"
"12/07/2022","193.34","194.61","196.87","191.83","1.28M","-0.65%"
"12/06/2022","194.61","197.33","197.79","191.81","1.12M","-1.91%"
"12/05/2022","198.39","198.78","199.47","195.27","1.51M","-1.35%"
"12/02/2022","201.11","200.90","204.06","200.19","1.32M","-2.81%"
"12/01/2022","206.93","202.37","208.70","202.12","1.65M","2.47%"
"11/30/2022","201.95","195.32","202.81","193.93","4.61M","3.47%"
