"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","86.68","85.99","86.74","84.95","970.88K","0.74%"
"01/19/2023","86.04","86.65","86.65","85.74","936.37K","-0.74%"
"01/18/2023","86.68","89.52","89.52","86.59","2.36M","-2.87%"
"01/17/2023","89.24","90.41","90.68","88.84","2.12M","-1.01%"
"01/13/2023","90.15","89.12","90.34","88.59","2.67M","0.45%"
"01/12/2023","89.75","90.92","90.92","89.59","1.09M","-0.96%"
"01/11/2023","90.62","89.28","90.76","89.18","1.43M","1.68%"
"01/10/2023","89.12","89.38","89.39","88.19","1.06M","-0.32%"
"01/09/2023","89.41","88.06","89.87","88.06","1.37M","1.23%"
"01/06/2023","88.32","86.79","88.57","86.57","1.59M","2.70%"
"01/05/2023","86.00","88.14","88.61","85.67","1.36M","-3.33%"
"01/04/2023","88.96","88.94","90.04","88.28","1.35M","0.53%"
"01/03/2023","88.49","88.99","89.35","87.39","1.08M","-0.48%"
"12/30/2022","88.92","90.13","90.35","88.16","716.59K","-1.21%"
"12/29/2022","90.01","89.96","90.43","89.74","738.97K","0.70%"
"12/28/2022","89.38","90.49","90.92","89.27","970.94K","-1.00%"
"12/27/2022","90.28","89.77","90.40","89.20","1.36M","0.84%"
"12/23/2022","89.53","88.14","89.65","88.14","791.96K","1.32%"
"12/22/2022","88.36","88.04","88.39","86.76","876.21K","-0.27%"
"12/21/2022","88.60","87.31","88.63","87.14","918.85K","1.61%"
"12/20/2022","87.20","87.32","87.59","86.66","723.28K","-0.11%"
"12/19/2022","87.30","87.45","88.06","86.74","836.67K","-0.49%"
"12/16/2022","87.73","87.49","88.33","86.63","2.89M","-0.52%"
"12/15/2022","88.19","89.28","89.76","87.86","1.40M","-1.78%"
"12/14/2022","89.79","91.14","92.16","89.32","1.49M","-1.18%"
"12/13/2022","90.86","92.04","92.43","89.86","1.27M","0.19%"
"12/12/2022","90.69","89.40","90.70","88.71","1.01M","2.35%"
"12/09/2022","88.61","87.81","89.16","87.79","1.19M","0.49%"
"12/08/2022","88.18","86.51","88.33","86.32","1.14M","1.81%"
"12/07/2022","86.61","87.21","87.68","86.26","1.01M","-0.78%"
"12/06/2022","87.29","86.46","87.32","86.02","1.18M","0.05%"
"12/05/2022","87.25","87.38","87.66","86.86","823.96K","-0.90%"
"12/02/2022","88.04","87.71","88.38","87.16","941.88K","-0.74%"
"12/01/2022","88.70","90.16","90.89","88.62","1.08M","-0.69%"
"11/30/2022","89.32","87.07","89.63","86.88","2.24M","2.38%"
"11/29/2022","87.24","87.50","87.66","86.84","1.01M","-0.80%"
"11/28/2022","87.94","88.18","88.48","87.30","1.06M","-0.98%"
"11/25/2022","88.81","88.49","88.96","88.38","350.01K","0.76%"
"11/23/2022","88.14","87.00","88.22","87.00","923.23K","1.04%"
"11/22/2022","87.23","87.02","87.91","86.59","957.79K","0.54%"
"11/21/2022","86.76","86.40","87.40","86.02","1.58M","0.67%"
"11/18/2022","86.18","84.60","86.27","84.49","1.69M","3.10%"
"11/17/2022","83.59","83.72","84.05","83.11","1.49M","-1.05%"
"11/16/2022","84.48","83.63","84.99","83.56","1.19M","1.27%"
"11/15/2022","83.42","83.19","83.86","82.14","823.97K","1.14%"
"11/14/2022","82.48","83.40","83.79","82.45","1.28M","-1.01%"
"11/11/2022","83.32","85.41","85.41","82.78","1.48M","-2.32%"
"11/10/2022","85.30","83.77","85.40","82.46","2.05M","4.57%"
"11/09/2022","81.57","82.09","82.66","81.17","1.97M","-0.92%"
"11/08/2022","82.33","81.55","82.91","81.24","2.20M","1.62%"
"11/07/2022","81.02","81.27","82.19","80.04","3.20M","-0.01%"
"11/04/2022","81.03","81.28","82.36","80.02","1.78M","-0.14%"
"11/03/2022","81.14","80.54","82.18","79.88","1.94M","-0.04%"
"11/02/2022","81.17","81.86","83.57","81.16","1.68M","-1.16%"
"11/01/2022","82.12","81.82","82.38","81.05","1.13M","0.74%"
"10/31/2022","81.52","82.33","82.33","81.09","1.18M","-0.98%"
"10/28/2022","82.33","80.60","82.46","80.60","913.28K","2.55%"
"10/27/2022","80.28","80.05","81.34","79.89","1.29M","0.97%"
"10/26/2022","79.51","80.01","80.40","79.21","947.96K","-0.01%"
"10/25/2022","79.52","78.02","79.67","77.84","1.88M","2.12%"
"10/24/2022","77.87","78.09","78.82","77.25","1.96M","0.37%"
"10/21/2022","77.58","76.88","78.23","76.17","1.20M","1.25%"
"10/20/2022","76.62","78.28","78.28","76.27","1.47M","-2.47%"
"10/19/2022","78.56","78.34","79.26","77.79","907.95K","-1.01%"
"10/18/2022","79.36","79.17","79.83","78.63","1.22M","2.12%"
"10/17/2022","77.71","77.07","78.55","77.07","1.19M","1.91%"
"10/14/2022","76.25","77.96","78.64","75.98","1.24M","-1.22%"
"10/13/2022","77.19","73.97","77.39","73.28","2.60M","3.00%"
"10/12/2022","74.94","77.72","77.97","74.89","2.33M","-3.78%"
"10/11/2022","77.88","77.28","78.63","77.01","1.65M","0.24%"
"10/10/2022","77.69","77.03","78.36","76.90","1.26M","0.95%"
"10/07/2022","76.96","78.94","79.17","76.52","1.74M","-2.38%"
"10/06/2022","78.84","81.13","81.13","78.58","1.71M","-3.19%"
"10/05/2022","81.44","83.00","83.00","80.89","1.35M","-3.13%"
"10/04/2022","84.07","82.84","84.18","82.50","1.04M","1.60%"
"10/03/2022","82.75","81.78","83.25","81.03","1.35M","2.73%"
"09/30/2022","80.55","83.01","83.25","80.34","2.20M","-2.35%"
"09/29/2022","82.49","85.66","85.66","82.20","1.47M","-4.08%"
"09/28/2022","86.00","86.31","86.60","85.05","1.29M","1.05%"
"09/27/2022","85.11","87.03","87.37","84.71","1.60M","-1.85%"
"09/26/2022","86.71","88.71","88.75","86.22","1.85M","-2.66%"
"09/23/2022","89.08","89.45","89.63","87.99","1.15M","-1.47%"
"09/22/2022","90.41","90.32","91.00","89.60","1.28M","-0.06%"
"09/21/2022","90.46","91.92","93.01","90.42","1.79M","-0.85%"
"09/20/2022","91.24","91.59","91.71","90.26","1.26M","-1.15%"
"09/19/2022","92.30","91.41","92.37","90.88","873.78K","0.62%"
"09/16/2022","91.73","90.97","91.97","90.97","2.39M","0.60%"
"09/15/2022","91.18","93.22","93.22","91.04","1.11M","-2.72%"
"09/14/2022","93.73","93.10","94.49","93.10","958.81K","0.70%"
"09/13/2022","93.08","95.14","95.35","92.60","1.16M","-2.97%"
"09/12/2022","95.93","95.92","96.36","95.31","1.05M","0.33%"
"09/09/2022","95.61","95.13","95.92","94.61","1.44M","0.83%"
"09/08/2022","94.82","95.28","95.62","94.44","1.11M","-0.83%"
"09/07/2022","95.61","92.78","95.66","92.69","1.36M","3.68%"
"09/06/2022","92.22","92.64","93.52","91.97","993.22K","-0.76%"
"09/02/2022","92.93","93.75","94.79","92.46","876.09K","-0.99%"
"09/01/2022","93.86","92.76","93.91","92.28","935.03K","1.34%"
"08/31/2022","92.62","93.28","93.73","92.60","1.63M","-0.77%"
"08/30/2022","93.34","95.54","95.54","93.15","891.46K","-2.01%"
"08/29/2022","95.25","94.25","95.91","93.75","959.28K","0.49%"
"08/26/2022","94.79","96.17","96.52","94.73","1.10M","-1.59%"
"08/25/2022","96.32","95.83","96.36","95.35","1.57M","0.61%"
"08/24/2022","95.74","95.41","95.87","94.83","1.21M","0.42%"
"08/23/2022","95.34","95.70","95.95","94.68","769.80K","-0.51%"
