"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","129.84","128.99","130.48","128.27","199.88K","0.72%"
"01/20/2023","128.91","126.35","128.97","125.18","389.97K","2.42%"
"01/19/2023","125.86","126.63","126.99","124.99","359.75K","-1.05%"
"01/18/2023","127.19","128.33","128.46","126.14","377.40K","-0.63%"
"01/17/2023","128.00","128.43","129.16","125.29","511.55K","-0.58%"
"01/13/2023","128.75","125.20","128.96","124.28","389.38K","2.18%"
"01/12/2023","126.00","127.07","127.07","124.11","606.16K","-0.47%"
"01/11/2023","126.59","126.52","126.90","124.20","609.87K","0.06%"
"01/10/2023","126.52","125.48","128.21","124.77","404.27K","1.13%"
"01/09/2023","125.11","128.24","128.37","125.08","370.77K","-2.71%"
"01/06/2023","128.59","127.06","128.65","124.92","460.11K","1.93%"
"01/05/2023","126.16","128.72","128.72","126.16","354.00K","-2.27%"
"01/04/2023","129.09","128.06","129.39","127.51","307.42K","1.39%"
"01/03/2023","127.32","125.52","128.48","125.23","335.26K","1.81%"
"12/30/2022","125.06","126.27","127.09","124.01","277.71K","-1.24%"
"12/29/2022","126.63","124.66","126.64","124.30","289.62K","2.15%"
"12/28/2022","123.96","125.14","125.33","123.72","330.21K","-0.49%"
"12/27/2022","124.57","125.59","125.59","124.00","204.79K","-0.37%"
"12/23/2022","125.03","122.99","125.13","122.46","203.57K","1.68%"
"12/22/2022","122.97","122.86","123.99","121.33","313.28K","-0.45%"
"12/21/2022","123.53","122.74","123.72","122.27","355.80K","1.21%"
"12/20/2022","122.05","122.80","123.43","121.42","314.38K","-0.73%"
"12/19/2022","122.95","122.98","123.87","121.15","342.01K","-0.54%"
"12/16/2022","123.62","123.47","124.74","122.51","982.78K","-1.13%"
"12/15/2022","125.03","124.22","126.02","123.13","539.86K","-0.49%"
"12/14/2022","125.64","129.84","130.35","125.64","569.68K","-3.64%"
"12/13/2022","130.38","134.90","134.96","129.60","620.46K","-1.30%"
"12/12/2022","132.10","130.41","132.29","129.15","465.21K","1.33%"
"12/09/2022","130.36","129.91","132.62","129.91","569.59K","0.25%"
"12/08/2022","130.03","129.69","130.94","128.78","557.55K","0.76%"
"12/07/2022","129.05","129.33","130.64","127.97","840.86K","-0.20%"
"12/06/2022","129.31","130.00","130.99","127.71","583.54K","-0.19%"
"12/05/2022","129.55","127.55","129.60","126.98","801.66K","0.83%"
"12/02/2022","128.48","127.06","128.57","126.77","546.81K","0.37%"
"12/01/2022","128.01","129.17","129.29","127.31","567.46K","-0.16%"
"11/30/2022","128.22","125.92","128.28","124.03","1.63M","1.45%"
"11/29/2022","126.39","124.84","127.43","124.83","472.38K","0.93%"
"11/28/2022","125.22","125.75","127.64","123.56","567.32K","-2.54%"
"11/25/2022","128.49","127.62","128.68","127.25","225.41K","1.14%"
"11/23/2022","127.04","126.89","128.12","126.22","520.75K","-0.11%"
"11/22/2022","127.18","127.14","127.55","126.10","368.60K","0.54%"
"11/21/2022","126.50","125.41","126.77","125.13","643.02K","1.24%"
"11/18/2022","124.95","125.19","125.63","122.63","1.53M","1.21%"
"11/17/2022","123.46","124.64","125.33","123.11","538.71K","-1.83%"
"11/16/2022","125.76","124.72","126.43","122.80","436.20K","0.91%"
"11/15/2022","124.62","126.29","127.00","124.19","403.98K","-0.11%"
"11/14/2022","124.76","128.13","128.16","124.75","664.17K","-2.65%"
"11/11/2022","128.15","127.53","128.39","126.03","493.42K","1.18%"
"11/10/2022","126.66","125.99","127.86","124.86","534.54K","3.29%"
"11/09/2022","122.62","122.48","124.56","121.86","532.56K","-0.31%"
"11/08/2022","123.00","121.26","124.05","120.68","945.10K","1.88%"
"11/07/2022","120.73","121.22","121.43","119.01","1.17M","-0.40%"
"11/04/2022","121.22","124.84","124.84","119.85","1.09M","-1.77%"
"11/03/2022","123.41","128.14","128.55","123.22","739.40K","-5.81%"
"11/02/2022","131.02","133.09","136.33","130.11","860.91K","-2.73%"
"11/01/2022","134.70","136.64","136.64","133.46","714.39K","-0.85%"
"10/31/2022","135.86","134.55","135.91","133.58","678.76K","0.87%"
