"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","193.49","193.66","194.87","192.05","877.66K","-0.61%"
"02/02/2023","194.68","196.59","196.59","191.05","1.18M","-0.82%"
"02/01/2023","196.28","195.77","198.07","194.03","1.15M","0.29%"
"01/31/2023","195.72","195.65","196.30","193.75","1.40M","0.22%"
"01/30/2023","195.30","193.52","196.63","193.52","641.67K","0.77%"
"01/27/2023","193.81","199.80","202.37","191.60","1.32M","-1.74%"
"01/26/2023","197.25","197.17","198.72","196.29","802.44K","0.05%"
"01/25/2023","197.15","196.50","197.71","194.69","572.47K","0.07%"
"01/24/2023","197.01","195.69","197.82","193.63","722.70K","0.58%"
"01/23/2023","195.88","194.40","196.41","193.40","474.71K","1.02%"
"01/20/2023","193.90","191.93","194.22","190.05","795.71K","1.58%"
"01/19/2023","190.89","191.13","192.10","190.34","461.23K","-0.57%"
"01/18/2023","191.99","195.24","196.04","191.55","736.69K","-1.87%"
"01/17/2023","195.65","197.13","198.47","195.23","692.91K","-0.46%"
"01/13/2023","196.55","194.25","197.10","193.63","617.99K","0.80%"
"01/12/2023","194.99","196.07","196.86","193.03","678.86K","-0.39%"
"01/11/2023","195.76","193.56","195.76","193.23","608.50K","1.60%"
"01/10/2023","192.68","191.93","193.08","190.80","427.64K","0.48%"
"01/09/2023","191.76","192.56","194.75","190.81","805.58K","-0.14%"
"01/06/2023","192.02","187.99","192.79","187.50","471.27K","2.99%"
"01/05/2023","186.44","189.19","190.02","185.45","676.59K","-1.74%"
"01/04/2023","189.74","188.57","190.35","187.80","585.38K","1.32%"
"01/03/2023","187.26","188.74","189.37","185.41","546.56K","-0.68%"
"12/30/2022","188.54","189.37","189.92","186.61","353.16K","-0.86%"
"12/29/2022","190.17","189.40","191.20","188.87","435.32K","1.18%"
"12/28/2022","187.95","189.93","191.00","187.85","432.43K","-0.70%"
"12/27/2022","189.28","188.99","190.07","188.21","423.89K","0.46%"
"12/23/2022","188.41","187.61","188.85","186.77","351.12K","0.20%"
"12/22/2022","188.03","188.43","189.16","185.86","495.92K","-0.77%"
"12/21/2022","189.48","188.00","189.55","187.22","593.92K","1.39%"
"12/20/2022","186.89","186.33","188.20","184.82","566.97K","0.97%"
"12/19/2022","185.09","186.32","187.66","184.33","614.66K","-0.68%"
"12/16/2022","186.35","186.32","187.23","183.64","1.74M","-0.93%"
"12/15/2022","188.10","190.54","191.24","186.79","767.01K","-2.59%"
"12/14/2022","193.11","194.07","197.59","192.18","738.10K","-0.38%"
"12/13/2022","193.85","197.23","197.24","192.93","662.02K","0.06%"
"12/12/2022","193.74","192.55","193.74","191.20","662.12K","1.00%"
"12/09/2022","191.83","194.85","195.41","191.60","776.55K","-1.64%"
"12/08/2022","195.03","193.78","195.87","193.56","769.80K","0.55%"
"12/07/2022","193.96","196.44","196.77","193.38","956.69K","-1.03%"
"12/06/2022","195.98","196.98","197.40","194.66","557.49K","-0.43%"
"12/05/2022","196.83","199.79","200.52","196.17","850.39K","-2.20%"
"12/02/2022","201.26","197.92","201.51","197.17","745.48K","0.77%"
"12/01/2022","199.72","200.00","200.76","198.14","774.81K","0.31%"
"11/30/2022","199.11","194.58","199.37","194.03","2.55M","1.75%"
"11/29/2022","195.68","196.24","197.69","195.13","764.11K","-0.38%"
"11/28/2022","196.43","198.32","199.23","196.23","852.80K","-1.44%"
"11/25/2022","199.29","198.00","199.61","197.77","633.92K","1.00%"
"11/23/2022","197.32","197.30","198.54","196.43","526.28K","0.05%"
"11/22/2022","197.23","195.95","198.02","195.95","615.13K","0.76%"
"11/21/2022","195.75","194.52","196.62","194.00","899.17K","0.73%"
"11/18/2022","194.33","192.54","194.77","191.80","990.84K","2.13%"
"11/17/2022","190.27","188.99","191.11","188.12","557.54K","0.40%"
"11/16/2022","189.51","187.23","190.27","187.23","738.28K","0.92%"
"11/15/2022","187.78","187.42","188.98","186.41","940.21K","1.08%"
