"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","88.13","86.69","88.30","86.38","1.51M","1.78%"
"01/19/2023","86.59","87.24","87.98","86.54","1.40M","-1.38%"
"01/18/2023","87.80","88.94","89.75","87.72","1.32M","-1.22%"
"01/17/2023","88.88","88.86","89.21","88.45","1.69M","0.20%"
"01/13/2023","88.70","88.01","89.28","87.77","786.32K","0.07%"
"01/12/2023","88.64","88.87","89.07","87.80","1.08M","-0.10%"
"01/11/2023","88.73","88.00","88.89","87.60","1.02M","1.53%"
"01/10/2023","87.39","86.42","87.78","86.38","1.10M","0.59%"
"01/09/2023","86.88","86.51","87.62","86.36","1.57M","1.20%"
"01/06/2023","85.85","85.34","86.21","84.52","926.71K","1.45%"
"01/05/2023","84.62","85.36","85.50","84.27","1.01M","-1.44%"
"01/04/2023","85.86","85.77","86.21","84.93","1.18M","1.05%"
"01/03/2023","84.97","85.00","85.68","84.11","1.31M","0.79%"
"12/30/2022","84.30","83.93","84.89","83.61","674.97K","-0.47%"
"12/29/2022","84.70","83.59","84.78","83.59","961.25K","1.44%"
"12/28/2022","83.50","83.44","84.08","83.29","799.14K","0.00%"
"12/27/2022","83.50","83.18","83.89","82.64","967.28K","0.41%"
"12/23/2022","83.16","82.55","83.47","82.02","813.77K","0.53%"
"12/22/2022","82.72","82.99","83.10","81.34","1.37M","-1.24%"
"12/21/2022","83.76","85.00","85.00","83.51","1.73M","-0.88%"
"12/20/2022","84.50","83.70","84.75","83.50","1.22M","0.51%"
"12/19/2022","84.07","85.22","85.22","83.78","2.51M","-1.07%"
"12/16/2022","84.98","85.09","85.29","84.20","3.05M","-0.71%"
"12/15/2022","85.59","87.78","87.83","85.11","2.13M","-3.66%"
"12/14/2022","88.84","89.73","90.40","87.99","1.14M","-1.45%"
"12/13/2022","90.15","93.59","93.89","89.57","1.31M","-0.47%"
"12/12/2022","90.58","88.69","90.59","88.66","1.13M","1.75%"
"12/09/2022","89.02","89.33","89.99","88.97","1.65M","-1.01%"
"12/08/2022","89.93","89.75","91.03","89.19","1.29M","0.30%"
"12/07/2022","89.66","89.35","90.39","89.35","753.52K","-0.17%"
"12/06/2022","89.81","91.50","91.50","88.86","1.20M","-1.95%"
"12/05/2022","91.60","92.79","93.07","91.45","1.10M","-2.34%"
"12/02/2022","93.79","93.86","94.05","93.44","856.09K","-1.48%"
"12/01/2022","95.20","95.00","96.14","94.38","1.18M","0.36%"
"11/30/2022","94.86","90.76","95.18","90.75","2.81M","4.21%"
"11/29/2022","91.03","91.27","91.76","90.50","1.04M","-0.57%"
"11/28/2022","91.55","91.80","93.38","91.45","2.29M","-1.05%"
"11/25/2022","92.52","91.82","92.64","91.81","381.46K","0.65%"
"11/23/2022","91.92","91.76","92.42","91.43","639.66K","0.21%"
"11/22/2022","91.73","91.24","91.78","90.72","739.23K","0.89%"
"11/21/2022","90.92","90.91","91.43","90.06","1.30M","-0.03%"
"11/18/2022","90.95","91.83","92.47","90.60","1.31M","0.18%"
"11/17/2022","90.79","89.30","91.62","89.10","1.03M","-0.03%"
"11/16/2022","90.82","91.84","92.08","90.14","2.10M","-1.77%"
"11/15/2022","92.46","93.07","93.85","91.99","1.42M","1.02%"
"11/14/2022","91.53","92.12","93.05","91.42","1.46M","-1.95%"
"11/11/2022","93.35","92.92","93.72","92.32","1.61M","0.46%"
"11/10/2022","92.92","91.80","93.11","90.95","2.37M","4.31%"
"11/09/2022","89.08","82.75","90.57","82.36","4.32M","6.19%"
"11/08/2022","83.89","83.41","86.02","82.78","2.66M","0.04%"
"11/07/2022","83.86","84.55","84.97","82.90","1.82M","-0.29%"
"11/04/2022","84.10","83.64","84.67","82.33","1.83M","0.89%"
"11/03/2022","83.36","83.99","84.50","83.16","1.57M","-2.40%"
"11/02/2022","85.41","87.93","88.80","85.38","1.08M","-3.05%"
"11/01/2022","88.10","89.27","89.52","87.07","1.22M","-0.26%"
"10/31/2022","88.33","89.00","89.25","87.67","1.40M","-0.99%"
"10/28/2022","89.21","87.94","89.96","87.90","1.14M","1.86%"
"10/27/2022","87.58","86.63","87.93","86.04","1.30M","0.95%"
"10/26/2022","86.76","86.74","88.37","86.74","1.39M","-1.91%"
"10/25/2022","88.45","86.96","88.77","86.78","1.94M","2.38%"
"10/24/2022","86.39","85.93","86.86","85.17","953.37K","0.59%"
"10/21/2022","85.88","83.19","86.06","82.92","1.05M","2.04%"
"10/20/2022","84.16","83.22","85.68","83.22","1.37M","1.47%"
"10/19/2022","82.94","83.37","84.27","82.49","951.20K","-1.71%"
"10/18/2022","84.38","84.08","84.57","83.16","1.42M","2.23%"
"10/17/2022","82.54","81.61","82.85","81.26","1.27M","3.20%"
"10/14/2022","79.98","81.54","82.01","79.84","930.98K","-0.60%"
"10/13/2022","80.46","76.79","80.86","76.28","1.26M","2.61%"
"10/12/2022","78.41","78.01","79.33","77.81","979.63K","0.45%"
"10/11/2022","78.06","79.69","79.80","77.76","1.51M","-2.28%"
"10/10/2022","79.88","82.38","82.59","79.59","1.57M","-2.68%"
