"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","248.49","241.37","248.86","239.71","1.27M","3.92%"
"01/19/2023","239.11","242.19","244.00","235.83","1.45M","-1.92%"
"01/18/2023","243.80","245.61","251.88","243.55","1.17M","0.30%"
"01/17/2023","243.07","243.52","245.43","241.76","1.35M","0.35%"
"01/13/2023","242.23","236.00","242.32","233.34","1.26M","-0.40%"
"01/12/2023","243.21","238.06","244.77","235.66","1.45M","2.81%"
"01/11/2023","236.56","228.31","238.05","227.45","1.93M","5.65%"
"01/10/2023","223.90","225.35","227.39","220.67","896.23K","-0.04%"
"01/09/2023","224.00","224.68","230.44","224.00","1.47M","1.06%"
"01/06/2023","221.64","220.00","223.00","215.29","1.62M","1.39%"
"01/05/2023","218.61","222.28","224.82","217.05","1.55M","-2.22%"
"01/04/2023","223.57","219.10","224.86","215.67","1.73M","4.23%"
"01/03/2023","214.50","219.15","219.48","208.57","2.29M","-1.09%"
"12/30/2022","216.86","215.14","218.48","213.60","951.83K","-0.28%"
"12/29/2022","217.47","217.87","221.85","216.87","1.29M","1.60%"
"12/28/2022","214.04","213.44","217.02","210.42","1.75M","-0.06%"
"12/27/2022","214.16","225.29","226.17","213.52","1.87M","-5.64%"
"12/23/2022","226.96","224.48","227.16","221.24","678.75K","0.43%"
"12/22/2022","225.98","229.14","229.38","222.14","1.17M","-2.86%"
"12/21/2022","232.63","234.29","237.70","227.05","1.38M","-0.37%"
"12/20/2022","233.50","230.12","236.29","229.07","1.03M","0.07%"
"12/19/2022","233.34","242.75","243.13","231.29","1.26M","-3.92%"
"12/16/2022","242.86","238.72","244.59","236.91","2.51M","0.98%"
"12/15/2022","240.50","240.73","246.59","237.77","1.96M","-2.97%"
"12/14/2022","247.86","260.47","263.08","246.66","1.97M","-5.36%"
"12/13/2022","261.91","268.85","269.00","259.55","903.29K","0.98%"
"12/12/2022","259.36","252.37","261.10","250.59","1.24M","2.41%"
"12/09/2022","253.25","256.97","257.72","252.37","1.19M","-1.09%"
"12/08/2022","256.03","263.66","263.66","254.35","1.41M","-0.61%"
"12/07/2022","257.61","260.73","265.38","256.57","1.24M","-0.15%"
"12/06/2022","257.99","267.38","267.38","255.39","1.77M","-2.73%"
