"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","243.01","237.78","243.30","235.84","734.19K","2.84%"
"01/19/2023","236.30","242.07","242.71","230.18","1.21M","-4.25%"
"01/18/2023","246.80","247.28","254.71","246.05","1.16M","0.31%"
"01/17/2023","246.04","238.78","246.44","237.88","1.23M","2.62%"
"01/13/2023","239.76","233.17","240.15","232.28","807.11K","1.77%"
"01/12/2023","235.58","234.16","237.24","228.34","963.33K","0.61%"
"01/11/2023","234.16","234.00","238.15","231.21","1.11M","0.82%"
"01/10/2023","232.25","227.17","233.45","227.17","720.63K","2.01%"
"01/09/2023","227.67","224.03","230.35","222.08","830.55K","3.13%"
"01/06/2023","220.77","222.10","222.99","212.87","636.96K","0.43%"
"01/05/2023","219.82","221.89","222.92","216.90","778.64K","-2.14%"
"01/04/2023","224.63","217.26","225.23","215.14","1.02M","5.82%"
"01/03/2023","212.28","215.46","219.53","208.29","1.17M","0.65%"
"12/30/2022","210.90","208.10","211.31","206.71","681.72K","-0.58%"
"12/29/2022","212.14","203.61","214.20","201.61","728.42K","5.24%"
"12/28/2022","201.58","204.80","206.52","200.39","1.14M","-1.47%"
"12/27/2022","204.59","203.23","207.12","200.16","729.91K","0.45%"
"12/23/2022","203.67","201.58","203.88","198.25","931.53K","0.09%"
"12/22/2022","203.49","202.28","203.63","196.88","727.35K","-0.39%"
"12/21/2022","204.28","201.04","204.38","200.16","818.77K","1.76%"
"12/20/2022","200.75","196.30","203.64","195.86","903.41K","1.00%"
"12/19/2022","198.76","197.90","202.81","197.81","1.18M","0.28%"
"12/16/2022","198.21","198.25","200.00","193.00","2.03M","-1.86%"
"12/15/2022","201.97","191.74","216.04","186.74","2.75M","3.15%"
"12/14/2022","195.81","197.32","202.00","193.52","694.10K","-1.39%"
"12/13/2022","198.58","205.81","207.49","195.89","1.03M","1.83%"
"12/12/2022","195.01","190.95","196.43","188.40","1.07M","3.28%"
"12/09/2022","188.81","190.52","193.54","188.48","603.63K","-0.87%"
"12/08/2022","190.46","188.53","192.02","186.05","663.32K","1.67%"
"12/07/2022","187.33","185.67","189.09","184.66","563.56K","0.69%"
"12/06/2022","186.04","186.76","187.23","183.26","708.62K","-1.00%"
"12/05/2022","187.91","195.00","195.84","187.54","932.15K","-5.29%"
"12/02/2022","198.41","197.03","199.99","195.93","566.97K","-1.67%"
"12/01/2022","201.77","197.59","202.24","195.70","848.84K","2.60%"
"11/30/2022","196.66","192.39","196.74","184.69","1.69M","2.52%"
"11/29/2022","191.83","188.86","194.05","187.36","583.66K","1.08%"
"11/28/2022","189.78","194.69","197.86","189.07","772.77K","-2.51%"
"11/25/2022","194.67","194.82","196.28","190.99","387.81K","-0.82%"
"11/23/2022","196.28","192.33","199.17","191.04","455.89K","2.55%"
"11/22/2022","191.39","192.90","192.90","188.01","757.24K","-0.13%"
"11/21/2022","191.63","190.38","194.25","189.00","737.53K","-1.00%"
"11/18/2022","193.56","200.00","201.15","191.74","605.96K","-0.72%"
"11/17/2022","194.96","195.58","196.63","191.71","1.24M","-3.19%"
"11/16/2022","201.39","212.84","212.90","200.18","732.22K","-5.42%"
"11/15/2022","212.92","215.55","220.30","211.87","816.52K","1.23%"
"11/14/2022","210.33","214.74","214.99","210.06","1.33M","-3.95%"
"11/11/2022","218.98","197.80","221.62","195.95","1.91M","11.45%"
"11/10/2022","196.48","186.96","196.71","186.50","1.61M","12.54%"
"11/09/2022","174.58","179.72","179.72","174.13","1.20M","-3.23%"
"11/08/2022","180.40","181.40","185.48","175.34","1.41M","-0.53%"
"11/07/2022","181.37","182.80","184.35","178.93","911.09K","0.24%"
"11/04/2022","180.93","182.54","182.61","175.93","844.50K","2.90%"
"11/03/2022","175.83","176.39","177.34","172.05","1.28M","-1.81%"
"11/02/2022","179.08","192.44","193.27","178.91","1.35M","-7.24%"
"11/01/2022","193.06","197.55","202.42","192.53","2.00M","-0.64%"
"10/31/2022","194.30","190.00","201.56","190.00","1.99M","3.01%"
"10/28/2022","188.62","180.23","190.45","179.25","1.87M","3.91%"
"10/27/2022","181.53","188.89","188.89","176.00","4.19M","-18.10%"
"10/26/2022","221.64","219.17","229.56","217.98","1.30M","1.68%"
"10/25/2022","217.98","212.39","221.72","212.39","1.40M","3.12%"
"10/24/2022","211.39","207.97","211.51","204.87","852.04K","1.79%"
"10/21/2022","207.67","196.58","208.45","192.63","1.18M","4.74%"
"10/20/2022","198.28","204.01","208.05","197.78","1.08M","-3.27%"
"10/19/2022","204.98","207.17","210.07","203.57","530.07K","-2.39%"
"10/18/2022","210.00","219.47","222.37","207.99","765.27K","-0.68%"
"10/17/2022","211.44","205.61","213.49","203.26","725.41K","4.87%"
"10/14/2022","201.63","216.79","217.73","201.09","718.58K","-5.03%"
"10/13/2022","212.31","200.02","214.37","197.87","872.93K","2.05%"
"10/12/2022","208.05","207.98","209.58","203.21","719.80K","-0.19%"
"10/11/2022","208.45","206.77","213.10","202.01","740.43K","0.52%"
"10/10/2022","207.38","213.17","213.79","205.00","692.57K","-1.99%"
"10/07/2022","211.58","217.46","220.09","210.39","779.55K","-4.85%"
"10/06/2022","222.36","229.16","233.64","222.05","580.29K","-2.82%"
"10/05/2022","228.81","225.81","230.45","221.45","587.83K","-0.48%"
"10/04/2022","229.91","221.67","230.27","220.83","1.22M","6.62%"
"10/03/2022","215.64","209.14","217.32","206.00","1.05M","4.12%"
"09/30/2022","207.11","211.96","218.31","206.76","956.55K","-1.85%"
"09/29/2022","211.01","208.57","211.50","204.32","1.08M","-0.51%"
"09/28/2022","212.10","216.60","216.70","206.67","2.32M","-0.99%"
"09/27/2022","214.22","223.68","225.81","212.42","968.49K","-2.47%"
"09/26/2022","219.64","222.43","228.10","217.19","844.05K","-1.25%"
"09/23/2022","222.43","215.52","222.93","213.24","1.15M","2.06%"
"09/22/2022","217.95","224.14","225.66","214.68","909.78K","-3.85%"
"09/21/2022","226.68","232.22","240.20","225.81","795.47K","-2.39%"
"09/20/2022","232.22","239.56","240.45","231.31","849.56K","-4.90%"
"09/19/2022","244.19","244.58","247.63","235.20","802.33K","-1.94%"
"09/16/2022","249.02","247.80","250.36","242.25","1.62M","-1.18%"
"09/15/2022","252.00","244.02","260.30","244.02","1.24M","2.13%"
"09/14/2022","246.74","246.89","252.12","243.41","811.95K","-0.13%"
"09/13/2022","247.06","255.00","255.16","246.45","711.40K","-7.74%"
"09/12/2022","267.79","264.29","272.15","264.03","509.01K","1.78%"
"09/09/2022","263.11","259.09","264.93","259.09","760.28K","2.26%"
"09/08/2022","257.30","245.37","258.25","244.03","624.50K","2.94%"
"09/07/2022","249.94","239.23","250.29","237.66","594.71K","4.58%"
"09/06/2022","238.99","244.55","244.81","234.55","652.41K","-2.26%"
"09/02/2022","244.51","249.54","250.94","241.92","603.18K","-0.50%"
"09/01/2022","245.74","238.96","245.97","234.01","654.18K","0.84%"
"08/31/2022","243.70","250.21","252.50","243.00","530.48K","-1.21%"
"08/30/2022","246.68","250.59","254.00","242.91","545.98K","-0.53%"
"08/29/2022","247.99","250.00","255.49","246.70","536.65K","-1.77%"
"08/26/2022","252.45","271.96","271.96","252.12","868.68K","-7.52%"
"08/25/2022","272.99","265.64","273.24","265.61","569.64K","4.31%"
"08/24/2022","261.70","252.68","262.92","251.60","703.04K","3.75%"
"08/23/2022","252.23","255.63","258.30","251.16","601.04K","-1.49%"
"08/22/2022","256.05","263.14","266.82","255.08","648.40K","-5.10%"
