"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","49.82","49.73","50.23","49.33","1.16M","0.85%"
"01/19/2023","49.40","48.66","49.52","48.08","1.30M","0.18%"
"01/18/2023","49.31","51.27","51.46","49.29","1.72M","-1.97%"
"01/17/2023","50.30","50.22","50.53","49.87","1.39M","0.02%"
"01/13/2023","50.29","48.11","50.33","48.05","2.47M","1.80%"
"01/12/2023","49.40","48.46","49.47","47.98","1.56M","3.56%"
"01/11/2023","47.70","47.12","48.05","47.00","1.25M","0.85%"
"01/10/2023","47.30","45.49","47.37","45.44","1.31M","3.46%"
"01/09/2023","45.72","45.50","46.17","45.36","1.22M","0.97%"
"01/06/2023","45.28","44.06","45.37","43.87","1.24M","2.65%"
"01/05/2023","44.11","43.87","44.33","43.61","1.16M","-0.43%"
"01/04/2023","44.30","42.59","44.63","42.44","1.41M","5.08%"
"01/03/2023","42.16","43.52","43.72","41.77","1.51M","-1.82%"
"12/30/2022","42.94","42.42","43.05","42.37","967.65K","0.30%"
"12/29/2022","42.81","41.49","42.82","41.41","1.37M","3.66%"
"12/28/2022","41.30","42.04","42.58","41.29","1.68M","-2.27%"
"12/27/2022","42.26","42.87","43.02","41.88","1.88M","-2.42%"
"12/23/2022","43.31","42.86","43.46","42.60","970.32K","1.00%"
"12/22/2022","42.88","43.41","43.63","42.11","1.14M","-2.23%"
"12/21/2022","43.86","43.67","44.30","43.50","1.13M","1.83%"
"12/20/2022","43.07","42.89","43.55","42.84","1.13M","0.40%"
"12/19/2022","42.90","44.23","44.59","42.88","1.45M","-2.99%"
"12/16/2022","44.22","43.41","44.51","43.27","3.20M","1.12%"
"12/15/2022","43.73","45.12","45.29","43.56","1.82M","-4.39%"
"12/14/2022","45.74","45.81","46.44","45.13","1.53M","1.02%"
"12/13/2022","45.28","47.20","47.50","44.42","2.19M","-1.03%"
"12/12/2022","45.75","44.59","45.76","44.38","1.09M","2.67%"
"12/09/2022","44.56","43.76","44.68","43.72","1.20M","1.13%"
"12/08/2022","44.06","44.67","45.04","43.71","1.22M","-0.50%"
"12/07/2022","44.28","45.89","45.90","44.26","946.79K","-4.36%"
"12/06/2022","46.30","46.83","47.29","45.68","1.29M","-0.88%"
"12/05/2022","46.71","46.90","47.45","46.54","1.05M","0.02%"
"12/02/2022","46.70","46.83","46.90","46.49","1.02M","-1.50%"
"12/01/2022","47.41","47.58","47.99","47.31","878.56K","-0.06%"
"11/30/2022","47.44","46.60","47.45","46.06","1.01M","1.74%"
"11/29/2022","46.63","45.94","46.72","45.82","1.39M","1.86%"
"11/28/2022","45.78","46.47","46.73","45.69","1.20M","-2.39%"
"11/25/2022","46.90","46.25","47.22","46.25","484.32K","1.21%"
"11/23/2022","46.34","46.00","46.63","45.90","941.70K","0.83%"
"11/22/2022","45.96","46.29","46.58","45.74","953.85K","-0.73%"
"11/21/2022","46.30","46.51","47.21","46.14","1.11M","-0.81%"
"11/18/2022","46.68","46.85","47.47","45.95","1.06M","1.74%"
"11/17/2022","45.88","44.88","45.88","44.68","715.33K","0.44%"
"11/16/2022","45.68","46.40","46.40","45.49","991.12K","-2.50%"
"11/15/2022","46.85","46.92","47.67","46.42","1.48M","1.25%"
"11/14/2022","46.27","46.66","47.57","46.21","1.12M","-2.07%"
"11/11/2022","47.25","47.21","47.60","46.60","1.30M","0.66%"
"11/10/2022","46.94","45.66","47.14","45.44","1.80M","6.10%"
"11/09/2022","44.24","44.66","45.13","44.13","1.02M","-1.95%"
"11/08/2022","45.12","45.06","45.48","44.69","1.09M","0.18%"
"11/07/2022","45.04","45.40","45.50","44.13","1.13M","0.40%"
"11/04/2022","44.86","44.70","45.40","44.04","1.21M","2.33%"
"11/03/2022","43.84","42.88","44.16","42.34","1.36M","0.64%"
"11/02/2022","43.56","44.09","45.07","43.54","2.20M","-2.16%"
"11/01/2022","44.52","45.05","45.20","44.40","1.17M","0.13%"
"10/31/2022","44.46","44.31","44.78","43.79","1.29M","0.07%"
"10/28/2022","44.43","43.32","44.44","43.12","1.23M","2.68%"
"10/27/2022","43.27","43.57","44.20","43.24","1.36M","0.96%"
"10/26/2022","42.86","43.43","44.20","42.78","1.55M","-1.27%"
"10/25/2022","43.41","42.23","43.81","42.09","1.71M","1.95%"
"10/24/2022","42.58","41.42","42.78","40.94","1.98M","3.83%"
"10/21/2022","41.01","39.71","41.37","39.49","2.55M","2.83%"
"10/20/2022","39.88","41.39","41.63","39.46","4.30M","-4.71%"
"10/19/2022","41.85","43.06","43.06","41.51","3.40M","-1.16%"
"10/18/2022","42.34","42.41","42.86","41.89","1.55M","1.95%"
"10/17/2022","41.53","42.96","43.00","41.50","1.54M","-0.72%"
"10/14/2022","41.83","42.86","43.09","41.69","1.22M","-0.17%"
"10/13/2022","41.90","40.83","42.62","40.14","1.48M","1.67%"
"10/12/2022","41.21","40.34","41.55","39.87","1.24M","1.15%"
"10/11/2022","40.74","42.41","42.50","39.87","1.51M","-1.07%"
"10/10/2022","41.18","41.68","41.91","40.88","861.54K","-0.75%"
"10/07/2022","41.49","41.92","42.04","40.89","830.90K","-2.28%"
"10/06/2022","42.46","42.36","42.94","41.86","1.03M","-0.47%"
"10/05/2022","42.66","41.76","42.94","41.49","1.15M","0.02%"
"10/04/2022","42.65","41.38","42.68","41.23","1.59M","6.87%"
"10/03/2022","39.91","39.35","40.20","38.72","1.38M","1.94%"
"09/30/2022","39.15","38.96","39.79","38.93","1.41M","0.03%"
"09/29/2022","39.14","39.53","39.70","38.71","1.38M","-3.00%"
"09/28/2022","40.35","39.00","40.59","38.65","1.70M","3.33%"
"09/27/2022","39.05","39.56","40.06","38.44","1.83M","0.62%"
"09/26/2022","38.81","40.49","40.98","38.75","2.58M","-4.83%"
"09/23/2022","40.78","41.15","41.34","40.10","1.67M","-2.63%"
"09/22/2022","41.88","43.40","43.40","41.34","1.85M","-3.70%"
"09/21/2022","43.49","44.93","45.05","43.47","1.74M","-4.06%"
"09/20/2022","45.33","45.55","45.90","44.79","1.00M","-0.98%"
"09/19/2022","45.78","44.15","46.08","44.10","1.66M","3.15%"
"09/16/2022","44.38","45.46","45.46","44.24","2.12M","-4.06%"
