"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","109.65","106.80","109.78","106.49","5.08M","3.29%"
"01/19/2023","106.16","109.49","109.64","106.09","5.15M","-3.23%"
"01/18/2023","109.70","110.76","112.39","109.58","5.37M","0.27%"
"01/17/2023","109.41","109.40","110.63","107.78","4.74M","-0.51%"
"01/13/2023","109.97","107.53","110.20","107.44","5.64M","-0.21%"
"01/12/2023","110.20","110.58","111.89","107.23","5.33M","0.13%"
"01/11/2023","110.06","106.68","110.19","106.53","5.53M","1.87%"
"01/10/2023","108.04","106.14","108.19","105.86","4.63M","1.46%"
"01/09/2023","106.49","105.55","108.76","104.16","6.21M","2.13%"
"01/06/2023","104.27","100.00","104.86","98.58","7.24M","6.48%"
"01/05/2023","97.92","97.84","99.24","97.36","4.55M","-1.40%"
"01/04/2023","99.31","98.21","99.62","97.19","6.28M","2.67%"
"01/03/2023","96.73","99.77","100.02","96.12","5.92M","-0.67%"
"12/30/2022","97.38","95.60","97.48","95.03","3.41M","0.25%"
"12/29/2022","97.14","96.05","97.64","95.13","5.06M","3.09%"
"12/28/2022","94.22","94.67","95.78","93.68","4.25M","-1.17%"
"12/27/2022","95.34","96.18","96.84","95.17","6.12M","-1.93%"
"12/23/2022","97.22","96.69","97.39","95.33","4.75M","-0.39%"
"12/22/2022","97.60","102.11","102.61","95.97","10.83M","-7.84%"
"12/21/2022","105.90","104.63","106.51","104.20","4.85M","2.32%"
"12/20/2022","103.50","102.07","104.61","102.04","4.69M","-0.47%"
"12/19/2022","103.99","104.83","105.06","102.67","6.16M","-0.71%"
"12/16/2022","104.73","104.15","105.93","103.55","12.93M","0.16%"
"12/15/2022","104.56","107.75","108.02","104.02","6.77M","-4.63%"
"12/14/2022","109.64","111.36","112.61","108.55","6.43M","-1.99%"
"12/13/2022","111.87","115.39","116.09","111.16","9.55M","2.29%"
"12/12/2022","109.37","106.82","109.42","105.64","4.76M","1.89%"
"12/09/2022","107.34","107.78","109.74","107.00","4.71M","-1.17%"
"12/08/2022","108.61","107.04","109.44","106.50","5.48M","2.36%"
"12/07/2022","106.11","104.71","107.65","104.14","6.36M","1.34%"
"12/06/2022","104.71","106.82","107.07","103.77","4.53M","-1.62%"
"12/05/2022","106.43","106.37","107.69","105.21","4.62M","-0.26%"
"12/02/2022","106.71","104.32","107.32","104.22","3.90M","-0.28%"
