"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","142.50","139.92","142.65","138.67","1.06M","2.50%"
"01/19/2023","139.03","141.00","141.74","138.44","1.37M","-1.69%"
"01/18/2023","141.42","144.62","144.92","140.82","938.69K","-2.22%"
"01/17/2023","144.63","146.61","147.01","144.47","1.17M","-1.03%"
"01/13/2023","146.13","144.66","146.82","144.66","622.72K","0.40%"
"01/12/2023","145.55","146.39","146.39","144.73","545.29K","0.05%"
"01/11/2023","145.48","143.69","145.50","142.90","808.86K","1.87%"
"01/10/2023","142.81","142.11","143.24","141.82","423.95K","0.22%"
"01/09/2023","142.50","143.72","146.42","141.82","880.26K","-0.93%"
"01/06/2023","143.84","139.91","144.49","139.57","960.71K","4.25%"
"01/05/2023","137.98","139.98","140.37","137.47","1.31M","-2.04%"
"01/04/2023","140.85","141.31","141.82","139.44","579.87K","0.23%"
"01/03/2023","140.52","140.18","140.90","138.65","1.43M","0.57%"
"12/30/2022","139.72","140.00","140.19","138.35","551.12K","-0.46%"
"12/29/2022","140.37","139.16","140.95","139.02","398.85K","1.45%"
"12/28/2022","138.36","140.62","141.48","138.32","478.47K","-1.26%"
"12/27/2022","140.13","139.89","140.67","139.22","417.28K","0.54%"
"12/23/2022","139.38","138.03","139.42","137.77","412.20K","0.77%"
"12/22/2022","138.32","139.20","139.20","136.37","700.40K","-1.45%"
"12/21/2022","140.36","138.74","140.49","138.49","627.48K","1.89%"
"12/20/2022","137.75","136.94","138.75","136.05","1.03M","0.56%"
"12/19/2022","136.98","136.82","138.06","136.41","825.74K","0.15%"
"12/16/2022","136.77","136.72","137.52","135.54","2.33M","-1.07%"
"12/15/2022","138.25","140.00","140.45","137.94","1.05M","-2.47%"
"12/14/2022","141.75","143.49","144.49","141.38","843.52K","-1.18%"
"12/13/2022","143.44","145.30","145.79","142.79","1.03M","0.96%"
"12/12/2022","142.07","139.55","142.18","139.55","1.03M","2.13%"
"12/09/2022","139.11","141.01","141.56","139.00","770.23K","-1.17%"
"12/08/2022","140.76","140.88","142.06","140.20","647.50K","0.20%"
"12/07/2022","140.48","139.85","140.93","139.70","592.94K","0.47%"
"12/06/2022","139.82","141.92","141.99","138.82","733.08K","-1.59%"
"12/05/2022","142.08","142.70","143.65","142.00","1.09M","-1.60%"
"12/02/2022","144.39","141.82","145.02","141.57","1.20M","0.77%"
"12/01/2022","143.29","142.99","143.52","141.62","1.00M","0.61%"
"11/30/2022","142.42","138.81","142.57","137.80","1.50M","2.45%"
"11/29/2022","139.01","139.12","139.90","138.21","778.72K","-0.25%"
"11/28/2022","139.36","141.65","142.00","138.88","738.25K","-2.25%"
"11/25/2022","142.57","142.59","143.07","141.95","359.95K","0.34%"
"11/23/2022","142.08","142.00","142.79","140.57","457.61K","0.31%"
"11/22/2022","141.64","141.40","141.80","140.31","770.09K","0.83%"
"11/21/2022","140.48","139.42","141.02","138.78","806.70K","0.83%"
"11/18/2022","139.32","139.41","139.84","137.73","836.94K","0.93%"
"11/17/2022","138.03","136.89","138.06","135.86","818.19K","-0.39%"
"11/16/2022","138.57","138.58","139.68","137.39","623.01K","-0.01%"
"11/15/2022","138.58","139.46","139.79","137.03","1.17M","0.58%"
"11/14/2022","137.78","138.18","139.94","137.66","1.08M","-0.77%"
"11/11/2022","138.85","140.48","141.98","138.24","1.39M","-1.30%"
"11/10/2022","140.68","139.38","141.07","138.78","1.29M","3.68%"
