"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","263.24","262.03","263.84","259.87","2.57M","0.46%"
"01/19/2023","262.03","262.00","263.52","260.92","2.09M","-0.89%"
"01/18/2023","264.39","269.42","270.52","263.65","2.22M","-1.87%"
"01/17/2023","269.42","272.20","273.83","268.83","2.46M","-0.85%"
"01/13/2023","271.73","270.94","272.23","270.20","1.70M","0.30%"
"01/12/2023","270.92","271.92","272.65","268.89","1.45M","-0.73%"
"01/11/2023","272.91","275.97","276.84","270.18","2.04M","-0.35%"
"01/10/2023","273.88","271.95","274.61","270.11","1.78M","1.39%"
"01/09/2023","270.12","275.58","275.58","268.66","2.16M","-1.85%"
"01/06/2023","275.20","270.04","276.82","269.03","2.89M","3.13%"
"01/05/2023","266.86","264.07","268.00","262.52","2.05M","0.93%"
"01/04/2023","264.39","263.01","265.01","261.00","1.77M","1.05%"
"01/03/2023","261.65","260.87","262.60","258.86","2.59M","-0.38%"
"12/30/2022","262.64","262.73","263.23","259.51","1.62M","-0.20%"
"12/29/2022","263.16","262.47","264.88","262.14","1.45M","0.67%"
"12/28/2022","261.42","264.42","265.62","261.14","1.26M","-0.75%"
"12/27/2022","263.39","265.69","266.61","262.88","1.57M","-0.20%"
"12/23/2022","263.92","264.88","265.29","262.90","1.47M","-0.51%"
"12/22/2022","265.26","265.80","266.17","263.19","1.92M","-0.38%"
"12/21/2022","266.26","264.88","267.40","264.25","2.06M","0.57%"
"12/20/2022","264.75","266.69","267.68","262.82","1.60M","-0.36%"
"12/19/2022","265.70","266.82","268.91","263.81","2.68M","-0.64%"
"12/16/2022","267.41","264.95","267.98","264.31","8.79M","0.48%"
"12/15/2022","266.14","270.44","271.12","263.45","3.20M","-1.84%"
"12/14/2022","271.13","271.97","273.37","267.29","3.80M","-0.42%"
"12/13/2022","272.26","282.02","282.67","271.62","3.87M","-1.63%"
"12/12/2022","276.78","272.82","279.48","272.63","3.41M","-0.67%"
"12/09/2022","278.65","284.19","285.17","278.34","2.21M","-2.42%"
"12/08/2022","285.57","286.51","286.59","283.74","1.75M","-0.07%"
"12/07/2022","285.76","283.41","285.93","281.80","2.49M","0.87%"
"12/06/2022","283.29","285.84","287.44","281.69","2.61M","-0.57%"
"12/05/2022","284.91","283.79","286.78","283.00","3.27M","-0.21%"
"12/02/2022","285.51","284.06","286.12","283.19","2.27M","-0.15%"
"12/01/2022","285.94","288.00","288.09","279.88","2.91M","-0.16%"
"11/30/2022","286.40","282.56","287.96","278.93","5.78M","1.56%"
"11/29/2022","281.99","283.38","283.38","279.68","2.14M","-0.22%"
"11/28/2022","282.62","285.00","288.28","282.19","2.38M","-0.39%"
"11/25/2022","283.74","281.95","285.57","281.41","1.22M","0.12%"
"11/23/2022","283.40","287.44","289.54","281.60","2.88M","-1.27%"
"11/22/2022","287.05","288.01","289.39","283.52","3.64M","-0.39%"
"11/21/2022","288.16","289.09","291.60","287.90","2.80M","0.30%"
"11/18/2022","287.29","284.43","288.73","284.43","2.37M","0.00%"
"11/17/2022","287.30","282.92","288.80","282.66","2.17M","1.24%"
"11/16/2022","283.77","284.02","286.99","282.56","2.44M","0.06%"
"11/15/2022","283.60","286.02","289.43","280.22","2.76M","-0.60%"
"11/14/2022","285.30","284.70","290.90","284.70","2.81M","0.10%"
"11/11/2022","285.02","288.55","289.36","279.62","3.26M","-2.06%"
"11/10/2022","291.01","294.08","294.48","285.35","4.08M","0.47%"
"11/09/2022","289.65","290.00","296.22","289.26","3.47M","-0.94%"
"11/08/2022","292.39","282.57","296.67","282.22","6.91M","5.55%"
"11/07/2022","277.02","268.15","277.48","267.75","2.93M","2.97%"
"11/04/2022","269.04","261.94","269.30","259.84","3.40M","1.19%"
"11/03/2022","265.88","268.53","268.60","265.02","2.78M","-1.16%"
"11/02/2022","269.01","271.64","274.88","268.95","2.64M","-1.12%"
"11/01/2022","272.06","269.60","272.87","268.38","2.06M","0.63%"
"10/31/2022","270.35","269.20","271.81","268.00","3.03M","-1.26%"
"10/28/2022","273.81","269.68","274.54","269.12","2.92M","2.46%"
"10/27/2022","267.23","268.00","269.31","265.88","2.26M","0.21%"
"10/26/2022","266.66","262.99","267.98","261.51","3.01M","2.57%"
"10/25/2022","259.99","260.49","261.79","257.19","2.55M","-0.51%"
"10/24/2022","261.32","254.95","261.59","254.90","2.88M","3.72%"
"10/21/2022","251.94","247.52","252.38","247.01","3.53M","1.81%"
"10/20/2022","247.45","247.55","249.06","246.01","2.06M","-0.30%"
"10/19/2022","248.19","251.31","252.35","246.94","1.88M","-1.56%"
"10/18/2022","252.12","253.86","254.70","251.03","2.06M","-0.32%"
"10/17/2022","252.93","251.42","253.42","249.49","2.58M","0.63%"
"10/14/2022","251.34","252.00","253.11","250.23","2.86M","-0.13%"
"10/13/2022","251.66","244.77","252.37","242.84","3.29M","2.12%"
"10/12/2022","246.44","244.36","248.73","243.41","2.64M","0.41%"
"10/11/2022","245.44","239.49","250.48","237.84","6.26M","5.72%"
"10/10/2022","232.15","231.08","234.14","229.89","1.63M","1.36%"
"10/07/2022","229.03","230.00","231.51","228.57","2.06M","-0.83%"
"10/06/2022","230.94","232.52","233.14","230.23","1.52M","-1.23%"
"10/05/2022","233.82","232.63","235.42","230.96","2.06M","0.34%"
"10/04/2022","233.02","230.98","234.09","229.79","2.33M","1.12%"
"10/03/2022","230.44","228.27","230.95","226.42","2.52M","2.24%"
"09/30/2022","225.40","228.42","230.00","225.17","2.54M","-1.32%"
"09/29/2022","228.41","231.55","231.55","226.97","2.34M","-1.11%"
"09/28/2022","230.98","229.96","231.87","227.74","2.78M","2.21%"
"09/27/2022","225.99","226.97","229.96","225.02","2.01M","-0.39%"
"09/26/2022","226.87","226.77","228.64","225.38","2.45M","-0.04%"
"09/23/2022","226.97","227.99","228.61","224.56","2.15M","-0.34%"
"09/22/2022","227.75","223.55","229.37","223.30","2.08M","1.47%"
"09/21/2022","224.46","229.13","230.62","224.36","2.19M","-1.43%"
"09/20/2022","227.71","228.50","229.99","226.53","1.75M","-1.32%"
"09/19/2022","230.76","230.64","230.86","227.10","1.98M","-0.16%"
"09/16/2022","231.14","226.89","232.22","226.61","4.60M","1.53%"
"09/15/2022","227.66","228.10","229.01","225.86","2.21M","-0.20%"
"09/14/2022","228.12","227.53","228.78","226.13","2.72M","0.56%"
"09/13/2022","226.86","237.03","237.14","226.62","4.45M","-4.53%"
"09/12/2022","237.62","238.00","241.70","235.11","6.29M","-4.07%"
"09/09/2022","247.69","245.45","249.23","245.03","2.32M","0.91%"
"09/08/2022","245.45","244.80","246.00","242.91","2.90M","0.27%"
"09/07/2022","244.79","242.80","245.32","242.27","2.13M","1.06%"
"09/06/2022","242.22","243.74","244.59","241.54","2.10M","-0.06%"
"09/02/2022","242.37","246.48","247.78","241.34","2.33M","-1.27%"
"09/01/2022","245.50","241.12","245.74","240.74","2.49M","2.16%"
"08/31/2022","240.30","241.59","243.89","239.85","4.30M","0.49%"
"08/30/2022","239.12","239.88","240.31","238.29","3.67M","-0.11%"
"08/29/2022","239.38","238.84","241.03","238.01","2.11M","-0.53%"
"08/26/2022","240.65","244.05","246.36","240.45","2.97M","-2.05%"
"08/25/2022","245.68","246.01","246.06","243.81","1.73M","0.49%"
"08/24/2022","244.49","243.57","244.98","242.61","2.33M","0.01%"
"08/23/2022","244.47","246.69","246.69","242.85","2.66M","-0.98%"
"08/22/2022","246.90","249.98","251.23","246.54","3.08M","-1.58%"
"08/19/2022","250.86","247.63","252.01","247.63","2.21M","0.46%"
"08/18/2022","249.70","250.93","251.04","247.95","1.89M","-0.35%"
"08/17/2022","250.58","251.19","252.65","249.75","1.88M","-1.02%"
"08/16/2022","253.15","251.86","254.16","251.66","2.21M","0.82%"
"08/15/2022","251.08","249.07","251.53","247.88","2.66M","1.08%"
"08/12/2022","248.39","248.52","249.85","246.30","3.46M","0.02%"
"08/11/2022","248.35","252.04","253.36","247.99","2.69M","-1.48%"
"08/10/2022","252.09","249.81","252.46","248.53","2.63M","1.50%"
"08/09/2022","248.36","247.21","249.72","247.21","2.06M","0.43%"
"08/08/2022","247.29","245.00","247.74","244.31","2.78M","0.42%"
"08/05/2022","246.25","246.46","247.08","241.79","2.72M","-0.30%"
