"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","333.25","325.18","333.92","324.07","621.04K","3.12%"
"01/19/2023","323.17","323.58","324.73","320.04","574.18K","-1.53%"
"01/18/2023","328.20","336.30","337.57","327.74","459.47K","-2.40%"
"01/17/2023","336.28","333.43","336.80","332.88","570.81K","0.93%"
"01/13/2023","333.18","328.64","333.88","327.31","367.27K","0.61%"
"01/12/2023","331.17","331.12","333.74","328.51","733.65K","0.36%"
"01/11/2023","329.99","322.67","329.99","320.36","660.58K","3.20%"
"01/10/2023","319.77","321.00","321.00","317.90","383.08K","-0.45%"
"01/09/2023","321.22","324.32","326.11","320.56","400.19K","-0.02%"
"01/06/2023","321.28","312.60","323.13","312.60","568.20K","4.06%"
"01/05/2023","308.75","311.89","313.65","306.66","494.61K","-1.32%"
"01/04/2023","312.88","312.77","316.23","310.56","428.09K","0.71%"
"01/03/2023","310.66","313.50","316.10","308.24","376.16K","-0.23%"
"12/30/2022","311.37","308.93","312.44","308.39","377.55K","-0.30%"
"12/29/2022","312.31","306.77","312.77","306.74","323.63K","2.55%"
"12/28/2022","304.55","308.33","309.75","304.38","268.58K","-1.25%"
"12/27/2022","308.40","308.81","310.76","306.58","285.01K","0.04%"
"12/23/2022","308.27","307.75","310.93","306.36","464.18K","0.11%"
"12/22/2022","307.92","309.61","310.29","304.56","466.38K","-1.63%"
"12/21/2022","313.03","311.72","314.75","309.87","585.98K","1.62%"
"12/20/2022","308.04","308.00","309.52","305.36","499.60K","0.48%"
"12/19/2022","306.57","311.27","311.98","305.18","638.50K","-1.80%"
"12/16/2022","312.18","309.58","312.86","307.85","1.25M","-0.74%"
"12/15/2022","314.51","317.05","317.80","312.45","552.95K","-2.30%"
"12/14/2022","321.93","323.93","328.70","320.01","538.03K","-0.88%"
"12/13/2022","324.79","333.50","333.50","319.77","570.24K","-0.36%"
"12/12/2022","325.97","321.33","327.04","319.98","537.05K","1.54%"
"12/09/2022","321.04","321.73","324.30","318.98","424.24K","-0.63%"
"12/08/2022","323.09","325.04","326.57","321.90","480.06K","0.34%"
"12/07/2022","322.00","320.84","325.88","319.37","487.26K","0.06%"
"12/06/2022","321.80","320.96","323.80","318.24","405.02K","0.20%"
"12/05/2022","321.17","326.92","327.17","319.58","401.80K","-2.73%"
"12/02/2022","330.18","326.42","331.25","326.42","387.64K","-0.23%"
"12/01/2022","330.93","331.87","332.79","327.79","448.03K","-0.31%"
"11/30/2022","331.95","325.14","333.26","321.52","1.30M","2.30%"
"11/29/2022","324.48","323.54","327.60","322.63","452.86K","-0.39%"
"11/28/2022","325.75","328.68","331.53","324.96","546.67K","-2.00%"
"11/25/2022","332.41","331.29","334.00","330.47","164.04K","-0.06%"
"11/23/2022","332.60","329.49","333.86","329.49","397.63K","0.66%"
"11/22/2022","330.42","327.99","332.18","327.63","428.50K","1.46%"
"11/21/2022","325.68","327.87","328.18","323.83","546.73K","-0.92%"
"11/18/2022","328.70","327.49","328.78","322.25","729.46K","2.22%"
"11/17/2022","321.57","316.63","321.80","315.24","756.47K","0.27%"
"11/16/2022","320.72","321.51","323.25","317.60","676.49K","-0.83%"
"11/15/2022","323.42","325.44","328.83","320.41","682.56K","0.90%"
"11/14/2022","320.55","328.70","329.66","320.45","955.69K","-3.20%"
"11/11/2022","331.16","334.28","339.41","330.57","1.07M","-0.12%"
"11/10/2022","331.56","329.57","333.75","324.71","899.71K","5.25%"
"11/09/2022","315.01","316.29","321.25","314.00","426.74K","-1.64%"
"11/08/2022","320.25","319.08","323.01","316.36","509.37K","0.72%"
"11/07/2022","317.96","315.96","318.97","313.18","352.39K","1.30%"
"11/04/2022","313.87","311.53","319.37","309.09","634.54K","1.93%"
"11/03/2022","307.92","304.55","312.84","301.17","652.75K","-0.28%"
"11/02/2022","308.77","312.38","319.13","308.39","562.55K","-1.70%"
"11/01/2022","314.12","311.62","315.18","311.39","577.85K","1.62%"
"10/31/2022","309.12","309.75","313.23","307.87","774.46K","-0.98%"
"10/28/2022","312.17","302.29","312.31","300.51","638.90K","4.05%"
"10/27/2022","300.03","295.34","301.56","294.98","709.48K","2.57%"
"10/26/2022","292.50","287.31","298.47","286.65","860.07K","5.12%"
"10/25/2022","278.26","269.94","279.05","269.23","830.54K","2.43%"
"10/24/2022","271.65","269.53","273.22","268.35","444.97K","1.74%"
"10/21/2022","267.01","258.31","267.53","257.10","549.64K","3.56%"
"10/20/2022","257.84","263.30","267.26","257.36","530.32K","-2.44%"
