"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","119.16","115.63","120.10","115.49","1.97M","3.50%"
"01/20/2023","115.13","111.89","115.32","111.68","2.14M","3.25%"
"01/19/2023","111.51","114.55","115.07","111.00","1.74M","-3.03%"
"01/18/2023","115.00","117.62","118.37","114.79","2.49M","-1.12%"
"01/17/2023","116.30","114.93","116.94","114.51","2.69M","1.13%"
"01/13/2023","115.00","115.28","116.91","114.98","2.00M","-1.86%"
"01/12/2023","117.18","116.75","117.69","114.55","1.60M","0.73%"
"01/11/2023","116.33","115.20","116.38","114.01","1.48M","0.95%"
"01/10/2023","115.23","114.63","116.21","113.94","1.30M","0.31%"
"01/09/2023","114.87","113.77","117.33","113.70","1.81M","2.15%"
"01/06/2023","112.45","110.20","113.00","108.91","2.33M","2.70%"
"01/05/2023","109.49","112.37","112.37","109.17","3.71M","-3.82%"
"01/04/2023","113.84","120.60","121.10","113.15","4.61M","-5.85%"
"01/03/2023","120.91","122.91","123.78","118.90","1.69M","-0.36%"
"12/30/2022","121.35","120.60","121.42","119.56","838.97K","-0.43%"
"12/29/2022","121.88","120.95","122.37","120.81","1.22M","2.27%"
"12/28/2022","119.17","118.55","119.89","117.87","1.08M","0.26%"
"12/27/2022","118.86","119.89","119.92","118.02","701.64K","-0.76%"
"12/23/2022","119.77","120.09","120.40","118.28","995.39K","-0.50%"
"12/22/2022","120.37","122.22","122.22","118.59","1.73M","-2.40%"
"12/21/2022","123.33","122.50","124.58","122.17","1.18M","1.28%"
"12/20/2022","121.77","121.81","122.95","120.55","1.71M","-0.64%"
"12/19/2022","122.55","124.25","124.25","121.45","1.52M","-0.90%"
"12/16/2022","123.66","123.84","124.52","122.16","3.42M","-1.53%"
"12/15/2022","125.58","129.16","129.53","124.75","2.55M","-4.13%"
"12/14/2022","130.99","133.28","135.29","129.79","2.14M","-1.53%"
"12/13/2022","133.02","136.71","137.85","132.01","2.70M","1.57%"
"12/12/2022","130.96","127.87","130.99","126.39","1.98M","2.39%"
"12/09/2022","127.90","128.53","131.73","127.81","1.92M","-0.18%"
"12/08/2022","128.13","128.06","128.68","126.16","2.72M","1.08%"
"12/07/2022","126.76","128.41","128.76","124.74","2.81M","-1.77%"
"12/06/2022","129.04","133.69","133.76","127.79","2.07M","-2.85%"
"12/05/2022","132.83","133.16","134.29","132.07","1.31M","-1.64%"
"12/02/2022","135.04","136.50","137.30","133.22","2.02M","-3.39%"
"12/01/2022","139.78","140.05","140.81","137.70","1.64M","0.34%"
"11/30/2022","139.30","133.71","139.32","132.83","2.72M","4.18%"
"11/29/2022","133.71","134.05","134.47","132.43","1.11M","0.01%"
"11/28/2022","133.70","135.40","135.93","132.78","1.37M","-1.52%"
"11/25/2022","135.76","137.23","137.35","135.63","644.91K","-1.04%"
"11/23/2022","137.19","136.14","137.39","134.93","1.52M","0.85%"
"11/22/2022","136.04","133.02","136.26","132.05","1.68M","1.06%"
"11/21/2022","134.61","134.96","136.95","134.00","1.26M","-0.64%"
"11/18/2022","135.48","134.17","135.70","133.09","1.95M","2.59%"
"11/17/2022","132.06","129.41","133.58","129.00","1.87M","1.05%"
"11/16/2022","130.69","131.29","131.72","128.56","1.45M","-1.48%"
"11/15/2022","132.65","133.40","134.21","130.56","2.42M","1.11%"
"11/14/2022","131.20","128.50","134.61","128.35","3.27M","2.06%"
"11/11/2022","128.55","127.48","129.77","125.67","2.87M","1.24%"
"11/10/2022","126.98","130.20","130.29","125.67","3.63M","3.30%"
"11/09/2022","122.92","124.89","125.35","122.43","3.08M","-4.79%"
"11/08/2022","129.11","130.73","131.09","128.21","3.21M","-1.13%"
"11/07/2022","130.58","131.59","131.99","129.58","1.89M","-0.37%"
"11/04/2022","131.07","131.64","133.70","128.88","3.96M","7.21%"
"11/03/2022","122.25","123.73","125.97","121.96","2.05M","-2.23%"
"11/02/2022","125.04","127.87","130.13","124.75","3.35M","-2.09%"
"11/01/2022","127.71","120.38","128.06","118.11","5.27M","5.67%"
"10/31/2022","120.86","120.45","123.37","119.90","3.27M","-0.50%"
"10/28/2022","121.47","119.43","121.75","117.11","3.22M","1.96%"
"10/27/2022","119.13","121.21","126.53","118.21","5.24M","9.32%"
