"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","325.40","319.00","325.40","316.95","985.90K","2.02%"
"01/19/2023","318.96","311.08","321.32","311.08","1.15M","1.55%"
"01/18/2023","314.09","316.67","318.58","313.38","903.87K","-0.90%"
"01/17/2023","316.94","317.37","319.50","315.25","757.69K","-0.07%"
"01/13/2023","317.17","315.09","317.70","314.21","677.50K","0.41%"
"01/12/2023","315.87","313.20","317.03","308.86","726.69K","1.18%"
"01/11/2023","312.19","307.65","312.32","307.45","520.91K","1.58%"
"01/10/2023","307.33","306.46","307.64","303.92","557.83K","0.33%"
"01/09/2023","306.33","308.23","312.35","305.79","709.11K","-0.33%"
"01/06/2023","307.33","303.39","309.28","299.87","688.24K","2.32%"
"01/05/2023","300.35","302.11","302.91","298.53","573.52K","-0.78%"
"01/04/2023","302.72","301.72","304.00","300.18","536.71K","1.10%"
"01/03/2023","299.42","301.05","302.00","296.50","531.35K","-0.24%"
"12/30/2022","300.14","301.32","302.05","296.92","433.00K","-1.07%"
"12/29/2022","303.38","301.97","304.54","298.57","404.63K","1.29%"
"12/28/2022","299.51","301.72","302.64","299.32","383.10K","-0.49%"
"12/27/2022","300.97","300.81","302.44","299.56","337.56K","0.13%"
"12/23/2022","300.59","299.21","302.15","298.24","430.02K","0.15%"
"12/22/2022","300.15","301.44","302.97","296.57","515.67K","-0.95%"
"12/21/2022","303.03","299.62","303.10","298.32","632.27K","1.75%"
"12/20/2022","297.81","298.74","300.47","295.02","560.55K","0.25%"
"12/19/2022","297.06","296.92","300.05","295.18","890.92K","-0.57%"
"12/16/2022","298.76","301.03","301.03","294.99","2.14M","-1.61%"
"12/15/2022","303.66","301.35","305.83","298.58","1.02M","-0.81%"
"12/14/2022","306.14","309.16","314.64","306.07","1.15M","-1.24%"
"12/13/2022","309.99","313.29","314.46","308.42","913.70K","0.78%"
"12/12/2022","307.60","306.62","308.55","303.96","826.42K","0.63%"
"12/09/2022","305.68","306.50","308.35","305.12","698.17K","-0.29%"
"12/08/2022","306.57","303.31","306.68","302.63","1.00M","0.80%"
"12/07/2022","304.14","308.00","309.26","303.43","726.77K","-1.24%"
"12/06/2022","307.96","309.04","310.26","307.44","858.96K","-0.25%"
"12/05/2022","308.74","305.25","311.45","305.25","977.94K","0.64%"
