"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","59.15","58.12","59.17","57.45","1.21M","2.35%"
"01/19/2023","57.79","59.88","59.88","57.72","1.05M","-3.91%"
"01/18/2023","60.14","60.16","61.02","59.72","1.31M","0.18%"
"01/17/2023","60.03","61.60","61.79","60.01","1.44M","-3.38%"
"01/13/2023","62.13","61.00","62.22","60.34","803.50K","1.19%"
"01/12/2023","61.40","62.74","62.81","60.99","1.16M","-1.89%"
"01/11/2023","62.58","60.19","62.75","60.03","1.40M","4.54%"
"01/10/2023","59.86","60.07","60.60","59.51","1.57M","-2.65%"
"01/09/2023","61.49","61.55","63.10","61.30","1.20M","0.08%"
"01/06/2023","61.44","60.05","61.68","59.85","831.69K","3.47%"
"01/05/2023","59.38","60.02","60.47","58.93","990.35K","-2.11%"
"01/04/2023","60.66","59.66","60.80","59.42","1.05M","2.95%"
"01/03/2023","58.92","57.86","59.09","57.45","1.36M","2.94%"
"12/30/2022","57.24","57.21","57.44","56.69","592.09K","-0.73%"
"12/29/2022","57.66","57.18","58.03","56.98","664.29K","1.57%"
"12/28/2022","56.77","57.92","58.26","56.73","709.10K","-1.56%"
"12/27/2022","57.67","56.93","58.04","56.92","829.47K","1.35%"
"12/23/2022","56.90","56.05","56.94","55.84","879.46K","1.19%"
"12/22/2022","56.23","56.42","56.92","55.41","778.29K","-1.76%"
"12/21/2022","57.24","56.85","57.70","56.67","902.69K","1.60%"
"12/20/2022","56.34","55.83","56.72","55.77","1.21M","0.50%"
"12/19/2022","56.06","55.93","56.84","55.75","753.11K","0.02%"
"12/16/2022","56.05","56.23","56.55","55.47","2.10M","-1.32%"
"12/15/2022","56.80","58.04","58.07","56.47","1.72M","-3.53%"
"12/14/2022","58.88","59.37","60.12","58.53","1.20M","-0.83%"
"12/13/2022","59.37","60.56","60.82","58.92","1.09M","1.47%"
"12/12/2022","58.51","58.30","58.53","57.57","904.50K","0.36%"
"12/09/2022","58.30","58.46","59.09","58.07","1.07M","-0.21%"
"12/08/2022","58.42","59.08","59.19","57.95","1.16M","-1.43%"
"12/07/2022","59.27","59.25","59.68","59.04","667.20K","-0.17%"
"12/06/2022","59.37","59.82","60.26","58.70","926.37K","-0.75%"
"12/05/2022","59.82","59.73","60.03","59.19","1.09M","-0.93%"
"12/02/2022","60.38","59.51","60.65","59.12","930.19K","-0.17%"
"12/01/2022","60.48","60.94","62.01","60.05","1.09M","-0.43%"
"11/30/2022","60.74","60.20","60.74","58.83","2.03M","0.41%"
"11/29/2022","60.49","59.56","60.75","59.14","1.48M","1.22%"
"11/28/2022","59.76","61.39","61.65","59.71","764.32K","-3.39%"
