"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","304.40","300.09","304.58","298.36","1.18M","1.50%"
"01/19/2023","299.89","302.59","303.39","298.19","888.97K","-0.99%"
"01/18/2023","302.89","308.25","308.25","302.05","793.17K","-1.14%"
"01/17/2023","306.38","312.00","312.00","306.01","1.22M","-1.61%"
"01/13/2023","311.40","307.86","311.91","307.07","787.95K","0.38%"
"01/12/2023","310.21","312.77","314.01","308.89","1.19M","-0.82%"
"01/11/2023","312.77","315.15","316.59","312.16","835.09K","0.03%"
"01/10/2023","312.67","309.98","312.83","308.15","608.03K","0.32%"
"01/09/2023","311.67","309.89","314.47","306.03","1.44M","0.48%"
"01/06/2023","310.18","305.17","311.66","303.02","873.41K","2.77%"
"01/05/2023","301.82","302.64","304.69","300.31","1.72M","-1.56%"
"01/04/2023","306.59","305.94","308.41","304.00","965.90K","0.01%"
"01/03/2023","306.57","310.06","311.77","303.89","1.02M","-0.55%"
"12/30/2022","308.26","308.39","309.49","304.68","534.79K","-1.01%"
"12/29/2022","311.41","311.00","312.64","310.20","563.90K","0.57%"
"12/28/2022","309.64","312.50","313.76","309.28","436.63K","-0.82%"
"12/27/2022","312.20","313.27","314.20","311.52","629.94K","0.05%"
"12/23/2022","312.04","311.90","312.60","309.86","544.19K","-0.18%"
"12/22/2022","312.60","312.42","312.76","307.64","952.52K","-0.60%"
"12/21/2022","314.49","314.49","317.15","313.50","858.52K","0.62%"
"12/20/2022","312.54","314.33","314.89","310.82","778.85K","-0.38%"
"12/19/2022","313.72","314.71","317.04","311.86","835.33K","-0.85%"
"12/16/2022","316.42","316.27","317.61","311.75","2.43M","0.06%"
"12/15/2022","316.24","319.51","320.40","314.27","1.01M","-2.73%"
"12/14/2022","325.12","324.66","327.93","321.87","1.19M","-0.04%"
"12/13/2022","325.25","327.83","328.56","321.81","1.07M","1.80%"
"12/12/2022","319.51","313.06","320.18","313.06","1.16M","1.62%"
"12/09/2022","314.41","319.74","320.45","313.58","1.15M","-1.70%"
"12/08/2022","319.86","316.84","320.95","316.70","1.06M","1.36%"
"12/07/2022","315.58","312.56","315.77","311.99","1.13M","1.12%"
"12/06/2022","312.10","313.76","315.28","309.87","1.30M","-0.91%"
"12/05/2022","314.97","315.74","318.00","313.36","1.19M","-1.09%"
"12/02/2022","318.44","310.63","320.62","310.00","1.31M","2.05%"
"12/01/2022","312.04","310.35","313.05","308.76","995.38K","0.61%"
"11/30/2022","310.16","300.98","310.39","298.78","1.90M","2.64%"
"11/29/2022","302.18","304.83","306.18","300.97","954.55K","-0.75%"
"11/28/2022","304.46","307.72","309.38","303.33","932.06K","-1.76%"
"11/25/2022","309.91","308.72","311.13","307.71","299.66K","0.57%"
"11/23/2022","308.15","309.00","310.38","305.89","1.15M","-0.33%"
"11/22/2022","309.16","298.00","309.57","297.17","1.41M","4.30%"
"11/21/2022","296.41","294.57","297.56","294.18","735.27K","-0.02%"
"11/18/2022","296.48","296.00","296.98","293.56","1.33M","1.08%"
"11/17/2022","293.30","291.38","293.44","290.14","721.35K","-0.62%"
"11/16/2022","295.12","294.54","297.08","293.30","807.45K","0.20%"
"11/15/2022","294.54","296.41","297.91","291.56","942.18K","-0.12%"
"11/14/2022","294.89","288.00","297.77","288.00","1.74M","2.23%"
"11/11/2022","288.46","290.67","292.46","287.83","1.11M","-0.39%"
"11/10/2022","289.59","289.73","289.85","285.57","1.06M","3.38%"
"11/09/2022","280.13","282.89","285.43","279.81","1.10M","-1.01%"
"11/08/2022","283.00","278.96","284.78","277.77","1.41M","1.93%"
"11/07/2022","277.63","277.82","280.07","275.83","1.37M","0.57%"
"11/04/2022","276.06","269.25","276.47","266.82","2.04M","4.56%"
"11/03/2022","264.02","248.74","266.24","247.13","2.52M","7.69%"
"11/02/2022","245.17","252.84","254.79","244.82","1.47M","-2.76%"
"11/01/2022","252.12","252.94","254.77","249.97","872.65K","0.69%"
"10/31/2022","250.40","252.49","254.00","249.09","1.34M","-1.59%"
"10/28/2022","254.44","249.06","255.41","248.11","920.99K","2.16%"
"10/27/2022","249.06","251.94","252.70","248.63","987.08K","-1.17%"
"10/26/2022","252.02","252.75","254.84","251.46","1.24M","0.18%"
"10/25/2022","251.56","245.07","251.56","243.42","1.35M","3.13%"
"10/24/2022","243.92","243.39","245.91","241.88","1.76M","1.09%"
"10/21/2022","241.29","238.18","242.28","235.70","1.16M","1.25%"
"10/20/2022","238.32","241.67","243.50","237.93","716.20K","-1.30%"
"10/19/2022","241.45","241.67","244.21","239.95","710.19K","-0.38%"
"10/18/2022","242.37","244.77","245.22","240.51","822.95K","2.11%"
"10/17/2022","237.36","237.22","239.43","236.25","728.51K","2.08%"
"10/14/2022","232.53","239.35","240.83","232.16","711.21K","-2.29%"
"10/13/2022","237.99","225.95","239.06","224.75","898.85K","3.78%"
"10/12/2022","229.32","231.93","233.98","229.17","893.90K","-0.82%"
"10/11/2022","231.21","231.91","233.64","229.78","618.09K","-0.53%"
"10/10/2022","232.44","233.19","234.60","231.22","748.71K","0.30%"
"10/07/2022","231.75","235.90","236.95","230.01","1.05M","-2.87%"
"10/06/2022","238.59","241.17","242.76","237.88","965.43K","-1.73%"
"10/05/2022","242.80","245.66","246.34","242.66","1.10M","-2.08%"
"10/04/2022","247.96","241.44","248.81","240.79","1.33M","4.04%"
"10/03/2022","238.33","234.91","240.21","233.29","1.03M","2.41%"
"09/30/2022","232.73","231.39","235.72","230.50","1.52M","0.42%"
"09/29/2022","231.76","232.81","233.90","229.22","1.11M","-1.37%"
"09/28/2022","234.97","232.31","236.49","230.93","948.46K","1.82%"
"09/27/2022","230.76","234.28","235.87","228.36","1.06M","-0.32%"
"09/26/2022","231.50","235.29","236.43","230.54","1.17M","-2.35%"
"09/23/2022","237.07","235.79","237.31","233.41","1.14M","-0.61%"
"09/22/2022","238.52","241.93","242.40","238.43","877.64K","-1.22%"
"09/21/2022","241.46","246.48","248.03","241.40","573.33K","-1.40%"
"09/20/2022","244.89","246.43","246.99","243.34","605.91K","-1.80%"
"09/19/2022","249.38","244.80","249.65","244.76","714.94K","0.82%"
"09/16/2022","247.36","248.09","248.20","244.09","1.50M","-0.45%"
"09/15/2022","248.47","254.84","255.04","248.18","706.83K","-2.63%"
"09/14/2022","255.18","255.53","256.15","252.63","690.06K","-0.35%"
"09/13/2022","256.08","258.00","260.39","255.55","831.35K","-2.82%"
"09/12/2022","263.50","259.01","264.01","258.14","877.03K","2.54%"
"09/09/2022","256.97","255.38","257.35","254.39","704.79K","1.24%"
"09/08/2022","253.83","251.15","254.24","250.06","549.49K","0.02%"
"09/07/2022","253.78","246.44","254.05","246.17","1.04M","3.09%"
"09/06/2022","246.17","248.06","248.28","244.69","1.18M","-0.15%"
"09/02/2022","246.53","253.58","253.96","245.83","1.31M","-1.39%"
"09/01/2022","250.00","250.51","251.39","248.50","918.14K","-0.97%"
"08/31/2022","252.45","257.47","257.65","252.35","1.16M","-1.33%"
"08/30/2022","255.85","262.30","262.30","255.55","864.49K","-1.86%"
"08/29/2022","260.70","259.99","263.01","259.34","635.72K","-0.58%"
"08/26/2022","262.23","267.30","267.98","262.11","1.06M","-1.64%"
"08/25/2022","266.59","263.93","266.68","262.16","619.62K","1.47%"
"08/24/2022","262.72","261.79","263.84","260.83","568.28K","0.54%"
"08/23/2022","261.32","259.46","262.37","259.36","810.26K","0.16%"
"08/22/2022","260.91","260.31","261.76","259.28","673.95K","-1.06%"
"08/19/2022","263.70","267.00","267.60","262.39","932.84K","-1.46%"
"08/18/2022","267.60","268.86","268.96","266.95","726.98K","-0.15%"
"08/17/2022","268.00","270.38","272.18","266.82","1.17M","-2.03%"
"08/16/2022","273.54","272.20","274.63","271.71","879.08K","-0.21%"
"08/15/2022","274.11","270.88","274.89","270.16","1.12M","1.19%"
"08/12/2022","270.88","266.86","271.70","265.55","893.94K","2.29%"
"08/11/2022","264.81","267.20","268.29","264.16","829.37K","-0.31%"
"08/10/2022","265.63","265.87","268.19","265.02","838.56K","2.65%"
