"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","78.07","77.70","78.09","77.02","2.94M","0.89%"
"01/19/2023","77.38","78.41","78.63","76.80","2.69M","-1.94%"
"01/18/2023","78.91","81.07","81.40","78.74","3.69M","-2.21%"
"01/17/2023","80.69","80.50","81.58","80.42","2.01M","0.40%"
"01/13/2023","80.37","80.31","80.82","79.76","2.07M","-0.66%"
"01/12/2023","80.90","80.85","81.58","80.15","2.08M","0.27%"
"01/11/2023","80.68","79.84","80.70","79.57","2.13M","1.74%"
"01/10/2023","79.30","79.13","79.65","78.71","1.47M","0.23%"
"01/09/2023","79.12","79.06","80.42","78.64","1.97M","0.70%"
"01/06/2023","78.57","77.98","79.12","77.39","1.82M","2.44%"
"01/05/2023","76.70","76.82","77.39","76.47","3.41M","-1.07%"
"01/04/2023","77.53","77.45","77.93","76.57","2.08M","1.48%"
"01/03/2023","76.40","76.71","76.88","75.50","2.54M","0.34%"
"12/30/2022","76.14","76.01","76.26","75.27","1.24M","-0.63%"
"12/29/2022","76.62","75.57","77.08","75.57","1.13M","2.31%"
"12/28/2022","74.89","76.20","76.68","74.73","1.14M","-1.91%"
"12/27/2022","76.35","75.95","76.74","75.33","1.28M","0.71%"
"12/23/2022","75.81","75.92","76.17","75.02","1.40M","-0.33%"
"12/22/2022","76.06","75.95","76.30","74.74","1.85M","-0.94%"
"12/21/2022","76.78","76.77","77.19","76.20","1.81M","0.72%"
"12/20/2022","76.23","75.94","76.64","75.73","2.47M","0.37%"
"12/19/2022","75.95","77.38","77.64","75.56","2.22M","-2.20%"
"12/16/2022","77.66","77.45","78.09","76.89","4.56M","-0.63%"
"12/15/2022","78.15","80.47","80.59","78.04","2.20M","-4.37%"
"12/14/2022","81.72","81.91","82.86","80.68","3.35M","-0.30%"
"12/13/2022","81.97","82.00","82.74","80.76","3.57M","2.22%"
"12/12/2022","80.19","78.61","80.21","78.40","2.38M","2.14%"
"12/09/2022","78.51","79.38","79.73","78.44","1.41M","-1.31%"
"12/08/2022","79.55","78.63","79.64","78.49","2.28M","1.91%"
"12/07/2022","78.06","77.99","78.69","77.57","1.51M","-0.27%"
"12/06/2022","78.27","79.45","79.64","77.76","1.22M","-1.52%"
"12/05/2022","79.48","79.99","80.08","78.87","2.02M","-1.41%"
"12/02/2022","80.62","79.84","80.89","79.42","1.34M","-0.31%"
"12/01/2022","80.87","81.00","81.31","80.24","1.66M","0.55%"
"11/30/2022","80.43","77.50","80.44","77.16","2.74M","3.91%"
"11/29/2022","77.40","77.81","78.27","76.95","1.66M","-0.54%"
"11/28/2022","77.82","79.71","79.77","77.43","2.31M","-3.14%"
"11/25/2022","80.34","80.00","80.68","79.73","793.69K","0.34%"
"11/23/2022","80.07","80.27","80.85","79.84","1.50M","-0.01%"
"11/22/2022","80.08","79.27","80.24","78.99","3.28M","0.64%"
"11/21/2022","79.57","79.32","80.04","79.17","2.18M","-0.18%"
"11/18/2022","79.71","80.09","80.20","79.01","1.89M","0.99%"
"11/17/2022","78.93","77.90","79.04","77.63","1.36M","-0.21%"
"11/16/2022","79.10","79.46","80.06","78.91","1.73M","-0.75%"
"11/15/2022","79.70","80.20","80.64","78.66","2.29M","1.31%"
"11/14/2022","78.67","79.12","80.08","78.65","2.09M","-0.82%"
"11/11/2022","79.32","79.51","80.22","78.89","2.71M","0.33%"
"11/10/2022","79.06","77.00","79.15","76.72","3.28M","6.15%"
"11/09/2022","74.48","75.54","75.92","74.24","1.85M","-1.94%"
"11/08/2022","75.95","76.07","76.60","75.18","2.32M","0.15%"
"11/07/2022","75.84","76.50","76.50","75.34","2.74M","-0.56%"
"11/04/2022","76.27","75.59","76.41","74.41","2.70M","2.72%"
"11/03/2022","74.25","73.04","74.68","72.68","2.57M","0.30%"
"11/02/2022","74.03","76.19","76.67","73.95","2.69M","-3.57%"
"11/01/2022","76.77","76.52","77.09","75.40","2.95M","1.24%"
"10/31/2022","75.83","75.94","76.82","75.74","2.48M","-0.79%"
"10/28/2022","76.43","74.31","76.69","74.26","2.71M","3.44%"
"10/27/2022","73.89","73.77","74.37","73.02","3.59M","0.96%"
