"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","113.52","112.94","114.44","112.16","581.39K","0.46%"
"01/20/2023","113.00","112.50","113.07","110.85","592.82K","0.86%"
"01/19/2023","112.04","110.87","112.39","110.87","812.13K","0.38%"
"01/18/2023","111.62","114.06","114.14","111.19","594.98K","-2.04%"
"01/17/2023","113.95","115.06","116.20","113.55","689.59K","-0.69%"
"01/13/2023","114.74","116.02","116.02","114.39","633.61K","-1.41%"
"01/12/2023","116.38","117.07","117.70","116.15","585.82K","-0.30%"
"01/11/2023","116.73","114.72","117.11","114.30","644.01K","2.13%"
"01/10/2023","114.30","113.68","114.38","113.04","698.64K","0.45%"
"01/09/2023","113.79","112.62","114.45","112.24","818.80K","1.12%"
"01/06/2023","112.53","110.00","112.89","109.70","820.69K","3.36%"
"01/05/2023","108.87","110.98","111.29","108.73","768.07K","-2.74%"
"01/04/2023","111.94","111.47","112.59","111.30","745.79K","0.67%"
"01/03/2023","111.20","112.34","112.91","110.21","1.04M","-0.78%"
"12/30/2022","112.07","114.57","114.57","111.34","588.88K","-2.11%"
"12/29/2022","114.49","115.71","115.94","113.86","722.60K","-0.50%"
"12/28/2022","115.07","115.35","116.43","115.01","690.29K","-0.44%"
"12/27/2022","115.58","115.33","115.95","114.45","816.69K","0.42%"
"12/23/2022","115.10","114.03","115.12","112.58","512.43K","0.94%"
"12/22/2022","114.03","114.35","114.35","111.59","527.64K","-0.48%"
"12/21/2022","114.58","113.77","114.91","113.61","545.17K","1.34%"
"12/20/2022","113.07","112.96","113.94","112.56","613.30K","-0.36%"
"12/19/2022","113.48","114.64","115.19","112.94","733.72K","-1.12%"
"12/16/2022","114.77","115.41","115.95","113.01","1.71M","-1.79%"
"12/15/2022","116.86","117.71","118.11","115.93","721.41K","-1.25%"
"12/14/2022","118.34","119.00","120.65","117.75","736.12K","-0.16%"
"12/13/2022","118.53","120.53","121.08","117.92","1.73M","-0.39%"
"12/12/2022","119.00","118.08","119.06","116.82","1.48M","1.13%"
"12/09/2022","117.67","117.00","118.50","115.65","2.02M","0.14%"
"12/08/2022","117.50","117.41","117.85","116.91","916.83K","0.08%"
"12/07/2022","117.41","117.16","118.27","116.84","1.07M","-0.03%"
"12/06/2022","117.44","115.88","117.58","115.88","958.37K","1.36%"
"12/05/2022","115.86","115.58","115.87","114.66","675.46K","-0.58%"
"12/02/2022","116.54","116.35","116.80","115.05","968.37K","-0.81%"
"12/01/2022","117.49","120.96","121.02","116.81","1.23M","-2.25%"
"11/30/2022","120.20","118.67","120.49","118.42","2.72M","1.31%"
"11/29/2022","118.64","117.47","118.76","117.04","898.02K","0.48%"
"11/28/2022","118.07","118.53","118.53","116.04","1.12M","-0.91%"
"11/25/2022","119.16","118.33","119.24","118.27","365.90K","0.49%"
"11/23/2022","118.58","117.49","118.61","116.99","1.05M","0.91%"
"11/22/2022","117.51","116.29","117.61","115.73","808.48K","1.49%"
"11/21/2022","115.79","114.48","116.37","114.48","1.06M","0.64%"
"11/18/2022","115.05","112.34","115.27","112.34","1.03M","3.50%"
"11/17/2022","111.16","111.24","111.84","109.82","680.80K","-1.02%"
"11/16/2022","112.30","111.43","112.96","111.43","713.49K","0.65%"
"11/15/2022","111.58","111.38","111.60","110.05","857.64K","0.95%"
"11/14/2022","110.53","111.25","112.28","110.24","688.68K","-0.14%"
"11/11/2022","110.69","112.16","112.16","109.03","1.08M","-0.99%"
"11/10/2022","111.80","108.79","112.19","106.65","1.69M","8.39%"
"11/09/2022","103.15","104.17","105.20","102.86","866.84K","-1.42%"
"11/08/2022","104.64","104.54","105.41","103.64","652.24K","0.64%"
"11/07/2022","103.97","106.14","106.40","102.60","667.36K","-1.94%"
"11/04/2022","106.03","105.03","106.18","104.21","560.46K","1.23%"
"11/03/2022","104.74","103.97","105.33","102.72","846.11K","-0.77%"
"11/02/2022","105.55","105.67","108.34","105.32","748.33K","-0.68%"
"11/01/2022","106.27","106.90","107.13","104.93","739.21K","-0.26%"
"10/31/2022","106.55","107.11","107.50","105.80","1.11M","-0.52%"
"10/28/2022","107.11","105.10","107.21","105.10","493.35K","2.31%"
"10/27/2022","104.69","104.12","105.50","104.12","637.43K","1.23%"
"10/26/2022","103.42","103.60","104.45","102.92","780.91K","0.10%"
"10/25/2022","103.32","101.32","103.47","100.95","712.02K","1.94%"
"10/24/2022","101.35","102.38","102.90","100.76","701.55K","-0.38%"
