"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","73.84","73.65","74.00","73.39","7.33M","0.11%"
"01/19/2023","73.76","74.48","74.50","73.70","5.31M","-0.97%"
"01/18/2023","74.48","74.62","74.74","73.38","7.91M","-0.11%"
"01/17/2023","74.56","75.89","75.96","74.42","10.04M","-2.74%"
"01/13/2023","76.66","76.89","76.90","76.18","4.33M","-0.31%"
"01/12/2023","76.90","76.89","77.28","76.50","4.89M","-0.13%"
"01/11/2023","77.00","77.69","77.76","76.93","5.06M","-0.89%"
"01/10/2023","77.69","77.04","77.95","77.04","5.13M","0.61%"
"01/09/2023","77.22","77.50","78.18","77.18","8.17M","-0.48%"
"01/06/2023","77.59","77.15","77.71","77.08","5.44M","0.82%"
"01/05/2023","76.96","76.60","77.29","76.60","3.72M","0.16%"
"01/04/2023","76.84","77.37","77.40","76.49","4.80M","-0.05%"
"01/03/2023","76.88","76.60","76.93","76.40","3.99M","0.43%"
"12/30/2022","76.55","76.50","76.66","76.22","2.71M","-0.27%"
"12/29/2022","76.76","76.04","76.87","76.03","3.15M","0.93%"
"12/28/2022","76.05","75.64","76.48","75.50","3.02M","0.34%"
"12/27/2022","75.79","75.90","76.04","75.54","1.70M","-0.21%"
"12/23/2022","75.95","75.70","76.07","75.50","2.07M","0.33%"
"12/22/2022","75.70","75.62","75.94","75.54","3.14M","-0.25%"
"12/21/2022","75.89","75.97","76.21","75.47","4.92M","0.01%"
"12/20/2022","75.88","75.70","76.32","75.68","3.16M","-0.14%"
"12/19/2022","75.99","76.15","76.47","75.94","3.09M","-0.12%"
"12/16/2022","76.08","76.05","76.59","75.92","8.68M","-0.38%"
"12/15/2022","76.37","76.71","76.81","76.26","6.94M","-0.87%"
"12/14/2022","77.04","76.66","77.41","76.66","4.89M","0.40%"
"12/13/2022","76.73","77.35","77.35","76.45","8.22M","-0.81%"
"12/12/2022","77.36","75.00","77.55","74.38","11.17M","2.93%"
"12/09/2022","75.16","74.51","75.47","74.05","8.25M","0.54%"
"12/08/2022","74.76","75.44","75.52","73.00","19.25M","-1.54%"
"12/07/2022","75.93","76.76","77.08","74.75","11.77M","-0.24%"
"12/06/2022","76.11","76.59","76.93","76.10","8.01M","-0.29%"
"12/05/2022","76.33","76.99","77.01","76.04","7.53M","0.75%"
"12/02/2022","75.76","74.70","75.97","74.57","6.15M","0.76%"
"12/01/2022","75.19","74.43","75.44","73.92","7.39M","1.68%"
"11/30/2022","73.95","73.78","74.00","73.45","9.74M","-0.52%"
"11/29/2022","74.34","74.25","74.54","73.80","6.28M","-0.51%"
"11/28/2022","74.72","74.57","75.67","73.65","10.88M","1.70%"
"11/25/2022","73.47","73.89","74.27","73.05","9.18M","-4.07%"
"11/23/2022","76.59","75.90","76.60","75.74","3.94M","0.94%"
"11/22/2022","75.88","75.29","76.06","74.96","5.30M","1.44%"
"11/21/2022","74.80","74.10","74.91","73.75","6.22M","0.94%"
"11/18/2022","74.10","74.16","74.29","73.84","7.75M","0.39%"
"11/17/2022","73.81","73.40","74.11","73.38","7.08M","-0.73%"
"11/16/2022","74.35","74.11","74.64","73.99","5.51M","0.64%"
"11/15/2022","73.88","74.60","74.67","73.28","6.77M","-0.11%"
"11/14/2022","73.96","74.36","74.44","73.92","5.49M","-0.24%"
"11/11/2022","74.14","73.75","74.47","73.57","4.45M","0.71%"
"11/10/2022","73.62","72.60","73.74","72.03","9.19M","2.74%"
"11/09/2022","71.66","71.86","72.21","71.64","4.42M","-0.47%"
"11/08/2022","72.00","71.75","72.56","71.35","8.81M","1.27%"
"11/07/2022","71.10","71.51","71.68","70.94","8.74M","-1.20%"
"11/04/2022","71.96","72.08","72.34","71.45","4.33M","0.08%"
"11/03/2022","71.90","72.50","72.90","71.72","4.45M","-1.05%"
"11/02/2022","72.66","73.86","73.96","72.61","5.53M","-0.89%"
"11/01/2022","73.31","73.26","74.01","73.22","5.81M","0.70%"
"10/31/2022","72.80","72.93","73.25","72.40","6.63M","-0.07%"
"10/28/2022","72.85","72.53","73.05","72.32","7.21M","0.48%"
"10/27/2022","72.50","72.36","72.82","72.05","4.54M","0.03%"
"10/26/2022","72.48","72.84","73.04","72.36","6.09M","-0.03%"
"10/25/2022","72.50","72.73","72.99","72.44","6.58M","-0.01%"
"10/24/2022","72.51","72.83","72.83","71.89","4.50M","-0.28%"
"10/21/2022","72.71","72.93","73.17","72.43","4.37M","-0.82%"
"10/20/2022","73.31","72.24","73.83","72.24","5.18M","1.52%"
"10/19/2022","72.21","72.01","72.47","71.79","4.60M","-0.07%"
"10/18/2022","72.26","72.23","72.50","72.03","5.31M","0.70%"
"10/17/2022","71.76","72.80","72.93","71.71","14.49M","-0.51%"
"10/14/2022","72.13","73.44","73.66","72.08","5.14M","-1.35%"
"10/13/2022","73.12","72.92","73.89","72.41","6.17M","-0.52%"
"10/12/2022","73.50","73.54","73.65","73.17","4.10M","-0.07%"
"10/11/2022","73.55","73.60","74.02","73.25","5.38M","-0.27%"
"10/10/2022","73.75","73.35","74.11","73.28","4.28M","0.55%"
"10/07/2022","73.35","73.59","73.73","73.04","4.21M","-0.65%"
"10/06/2022","73.83","74.09","74.39","73.64","5.82M","-0.38%"
"10/05/2022","74.11","74.84","75.00","73.83","7.54M","-1.19%"
"10/04/2022","75.00","74.71","75.38","74.56","9.47M","0.86%"
"10/03/2022","74.36","74.41","74.80","74.11","4.56M","0.03%"
"09/30/2022","74.34","74.90","75.30","74.22","9.50M","-0.71%"
"09/29/2022","74.87","75.19","75.36","74.33","5.98M","-0.69%"
"09/28/2022","75.39","74.86","75.72","74.42","7.53M","0.71%"
"09/27/2022","74.86","74.70","75.33","74.47","6.33M","0.71%"
"09/26/2022","74.33","74.84","75.32","74.25","5.57M","-0.83%"
"09/23/2022","74.95","76.59","76.66","74.82","8.18M","-2.70%"
"09/22/2022","77.03","75.31","77.23","75.18","8.43M","2.27%"
"09/21/2022","75.32","75.18","76.14","74.83","5.32M","0.37%"
"09/20/2022","75.04","76.00","76.15","75.00","4.84M","-1.19%"
"09/19/2022","75.94","75.85","76.28","75.51","5.84M","-0.11%"
"09/16/2022","76.02","76.71","77.07","75.78","18.97M","-1.05%"
"09/15/2022","76.83","76.50","77.22","76.31","5.48M","0.30%"
"09/14/2022","76.60","77.00","77.14","76.04","7.49M","-0.21%"
"09/13/2022","76.76","77.49","78.04","76.64","5.87M","-1.75%"
"09/12/2022","78.13","78.75","78.92","77.95","4.80M","-0.48%"
