"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","170.36","171.39","171.95","169.61","715.88K","0.01%"
"01/20/2023","170.35","168.73","170.57","166.96","1.57M","0.98%"
"01/19/2023","168.70","167.89","170.70","167.63","879.45K","0.03%"
"01/18/2023","168.65","170.31","170.92","167.24","1.06M","-0.80%"
"01/17/2023","170.01","169.48","171.46","168.34","736.21K","1.29%"
"01/13/2023","167.85","168.33","169.85","166.90","555.00K","-1.42%"
"01/12/2023","170.27","170.88","171.42","168.52","650.76K","0.23%"
"01/11/2023","169.88","164.46","170.21","164.27","763.96K","4.23%"
"01/10/2023","162.99","162.02","163.57","161.64","660.86K","0.32%"
"01/09/2023","162.47","163.19","165.04","161.66","1.79M","-0.71%"
"01/06/2023","163.63","158.29","164.08","158.01","586.46K","3.58%"
"01/05/2023","157.98","162.62","163.18","157.69","864.06K","-3.86%"
"01/04/2023","164.32","161.90","165.71","161.37","539.81K","1.75%"
"01/03/2023","161.50","162.30","163.69","159.56","645.97K","-0.01%"
"12/30/2022","161.52","161.84","162.37","159.56","613.08K","-0.69%"
"12/29/2022","162.65","160.99","163.12","159.75","839.00K","0.97%"
"12/28/2022","161.08","163.21","164.01","160.57","419.00K","-1.06%"
"12/27/2022","162.80","163.45","163.75","161.37","455.40K","-0.14%"
"12/23/2022","163.03","161.83","163.12","160.45","396.38K","0.73%"
"12/22/2022","161.85","161.24","162.59","159.49","649.87K","-0.32%"
"12/21/2022","162.37","162.71","163.86","161.38","707.25K","0.72%"
"12/20/2022","161.21","161.50","161.82","159.69","642.43K","-0.62%"
"12/19/2022","162.22","164.80","164.80","160.40","783.67K","-1.68%"
"12/16/2022","165.00","165.83","166.87","162.05","2.02M","-2.25%"
"12/15/2022","168.79","170.08","171.36","167.90","1.08M","-1.91%"
"12/14/2022","172.08","173.72","175.35","170.80","715.98K","-0.76%"
"12/13/2022","173.40","176.53","176.76","171.17","790.82K","1.08%"
"12/12/2022","171.55","169.18","171.56","166.91","672.69K","1.16%"
"12/09/2022","169.58","169.34","171.28","169.18","483.74K","-0.01%"
"12/08/2022","169.60","167.31","171.33","167.23","666.74K","0.97%"
"12/07/2022","167.97","166.60","170.21","166.60","1.02M","0.65%"
"12/06/2022","166.89","171.07","171.08","166.12","598.96K","-2.00%"
"12/05/2022","170.30","170.95","172.62","169.62","900.64K","-1.32%"
"12/02/2022","172.57","170.85","173.08","170.59","734.53K","-0.92%"
"12/01/2022","174.18","176.48","177.68","172.38","706.18K","-0.41%"
"11/30/2022","174.90","169.70","174.97","168.65","1.18M","2.41%"
"11/29/2022","170.79","167.81","171.07","167.33","707.78K","1.62%"
"11/28/2022","168.07","169.38","172.05","167.64","1.79M","-1.17%"
"11/25/2022","170.06","169.24","170.24","169.12","220.01K","0.91%"
"11/23/2022","168.52","168.22","169.91","166.94","559.73K","-0.22%"
"11/22/2022","168.90","169.50","169.64","167.90","478.27K","0.12%"
"11/21/2022","168.69","168.68","171.45","167.50","813.80K","-0.30%"
"11/18/2022","169.19","167.39","169.56","166.95","1.21M","2.46%"
"11/17/2022","165.13","163.83","166.31","163.44","612.68K","-0.57%"
"11/16/2022","166.08","168.64","169.77","166.00","754.79K","-1.71%"
"11/15/2022","168.97","168.61","169.60","166.70","1.07M","1.54%"
"11/14/2022","166.40","166.94","170.50","165.72","1.71M","-0.42%"
"11/11/2022","167.11","171.51","172.03","166.88","753.22K","-2.74%"
"11/10/2022","171.82","165.69","171.96","165.50","1.10M","8.08%"
"11/09/2022","158.98","161.14","161.96","158.35","1.01M","-1.29%"
"11/08/2022","161.05","163.20","163.29","160.00","907.21K","-0.60%"
"11/07/2022","162.02","164.45","167.28","160.70","1.35M","-3.15%"
"11/04/2022","167.29","164.44","168.42","160.63","1.84M","-1.65%"
"11/03/2022","170.10","169.84","172.18","166.47","847.75K","-0.63%"
"11/02/2022","171.18","174.46","176.56","171.10","958.54K","-2.34%"
"11/01/2022","175.29","176.27","177.60","174.84","741.81K","0.10%"
"10/31/2022","175.12","174.50","176.32","173.64","937.90K","-0.27%"
"10/28/2022","175.60","171.12","175.90","170.30","1.12M","1.89%"
"10/27/2022","172.34","175.39","176.87","170.95","1.17M","-1.27%"
"10/26/2022","174.56","178.50","179.74","173.71","1.08M","-2.37%"
"10/25/2022","178.80","174.22","178.88","174.20","617.75K","3.23%"
"10/24/2022","173.20","176.10","177.23","172.74","837.92K","-0.97%"
"10/21/2022","174.89","172.46","174.99","170.15","663.71K","1.66%"
"10/20/2022","172.03","174.07","175.65","171.88","1.04M","-0.76%"
"10/19/2022","173.35","175.47","176.31","171.59","572.33K","-2.48%"
"10/18/2022","177.76","178.09","180.84","176.02","596.46K","1.36%"
"10/17/2022","175.38","172.97","175.81","172.05","1.00M","3.42%"
"10/14/2022","169.58","178.11","178.64","169.39","711.86K","-3.58%"
"10/13/2022","175.87","169.20","176.41","168.05","748.74K","2.45%"
"10/12/2022","171.67","174.39","174.39","170.76","835.37K","-1.74%"
"10/11/2022","174.71","171.17","175.23","169.88","652.24K","2.25%"
"10/10/2022","170.86","173.28","173.66","170.76","650.17K","-0.82%"
"10/07/2022","172.28","175.95","176.82","171.01","728.73K","-3.01%"
"10/06/2022","177.63","182.16","182.69","177.12","679.38K","-2.67%"
"10/05/2022","182.51","185.47","185.77","180.20","626.77K","-3.00%"
"10/04/2022","188.16","187.54","189.81","185.64","791.61K","0.83%"
"10/03/2022","186.62","186.64","187.48","184.18","612.45K","1.32%"
"09/30/2022","184.19","183.26","185.41","181.56","1.12M","1.48%"
"09/29/2022","181.50","183.00","184.18","180.01","694.15K","-2.63%"
"09/28/2022","186.41","183.88","187.14","181.67","710.06K","2.54%"
"09/27/2022","181.80","185.52","186.19","181.43","757.08K","-1.30%"
"09/26/2022","184.19","187.93","187.93","182.30","749.15K","-2.45%"
"09/23/2022","188.82","186.47","191.90","186.21","703.31K","0.18%"
"09/22/2022","188.48","188.89","189.56","186.67","787.57K","-0.26%"
"09/21/2022","188.97","194.48","195.03","188.96","652.99K","-2.03%"
"09/20/2022","192.88","197.80","197.80","190.85","839.06K","-3.38%"
"09/19/2022","199.63","199.84","200.00","195.52","627.04K","-1.16%"
"09/16/2022","201.98","201.81","202.36","198.63","1.65M","0.33%"
"09/15/2022","201.32","205.08","205.34","201.22","433.96K","-1.83%"
"09/14/2022","205.08","207.03","207.45","202.34","644.89K","-1.33%"
"09/13/2022","207.85","210.68","211.84","207.26","730.93K","-2.97%"
"09/12/2022","214.22","215.26","216.11","213.75","793.22K","-0.11%"
"09/09/2022","214.46","212.22","215.55","210.46","557.11K","1.24%"
"09/08/2022","211.83","209.29","212.45","209.16","358.20K","0.66%"
"09/07/2022","210.45","207.21","210.64","207.21","557.99K","1.60%"
"09/06/2022","207.13","203.90","207.55","203.55","536.95K","2.28%"
"09/02/2022","202.51","204.54","207.12","202.20","689.21K","-0.71%"
"09/01/2022","203.96","199.92","204.15","197.80","711.74K","1.52%"
"08/31/2022","200.91","204.65","205.48","200.65","1.11M","-1.08%"
"08/30/2022","203.11","206.01","206.90","202.27","748.70K","-1.25%"
"08/29/2022","205.68","208.61","208.61","205.49","585.14K","-1.74%"
"08/26/2022","209.32","213.39","214.95","209.02","691.97K","-1.91%"
"08/25/2022","213.39","211.33","213.52","210.13","589.12K","1.63%"
"08/24/2022","209.97","207.27","210.42","206.70","739.29K","1.60%"
"08/23/2022","206.67","210.24","210.24","205.23","422.27K","-1.74%"
"08/22/2022","210.33","213.67","214.00","206.21","452.52K","-2.16%"
"08/19/2022","214.98","215.85","216.21","213.97","574.58K","-0.71%"
"08/18/2022","216.52","220.01","220.25","215.43","475.30K","-1.68%"
"08/17/2022","220.22","217.68","220.42","217.18","406.51K","0.45%"
"08/16/2022","219.24","217.45","220.32","217.45","292.02K","0.39%"
"08/15/2022","218.38","218.37","219.70","216.25","310.54K","0.10%"
"08/12/2022","218.16","216.56","218.38","216.11","343.65K","1.43%"
"08/11/2022","215.08","214.99","218.06","214.60","663.27K","0.64%"
"08/10/2022","213.72","212.95","214.52","211.29","464.36K","1.57%"
"08/09/2022","210.42","207.26","211.04","206.49","538.90K","1.93%"
"08/08/2022","206.44","206.47","208.43","205.46","352.11K","0.75%"
"08/05/2022","204.91","202.98","205.07","201.38","431.25K","0.54%"
"08/04/2022","203.80","201.63","204.04","199.59","716.06K","0.87%"
"08/03/2022","202.05","205.51","207.38","201.22","961.14K","-1.24%"
"08/02/2022","204.58","207.64","209.78","203.71","910.93K","-1.54%"
"08/01/2022","207.77","213.70","213.70","207.24","837.17K","-2.88%"
"07/29/2022","213.94","212.93","215.63","211.70","890.15K","0.80%"
"07/28/2022","212.24","202.97","213.85","202.67","1.62M","5.02%"
"07/27/2022","202.09","197.66","202.39","197.66","818.74K","2.30%"
"07/26/2022","197.54","197.47","199.21","196.45","488.54K","0.00%"
"07/25/2022","197.54","197.78","200.03","197.01","619.86K","-0.36%"
"07/22/2022","198.25","196.94","199.52","196.01","472.36K","1.12%"
"07/21/2022","196.05","194.35","196.21","193.03","573.76K","0.73%"
"07/20/2022","194.63","194.91","197.10","193.63","451.24K","-0.42%"
"07/19/2022","195.46","192.86","195.80","191.75","425.60K","2.21%"
"07/18/2022","191.24","193.54","193.54","190.43","542.41K","-0.80%"
"07/15/2022","192.79","192.17","193.65","190.30","563.42K","1.93%"
"07/14/2022","189.14","187.11","190.32","187.11","559.85K","-0.74%"
"07/13/2022","190.55","189.76","191.45","187.23","484.55K","-0.41%"
"07/12/2022","191.34","189.03","193.31","189.03","614.78K","0.41%"
"07/11/2022","190.55","189.80","191.38","189.32","611.85K","-0.01%"
"07/08/2022","190.56","192.19","192.82","189.54","749.77K","-1.05%"
"07/07/2022","192.59","194.65","195.49","191.90","1.23M","-0.74%"
"07/06/2022","194.02","195.12","196.81","192.90","600.47K","-0.10%"
"07/05/2022","194.21","195.11","195.11","188.71","852.17K","-1.04%"
"07/01/2022","196.25","193.97","196.74","192.79","996.59K","1.03%"
"06/30/2022","194.25","193.43","197.52","191.93","867.54K","-0.43%"
"06/29/2022","195.08","194.90","195.56","193.55","386.63K","-1.00%"
"06/28/2022","197.06","199.09","202.12","196.60","469.98K","-0.86%"
"06/27/2022","198.77","194.43","201.71","194.03","1.13M","1.85%"
"06/24/2022","195.15","196.58","197.01","194.26","1.16M","-0.68%"
"06/23/2022","196.49","192.36","196.76","192.36","678.25K","2.40%"
"06/22/2022","191.89","190.11","194.45","189.43","693.45K","0.26%"
"06/21/2022","191.40","191.74","196.24","191.19","1.09M","0.21%"
"06/17/2022","190.99","186.86","191.98","186.84","2.29M","2.47%"
"06/16/2022","186.39","183.85","187.21","183.35","683.56K","-0.63%"
"06/15/2022","187.58","186.81","190.23","185.36","628.49K","1.29%"
"06/14/2022","185.19","187.53","188.90","184.26","969.26K","-0.84%"
"06/13/2022","186.76","190.88","192.03","185.81","1.09M","-3.95%"
"06/10/2022","194.44","192.74","196.39","190.85","870.10K","-0.22%"
"06/09/2022","194.87","199.91","200.39","194.69","635.78K","-2.80%"
"06/08/2022","200.49","202.91","204.32","198.62","719.73K","-2.13%"
"06/07/2022","204.85","200.00","205.07","198.84","577.58K","2.02%"
"06/06/2022","200.80","206.39","206.39","199.74","750.46K","-2.06%"
"06/03/2022","205.02","207.69","208.28","204.75","683.16K","-1.89%"
"06/02/2022","208.97","207.60","209.28","204.29","609.34K","0.67%"
"06/01/2022","207.57","208.23","208.85","203.15","538.28K","-0.19%"
"05/31/2022","207.96","209.07","209.56","206.49","1.27M","-1.40%"
"05/27/2022","210.91","206.29","211.32","205.47","702.28K","2.66%"
"05/26/2022","205.45","206.19","207.38","205.18","625.94K","0.25%"
"05/25/2022","204.94","203.89","205.62","202.48","578.44K","-0.03%"
"05/24/2022","205.01","204.02","205.51","200.17","490.20K","0.40%"
"05/23/2022","204.19","203.16","204.60","199.09","576.68K","1.61%"
"05/20/2022","200.95","201.34","201.55","197.89","846.64K","0.80%"
"05/19/2022","199.36","199.84","201.77","197.62","712.11K","-1.09%"
"05/18/2022","201.56","207.65","208.76","200.68","838.30K","-3.02%"
"05/17/2022","207.84","206.79","207.93","203.38","1.03M","1.46%"
"05/16/2022","204.85","207.62","208.54","204.59","568.60K","-1.14%"
"05/13/2022","207.21","205.62","207.51","203.78","692.92K","1.53%"
"05/12/2022","204.09","203.50","204.99","202.04","1.10M","0.30%"
"05/11/2022","203.48","200.88","206.86","200.59","1.04M","1.69%"
"05/10/2022","200.09","205.30","206.43","199.00","1.10M","-1.78%"
"05/09/2022","203.72","211.00","211.00","202.40","1.14M","-4.10%"
"05/06/2022","212.43","214.27","215.11","209.57","1.17M","-1.98%"
"05/05/2022","216.72","222.63","223.09","214.33","1.11M","-2.59%"
"05/04/2022","222.48","222.42","223.03","215.55","855.47K","0.02%"
"05/03/2022","222.44","222.15","224.11","219.86","851.86K","0.58%"
"05/02/2022","221.15","228.48","229.69","216.97","1.36M","-2.78%"
"04/29/2022","227.48","237.35","238.62","226.89","1.43M","-5.02%"
"04/28/2022","239.50","238.93","241.79","236.50","694.26K","-0.53%"
"04/27/2022","240.78","244.20","245.85","240.54","620.30K","-1.46%"
"04/26/2022","244.35","248.04","250.31","243.96","783.49K","-1.64%"
"04/25/2022","248.42","250.98","250.98","246.02","951.24K","-0.97%"
"04/22/2022","250.85","256.17","256.17","250.69","874.77K","-2.02%"
"04/21/2022","256.01","255.24","258.81","253.95","1.18M","0.99%"
"04/20/2022","253.50","247.71","254.07","247.64","1.01M","2.66%"
"04/19/2022","246.92","245.84","248.54","245.56","592.66K","1.18%"
"04/18/2022","244.05","246.54","248.49","242.50","754.90K","-1.04%"
"04/14/2022","246.61","248.58","249.48","246.17","618.90K","-0.41%"
"04/13/2022","247.62","246.47","248.28","245.39","564.58K","0.46%"
"04/12/2022","246.48","246.06","248.23","244.51","649.68K","0.09%"
"04/11/2022","246.25","250.00","250.61","244.76","1.20M","-1.35%"
"04/08/2022","249.61","249.00","250.63","247.32","726.55K","0.11%"
"04/07/2022","249.34","247.60","250.44","246.03","1.98M","-2.20%"
"04/06/2022","254.95","249.41","255.04","246.57","596.46K","2.21%"
"04/05/2022","249.44","250.32","254.36","248.22","665.71K","-0.63%"
"04/04/2022","251.01","254.03","255.51","248.84","431.87K","-1.35%"
"04/01/2022","254.44","249.44","254.52","249.02","460.35K","2.44%"
"03/31/2022","248.37","252.42","253.73","248.17","943.04K","-1.42%"
"03/30/2022","251.95","255.71","255.71","249.94","566.69K","-2.44%"
"03/29/2022","258.26","252.47","259.05","252.47","1.09M","3.31%"
"03/28/2022","249.99","247.91","250.26","246.21","457.41K","1.11%"
"03/25/2022","247.24","244.59","247.39","243.61","550.00K","1.66%"
"03/24/2022","243.20","240.68","243.35","240.50","390.73K","0.73%"
"03/23/2022","241.44","243.26","243.26","240.41","433.82K","-0.67%"
"03/22/2022","243.07","246.01","246.88","241.63","566.32K","-0.72%"
"03/21/2022","244.83","246.16","247.46","243.10","468.56K","-0.22%"
"03/18/2022","245.38","248.00","248.00","243.98","1.08M","-0.24%"
"03/17/2022","245.97","241.44","245.97","241.27","554.29K","1.22%"
"03/16/2022","243.01","241.51","244.81","237.85","601.43K","1.16%"
"03/15/2022","240.22","241.59","242.07","237.22","533.79K","0.38%"
"03/14/2022","239.32","242.00","243.67","238.28","406.62K","-0.75%"
"03/11/2022","241.12","245.79","246.98","240.64","449.98K","-1.19%"
"03/10/2022","244.02","241.95","244.55","240.58","467.72K","-0.18%"
"03/09/2022","244.46","244.25","246.64","242.66","523.75K","1.88%"
"03/08/2022","239.95","244.72","244.72","238.90","605.95K","-1.89%"
"03/07/2022","244.58","247.42","249.88","244.53","670.71K","-1.12%"
"03/04/2022","247.34","240.54","247.37","240.54","803.65K","1.74%"
"03/03/2022","243.10","242.06","243.81","239.79","716.18K","1.01%"
"03/02/2022","240.68","236.08","242.03","234.26","818.39K","2.78%"
"03/01/2022","234.18","239.02","239.77","232.70","778.32K","-1.85%"
"02/28/2022","238.59","240.07","242.85","235.50","893.04K","-2.24%"
"02/25/2022","244.05","237.81","244.21","236.52","685.35K","3.25%"
"02/24/2022","236.37","230.79","237.39","229.00","663.22K","0.85%"
"02/23/2022","234.38","236.59","239.65","234.15","709.98K","-0.79%"
"02/22/2022","236.25","235.00","237.72","233.80","610.24K","0.49%"
"02/18/2022","235.09","237.00","238.66","234.84","1.15M","-0.44%"
"02/17/2022","236.14","238.27","239.32","235.24","455.39K","-1.56%"
"02/16/2022","239.87","240.50","240.63","236.77","518.97K","-0.04%"
"02/15/2022","239.96","239.60","241.49","238.67","562.77K","0.76%"
"02/14/2022","238.15","241.02","242.55","236.81","538.83K","-1.05%"
"02/11/2022","240.67","243.35","243.93","238.58","712.22K","-0.55%"
"02/10/2022","242.00","245.89","248.72","240.31","881.03K","-2.71%"
"02/09/2022","248.75","242.54","249.43","242.54","710.65K","3.43%"
"02/08/2022","240.49","245.65","245.72","239.73","750.07K","-1.59%"
"02/07/2022","244.37","246.96","249.51","244.06","597.35K","-1.18%"
"02/04/2022","247.30","248.79","250.81","245.04","641.67K","-1.16%"
"02/03/2022","250.21","248.66","253.09","245.21","696.12K","-0.56%"
"02/02/2022","251.63","244.53","252.76","243.95","983.98K","2.92%"
"02/01/2022","244.48","244.22","245.51","241.93","590.58K","0.10%"
"01/31/2022","244.23","242.34","244.89","240.25","1.19M","0.36%"
"01/28/2022","243.36","237.26","243.77","234.01","853.69K","2.59%"
"01/27/2022","237.21","242.51","244.21","237.15","971.39K","-1.37%"
"01/26/2022","240.50","241.51","246.69","238.63","699.81K","-0.41%"
"01/25/2022","241.50","237.57","242.38","233.94","1.13M","0.46%"
"01/24/2022","240.39","240.00","241.46","232.56","805.75K","-0.67%"
"01/21/2022","242.00","244.94","245.91","240.61","671.87K","-0.56%"
"01/20/2022","243.37","245.95","248.60","242.94","830.35K","-1.06%"
"01/19/2022","245.97","248.94","250.05","245.74","715.34K","-0.81%"
"01/18/2022","247.98","249.38","249.40","244.31","810.45K","-0.28%"
"01/14/2022","248.68","250.81","250.81","245.89","637.32K","-0.95%"
"01/13/2022","251.07","250.93","253.00","250.48","426.32K","0.14%"
"01/12/2022","250.72","249.26","251.33","248.71","455.06K","0.61%"
"01/11/2022","249.21","248.86","250.12","245.29","504.19K","0.23%"
"01/10/2022","248.64","248.50","250.15","246.39","734.12K","-0.09%"
"01/07/2022","248.87","250.70","251.28","248.61","612.66K","-1.21%"
"01/06/2022","251.93","251.99","253.74","250.08","623.19K","0.31%"
"01/05/2022","251.15","254.57","255.36","250.51","826.75K","-1.56%"
"01/04/2022","255.12","253.07","257.52","253.07","651.43K","0.99%"
"01/03/2022","252.62","255.91","255.91","248.72","626.25K","0.01%"
"12/31/2021","252.59","251.42","254.61","251.42","452.42K","0.53%"
"12/30/2021","251.26","251.00","252.58","249.87","563.99K","-0.51%"
"12/29/2021","252.55","251.14","253.45","248.56","393.84K","0.85%"
"12/28/2021","250.41","249.12","251.42","248.91","384.53K","0.28%"
"12/27/2021","249.70","246.63","249.89","245.09","396.85K","1.60%"
"12/23/2021","245.77","247.51","248.26","244.63","404.50K","-0.57%"
"12/22/2021","247.18","244.92","247.91","244.87","319.92K","0.82%"
"12/21/2021","245.17","242.89","247.22","242.55","557.25K","1.50%"
"12/20/2021","241.55","242.40","244.70","240.06","807.23K","-1.22%"
"12/17/2021","244.53","246.00","248.49","243.93","1.55M","-0.56%"
"12/16/2021","245.91","249.05","250.23","244.18","1.09M","-1.20%"
"12/15/2021","248.90","245.27","249.79","244.82","894.07K","1.91%"
"12/14/2021","244.24","247.92","248.42","242.36","700.41K","-1.54%"
"12/13/2021","248.07","244.82","249.38","243.31","606.26K","1.31%"
