"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","581.63","572.00","584.79","569.78","2.34M","1.90%"
"01/20/2023","570.78","563.03","571.36","559.11","2.30M","1.34%"
"01/19/2023","563.22","569.12","570.06","560.31","2.27M","-1.93%"
"01/18/2023","574.29","583.21","587.56","573.72","1.57M","-0.85%"
"01/17/2023","579.24","574.90","585.36","574.54","1.57M","0.04%"
"01/13/2023","579.00","577.15","581.93","576.67","1.96M","-0.51%"
"01/12/2023","581.94","575.59","585.11","573.76","1.95M","0.66%"
"01/11/2023","578.14","573.00","578.34","566.87","2.25M","0.56%"
"01/10/2023","574.93","572.00","575.13","549.99","4.35M","-0.34%"
"01/09/2023","576.89","592.30","601.67","560.56","3.75M","-1.96%"
"01/06/2023","588.43","563.12","591.00","562.30","3.53M","6.02%"
"01/05/2023","555.02","555.71","559.84","551.12","1.63M","-0.93%"
"01/04/2023","560.24","562.99","568.16","556.03","1.70M","1.22%"
"01/03/2023","553.48","565.00","567.57","550.79","2.02M","-1.01%"
"12/30/2022","559.13","551.82","559.65","548.01","1.44M","0.24%"
"12/29/2022","557.81","551.85","562.60","550.50","1.82M","2.37%"
"12/28/2022","544.89","551.64","557.77","542.45","1.53M","-1.56%"
"12/27/2022","553.54","551.55","558.10","546.94","1.67M","0.20%"
"12/23/2022","552.43","550.00","553.62","547.45","1.38M","-0.12%"
"12/22/2022","553.09","553.35","554.94","547.20","2.71M","-1.45%"
"12/21/2022","561.23","547.67","561.91","546.95","2.55M","3.16%"
"12/20/2022","544.02","545.17","549.00","540.91","2.95M","-1.02%"
"12/19/2022","549.63","554.02","556.48","545.72","2.51M","-1.13%"
"12/16/2022","555.91","557.45","559.80","550.87","4.95M","-0.37%"
"12/15/2022","558.00","563.78","566.49","557.70","3.52M","-2.86%"
"12/14/2022","574.44","568.55","585.65","567.73","3.52M","0.60%"
"12/13/2022","571.04","575.82","581.84","565.03","4.04M","2.59%"
"12/12/2022","556.63","544.75","556.87","542.24","2.30M","2.19%"
"12/09/2022","544.72","550.94","552.64","541.00","3.70M","2.57%"
"12/08/2022","531.08","520.81","532.42","520.38","2.71M","2.43%"
"12/07/2022","518.50","519.60","525.00","516.05","1.64M","-1.39%"
"12/06/2022","525.82","530.65","533.57","521.75","1.95M","-0.91%"
"12/05/2022","530.64","537.77","539.48","525.48","1.83M","-1.88%"
"12/02/2022","540.80","537.05","542.70","536.08","1.93M","-1.81%"
"12/01/2022","550.75","551.03","552.42","541.96","2.30M","-0.05%"
"11/30/2022","551.03","524.11","551.66","517.83","4.73M","5.68%"
"11/29/2022","521.39","523.00","525.85","514.83","1.27M","-0.16%"
"11/28/2022","522.21","525.24","528.76","516.24","2.35M","-1.45%"
"11/25/2022","529.91","530.69","534.58","529.48","745.54K","-0.70%"
"11/23/2022","533.64","530.35","541.48","528.80","1.40M","0.68%"
"11/22/2022","530.05","522.97","530.28","519.01","1.89M","2.44%"
"11/21/2022","517.44","512.94","520.85","511.11","1.86M","0.44%"
"11/18/2022","515.16","516.87","517.73","511.00","1.45M","0.60%"
"11/17/2022","512.11","505.00","512.74","503.14","2.04M","0.07%"
"11/16/2022","511.73","516.72","518.54","510.28","2.54M","-2.42%"
"11/15/2022","524.42","529.96","532.57","515.91","2.33M","2.18%"
"11/14/2022","513.22","515.39","525.02","513.00","2.16M","-0.94%"
"11/11/2022","518.09","504.80","519.00","502.00","2.67M","2.27%"
"11/10/2022","506.57","491.00","507.17","487.19","3.40M","7.90%"
"11/09/2022","469.47","478.50","479.00","469.03","2.37M","-2.62%"
"11/08/2022","482.11","481.24","488.80","473.50","2.07M","1.45%"
"11/07/2022","475.22","466.77","477.74","461.57","1.77M","2.13%"
"11/04/2022","465.30","456.86","468.89","453.28","2.89M","4.77%"
"11/03/2022","444.12","450.94","452.86","441.36","2.39M","-2.61%"
"11/02/2022","456.03","470.28","480.45","455.72","2.11M","-2.54%"
"11/01/2022","467.90","475.80","476.83","463.17","1.63M","-0.47%"
"10/31/2022","470.12","466.85","472.81","465.01","1.93M","-0.59%"
"10/28/2022","472.90","456.96","474.34","455.64","2.31M","3.84%"
"10/27/2022","455.40","466.05","470.77","454.91","1.85M","-1.25%"
"10/26/2022","461.18","457.99","471.76","455.34","2.93M","0.24%"
"10/25/2022","460.07","457.99","464.26","456.83","1.82M","0.78%"
"10/24/2022","456.52","452.73","458.79","451.11","2.53M","1.51%"
"10/21/2022","449.73","432.09","450.66","429.17","2.70M","4.52%"
"10/20/2022","430.30","435.13","442.19","428.14","2.34M","-1.15%"
"10/19/2022","435.30","433.23","438.30","430.88","1.27M","0.11%"
"10/18/2022","434.83","448.21","448.55","430.16","2.03M","-0.12%"
"10/17/2022","435.37","439.55","441.24","433.39","2.41M","1.94%"
"10/14/2022","427.10","443.28","443.96","426.41","2.28M","-2.48%"
"10/13/2022","437.97","417.42","443.77","415.07","2.80M","1.72%"
"10/12/2022","430.57","432.25","435.72","428.01","1.50M","-0.04%"
"10/11/2022","430.76","435.20","438.70","425.58","2.80M","-1.59%"
"10/10/2022","437.70","460.00","460.10","431.84","3.35M","-4.95%"
"10/07/2022","460.48","472.38","473.34","459.02","2.84M","-3.97%"
"10/06/2022","479.50","483.79","489.70","478.71","1.73M","-1.09%"
"10/05/2022","484.80","472.55","488.09","471.46","1.85M","1.03%"
"10/04/2022","479.86","468.50","480.16","465.86","2.73M","5.05%"
"10/03/2022","456.78","449.24","460.95","446.96","2.15M","2.88%"
"09/30/2022","444.01","449.06","457.82","443.64","2.72M","-1.36%"
"09/29/2022","450.13","460.90","461.37","444.88","4.00M","-3.40%"
"09/28/2022","465.96","461.34","468.75","456.35","2.76M","0.26%"
"09/27/2022","464.75","469.55","469.89","456.51","1.79M","0.54%"
"09/26/2022","462.26","468.98","473.30","461.31","1.94M","-1.37%"
"09/23/2022","468.68","474.95","477.99","462.00","2.96M","-1.87%"
"09/22/2022","477.61","482.43","483.21","473.00","2.35M","-0.94%"
"09/21/2022","482.14","490.99","499.88","481.77","2.07M","-2.21%"
"09/20/2022","493.06","496.00","498.83","489.72","1.71M","-1.75%"
"09/19/2022","501.84","494.42","503.39","494.42","1.79M","-0.13%"
"09/16/2022","502.50","497.72","503.69","489.86","5.90M","0.47%"
"09/15/2022","500.14","508.93","511.56","497.28","3.66M","-2.08%"
"09/14/2022","510.75","507.13","513.00","502.77","2.06M","1.41%"
"09/13/2022","503.65","513.84","518.27","501.68","3.51M","-4.80%"
"09/12/2022","529.06","526.75","531.26","524.56","1.82M","1.27%"
"09/09/2022","522.40","515.44","525.97","515.44","2.30M","2.05%"
"09/08/2022","511.93","502.60","512.74","498.70","2.25M","1.35%"
"09/07/2022","505.13","502.91","509.43","499.08","2.04M","1.39%"
"09/06/2022","498.20","498.53","504.00","490.37","2.47M","-0.40%"
"09/02/2022","500.22","518.00","519.81","498.30","4.04M","1.67%"
"09/01/2022","492.01","491.47","493.29","480.84","3.19M","-1.42%"
"08/31/2022","499.11","510.16","510.16","496.54","3.24M","-1.44%"
"08/30/2022","506.39","516.84","517.91","501.39","1.83M","-1.52%"
"08/29/2022","514.18","520.00","522.74","512.00","1.66M","-1.28%"
"08/26/2022","520.86","548.84","550.99","520.00","2.57M","-5.32%"
"08/25/2022","550.13","533.45","550.48","532.26","1.73M","3.63%"
"08/24/2022","530.84","529.56","531.30","523.44","1.19M","0.20%"
"08/23/2022","529.78","533.85","537.62","528.91","900.32K","0.19%"
"08/22/2022","528.75","542.57","543.09","527.05","1.86M","-3.59%"
"08/19/2022","548.43","550.86","555.58","547.87","1.69M","-1.79%"
"08/18/2022","558.45","543.41","560.56","541.63","2.35M","3.69%"
"08/17/2022","538.59","544.37","544.71","531.04","1.90M","-2.37%"
"08/16/2022","551.65","557.52","557.94","546.01","1.48M","-1.31%"
"08/15/2022","558.96","554.23","559.78","550.50","1.43M","0.13%"
"08/12/2022","558.23","547.81","558.41","545.65","1.84M","2.35%"
"08/11/2022","545.43","553.95","557.77","544.25","1.43M","-0.90%"
"08/10/2022","550.41","546.06","551.02","539.24","1.95M","3.31%"
"08/09/2022","532.80","539.09","539.35","527.75","2.01M","-2.33%"
"08/08/2022","545.53","549.35","552.99","538.74","1.37M","-1.07%"
"08/05/2022","551.44","544.90","552.00","543.28","1.44M","-0.25%"
"08/04/2022","552.80","548.41","553.15","545.01","1.63M","1.11%"
"08/03/2022","546.74","535.29","548.00","534.12","1.92M","2.92%"
"08/02/2022","531.21","533.22","539.20","527.23","1.31M","-0.96%"
"08/01/2022","536.37","531.43","539.79","530.44","1.15M","0.17%"
"07/29/2022","535.48","531.98","537.83","530.27","1.85M","0.35%"
"07/28/2022","533.61","528.59","536.52","520.58","1.49M","1.10%"
"07/27/2022","527.79","518.20","530.19","516.93","2.55M","3.27%"
"07/26/2022","511.09","514.63","516.81","508.92","1.80M","-0.39%"
"07/25/2022","513.11","510.46","513.32","506.53","1.51M","0.12%"
"07/22/2022","512.52","518.81","519.79","506.68","1.79M","-1.00%"
"07/21/2022","517.68","512.55","517.81","506.02","1.39M","1.15%"
"07/20/2022","511.77","509.54","517.61","504.47","2.74M","0.54%"
"07/19/2022","509.00","496.80","511.35","495.89","2.73M","3.65%"
"07/18/2022","491.06","500.16","502.41","488.19","1.80M","-0.69%"
"07/15/2022","494.46","490.83","494.74","486.13","1.87M","2.03%"
"07/14/2022","484.64","482.45","486.68","473.43","2.00M","0.60%"
"07/13/2022","481.73","474.98","485.64","472.29","1.77M","0.07%"
"07/12/2022","481.37","487.82","492.60","480.07","2.12M","-0.31%"
"07/11/2022","482.86","489.49","491.62","480.98","2.15M","-3.17%"
"07/08/2022","498.69","492.99","499.63","490.00","1.27M","0.03%"
"07/07/2022","498.54","488.11","501.39","488.11","2.13M","3.30%"
"07/06/2022","482.61","480.53","487.05","475.50","2.30M","1.32%"
"07/05/2022","476.30","472.00","476.93","463.91","2.07M","-0.32%"
"07/01/2022","477.84","479.41","484.27","469.43","2.13M","-1.64%"
"06/30/2022","485.81","488.03","493.74","480.71","1.89M","-0.94%"
"06/29/2022","490.41","495.48","495.93","486.67","1.44M","-1.61%"
"06/28/2022","498.45","512.61","514.15","498.11","1.57M","-1.44%"
"06/27/2022","505.71","513.80","514.03","502.82","1.32M","-0.66%"
"06/24/2022","509.09","505.00","511.80","501.45","2.12M","2.52%"
"06/23/2022","496.58","501.75","501.75","491.01","1.67M","0.10%"
"06/22/2022","496.10","496.31","503.77","494.20","2.47M","-1.52%"
"06/21/2022","503.77","504.08","510.91","502.89","2.19M","1.03%"
"06/17/2022","498.65","495.00","500.36","487.87","4.35M","0.30%"
"06/16/2022","497.18","511.95","514.43","492.27","3.72M","-5.61%"
"06/15/2022","526.71","529.15","533.83","515.52","1.91M","1.26%"
"06/14/2022","520.17","524.97","524.97","514.59","2.44M","0.49%"
"06/13/2022","517.62","526.78","533.00","516.02","3.16M","-4.37%"
"06/10/2022","541.27","550.09","551.04","539.72","2.40M","-2.69%"
"06/09/2022","556.22","561.16","573.64","555.93","1.88M","-1.62%"
"06/08/2022","565.36","571.82","576.27","562.14","2.40M","-1.33%"
"06/07/2022","572.99","560.54","574.54","557.53","1.59M","2.10%"
"06/06/2022","561.23","571.52","572.72","557.54","1.46M","-0.37%"
"06/03/2022","563.32","568.87","569.60","560.98","2.06M","-2.33%"
"06/02/2022","576.74","577.75","577.77","568.13","2.95M","0.54%"
"06/01/2022","573.62","587.58","590.94","568.43","1.83M","-1.12%"
"05/31/2022","580.13","584.50","587.03","576.00","3.00M","-0.54%"
"05/27/2022","583.28","562.09","585.46","560.01","3.73M","5.92%"
"05/26/2022","550.66","531.54","554.57","527.72","3.97M","3.58%"
"05/25/2022","531.63","523.90","537.45","523.90","1.78M","1.42%"
"05/24/2022","524.20","526.66","528.87","516.19","2.51M","-0.41%"
"05/23/2022","526.36","524.00","535.57","514.26","5.86M","-3.10%"
"05/20/2022","543.19","553.90","554.99","512.44","4.03M","-0.55%"
"05/19/2022","546.21","558.00","560.75","538.96","3.49M","-4.27%"
"05/18/2022","570.57","600.00","600.72","566.18","3.50M","-6.18%"
"05/17/2022","608.15","595.45","609.00","593.61","2.47M","4.37%"
"05/16/2022","582.67","584.38","589.14","577.65","1.42M","-0.95%"
"05/13/2022","588.24","577.05","591.59","573.50","1.95M","2.92%"
"05/12/2022","571.57","563.40","573.61","558.26","2.55M","0.79%"
"05/11/2022","567.11","574.58","584.69","565.86","2.67M","-2.46%"
"05/10/2022","581.39","580.49","591.15","571.80","2.93M","3.28%"
"05/09/2022","562.92","572.88","578.00","560.27","3.01M","-2.96%"
"05/06/2022","580.10","574.94","589.98","569.43","2.07M","0.02%"
"05/05/2022","579.99","594.23","597.86","574.28","3.28M","-3.92%"
"05/04/2022","603.66","581.79","604.07","573.98","2.39M","3.87%"
"05/03/2022","581.17","576.01","586.75","571.77","1.71M","0.84%"
"05/02/2022","576.35","557.14","577.64","556.38","2.67M","3.96%"
"04/29/2022","554.39","572.62","578.28","553.40","2.61M","-4.24%"
"04/28/2022","578.94","565.94","585.02","557.97","2.23M","3.47%"
"04/27/2022","559.54","555.79","570.08","555.00","1.93M","-0.09%"
"04/26/2022","560.07","583.80","585.46","559.71","3.58M","-4.73%"
"04/25/2022","587.88","581.49","588.76","571.12","2.70M","0.16%"
"04/22/2022","586.95","590.11","598.74","586.26","2.11M","-0.98%"
"04/21/2022","592.73","605.54","615.87","590.66","2.04M","-0.83%"
"04/20/2022","597.72","604.20","613.43","595.13","1.39M","0.02%"
"04/19/2022","597.62","579.36","598.70","579.36","1.66M","1.90%"
"04/18/2022","586.50","572.85","591.22","572.85","2.14M","2.20%"
"04/14/2022","573.85","594.99","597.06","572.86","2.74M","-3.15%"
"04/13/2022","592.54","588.50","596.71","586.05","2.03M","1.28%"
"04/12/2022","585.07","589.11","598.59","582.17","1.73M","0.77%"
"04/11/2022","580.61","582.58","589.28","579.43","2.35M","-1.09%"
"04/08/2022","587.00","597.38","598.59","585.97","2.05M","-2.66%"
"04/07/2022","603.05","599.83","607.64","593.24","1.66M","0.17%"
"04/06/2022","602.00","602.08","611.59","593.77","2.37M","-1.97%"
"04/05/2022","614.12","629.55","632.26","613.00","1.98M","-3.27%"
"04/04/2022","634.85","626.42","636.72","624.52","1.65M","1.26%"
"04/01/2022","626.98","631.69","634.57","618.69","1.63M","-0.43%"
"03/31/2022","629.68","630.48","639.00","628.05","2.17M","-0.22%"
"03/30/2022","631.09","638.87","644.29","627.33","1.86M","-1.62%"
"03/29/2022","641.47","640.00","645.31","630.00","2.30M","1.36%"
"03/28/2022","632.88","625.88","633.30","615.78","1.44M","0.64%"
"03/25/2022","628.87","627.08","630.41","620.07","1.45M","0.39%"
"03/24/2022","626.43","606.63","627.22","602.00","2.60M","4.51%"
"03/23/2022","599.38","608.00","611.37","599.16","1.38M","-1.96%"
