"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","191.90","190.90","192.70","189.37","416.19K","0.74%"
"01/20/2023","190.49","186.84","190.55","186.37","452.59K","2.34%"
"01/19/2023","186.14","187.94","189.19","184.16","400.00K","-1.66%"
"01/18/2023","189.28","193.90","195.04","189.07","529.86K","-2.19%"
"01/17/2023","193.51","195.41","195.46","192.88","494.48K","-0.94%"
"01/13/2023","195.34","191.49","195.95","190.83","301.30K","1.22%"
"01/12/2023","192.98","193.53","193.89","190.79","329.37K","0.20%"
"01/11/2023","192.59","189.96","193.15","189.70","354.26K","1.51%"
"01/10/2023","189.73","188.34","190.35","187.38","260.21K","0.13%"
"01/09/2023","189.48","188.74","192.00","187.98","261.72K","0.62%"
"01/06/2023","188.31","184.90","188.53","184.25","250.33K","2.83%"
"01/05/2023","183.12","184.17","184.83","181.29","629.29K","-1.96%"
"01/04/2023","186.79","185.86","186.91","184.39","487.11K","1.95%"
"01/03/2023","183.21","182.00","183.72","180.84","392.03K","1.22%"
"12/30/2022","181.00","179.95","181.21","179.20","246.40K","-0.23%"
"12/29/2022","181.42","180.60","182.48","180.28","660.13K","1.31%"
"12/28/2022","179.08","182.93","183.80","179.01","246.10K","-1.81%"
"12/27/2022","182.38","181.24","183.24","179.83","236.31K","0.70%"
"12/23/2022","181.11","178.51","181.85","177.62","283.44K","1.29%"
"12/22/2022","178.81","179.43","180.73","176.09","306.80K","-1.17%"
"12/21/2022","180.93","179.63","181.93","178.81","310.68K","1.44%"
"12/20/2022","178.36","176.59","179.48","175.78","433.30K","1.07%"
"12/19/2022","176.48","179.52","180.42","175.46","388.97K","-1.57%"
"12/16/2022","179.29","179.92","181.36","178.36","797.39K","-1.12%"
"12/15/2022","181.32","180.75","181.78","178.64","537.89K","-0.29%"
"12/14/2022","181.85","185.31","186.73","180.60","397.02K","-1.94%"
"12/13/2022","185.44","186.20","186.20","182.49","532.75K","3.31%"
"12/12/2022","179.50","177.92","179.50","176.02","509.77K","1.00%"
"12/09/2022","177.73","177.95","181.38","177.21","646.89K","-0.83%"
"12/08/2022","179.22","192.85","193.07","177.31","1.34M","-6.54%"
"12/07/2022","191.76","191.21","193.95","190.95","462.94K","0.41%"
"12/06/2022","190.98","190.65","192.32","188.09","510.01K","-0.20%"
"12/05/2022","191.36","190.33","192.09","187.53","611.68K","-0.64%"
"12/02/2022","192.60","190.60","193.75","190.17","376.23K","-0.30%"
"12/01/2022","193.17","194.61","195.51","191.90","391.67K","-0.08%"
"11/30/2022","193.33","187.94","193.62","185.50","600.41K","2.61%"
"11/29/2022","188.42","187.27","189.62","186.66","351.13K","0.37%"
"11/28/2022","187.73","190.98","192.45","187.24","349.92K","-2.41%"
"11/25/2022","192.36","193.80","193.80","191.05","186.95K","-0.34%"
"11/23/2022","193.01","191.41","193.80","191.28","793.65K","0.89%"
"11/22/2022","191.30","190.00","191.54","188.60","500.80K","1.12%"
"11/21/2022","189.18","187.27","189.27","186.39","391.52K","0.51%"
"11/18/2022","188.22","188.46","189.25","186.00","612.13K","1.28%"
"11/17/2022","185.85","185.50","186.95","184.43","738.01K","-0.38%"
"11/16/2022","186.55","185.36","186.93","184.29","421.57K","0.69%"
"11/15/2022","185.28","183.75","186.09","182.23","510.60K","2.62%"
"11/14/2022","180.55","182.82","185.80","180.50","561.95K","-1.78%"
"11/11/2022","183.83","182.86","185.30","180.96","699.74K","0.64%"
"11/10/2022","182.67","177.29","182.96","176.57","694.31K","7.08%"
"11/09/2022","170.60","174.56","175.63","167.45","847.42K","-3.12%"
"11/08/2022","176.09","177.32","181.00","173.63","733.41K","-0.03%"
"11/07/2022","176.14","175.70","176.65","173.96","445.96K","0.91%"
"11/04/2022","174.56","170.96","175.86","170.66","621.00K","4.18%"
"11/03/2022","167.55","164.28","169.40","162.94","428.31K","1.24%"
"11/02/2022","165.50","168.55","171.61","164.91","542.17K","-1.94%"
"11/01/2022","168.78","171.70","171.70","166.83","436.24K","-0.45%"
"10/31/2022","169.55","171.64","172.90","169.39","483.95K","-1.21%"
"10/28/2022","171.63","168.79","172.56","167.17","565.33K","1.90%"
"10/27/2022","168.43","162.37","170.84","162.37","1.19M","3.18%"
"10/26/2022","163.24","175.24","177.62","162.70","1.45M","-7.78%"
"10/25/2022","177.01","173.00","177.74","171.77","622.21K","1.95%"
"10/24/2022","173.62","172.38","174.18","170.07","586.82K","1.51%"
"10/21/2022","171.04","169.02","171.56","168.56","476.16K","1.38%"
"10/20/2022","168.72","171.71","173.90","168.12","352.97K","-1.49%"
"10/19/2022","171.27","172.39","173.90","170.27","216.37K","-1.11%"
"10/18/2022","173.19","173.61","175.54","172.15","386.33K","2.18%"
"10/17/2022","169.50","169.30","170.64","168.52","346.05K","1.80%"
"10/14/2022","166.51","167.75","169.20","165.68","882.01K","0.10%"
"10/13/2022","166.34","159.09","167.53","157.28","447.26K","1.76%"
"10/12/2022","163.46","166.83","168.15","163.39","257.29K","-1.75%"
"10/11/2022","166.37","164.35","168.48","164.27","449.57K","0.60%"
"10/10/2022","165.38","166.95","167.34","163.79","330.54K","-0.09%"
"10/07/2022","165.53","168.14","168.86","164.39","311.56K","-2.69%"
"10/06/2022","170.10","171.52","172.44","168.99","301.62K","-1.02%"
"10/05/2022","171.85","170.95","173.18","169.40","449.35K","-1.12%"
"10/04/2022","173.79","170.92","175.35","170.92","587.62K","3.38%"
"10/03/2022","168.10","164.23","169.21","163.35","823.71K","3.32%"
"09/30/2022","162.70","164.02","165.90","162.24","519.41K","-0.55%"
"09/29/2022","163.60","164.49","164.49","161.43","412.35K","-1.84%"
"09/28/2022","166.66","164.24","167.43","162.15","549.42K","2.25%"
"09/27/2022","163.00","165.94","167.30","161.27","375.68K","-0.41%"
"09/26/2022","163.67","165.29","166.30","162.52","408.00K","-1.18%"
"09/23/2022","165.62","167.03","168.65","163.02","683.90K","-1.95%"
"09/22/2022","168.91","172.68","172.68","168.86","345.40K","-2.33%"
"09/21/2022","172.94","177.37","178.97","172.91","353.36K","-1.64%"
"09/20/2022","175.83","176.91","176.91","173.95","273.33K","-1.90%"
"09/19/2022","179.24","172.48","179.88","172.42","393.20K","3.39%"
"09/16/2022","173.37","175.29","175.37","170.21","957.32K","-3.34%"
"09/15/2022","179.36","179.99","183.29","178.98","631.67K","-0.46%"
"09/14/2022","180.19","184.28","185.08","178.33","524.12K","-2.43%"
"09/13/2022","184.67","187.47","188.63","184.30","376.45K","-3.84%"
"09/12/2022","192.05","191.81","193.50","191.43","513.53K","0.52%"
"09/09/2022","191.05","190.36","191.84","189.47","468.74K","1.06%"
"09/08/2022","189.05","186.90","189.58","186.04","286.85K","0.20%"
"09/07/2022","188.67","183.51","189.04","182.59","326.57K","2.80%"
"09/06/2022","183.53","186.12","186.88","183.05","323.65K","-1.05%"
"09/02/2022","185.48","187.00","189.22","184.70","432.58K","-0.02%"
"09/01/2022","185.51","183.03","186.01","181.86","402.17K","1.03%"
"08/31/2022","183.62","185.59","185.59","182.99","459.77K","-0.29%"
"08/30/2022","184.15","185.87","187.18","182.50","445.34K","-0.99%"
"08/29/2022","185.99","187.32","188.33","185.98","295.32K","-1.48%"
"08/26/2022","188.78","196.04","196.04","188.32","280.39K","-3.54%"
"08/25/2022","195.70","194.60","196.34","194.23","231.24K","1.02%"
"08/24/2022","193.72","193.71","195.11","192.58","213.13K","0.12%"
"08/23/2022","193.49","195.05","195.61","192.73","219.53K","-0.45%"
"08/22/2022","194.37","194.27","195.57","193.68","217.59K","-1.36%"
"08/19/2022","197.05","199.18","199.91","195.10","350.80K","-1.23%"
"08/18/2022","199.50","201.00","201.00","199.08","434.20K","-0.72%"
"08/17/2022","200.95","201.92","203.64","200.73","349.35K","-1.55%"
"08/16/2022","204.12","200.50","204.37","200.10","230.75K","1.46%"
"08/15/2022","201.18","200.85","202.63","200.63","285.65K","-0.64%"
"08/12/2022","202.47","199.89","202.63","198.99","296.84K","1.87%"
"08/11/2022","198.76","198.74","200.68","198.25","396.12K","0.73%"
"08/10/2022","197.31","197.88","200.04","196.71","382.10K","1.87%"
"08/09/2022","193.68","196.92","197.49","193.33","376.52K","-1.74%"
"08/08/2022","197.10","195.00","197.78","195.00","505.75K","1.97%"
"08/05/2022","193.29","191.73","193.90","191.24","377.09K","-0.12%"
"08/04/2022","193.53","192.93","194.29","192.02","381.10K","0.21%"
"08/03/2022","193.12","191.12","193.54","189.38","526.44K","1.39%"
"08/02/2022","190.47","189.42","192.87","188.23","710.82K","0.02%"
"08/01/2022","190.43","188.83","191.37","187.90","432.98K","-0.02%"
"07/29/2022","190.46","190.45","190.62","186.84","595.73K","0.70%"
"07/28/2022","189.14","185.68","189.22","185.37","498.31K","2.69%"
"07/27/2022","184.19","180.50","185.85","174.62","918.45K","7.24%"
"07/26/2022","171.76","173.65","173.66","170.65","706.25K","-1.73%"
"07/25/2022","174.78","175.43","175.43","173.28","346.44K","-0.30%"
"07/22/2022","175.30","176.21","177.12","173.91","332.75K","-0.41%"
"07/21/2022","176.03","173.25","176.18","172.96","339.58K","1.56%"
"07/20/2022","173.32","171.97","173.79","171.10","369.32K","0.97%"
"07/19/2022","171.65","167.61","171.96","167.20","437.29K","3.87%"
"07/18/2022","165.26","168.14","168.93","164.78","342.16K","-1.05%"
"07/15/2022","167.01","166.51","168.74","165.02","383.11K","1.82%"
"07/14/2022","164.03","160.31","164.20","159.63","295.06K","0.60%"
"07/13/2022","163.05","163.30","165.11","162.53","387.21K","-1.79%"
"07/12/2022","166.03","163.23","168.22","163.23","362.29K","1.39%"
"07/11/2022","163.75","163.59","166.22","163.05","513.03K","-0.73%"
"07/08/2022","164.95","166.85","167.24","164.94","372.35K","-1.32%"
"07/07/2022","167.16","166.56","168.02","163.78","390.86K","0.86%"
"07/06/2022","165.73","163.68","166.89","163.05","544.65K","1.61%"
"07/05/2022","163.11","162.03","163.19","160.05","502.39K","-0.81%"
"07/01/2022","164.44","161.53","165.16","160.44","499.51K","1.59%"
"06/30/2022","161.87","161.90","162.76","159.58","616.29K","-1.30%"
"06/29/2022","164.00","164.24","165.40","161.37","382.67K","-0.07%"
"06/28/2022","164.12","167.65","169.24","163.91","411.60K","-1.70%"
"06/27/2022","166.95","165.97","168.53","164.29","493.32K","0.97%"
