"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","151.54","149.91","151.65","148.16","756.55K","0.90%"
"01/19/2023","150.19","152.78","152.97","150.13","493.57K","-1.64%"
"01/18/2023","152.69","158.17","158.46","152.06","780.82K","-2.89%"
"01/17/2023","157.24","158.82","159.33","156.52","814.05K","-1.03%"
"01/13/2023","158.87","158.19","159.79","157.85","537.76K","-0.35%"
"01/12/2023","159.42","161.22","161.24","159.06","569.31K","-1.24%"
"01/11/2023","161.42","161.00","162.39","160.06","854.32K","0.40%"
"01/10/2023","160.77","158.13","161.11","157.47","715.51K","1.47%"
"01/09/2023","158.44","157.83","161.27","157.41","781.96K","0.11%"
"01/06/2023","158.26","155.18","159.08","155.18","541.25K","2.32%"
"01/05/2023","154.67","155.87","157.25","153.90","975.69K","-1.59%"
"01/04/2023","157.17","155.54","158.46","154.72","668.23K","1.99%"
"01/03/2023","154.10","153.77","155.01","151.73","640.78K","1.10%"
"12/30/2022","152.42","154.53","154.71","150.99","550.72K","-1.52%"
"12/29/2022","154.78","154.05","155.54","153.63","476.67K","1.08%"
"12/28/2022","153.12","154.68","155.54","152.59","579.25K","-0.75%"
"12/27/2022","154.28","152.68","154.90","151.94","392.75K","0.82%"
"12/23/2022","153.02","152.00","153.24","151.71","440.30K","0.72%"
"12/22/2022","151.93","151.70","152.40","149.09","527.41K","-0.39%"
"12/21/2022","152.53","150.69","152.89","150.34","595.71K","1.51%"
"12/20/2022","150.26","151.26","151.67","149.63","991.24K","-0.81%"
"12/19/2022","151.48","152.01","153.97","150.69","686.28K","-0.60%"
"12/16/2022","152.40","154.82","155.72","150.80","1.92M","-2.57%"
"12/15/2022","156.42","157.80","158.37","155.37","667.99K","-1.22%"
"12/14/2022","158.35","159.37","161.19","157.07","670.32K","-0.53%"
"12/13/2022","159.19","159.88","161.91","156.30","768.17K","1.40%"
"12/12/2022","156.99","157.61","157.67","155.11","994.21K","0.54%"
"12/09/2022","156.14","154.49","156.94","154.49","678.94K","0.47%"
"12/08/2022","155.41","153.60","155.46","153.12","557.05K","1.05%"
"12/07/2022","153.79","154.69","155.97","152.87","589.19K","-0.58%"
"12/06/2022","154.68","153.00","155.33","152.71","886.00K","0.98%"
"12/05/2022","153.18","152.31","153.69","151.79","587.23K","-0.36%"
"12/02/2022","153.74","152.33","154.55","151.57","584.49K","-0.18%"
"12/01/2022","154.01","153.50","155.53","152.35","810.00K","1.48%"
"11/30/2022","151.76","146.79","151.93","146.57","1.35M","3.14%"
"11/29/2022","147.14","148.72","148.88","146.34","513.40K","-1.74%"
"11/28/2022","149.75","151.42","151.82","149.28","704.83K","-2.06%"
