"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","151.60","147.96","151.78","147.72","3.95M","3.23%"
"01/19/2023","146.85","146.61","148.00","144.20","3.85M","-2.37%"
"01/18/2023","150.42","154.49","154.76","150.32","2.73M","-2.17%"
"01/17/2023","153.75","155.54","156.10","153.37","3.06M","-1.29%"
"01/13/2023","155.76","153.24","156.25","152.30","2.39M","0.54%"
"01/12/2023","154.92","154.76","155.75","152.40","3.31M","0.65%"
"01/11/2023","153.92","152.30","154.11","152.27","3.11M","1.26%"
"01/10/2023","152.00","150.51","152.18","149.28","2.19M","1.06%"
"01/09/2023","150.40","151.35","152.45","150.10","2.96M","0.15%"
"01/06/2023","150.17","147.74","150.43","145.48","3.08M","2.55%"
"01/05/2023","146.43","147.16","148.72","146.02","2.51M","-2.73%"
"01/04/2023","150.54","148.56","151.96","148.56","2.48M","2.32%"
"01/03/2023","147.12","149.54","150.45","145.73","2.75M","-0.43%"
"12/30/2022","147.75","146.01","147.93","145.73","2.25M","0.29%"
"12/29/2022","147.32","145.08","147.62","144.40","1.76M","2.30%"
"12/28/2022","144.01","146.21","146.82","143.94","1.48M","-1.63%"
"12/27/2022","146.39","147.29","147.86","145.67","1.86M","-0.43%"
"12/23/2022","147.02","145.23","147.14","144.52","1.67M","1.18%"
"12/22/2022","145.31","146.05","146.70","142.72","2.82M","-1.22%"
"12/21/2022","147.10","147.06","147.78","146.37","2.11M","0.96%"
"12/20/2022","145.70","144.99","146.50","144.25","1.61M","0.48%"
"12/19/2022","145.01","146.04","146.74","143.66","2.53M","-0.88%"
"12/16/2022","146.30","148.59","148.59","144.15","4.51M","-2.61%"
"12/15/2022","150.22","151.65","152.28","146.47","4.15M","-2.52%"
"12/14/2022","154.11","157.57","158.62","153.84","3.56M","-2.16%"
"12/13/2022","157.52","160.62","161.55","156.16","3.11M","0.13%"
"12/12/2022","157.31","154.26","157.76","154.00","2.46M","2.22%"
"12/09/2022","153.90","153.99","155.14","152.62","1.76M","-0.14%"
"12/08/2022","154.12","155.89","156.42","153.45","1.62M","-0.42%"
"12/07/2022","154.77","154.56","156.99","154.31","2.68M","0.05%"
"12/06/2022","154.70","155.75","158.34","153.32","3.29M","-0.88%"
"12/05/2022","156.08","155.96","159.45","155.55","3.00M","-0.43%"
"12/02/2022","156.75","155.22","157.28","155.00","2.29M","-0.48%"
"12/01/2022","157.50","157.72","158.87","154.75","2.67M","-0.06%"
