"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","2,318.96","2,342.42","2,342.42","2,309.95","143.09K","-0.33%"
"01/20/2023","2,326.61","2,329.99","2,333.99","2,300.00","146.46K","-0.04%"
"01/19/2023","2,327.54","2,338.79","2,352.41","2,327.00","113.51K","-0.74%"
"01/18/2023","2,344.93","2,355.88","2,360.99","2,340.01","125.44K","-0.46%"
"01/17/2023","2,355.88","2,366.06","2,384.34","2,332.08","152.37K","-0.55%"
"01/13/2023","2,368.88","2,335.97","2,395.24","2,325.02","122.83K","0.25%"
"01/12/2023","2,363.00","2,424.71","2,424.71","2,361.33","170.87K","-2.89%"
"01/11/2023","2,433.23","2,448.00","2,453.82","2,423.73","115.25K","-0.09%"
"01/10/2023","2,435.52","2,453.09","2,455.37","2,425.16","105.80K","-0.26%"
"01/09/2023","2,441.75","2,500.00","2,500.00","2,437.32","142.22K","-1.81%"
"01/06/2023","2,486.64","2,431.62","2,498.05","2,431.62","150.27K","2.90%"
"01/05/2023","2,416.57","2,425.27","2,450.00","2,413.57","155.25K","-1.18%"
"01/04/2023","2,445.46","2,429.67","2,454.37","2,421.01","122.08K","0.59%"
"01/03/2023","2,431.06","2,441.51","2,454.71","2,420.32","134.51K","-1.42%"
"12/30/2022","2,466.18","2,464.48","2,471.57","2,452.19","69.58K","0.07%"
"12/29/2022","2,464.38","2,470.49","2,489.60","2,452.79","74.78K","0.11%"
"12/28/2022","2,461.63","2,450.00","2,481.01","2,450.00","100.26K","0.30%"
"12/27/2022","2,454.32","2,434.61","2,465.39","2,429.78","83.88K","0.97%"
"12/23/2022","2,430.65","2,393.90","2,440.60","2,393.90","66.22K","1.11%"
"12/22/2022","2,403.86","2,416.27","2,416.27","2,377.02","119.58K","-1.10%"
"12/21/2022","2,430.48","2,392.00","2,434.36","2,364.92","137.75K","1.94%"
"12/20/2022","2,384.15","2,377.98","2,400.00","2,368.46","112.57K","0.21%"
"12/19/2022","2,379.17","2,394.58","2,406.06","2,369.88","157.15K","-0.05%"
"12/16/2022","2,380.45","2,342.40","2,389.90","2,337.74","326.60K","0.93%"
"12/15/2022","2,358.50","2,343.82","2,372.34","2,333.29","212.90K","-0.08%"
"12/14/2022","2,360.47","2,388.78","2,402.62","2,354.90","159.77K","-1.38%"
"12/13/2022","2,393.46","2,485.82","2,492.18","2,389.47","178.13K","-2.39%"
"12/12/2022","2,451.95","2,475.24","2,475.77","2,435.07","121.77K","-0.12%"
"12/09/2022","2,454.99","2,480.00","2,491.80","2,449.31","124.67K","-1.36%"
"12/08/2022","2,488.90","2,454.33","2,497.80","2,454.33","131.98K","1.37%"
"12/07/2022","2,455.26","2,460.00","2,487.00","2,442.01","162.94K","-0.07%"
"12/06/2022","2,456.92","2,441.00","2,499.50","2,386.75","401.26K","-2.77%"
"12/05/2022","2,526.92","2,550.00","2,566.69","2,522.00","197.77K","-1.74%"
"12/02/2022","2,571.59","2,541.51","2,579.69","2,539.36","152.67K","0.73%"
"12/01/2022","2,552.97","2,609.29","2,610.05","2,539.28","126.08K","-1.01%"
"11/30/2022","2,579.00","2,559.13","2,587.60","2,536.14","183.51K","0.90%"
"11/29/2022","2,556.05","2,550.00","2,570.00","2,520.77","124.11K","0.40%"
"11/28/2022","2,545.98","2,558.67","2,572.45","2,537.89","132.72K","-0.63%"
"11/25/2022","2,562.12","2,535.60","2,575.28","2,526.77","60.80K","1.81%"
"11/23/2022","2,516.58","2,527.99","2,538.54","2,512.39","95.15K","-0.48%"
"11/22/2022","2,528.81","2,519.80","2,537.12","2,507.00","79.16K","1.11%"
"11/21/2022","2,501.00","2,477.75","2,510.97","2,460.88","100.58K","1.63%"
"11/18/2022","2,460.84","2,434.48","2,462.32","2,421.12","98.52K","1.65%"
"11/17/2022","2,420.82","2,432.19","2,449.25","2,404.81","120.81K","-1.21%"
"11/16/2022","2,450.51","2,382.88","2,480.15","2,382.88","161.91K","1.03%"
"11/15/2022","2,425.60","2,456.69","2,459.21","2,393.12","156.76K","-0.87%"
"11/14/2022","2,446.88","2,416.77","2,479.27","2,400.72","142.72K","1.57%"
"11/11/2022","2,408.99","2,461.49","2,461.49","2,342.04","201.28K","-2.38%"
"11/10/2022","2,467.66","2,506.34","2,511.58","2,450.85","181.59K","0.11%"
"11/09/2022","2,464.89","2,496.30","2,507.04","2,464.03","108.50K","-1.23%"
"11/08/2022","2,495.60","2,503.70","2,525.19","2,469.63","101.64K","-0.38%"
"11/07/2022","2,505.01","2,460.52","2,524.20","2,454.35","89.80K","1.62%"
"11/04/2022","2,465.10","2,478.57","2,495.93","2,432.72","155.19K","-0.54%"
"11/03/2022","2,478.46","2,473.30","2,499.51","2,440.02","123.15K","-0.01%"
"11/02/2022","2,478.68","2,529.99","2,541.33","2,478.68","157.66K","-2.22%"
"11/01/2022","2,535.00","2,554.52","2,554.52","2,525.71","130.26K","0.08%"
"10/31/2022","2,532.88","2,525.97","2,560.01","2,525.55","188.74K","-0.42%"
"10/28/2022","2,543.50","2,524.12","2,554.67","2,495.52","209.96K","0.86%"
"10/27/2022","2,521.77","2,443.47","2,548.47","2,423.71","235.17K","4.05%"
"10/26/2022","2,423.68","2,434.89","2,450.00","2,401.21","125.00K","-0.66%"
"10/25/2022","2,439.89","2,416.57","2,463.24","2,379.33","222.31K","1.34%"
