"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","209.97","208.36","211.09","206.99","5.44M","1.55%"
"01/20/2023","206.76","207.47","207.99","204.78","5.48M","-0.16%"
"01/19/2023","207.09","206.77","209.67","204.82","5.76M","-1.11%"
"01/18/2023","209.41","212.90","213.42","209.20","5.39M","-0.95%"
"01/17/2023","211.41","212.71","213.34","209.07","5.99M","-1.27%"
"01/13/2023","214.13","212.00","216.64","211.58","6.21M","-0.09%"
"01/12/2023","214.32","209.58","214.92","207.37","8.19M","3.02%"
"01/11/2023","208.03","209.87","210.47","206.69","7.18M","0.65%"
"01/10/2023","206.69","203.90","209.60","203.46","8.15M","-0.90%"
"01/09/2023","208.57","212.36","213.88","207.91","8.96M","-2.08%"
"01/06/2023","213.00","205.30","213.04","203.55","11.26M","3.91%"
"01/05/2023","204.99","201.72","204.99","200.78","6.74M","0.66%"
"01/04/2023","203.64","195.18","203.76","195.18","9.65M","4.22%"
"01/03/2023","195.39","192.95","197.18","192.40","8.40M","2.57%"
"12/30/2022","190.49","187.50","190.65","187.04","4.01M","0.84%"
"12/29/2022","188.91","189.00","190.25","186.19","4.51M","0.28%"
"12/28/2022","188.38","189.32","191.32","187.43","4.41M","-0.54%"
"12/27/2022","189.40","189.58","192.44","187.62","4.90M","0.18%"
"12/23/2022","189.06","188.25","189.43","184.72","3.98M","0.43%"
"12/22/2022","188.25","193.82","194.17","185.67","6.91M","-3.95%"
"12/21/2022","196.00","190.04","196.40","189.72","9.13M","4.09%"
"12/20/2022","188.29","186.18","189.91","185.74","6.13M","1.41%"
"12/19/2022","185.68","184.92","188.04","184.71","6.59M","0.53%"
"12/16/2022","184.70","182.79","186.61","181.29","7.91M","0.53%"
"12/15/2022","183.72","186.25","187.98","181.28","5.30M","-2.41%"
"12/14/2022","188.25","187.33","189.67","185.41","5.81M","0.60%"
"12/13/2022","187.13","191.11","191.11","184.85","10.85M","0.46%"
"12/12/2022","186.27","180.80","186.69","180.50","7.96M","3.75%"
"12/09/2022","179.54","180.75","183.89","179.25","6.36M","0.26%"
"12/08/2022","179.08","179.32","184.88","178.61","6.63M","1.46%"
"12/07/2022","176.50","176.28","178.43","174.62","5.82M","-1.08%"
"12/06/2022","178.43","184.01","184.79","177.01","8.19M","-3.60%"
"12/05/2022","185.10","182.00","188.45","180.80","10.41M","1.22%"
"12/02/2022","182.87","173.12","183.45","172.85","10.56M","4.03%"
"12/01/2022","175.78","178.88","179.70","174.69","4.52M","-1.73%"
"11/30/2022","178.88","178.00","179.98","174.20","6.78M","2.03%"
"11/29/2022","175.32","172.88","175.95","172.56","5.08M","2.03%"
"11/28/2022","171.83","176.17","177.14","171.70","5.36M","-3.66%"
"11/25/2022","178.36","174.35","178.46","174.03","3.48M","2.01%"
"11/23/2022","174.85","172.09","175.00","171.77","3.52M","1.36%"
"11/22/2022","172.50","173.65","174.99","171.00","4.37M","-0.25%"
"11/21/2022","172.94","172.53","174.72","171.12","3.50M","-0.55%"
"11/18/2022","173.89","173.98","175.19","171.53","4.69M","0.64%"
"11/17/2022","172.78","169.30","173.15","168.52","4.88M","0.05%"
"11/16/2022","172.69","174.11","174.79","171.85","4.44M","-1.52%"
"11/15/2022","175.35","175.49","176.69","172.75","7.21M","1.04%"
"11/14/2022","173.55","176.50","178.19","173.50","5.60M","-2.22%"
"11/11/2022","177.49","176.40","178.03","172.99","8.89M","-0.05%"
"11/10/2022","177.58","172.14","179.32","171.75","12.37M","5.24%"
"11/09/2022","168.74","169.29","171.62","166.86","8.89M","-0.52%"
"11/08/2022","169.62","166.00","170.55","164.91","11.27M","2.86%"
"11/07/2022","164.91","161.40","166.70","160.63","10.22M","3.06%"
"11/04/2022","160.01","156.66","160.98","154.49","9.40M","2.08%"
"11/03/2022","156.75","148.79","158.69","147.50","16.21M","6.34%"
"11/02/2022","147.41","142.12","153.59","141.54","20.24M","2.81%"
"11/01/2022","143.38","143.99","145.25","141.84","5.76M","0.61%"
"10/31/2022","142.51","141.88","144.45","139.52","6.21M","-0.92%"
"10/28/2022","143.84","141.16","144.73","139.93","7.94M","2.92%"
"10/27/2022","139.76","137.10","143.10","136.62","13.75M","4.46%"
"10/26/2022","133.79","147.05","150.14","132.21","29.46M","-8.77%"
"10/25/2022","146.65","142.09","146.88","141.88","6.52M","3.24%"
"10/24/2022","142.05","142.85","142.88","139.28","5.18M","0.52%"
"10/21/2022","141.32","138.48","141.33","136.62","5.45M","1.57%"
"10/20/2022","139.13","138.36","141.88","138.36","4.33M","0.53%"
"10/19/2022","138.39","137.17","141.20","136.63","6.32M","0.76%"
"10/18/2022","137.34","139.00","139.42","135.22","6.15M","0.92%"
"10/17/2022","136.09","136.98","137.28","133.26","9.07M","2.21%"
"10/14/2022","133.15","135.59","136.41","131.37","6.10M","0.57%"
"10/13/2022","132.40","126.50","134.70","124.17","7.84M","1.52%"
"10/12/2022","130.42","128.43","131.34","127.86","6.39M","-0.87%"
"10/11/2022","131.57","132.96","135.36","129.51","8.51M","-0.25%"
"10/10/2022","131.90","131.42","135.74","130.20","6.83M","1.63%"
"10/07/2022","129.79","130.36","130.61","128.02","5.10M","-1.82%"
"10/06/2022","132.20","131.13","133.31","129.74","4.45M","0.07%"
"10/05/2022","132.11","130.28","133.55","128.26","6.27M","-1.05%"
"10/04/2022","133.51","129.40","133.57","129.33","7.24M","5.92%"
"10/03/2022","126.05","122.00","127.15","121.02","7.96M","4.10%"
"09/30/2022","121.08","123.14","125.47","120.99","8.38M","-3.39%"
"09/29/2022","125.33","131.20","131.61","123.80","8.91M","-6.08%"
"09/28/2022","133.44","128.04","133.89","127.40","10.26M","4.65%"
"09/27/2022","127.51","129.32","130.45","125.60","6.68M","0.13%"
