"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","90.32","90.01","91.33","89.51","1.43M","-1.20%"
"02/02/2023","91.42","90.79","93.32","90.39","2.89M","1.97%"
"02/01/2023","89.65","88.26","90.13","86.23","2.69M","1.05%"
"01/31/2023","88.72","86.91","88.73","86.65","2.79M","2.71%"
"01/30/2023","86.38","84.45","87.00","84.13","2.45M","1.41%"
"01/27/2023","85.18","83.58","85.48","83.12","1.99M","1.47%"
"01/26/2023","83.95","84.55","85.29","83.50","1.43M","-0.06%"
"01/25/2023","84.00","82.98","84.03","81.68","2.63M","0.44%"
"01/24/2023","83.63","83.96","84.97","83.49","2.05M","-0.72%"
"01/23/2023","84.24","83.28","84.72","82.64","2.25M","1.90%"
"01/20/2023","82.67","81.66","83.00","80.88","2.42M","1.41%"
"01/19/2023","81.52","82.36","83.00","80.79","1.88M","-1.74%"
"01/18/2023","82.96","85.19","86.44","82.85","2.17M","-1.73%"
"01/17/2023","84.42","85.17","85.50","84.08","2.09M","-1.59%"
"01/13/2023","85.78","84.98","86.51","84.98","1.74M","-0.72%"
"01/12/2023","86.40","86.35","86.70","84.83","2.58M","0.64%"
"01/11/2023","85.85","84.94","86.89","84.27","2.89M","1.87%"
"01/10/2023","84.27","82.65","84.28","82.33","1.55M","2.69%"
"01/09/2023","82.06","83.31","83.51","81.87","1.80M","-1.18%"
"01/06/2023","83.04","82.05","83.32","81.74","1.71M","1.88%"
"01/05/2023","81.51","81.06","81.66","80.05","2.09M","-0.52%"
"01/04/2023","81.94","81.45","82.96","80.83","1.94M","1.90%"
"01/03/2023","80.41","80.93","80.93","78.63","2.54M","0.25%"
"12/30/2022","80.21","80.48","80.80","79.40","1.40M","-1.27%"
"12/29/2022","81.24","80.85","81.64","80.05","1.61M","1.33%"
"12/28/2022","80.17","81.67","82.70","80.03","1.69M","-2.06%"
"12/27/2022","81.86","81.31","81.95","80.81","1.56M","0.63%"
"12/23/2022","81.35","80.46","81.45","79.64","1.42M","1.11%"
"12/22/2022","80.46","79.50","80.58","78.83","2.07M","-0.21%"
"12/21/2022","80.63","80.41","81.00","79.80","1.81M","1.75%"
"12/20/2022","79.24","78.74","79.78","78.30","2.32M","-0.70%"
"12/19/2022","79.80","79.95","80.99","79.35","2.30M","0.40%"
"12/16/2022","79.48","80.03","81.14","78.88","4.09M","-1.61%"
"12/15/2022","80.78","79.97","80.95","79.21","3.62M","-0.05%"
"12/14/2022","80.82","80.95","82.71","80.38","4.32M","-3.87%"
"12/13/2022","84.07","85.12","85.44","82.88","3.23M","1.94%"
"12/12/2022","82.47","81.17","82.73","80.67","2.75M","0.81%"
"12/09/2022","81.81","82.49","83.33","81.55","2.44M","-1.91%"
"12/08/2022","83.40","81.69","83.86","81.05","3.09M","2.49%"
"12/07/2022","81.37","82.63","84.14","81.10","3.69M","-2.29%"
"12/06/2022","83.28","84.18","84.62","82.74","3.62M","-1.23%"
"12/05/2022","84.32","85.85","86.84","83.87","3.81M","-2.63%"
"12/02/2022","86.60","85.42","87.14","84.91","2.69M","0.15%"
"12/01/2022","86.47","85.50","86.76","84.90","3.36M","1.37%"
"11/30/2022","85.30","84.09","85.65","83.30","6.20M","1.35%"
"11/29/2022","84.16","82.21","84.53","82.05","4.07M","2.52%"
"11/28/2022","82.09","81.16","82.54","81.14","4.06M","1.06%"
"11/25/2022","81.23","82.25","83.29","81.10","2.34M","-1.41%"
"11/23/2022","82.39","79.99","82.39","79.79","6.27M","3.14%"
"11/22/2022","79.88","77.20","79.96","76.00","17.60M","12.78%"
"11/21/2022","70.83","71.43","71.50","69.36","4.03M","-1.69%"
"11/18/2022","72.05","71.19","72.18","70.79","3.27M","2.88%"
"11/17/2022","70.03","68.22","70.08","67.39","3.35M","1.32%"
"11/16/2022","69.12","72.11","72.11","69.11","4.48M","-8.57%"
"11/15/2022","75.60","76.13","77.48","74.95","2.28M","1.80%"
"11/14/2022","74.26","74.17","75.58","74.13","2.47M","-0.39%"
"11/11/2022","74.55","72.14","75.44","71.94","2.40M","3.50%"
"11/10/2022","72.03","70.59","73.31","70.18","2.65M","7.03%"
"11/09/2022","67.30","67.88","69.13","67.23","2.14M","-2.21%"
"11/08/2022","68.82","69.29","70.67","67.77","1.92M","0.23%"
"11/07/2022","68.66","68.91","69.45","67.39","1.98M","0.67%"
"11/04/2022","68.20","68.30","69.55","66.83","2.11M","1.68%"
"11/03/2022","67.07","65.38","67.65","65.02","2.60M","1.61%"
"11/02/2022","66.01","68.64","69.23","65.97","3.22M","-4.17%"
"11/01/2022","68.88","69.47","69.97","68.11","3.13M","0.69%"
"10/31/2022","68.41","67.95","69.31","67.28","4.34M","0.09%"
"10/28/2022","68.35","65.88","68.45","65.73","2.34M","3.81%"
"10/27/2022","65.84","66.43","66.68","65.14","2.45M","-0.23%"
"10/26/2022","65.99","65.92","67.47","65.17","2.34M","0.46%"
"10/25/2022","65.69","64.24","65.80","64.07","2.60M","2.96%"
"10/24/2022","63.80","64.22","64.98","63.17","2.81M","0.05%"
