"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","291.93","285.97","292.32","285.52","1.54M","2.16%"
"01/20/2023","285.77","282.36","286.40","280.28","1.10M","2.01%"
"01/19/2023","280.13","281.40","284.36","280.13","614.89K","-1.18%"
"01/18/2023","283.47","290.58","291.91","282.65","1.32M","-2.11%"
"01/17/2023","289.59","287.32","290.13","286.33","1.17M","0.54%"
"01/13/2023","288.04","286.99","289.51","285.15","1.01M","-0.01%"
"01/12/2023","288.08","283.95","288.21","280.06","1.22M","1.07%"
"01/11/2023","285.03","281.85","285.33","281.24","1.39M","1.27%"
"01/10/2023","281.46","276.83","283.38","275.32","1.38M","2.45%"
"01/09/2023","274.72","280.54","281.99","269.06","1.72M","-1.62%"
"01/06/2023","279.25","276.01","292.59","272.44","3.73M","2.82%"
"01/05/2023","271.59","269.33","272.80","265.32","1.19M","0.29%"
"01/04/2023","270.81","275.38","275.44","269.88","1.07M","-0.67%"
"01/03/2023","272.63","276.73","278.00","272.39","1.08M","-1.55%"
"12/30/2022","276.92","274.98","277.15","272.20","640.67K","0.33%"
"12/29/2022","276.00","274.83","279.14","274.30","593.90K","0.72%"
"12/28/2022","274.04","275.64","276.92","272.64","520.07K","-0.27%"
"12/27/2022","274.77","279.89","279.89","273.38","638.55K","-1.57%"
"12/23/2022","279.16","280.45","280.45","276.07","624.76K","-0.52%"
"12/22/2022","280.61","283.61","283.65","278.30","946.54K","-2.18%"
"12/21/2022","286.86","288.09","288.30","284.87","796.86K","-0.23%"
"12/20/2022","287.51","284.94","288.89","283.85","873.13K","1.10%"
"12/19/2022","284.38","284.90","285.50","281.59","858.41K","-0.21%"
"12/16/2022","284.98","280.56","285.59","279.07","3.05M","0.54%"
"12/15/2022","283.44","287.58","287.90","282.04","1.09M","-1.94%"
"12/14/2022","289.05","290.15","294.18","287.15","905.27K","-0.75%"
"12/13/2022","291.24","293.75","294.68","288.14","937.18K","0.22%"
"12/12/2022","290.59","285.00","290.86","282.57","1.06M","1.83%"
"12/09/2022","285.37","289.10","292.97","285.14","982.78K","-1.29%"
"12/08/2022","289.10","291.86","292.32","286.72","1.69M","-1.04%"
"12/07/2022","292.15","292.56","293.60","287.10","1.11M","0.23%"
"12/06/2022","291.47","292.22","295.07","288.53","1.03M","-0.44%"
"12/05/2022","292.75","299.18","299.70","290.23","1.49M","-2.06%"
"12/02/2022","298.90","299.24","305.06","297.78","1.68M","-0.98%"
"12/01/2022","301.85","305.51","306.28","299.17","1.93M","-1.09%"
"11/30/2022","305.17","306.28","311.88","301.20","4.07M","4.72%"
"11/29/2022","291.41","291.10","293.97","288.44","1.10M","-0.17%"
"11/28/2022","291.90","296.03","303.11","290.31","2.08M","-4.34%"
"11/25/2022","305.15","304.35","307.53","302.70","470.77K","0.56%"
"11/23/2022","303.45","307.00","307.40","302.11","998.00K","-1.07%"
"11/22/2022","306.72","302.25","307.00","301.60","869.19K","1.69%"
"11/21/2022","301.63","304.20","305.87","300.40","969.87K","-0.42%"
"11/18/2022","302.89","303.21","304.14","299.72","847.51K","0.28%"
"11/17/2022","302.05","297.07","302.93","296.79","959.92K","0.68%"
"11/16/2022","300.01","300.17","303.56","299.00","804.07K","0.08%"
"11/15/2022","299.78","300.67","303.79","297.01","1.28M","0.24%"
"11/14/2022","299.06","300.11","305.48","295.73","2.69M","3.32%"
"11/11/2022","289.45","290.70","291.01","283.44","1.26M","-0.43%"
