"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","467.04","457.44","470.07","457.44","118.04K","2.13%"
"01/20/2023","457.29","451.81","457.49","448.82","107.62K","1.50%"
"01/19/2023","450.55","447.15","451.74","442.09","73.64K","-0.40%"
"01/18/2023","452.36","457.00","464.23","451.28","105.42K","-0.56%"
"01/17/2023","454.92","455.18","459.35","447.89","120.62K","-0.06%"
"01/13/2023","455.20","449.31","456.99","443.40","102.94K","0.76%"
"01/12/2023","451.78","460.15","462.64","447.41","141.32K","-2.04%"
"01/11/2023","461.17","437.00","466.33","437.00","313.46K","6.53%"
"01/10/2023","432.92","425.46","441.40","425.46","117.43K","1.63%"
"01/09/2023","425.99","424.80","431.60","422.10","168.25K","1.75%"
"01/06/2023","418.68","434.05","434.60","415.04","166.28K","-2.72%"
"01/05/2023","430.37","427.87","435.70","420.48","180.76K","-0.77%"
"01/04/2023","433.70","429.05","438.46","425.99","196.04K","2.67%"
"01/03/2023","422.43","427.08","431.22","417.61","239.91K","0.46%"
"12/30/2022","420.49","425.00","427.66","413.81","120.14K","-0.96%"
"12/29/2022","424.57","414.69","427.37","409.76","93.82K","3.71%"
"12/28/2022","409.37","413.05","418.35","408.24","68.16K","-0.89%"
"12/27/2022","413.05","413.09","415.67","405.24","83.50K","0.09%"
"12/23/2022","412.69","411.30","413.45","406.29","76.51K","0.23%"
"12/22/2022","411.75","407.19","412.17","400.08","76.85K","-0.22%"
"12/21/2022","412.64","403.59","414.15","403.59","132.13K","2.95%"
"12/20/2022","400.80","399.59","402.10","393.72","208.03K","-0.25%"
"12/19/2022","401.82","406.45","406.45","397.44","134.81K","-1.51%"
"12/16/2022","407.98","417.06","419.48","406.12","303.47K","-2.97%"
"12/15/2022","420.48","422.82","427.57","416.09","178.38K","-2.19%"
"12/14/2022","429.90","432.31","441.17","427.32","198.90K","-1.18%"
"12/13/2022","435.03","434.43","443.33","430.88","203.30K","4.00%"
"12/12/2022","418.28","417.77","420.09","414.92","145.33K","0.53%"
"12/09/2022","416.09","418.41","423.59","415.70","138.65K","-0.95%"
"12/08/2022","420.10","404.04","421.92","400.27","174.66K","4.02%"
"12/07/2022","403.88","401.97","411.44","399.25","196.63K","1.07%"
"12/06/2022","399.59","404.25","410.08","395.33","180.04K","-1.53%"
"12/05/2022","405.79","412.77","412.77","403.83","148.92K","-3.17%"
"12/02/2022","419.06","412.15","419.15","406.49","130.46K","0.24%"
"12/01/2022","418.04","421.09","425.88","415.09","248.13K","0.80%"
"11/30/2022","414.71","404.36","417.35","399.08","368.40K","3.79%"
"11/29/2022","399.55","397.32","406.57","393.15","129.18K","0.29%"
"11/28/2022","398.41","401.64","402.77","396.45","203.53K","-1.40%"
"11/25/2022","404.06","402.89","406.54","400.77","54.01K","0.03%"
"11/23/2022","403.94","404.88","409.88","402.01","141.84K","-0.38%"
"11/22/2022","405.48","402.05","405.54","395.78","116.30K","1.84%"
