"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","748.02","741.87","750.02","735.40","730.18K","0.85%"
"01/20/2023","741.71","734.77","742.68","731.04","724.33K","1.62%"
"01/19/2023","729.87","737.81","741.56","729.62","649.84K","-2.34%"
"01/18/2023","747.36","750.99","763.06","746.38","728.58K","-0.32%"
"01/17/2023","749.73","750.18","752.10","735.10","823.36K","-0.56%"
"01/13/2023","753.99","746.63","758.49","735.08","984.18K","0.00%"
"01/12/2023","753.96","763.16","763.16","741.15","937.91K","-0.26%"
"01/11/2023","755.92","758.00","763.75","748.16","787.96K","-0.18%"
"01/10/2023","757.28","749.63","757.74","744.38","758.58K","0.57%"
"01/09/2023","752.99","742.21","762.81","741.75","1.10M","2.03%"
"01/06/2023","738.00","713.42","738.56","710.47","1.22M","5.24%"
"01/05/2023","701.24","713.03","717.17","701.21","685.22K","-2.86%"
"01/04/2023","721.90","719.65","727.48","713.40","675.84K","1.38%"
"01/03/2023","712.04","720.00","723.54","703.77","540.81K","0.48%"
"12/30/2022","708.63","708.29","712.91","698.36","413.04K","-1.05%"
"12/29/2022","716.15","706.64","720.94","704.51","395.28K","2.26%"
"12/28/2022","700.33","704.00","711.81","700.29","456.53K","-0.42%"
"12/27/2022","703.26","704.57","707.60","700.50","324.19K","-0.10%"
"12/23/2022","703.94","708.77","710.09","700.20","363.18K","0.09%"
"12/22/2022","703.33","702.64","707.36","688.22","623.14K","-1.35%"
"12/21/2022","712.94","702.46","716.12","699.40","651.72K","3.09%"
"12/20/2022","691.56","691.00","695.39","687.58","590.08K","-0.13%"
"12/19/2022","692.47","699.44","701.00","687.12","604.08K","-1.11%"
"12/16/2022","700.22","690.02","703.64","683.91","1.70M","0.29%"
"12/15/2022","698.18","699.59","702.95","692.83","566.48K","-1.87%"
"12/14/2022","711.52","718.95","725.60","704.38","549.18K","-1.74%"
"12/13/2022","724.15","738.66","743.17","716.64","949.23K","2.10%"
"12/12/2022","709.23","705.67","711.15","702.03","637.87K","0.32%"
"12/09/2022","706.95","700.42","714.03","700.00","549.21K","0.50%"
"12/08/2022","703.44","710.00","714.98","701.16","625.76K","-0.81%"
"12/07/2022","709.16","707.24","721.66","704.70","874.52K","-0.16%"
"12/06/2022","710.29","707.19","712.33","700.05","839.75K","-0.35%"
"12/05/2022","712.76","709.00","714.17","698.75","1.10M","-0.03%"
"12/02/2022","712.98","706.27","713.44","699.70","1.14M","-1.27%"
"12/01/2022","722.18","718.85","725.00","711.20","1.10M","0.86%"
"11/30/2022","716.00","714.00","717.78","693.29","2.76M","0.28%"
"11/29/2022","714.00","722.46","724.77","711.55","698.42K","-0.99%"
"11/28/2022","721.17","728.00","736.30","719.44","480.13K","-2.25%"
"11/25/2022","737.78","734.46","739.85","727.65","301.55K","0.20%"
"11/23/2022","736.32","731.48","741.00","729.26","489.13K","0.39%"
"11/22/2022","733.45","727.19","737.03","726.10","605.72K","1.35%"
"11/21/2022","723.70","716.58","728.50","715.48","656.89K","0.43%"
"11/18/2022","720.61","730.23","730.65","718.99","626.80K","-0.10%"
"11/17/2022","721.31","715.31","721.50","710.19","781.56K","-0.79%"
"11/16/2022","727.03","733.00","733.00","720.13","806.47K","-1.79%"
"11/15/2022","740.31","757.06","759.95","732.30","851.39K","-0.11%"
"11/14/2022","741.15","760.00","762.92","722.81","1.18M","-4.34%"
"11/11/2022","774.75","748.00","785.65","748.00","1.28M","1.97%"
"11/10/2022","759.81","700.72","762.22","700.14","1.80M","13.47%"
