"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","61.96","61.85","62.22","61.13","1.58M","0.39%"
"01/20/2023","61.72","60.51","61.80","60.18","1.28M","2.44%"
"01/19/2023","60.25","60.25","60.59","59.95","896.65K","-0.63%"
"01/18/2023","60.63","61.26","61.48","60.48","953.73K","-0.90%"
"01/17/2023","61.18","61.27","61.74","61.08","988.00K","-0.15%"
"01/13/2023","61.27","61.15","61.47","60.85","669.89K","-0.63%"
"01/12/2023","61.66","61.95","62.23","61.03","1.20M","-0.05%"
"01/11/2023","61.69","60.12","61.73","60.01","1.40M","3.04%"
"01/10/2023","59.87","58.80","59.88","58.76","797.85K","1.75%"
"01/09/2023","58.84","59.00","59.76","58.78","957.70K","0.02%"
"01/06/2023","58.83","57.62","59.13","57.26","727.87K","3.07%"
"01/05/2023","57.08","57.40","57.77","56.27","1.30M","-0.90%"
"01/04/2023","57.60","57.13","58.02","56.92","1.25M","1.68%"
"01/03/2023","56.65","57.06","57.47","56.10","1.13M","-0.56%"
"12/30/2022","56.97","57.13","57.21","56.34","665.61K","-1.18%"
"12/29/2022","57.65","56.97","58.04","56.66","728.35K","1.91%"
"12/28/2022","56.57","57.54","57.67","56.55","675.26K","-1.38%"
"12/27/2022","57.36","57.04","57.38","56.60","784.92K","0.74%"
"12/23/2022","56.94","56.65","57.00","56.14","766.90K","0.51%"
"12/22/2022","56.65","56.74","56.94","55.78","1.20M","-0.58%"
"12/21/2022","56.98","56.09","57.00","55.76","828.12K","2.61%"
"12/20/2022","55.53","55.42","56.04","55.28","822.26K","0.22%"
"12/19/2022","55.41","55.30","56.11","55.04","1.01M","-0.16%"
"12/16/2022","55.50","55.84","56.42","55.01","2.25M","-1.91%"
"12/15/2022","56.58","57.36","57.51","56.30","890.60K","-2.73%"
"12/14/2022","58.17","58.91","59.78","57.82","1.01M","-1.26%"
"12/13/2022","58.91","59.45","59.72","58.32","1.37M","1.55%"
"12/12/2022","58.01","57.60","58.06","57.26","867.29K","0.89%"
"12/09/2022","57.50","57.75","58.11","57.48","907.63K","-0.47%"
"12/08/2022","57.77","57.37","58.25","57.01","1.21M","0.79%"
"12/07/2022","57.32","58.04","58.55","57.16","967.78K","-1.12%"
"12/06/2022","57.97","59.03","59.07","57.48","1.03M","-1.83%"
"12/05/2022","59.05","59.05","59.31","58.69","1.19M","-0.79%"
"12/02/2022","59.52","58.25","59.65","58.07","959.91K","1.02%"
"12/01/2022","58.92","59.84","59.97","58.42","1.16M","-1.12%"
"11/30/2022","59.59","56.97","59.69","56.82","2.00M","3.89%"
"11/29/2022","57.36","57.49","58.12","57.31","690.76K","-0.92%"
"11/28/2022","57.89","58.80","59.34","57.85","819.81K","-2.31%"
"11/25/2022","59.26","58.95","59.52","58.79","472.45K","1.07%"
"11/23/2022","58.63","57.95","58.80","57.67","811.17K","1.21%"
"11/22/2022","57.93","58.50","58.61","57.49","1.17M","-0.12%"
"11/21/2022","58.00","57.12","58.22","57.05","904.33K","1.86%"
"11/18/2022","56.94","57.27","57.63","56.80","1.46M","0.98%"
"11/17/2022","56.39","56.38","56.99","55.95","954.28K","-0.81%"
"11/16/2022","56.85","55.80","56.97","55.80","1.11M","1.88%"
"11/15/2022","55.80","56.47","56.77","55.29","1.11M","0.29%"
"11/14/2022","55.64","56.85","57.35","55.63","1.43M","-1.82%"
"11/11/2022","56.67","59.17","59.17","55.92","1.28M","-3.44%"
"11/10/2022","58.69","57.46","58.79","56.70","1.35M","5.31%"
"11/09/2022","55.73","56.29","56.86","55.71","577.53K","-1.28%"
"11/08/2022","56.45","56.21","57.08","55.80","955.26K","0.77%"
"11/07/2022","56.02","55.96","56.21","55.27","1.10M","0.45%"
"11/04/2022","55.77","57.16","57.16","54.61","2.23M","-1.36%"
"11/03/2022","56.54","56.70","57.58","56.48","1.05M","-1.05%"
"11/02/2022","57.14","58.68","58.87","57.03","1.42M","-2.57%"
"11/01/2022","58.65","59.04","59.18","58.35","1.00M","-0.24%"
"10/31/2022","58.79","58.43","59.22","58.07","1.91M","0.26%"
"10/28/2022","58.64","56.91","58.71","56.70","1.30M","3.42%"
"10/27/2022","56.70","56.31","57.16","56.27","1.61M","1.34%"
"10/26/2022","55.95","55.09","56.35","53.84","3.45M","1.54%"
"10/25/2022","55.10","56.98","60.45","54.97","6.77M","-12.65%"
"10/24/2022","63.08","62.10","63.29","62.10","1.48M","2.52%"
"10/21/2022","61.53","60.91","61.75","59.82","2.14M","1.05%"
"10/20/2022","60.89","62.72","62.72","60.66","1.12M","-3.20%"
"10/19/2022","62.90","61.98","62.99","61.53","1.60M","1.19%"
"10/18/2022","62.16","62.73","62.75","61.57","1.24M","1.42%"
"10/17/2022","61.29","60.60","62.04","60.58","1.79M","3.04%"
