"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2023","44.67","44.50","44.82","44.34","1.09M","0.61%"
"01/20/2023","44.40","43.91","44.48","43.69","1.44M","1.60%"
"01/19/2023","43.70","43.30","43.80","42.93","1.67M","-0.34%"
"01/18/2023","43.85","44.72","44.82","43.60","1.68M","-0.90%"
"01/17/2023","44.25","44.49","44.90","44.25","1.84M","-0.52%"
"01/13/2023","44.48","44.00","44.50","43.81","1.27M","-0.29%"
"01/12/2023","44.61","43.97","44.86","43.81","1.83M","2.41%"
"01/11/2023","43.56","43.10","43.65","42.97","2.00M","1.14%"
"01/10/2023","43.07","42.44","43.12","42.28","1.52M","1.96%"
"01/09/2023","42.24","43.00","43.14","42.15","2.37M","-2.11%"
"01/06/2023","43.15","42.29","43.38","42.14","1.42M","2.74%"
"01/05/2023","42.00","41.21","42.56","41.04","1.63M","0.94%"
"01/04/2023","41.61","40.79","41.97","40.59","1.66M","3.33%"
"01/03/2023","40.27","40.80","40.94","40.11","1.75M","0.05%"
"12/30/2022","40.25","40.14","40.49","39.99","830.99K","-0.52%"
"12/29/2022","40.46","39.96","40.56","39.78","873.85K","2.48%"
"12/28/2022","39.48","40.29","40.43","39.37","1.14M","-1.67%"
"12/27/2022","40.15","39.95","40.47","39.80","1.14M","0.38%"
"12/23/2022","40.00","39.61","40.05","39.33","1.06M","1.09%"
"12/22/2022","39.57","40.40","40.51","38.96","1.69M","-3.49%"
"12/21/2022","41.00","41.00","41.28","40.72","1.23M","1.33%"
"12/20/2022","40.46","40.63","41.24","40.42","1.46M","-0.39%"
"12/19/2022","40.62","40.74","41.24","40.31","1.33M","0.20%"
"12/16/2022","40.54","40.31","40.85","39.98","3.56M","-0.61%"
"12/15/2022","40.79","40.67","40.97","40.44","1.41M","-0.90%"
"12/14/2022","41.16","40.74","41.60","40.74","2.22M","0.10%"
"12/13/2022","41.12","42.51","43.06","40.74","2.02M","-0.53%"
"12/12/2022","41.34","40.37","41.52","40.10","1.53M","2.15%"
"12/09/2022","40.47","40.42","40.88","40.27","1.23M","-0.66%"
"12/08/2022","40.74","41.44","41.44","40.65","1.57M","-1.07%"
"12/07/2022","41.18","40.91","41.83","40.74","2.48M","0.44%"
"12/06/2022","41.00","42.38","43.16","40.64","4.22M","-2.17%"
"12/05/2022","41.91","42.12","42.23","41.64","1.27M","-1.80%"
"12/02/2022","42.68","42.12","42.83","41.88","1.57M","0.05%"
"12/01/2022","42.66","42.58","43.12","42.18","1.74M","0.35%"
"11/30/2022","42.51","41.90","42.51","41.26","3.10M","1.38%"
