"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","36.45","36.47","36.58","35.62","4.40M","0.52%"
"02/02/2023","36.26","36.46","36.52","36.09","4.48M","-1.76%"
"02/01/2023","36.91","37.13","37.33","36.79","4.10M","-0.75%"
"01/31/2023","37.19","37.19","37.25","36.68","8.35M","0.60%"
"01/30/2023","36.97","36.58","37.10","36.52","4.41M","1.40%"
"01/27/2023","36.46","36.49","36.64","36.06","3.51M","-1.03%"
"01/26/2023","36.84","37.05","37.07","36.49","4.75M","-0.81%"
"01/25/2023","37.14","37.21","37.46","36.73","5.63M","-0.32%"
"01/24/2023","37.26","37.42","37.66","37.19","4.44M","-0.45%"
"01/23/2023","37.43","37.98","38.14","37.40","3.92M","-1.45%"
"01/20/2023","37.98","38.29","38.34","37.41","4.35M","-0.76%"
"01/19/2023","38.27","38.51","38.58","38.22","3.66M","-0.47%"
"01/18/2023","38.45","39.93","39.98","38.24","5.26M","-3.95%"
"01/17/2023","40.03","39.89","40.31","39.88","3.95M","0.30%"
"01/13/2023","39.91","39.96","40.35","39.78","3.09M","-0.55%"
"01/12/2023","40.13","40.59","40.65","39.96","3.62M","-0.96%"
"01/11/2023","40.52","40.64","40.74","40.00","4.23M","0.20%"
"01/10/2023","40.44","40.59","40.79","40.21","4.51M","0.05%"
"01/09/2023","40.42","40.91","41.30","40.39","5.33M","-1.32%"
"01/06/2023","40.96","40.37","41.03","40.20","5.70M","2.48%"
"01/05/2023","39.97","39.66","40.78","39.05","8.49M","3.42%"
"01/04/2023","38.65","38.80","38.88","38.35","5.10M","-0.46%"
"01/03/2023","38.83","38.70","38.84","38.30","4.20M","0.34%"
"12/30/2022","38.70","38.78","38.96","38.51","3.53M","-0.18%"
"12/29/2022","38.77","38.71","38.96","38.64","3.89M","0.31%"
"12/28/2022","38.65","39.08","39.22","38.63","2.51M","-0.95%"
"12/27/2022","39.02","38.98","39.16","38.83","3.33M","0.46%"
"12/23/2022","38.84","38.80","38.85","38.61","2.50M","0.21%"
"12/22/2022","38.76","38.72","38.88","38.44","2.41M","-0.05%"
"12/21/2022","38.78","38.68","39.06","38.54","3.61M","0.75%"
"12/20/2022","38.49","38.24","38.53","37.90","5.32M","0.94%"
"12/19/2022","38.13","38.05","38.56","37.94","3.26M","0.32%"
"12/16/2022","38.01","37.98","38.26","37.60","9.08M","-0.78%"
"12/15/2022","38.31","38.29","38.42","37.92","4.38M","-0.44%"
"12/14/2022","38.48","38.41","38.71","38.11","3.41M","0.65%"
"12/13/2022","38.23","38.54","38.61","37.99","4.69M","-0.62%"
"12/12/2022","38.47","38.15","38.52","37.86","3.30M","1.18%"
"12/09/2022","38.02","38.45","38.56","37.99","2.39M","-1.22%"
"12/08/2022","38.49","38.19","38.54","38.06","3.19M","0.68%"
"12/07/2022","38.23","37.88","38.45","37.78","3.79M","1.78%"
"12/06/2022","37.56","37.76","37.99","37.37","4.37M","-1.80%"
"12/05/2022","38.25","37.72","38.30","37.56","3.52M","0.34%"
"12/02/2022","38.12","37.77","38.15","37.72","2.39M","0.77%"
"12/01/2022","37.83","38.05","38.29","37.66","2.91M","-0.39%"
"11/30/2022","37.98","36.94","38.00","36.76","4.93M","2.76%"
"11/29/2022","36.96","36.88","37.11","36.68","2.53M","-0.22%"
"11/28/2022","37.04","37.08","37.34","37.02","2.02M","-0.22%"
"11/25/2022","37.12","37.00","37.17","36.98","1.09M","0.68%"
"11/23/2022","36.87","36.67","36.91","36.49","2.12M","0.79%"
"11/22/2022","36.58","36.60","36.89","36.50","2.63M","0.49%"
"11/21/2022","36.40","36.23","36.48","35.88","3.39M","1.25%"
"11/18/2022","35.95","36.02","36.16","35.36","5.20M","2.89%"
"11/17/2022","34.94","34.92","35.65","34.65","3.97M","-0.29%"
"11/16/2022","35.04","34.53","35.14","34.52","4.18M","1.92%"
"11/15/2022","34.38","34.15","34.42","33.86","3.38M","1.24%"
"11/14/2022","33.96","34.66","34.96","33.95","4.90M","-1.74%"
"11/11/2022","34.56","35.11","35.17","33.21","4.53M","-1.79%"
"11/10/2022","35.19","36.00","36.08","34.29","4.03M","-0.96%"
"11/09/2022","35.53","35.67","36.18","35.49","2.83M","-0.45%"
"11/08/2022","35.69","36.10","36.17","35.53","3.33M","-1.14%"
"11/07/2022","36.10","35.99","36.23","35.69","3.18M","0.33%"
"11/04/2022","35.98","35.86","36.22","35.61","5.22M","0.59%"
"11/03/2022","35.77","35.66","36.10","35.52","3.05M","-0.39%"
"11/02/2022","35.91","35.98","36.76","35.83","3.86M","-1.18%"
"11/01/2022","36.34","36.57","36.77","36.32","3.22M","-0.98%"
"10/31/2022","36.70","36.64","36.85","36.43","3.96M","0.16%"
"10/28/2022","36.64","35.99","36.82","35.85","3.47M","2.40%"
"10/27/2022","35.78","35.40","36.10","35.31","4.08M","1.53%"
"10/26/2022","35.24","35.22","35.51","34.77","3.54M","0.57%"
"10/25/2022","35.04","34.94","35.22","34.66","3.14M","0.11%"
"10/24/2022","35.00","35.05","35.19","34.73","3.12M","0.89%"
"10/21/2022","34.69","34.37","34.79","34.22","2.32M","0.96%"
"10/20/2022","34.36","34.88","34.98","34.26","3.38M","-1.63%"
"10/19/2022","34.93","34.95","35.12","34.54","2.54M","0.00%"
"10/18/2022","34.93","34.60","34.94","34.45","2.89M","1.99%"
"10/17/2022","34.25","34.52","34.67","33.96","3.12M","-0.12%"
"10/14/2022","34.29","34.52","34.70","34.21","3.07M","-0.26%"
"10/13/2022","34.38","33.32","34.58","33.16","4.05M","2.38%"
"10/12/2022","33.58","34.05","34.09","33.56","4.38M","-0.91%"
"10/11/2022","33.89","33.57","34.01","33.45","4.02M","0.95%"
"10/10/2022","33.57","32.89","33.80","32.89","4.35M","2.19%"
"10/07/2022","32.85","32.56","32.90","32.37","5.50M","0.89%"
"10/06/2022","32.56","33.83","34.70","32.30","6.45M","-3.67%"
"10/05/2022","33.80","33.76","33.98","33.05","4.60M","-0.32%"
"10/04/2022","33.91","33.28","33.97","33.14","4.37M","3.04%"
"10/03/2022","32.91","32.87","33.07","32.42","5.84M","0.86%"
"09/30/2022","32.63","33.49","33.58","32.61","4.56M","-1.89%"
"09/29/2022","33.26","33.50","33.61","33.13","3.92M","-0.63%"
"09/28/2022","33.47","33.37","33.65","32.92","4.14M","1.06%"
"09/27/2022","33.12","34.13","34.34","33.11","3.46M","-2.59%"
"09/26/2022","34.00","34.26","34.64","33.98","3.93M","-1.02%"
"09/23/2022","34.35","34.51","34.79","33.92","2.74M","-1.18%"
"09/22/2022","34.76","34.38","34.97","34.31","2.80M","1.28%"
"09/21/2022","34.32","34.30","34.93","34.17","3.75M","1.00%"
"09/20/2022","33.98","34.06","34.19","33.73","2.46M","-0.76%"
"09/19/2022","34.24","33.78","34.27","33.75","2.30M","1.21%"
"09/16/2022","33.83","33.59","33.94","33.49","5.00M","0.62%"
"09/15/2022","33.62","33.41","33.76","33.01","2.57M","0.81%"
"09/14/2022","33.35","33.63","33.67","33.17","4.31M","-0.89%"
"09/13/2022","33.65","34.30","34.58","33.59","3.17M","-2.91%"
"09/12/2022","34.66","34.46","34.92","34.35","2.83M","0.84%"
"09/09/2022","34.37","34.45","34.66","34.06","2.08M","0.15%"
"09/08/2022","34.32","34.41","34.46","33.86","3.35M","-1.10%"
"09/07/2022","34.70","33.88","34.75","33.80","2.44M","2.54%"
"09/06/2022","33.84","34.22","34.37","33.78","2.49M","-1.11%"
"09/02/2022","34.22","34.48","34.83","34.09","2.71M","-0.23%"
"09/01/2022","34.30","34.35","34.56","33.83","3.61M","-0.23%"
"08/31/2022","34.38","34.86","35.00","34.34","3.93M","-1.06%"
"08/30/2022","34.75","35.04","35.08","34.65","1.68M","-0.83%"
"08/29/2022","35.04","34.80","35.33","34.61","1.78M","0.37%"
"08/26/2022","34.91","35.63","35.73","34.90","1.89M","-1.88%"
"08/25/2022","35.58","35.52","35.62","35.29","1.55M","0.08%"
"08/24/2022","35.55","35.23","35.60","35.03","2.61M","1.02%"
"08/23/2022","35.19","35.15","35.38","34.91","2.45M","0.11%"
"08/22/2022","35.15","35.30","35.39","35.03","2.52M","-0.71%"
"08/19/2022","35.40","35.26","35.61","35.19","2.49M","0.31%"
"08/18/2022","35.29","35.21","35.32","34.85","2.00M","0.17%"
"08/17/2022","35.23","35.24","35.63","35.17","2.96M","-0.03%"
"08/16/2022","35.24","34.89","35.47","34.89","2.91M","0.97%"
"08/15/2022","34.90","34.34","34.98","34.16","3.26M","1.48%"
"08/12/2022","34.39","34.57","34.60","34.14","2.51M","-0.15%"
"08/11/2022","34.44","34.42","34.89","34.33","1.93M","0.09%"
"08/10/2022","34.41","34.47","34.61","34.29","1.71M","0.29%"
"08/09/2022","34.31","34.42","34.53","34.12","2.09M","0.12%"
