"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","78.67","79.37","80.44","77.22","3.59M","3.13%"
"02/02/2023","76.28","77.25","78.96","74.59","6.15M","0.74%"
"02/01/2023","75.72","77.00","77.44","75.67","3.29M","-1.98%"
"01/31/2023","77.25","77.49","77.74","76.23","7.35M","0.01%"
"01/30/2023","77.24","76.83","77.53","76.50","2.43M","0.99%"
"01/27/2023","76.48","78.12","78.55","76.37","2.21M","-1.80%"
"01/26/2023","77.88","75.94","77.95","75.59","2.14M","2.84%"
"01/25/2023","75.73","74.75","75.81","74.50","2.27M","1.18%"
"01/24/2023","74.85","75.40","75.40","73.86","1.34M","-0.83%"
"01/23/2023","75.48","75.96","76.17","75.28","1.52M","-0.45%"
"01/20/2023","75.82","75.90","76.63","74.72","1.95M","0.45%"
"01/19/2023","75.48","76.54","76.78","75.26","1.95M","-1.29%"
"01/18/2023","76.47","76.21","77.26","76.14","2.14M","0.07%"
"01/17/2023","76.42","76.72","77.58","76.28","2.21M","-0.59%"
"01/13/2023","76.87","76.31","77.24","76.26","2.92M","0.46%"
"01/12/2023","76.52","76.37","77.04","75.89","1.48M","0.00%"
"01/11/2023","76.52","78.19","78.35","76.50","2.23M","-2.06%"
"01/10/2023","78.13","77.95","78.35","77.15","1.50M","0.72%"
"01/09/2023","77.57","78.66","79.11","77.47","3.07M","-1.36%"
"01/06/2023","78.64","77.28","78.66","76.99","2.53M","2.64%"
"01/05/2023","76.62","76.79","77.00","76.40","2.46M","-0.49%"
"01/04/2023","77.00","76.71","77.05","75.95","2.25M","0.35%"
"01/03/2023","76.73","76.46","76.75","75.34","4.02M","-0.18%"
"12/30/2022","76.87","77.06","77.27","76.03","2.42M","-1.09%"
"12/29/2022","77.72","79.05","79.05","77.49","2.00M","-1.12%"
"12/28/2022","78.60","79.32","79.60","78.53","1.67M","-0.69%"
"12/27/2022","79.15","80.00","80.05","79.07","1.89M","-1.12%"
"12/23/2022","80.05","80.45","80.75","79.63","1.40M","-0.63%"
"12/22/2022","80.56","80.00","80.90","79.62","1.92M","0.70%"
"12/21/2022","80.00","80.03","80.69","79.66","1.86M","0.53%"
"12/20/2022","79.58","79.52","80.42","79.03","2.36M","0.30%"
"12/19/2022","79.34","79.40","80.13","78.93","2.43M","0.08%"
"12/16/2022","79.28","77.96","79.39","77.84","8.09M","0.90%"
"12/15/2022","78.57","78.05","78.81","77.61","3.13M","0.03%"
"12/14/2022","78.55","78.57","78.97","77.61","2.72M","0.37%"
"12/13/2022","78.26","79.62","79.62","78.03","3.94M","-1.58%"
"12/12/2022","79.52","77.90","79.52","77.29","2.10M","2.54%"
"12/09/2022","77.55","80.48","80.78","77.32","3.84M","-4.00%"
"12/08/2022","80.78","80.15","81.27","79.99","2.25M","0.79%"
"12/07/2022","80.15","79.65","80.39","79.30","3.48M","0.94%"
"12/06/2022","79.40","79.31","79.95","78.61","3.04M","-0.10%"
"12/05/2022","79.48","80.06","80.40","79.18","2.11M","-1.73%"
"12/02/2022","80.88","79.18","81.48","78.63","2.83M","2.04%"
"12/01/2022","79.26","80.30","80.32","78.55","3.34M","-1.14%"
"11/30/2022","80.17","78.49","80.22","77.92","6.07M","1.93%"
"11/29/2022","78.65","78.38","79.35","78.10","2.52M","0.24%"
"11/28/2022","78.46","78.62","79.56","78.10","2.59M","-0.62%"
"11/25/2022","78.95","79.01","79.72","78.50","1.12M","0.65%"
"11/23/2022","78.44","78.88","79.40","77.97","2.05M","-0.57%"
"11/22/2022","78.89","78.56","79.50","78.38","1.88M","1.51%"
"11/21/2022","77.72","77.42","78.43","77.20","3.27M","0.05%"
"11/18/2022","77.68","77.11","78.13","76.89","2.48M","1.44%"
"11/17/2022","76.58","75.12","76.69","74.40","3.75M","1.86%"
"11/16/2022","75.18","74.56","75.69","74.34","2.15M","1.16%"
"11/15/2022","74.32","75.34","76.14","74.01","3.27M","-1.18%"
"11/14/2022","75.21","75.55","76.94","75.09","2.93M","-0.08%"
"11/11/2022","75.27","78.07","78.25","73.08","6.35M","-3.41%"
"11/10/2022","77.93","81.40","81.51","76.04","4.87M","-2.79%"
"11/09/2022","80.17","80.00","81.21","79.61","2.32M","0.07%"
"11/08/2022","80.11","80.14","80.97","79.00","3.61M","-1.07%"
"11/07/2022","80.98","79.30","81.57","78.04","3.67M","1.84%"
"11/04/2022","79.52","77.75","79.90","77.03","5.58M","5.09%"
"11/03/2022","75.67","74.61","76.18","74.02","3.48M","0.83%"
"11/02/2022","75.05","75.42","76.81","75.03","3.09M","-0.45%"
"11/01/2022","75.39","75.99","76.50","74.73","3.29M","-0.67%"
"10/31/2022","75.90","76.96","77.00","75.83","7.83M","-1.61%"
"10/28/2022","77.14","75.68","77.19","75.61","2.14M","2.39%"
"10/27/2022","75.34","75.38","76.10","75.04","2.19M","0.57%"
"10/26/2022","74.91","74.55","75.45","74.10","2.43M","1.61%"
"10/25/2022","73.72","73.00","74.31","72.74","3.45M","-0.11%"
"10/24/2022","73.80","73.67","74.52","73.15","2.29M","1.05%"
"10/21/2022","73.03","70.85","73.17","70.72","3.09M","3.19%"
"10/20/2022","70.77","70.72","70.94","69.80","2.69M","-0.04%"
"10/19/2022","70.80","70.74","71.90","70.29","2.04M","0.20%"
"10/18/2022","70.66","69.18","70.68","69.10","3.35M","3.58%"
"10/17/2022","68.22","69.01","69.38","68.01","3.69M","0.21%"
"10/14/2022","68.08","69.36","69.71","67.68","2.20M","-1.15%"
"10/13/2022","68.87","67.18","69.30","66.92","3.32M","1.49%"
"10/12/2022","67.86","70.09","70.40","67.86","3.76M","-3.51%"
"10/11/2022","70.33","69.00","71.12","68.47","3.19M","2.25%"
"10/10/2022","68.78","68.28","69.05","68.14","2.16M","0.82%"
"10/07/2022","68.22","68.80","69.28","67.73","2.67M","-1.76%"
"10/06/2022","69.44","69.21","69.93","69.01","2.31M","0.07%"
"10/05/2022","69.39","69.28","70.15","68.59","2.51M","-0.62%"
"10/04/2022","69.82","68.54","69.84","68.14","3.70M","2.72%"
"10/03/2022","67.97","66.79","68.31","66.05","2.62M","1.93%"
"09/30/2022","66.68","67.61","67.95","66.54","3.37M","-1.64%"
"09/29/2022","67.79","69.23","69.35","67.24","2.92M","-2.16%"
"09/28/2022","69.29","69.16","69.60","67.55","4.24M","4.65%"
"09/27/2022","66.21","66.35","67.32","65.53","3.33M","0.67%"
"09/26/2022","65.77","65.73","66.49","65.43","2.68M","-0.42%"
"09/23/2022","66.05","66.78","66.96","64.99","2.14M","-1.81%"
"09/22/2022","67.27","67.61","67.78","66.71","1.99M","-0.37%"
"09/21/2022","67.52","68.60","69.24","67.50","2.05M","-0.40%"
"09/20/2022","67.79","67.94","68.31","67.30","3.50M","-0.60%"
"09/19/2022","68.20","66.29","68.23","66.17","2.75M","2.00%"
"09/16/2022","66.86","66.14","67.03","65.90","7.32M","0.71%"
"09/15/2022","66.39","66.94","67.36","66.26","3.54M","-0.52%"
"09/14/2022","66.74","66.97","67.38","66.11","4.40M","-0.13%"
"09/13/2022","66.83","68.59","68.65","66.65","3.42M","-3.19%"
"09/12/2022","69.03","69.88","70.13","68.83","2.39M","-1.23%"
"09/09/2022","69.89","70.82","70.84","69.87","2.07M","-1.05%"
"09/08/2022","70.63","70.97","71.20","69.73","2.47M","-0.48%"
"09/07/2022","70.97","69.50","71.09","69.05","3.11M","2.10%"
"09/06/2022","69.51","71.20","71.42","68.73","3.30M","-2.08%"
"09/02/2022","70.99","71.51","72.28","70.77","2.13M","-0.46%"
"09/01/2022","71.32","70.42","71.55","70.29","2.23M","0.85%"
"08/31/2022","70.72","70.00","70.86","69.68","3.45M","1.26%"
"08/30/2022","69.84","69.87","70.57","69.22","2.86M","0.22%"
"08/29/2022","69.69","67.20","69.99","66.79","2.15M","3.09%"
"08/26/2022","67.60","69.09","69.38","67.58","1.85M","-2.17%"
"08/25/2022","69.10","68.79","69.18","68.46","1.56M","0.51%"
"08/24/2022","68.75","68.03","68.93","67.82","1.74M","1.13%"
"08/23/2022","67.98","67.97","68.39","67.80","2.18M","0.10%"
"08/22/2022","67.91","69.07","69.21","67.85","1.64M","-1.91%"
"08/19/2022","69.23","68.79","69.62","68.68","2.91M","0.63%"
"08/18/2022","68.80","69.36","69.66","68.30","1.98M","-0.45%"
"08/17/2022","69.11","69.37","69.85","68.72","2.06M","-1.47%"
"08/16/2022","70.14","69.85","71.11","69.02","3.55M","0.24%"
"08/15/2022","69.97","68.84","71.45","67.09","10.34M","0.94%"
"08/12/2022","69.32","65.82","69.55","65.82","5.36M","5.03%"
"08/11/2022","66.00","60.61","66.20","60.53","6.88M","5.18%"
"08/10/2022","62.75","62.16","62.76","61.90","2.95M","1.59%"
"08/09/2022","61.77","61.68","62.23","61.50","2.00M","0.46%"
"08/08/2022","61.49","61.69","62.23","61.26","2.71M","-0.03%"
"08/05/2022","61.51","60.06","61.53","60.00","1.95M","2.11%"
"08/04/2022","60.24","60.40","61.17","60.15","2.07M","0.12%"
"08/03/2022","60.17","60.17","60.40","59.36","2.87M","0.69%"
"08/02/2022","59.76","60.51","60.54","59.05","3.59M","-0.93%"
"08/01/2022","60.32","59.49","60.65","59.23","3.10M","1.28%"
"07/29/2022","59.56","58.90","59.74","58.72","4.20M","1.15%"
"07/28/2022","58.88","58.13","58.99","57.30","2.20M","1.33%"
"07/27/2022","58.11","57.56","58.33","57.26","2.01M","0.54%"
"07/26/2022","57.80","57.54","57.99","57.28","1.73M","0.91%"
"07/25/2022","57.28","57.09","57.89","57.01","1.95M","0.51%"
"07/22/2022","56.99","56.63","57.37","56.26","2.22M","1.53%"
"07/21/2022","56.13","55.53","56.16","55.30","1.97M","0.79%"
"07/20/2022","55.69","55.86","56.05","55.18","2.14M","0.02%"
"07/19/2022","55.68","55.09","55.94","54.77","1.68M","1.72%"
"07/18/2022","54.74","55.51","55.51","54.49","2.55M","-0.85%"
"07/15/2022","55.21","54.79","55.23","54.27","2.01M","2.15%"
"07/14/2022","54.05","52.39","54.29","51.95","2.63M","2.17%"
"07/13/2022","52.90","52.72","53.27","52.59","2.07M","-0.56%"
"07/12/2022","53.20","52.99","53.91","52.78","2.15M","0.40%"
"07/11/2022","52.99","52.75","53.32","52.58","1.24M","0.13%"
"07/08/2022","52.92","52.92","53.82","52.74","1.40M","0.32%"
"07/07/2022","52.75","52.54","52.96","52.13","2.19M","0.21%"
"07/06/2022","52.64","52.23","53.26","51.92","2.97M","0.75%"
"07/05/2022","52.25","52.83","52.91","51.32","1.70M","-1.60%"
"07/01/2022","53.10","52.48","53.18","51.84","1.93M","1.59%"
"06/30/2022","52.27","52.86","52.95","51.96","2.04M","-2.64%"
"06/29/2022","53.69","54.31","54.47","53.47","1.63M","-0.24%"
"06/28/2022","53.82","55.00","55.38","53.61","1.38M","-1.90%"
"06/27/2022","54.86","54.55","54.91","53.76","1.94M","0.75%"
"06/24/2022","54.45","53.46","54.99","52.85","5.74M","2.70%"
"06/23/2022","53.02","52.82","53.53","52.55","1.61M","0.82%"
"06/22/2022","52.59","51.20","52.78","50.94","2.20M","2.14%"
"06/21/2022","51.49","51.39","51.87","50.66","2.09M","1.56%"
"06/17/2022","50.70","50.66","51.40","50.40","4.22M","0.44%"
"06/16/2022","50.48","50.72","50.78","49.70","2.23M","-1.10%"
"06/15/2022","51.04","51.29","51.86","50.49","2.26M","-0.14%"
"06/14/2022","51.11","51.37","51.92","50.60","2.28M","-0.74%"
"06/13/2022","51.49","52.57","53.15","51.09","1.88M","-3.68%"
"06/10/2022","53.46","51.78","53.97","51.56","2.40M","2.12%"
"06/09/2022","52.35","53.15","53.34","52.31","1.99M","-2.24%"
"06/08/2022","53.55","53.62","54.14","53.46","1.29M","-0.67%"
"06/07/2022","53.91","53.76","54.03","53.21","1.30M","0.32%"
