"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","46.89","46.80","47.41","46.38","3.45M","-0.51%"
"02/02/2023","47.13","46.74","47.49","46.54","3.97M","2.15%"
"02/01/2023","46.14","45.16","46.56","44.63","5.74M","1.34%"
"01/31/2023","45.53","44.20","45.61","44.03","4.69M","4.47%"
"01/30/2023","43.58","43.38","43.99","43.38","2.60M","-0.09%"
"01/27/2023","43.62","43.49","43.99","43.38","1.87M","-0.07%"
"01/26/2023","43.65","43.79","44.00","43.17","2.35M","0.32%"
"01/25/2023","43.51","43.19","43.60","42.80","2.84M","-0.43%"
"01/24/2023","43.70","43.33","44.03","42.86","4.09M","0.97%"
"01/23/2023","43.28","42.59","43.28","42.43","3.51M","1.67%"
"01/20/2023","42.57","42.00","42.65","41.77","5.22M","1.57%"
"01/19/2023","41.91","43.14","43.14","41.89","4.85M","-3.70%"
"01/18/2023","43.52","45.65","45.65","43.39","5.29M","-4.20%"
"01/17/2023","45.43","45.91","46.13","45.31","3.57M","-0.96%"
"01/13/2023","45.87","45.04","46.06","45.01","2.83M","1.37%"
"01/12/2023","45.25","45.50","45.67","44.92","3.27M","0.13%"
"01/11/2023","45.19","44.40","45.25","44.27","5.30M","2.70%"
"01/10/2023","44.00","43.75","44.09","43.18","3.39M","1.15%"
"01/09/2023","43.50","43.31","44.21","42.98","3.38M","0.86%"
"01/06/2023","43.13","41.87","43.35","41.73","2.73M","3.85%"
"01/05/2023","41.53","41.51","42.08","41.12","3.86M","-1.19%"
"01/04/2023","42.03","42.37","42.58","41.74","3.41M","1.01%"
"01/03/2023","41.61","41.94","42.09","41.15","2.83M","0.87%"
"12/30/2022","41.25","41.42","41.69","40.83","2.25M","-1.43%"
"12/29/2022","41.85","41.40","41.99","41.09","1.97M","2.17%"
"12/28/2022","40.96","41.84","42.03","40.94","2.10M","-2.17%"
"12/27/2022","41.87","41.68","42.41","41.61","2.23M","0.19%"
"12/23/2022","41.79","41.53","41.81","41.28","1.88M","0.26%"
"12/22/2022","41.68","41.54","42.02","41.03","2.89M","-0.97%"
"12/21/2022","42.09","41.73","42.22","41.56","2.54M","1.74%"
"12/20/2022","41.37","41.36","41.64","41.24","2.77M","-0.31%"
"12/19/2022","41.50","41.84","42.13","41.17","3.21M","-0.60%"
"12/16/2022","41.75","41.96","42.20","41.52","5.81M","-1.67%"
"12/15/2022","42.46","43.14","43.29","42.07","4.42M","-3.06%"
"12/14/2022","43.80","44.59","44.62","43.35","4.04M","-1.17%"
"12/13/2022","44.32","44.72","45.00","43.80","5.99M","2.45%"
"12/12/2022","43.26","42.61","43.31","42.38","3.59M","0.56%"
"12/09/2022","43.02","43.36","43.60","42.95","3.07M","-1.04%"
"12/08/2022","43.47","43.24","43.76","43.12","2.44M","0.91%"
"12/07/2022","43.08","43.05","43.61","42.75","3.69M","0.14%"
