"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","87.14","87.06","87.99","86.39","1.14M","-1.58%"
"02/02/2023","88.54","86.08","89.48","85.73","1.55M","3.96%"
"02/01/2023","85.17","84.83","85.71","82.98","1.59M","-0.40%"
"01/31/2023","85.51","83.64","85.55","83.50","1.59M","2.20%"
"01/30/2023","83.67","83.50","84.82","83.15","963.20K","-0.94%"
"01/27/2023","84.46","83.19","84.50","82.79","1.17M","0.43%"
"01/26/2023","84.10","83.59","84.14","82.05","1.31M","1.26%"
"01/25/2023","83.05","82.00","83.05","81.15","1.12M","-0.18%"
"01/24/2023","83.20","84.57","84.85","83.09","1.10M","-2.20%"
"01/23/2023","85.07","84.62","85.25","83.70","804.24K","0.93%"
"01/20/2023","84.29","83.33","84.46","82.36","1.08M","1.08%"
"01/19/2023","83.39","82.85","83.90","82.20","1.55M","-0.26%"
"01/18/2023","83.61","85.05","85.52","83.30","1.45M","-1.29%"
"01/17/2023","84.70","86.02","86.42","84.52","1.90M","-1.64%"
"01/13/2023","86.11","84.58","86.52","84.45","1.48M","0.56%"
"01/12/2023","85.63","85.56","85.97","84.50","1.36M","0.94%"
"01/11/2023","84.83","83.33","85.01","83.14","1.20M","2.54%"
"01/10/2023","82.73","81.27","83.02","80.81","1.15M","1.19%"
"01/09/2023","81.76","81.47","82.84","80.80","1.80M","1.04%"
"01/06/2023","80.92","78.99","81.28","78.37","1.08M","3.17%"
"01/05/2023","78.43","78.78","79.34","77.59","1.00M","-1.62%"
"01/04/2023","79.72","79.57","80.20","79.19","1.26M","1.63%"
"01/03/2023","78.44","78.04","79.31","77.47","1.17M","1.92%"
"12/30/2022","76.96","76.72","77.32","76.09","1.18M","-0.76%"
"12/29/2022","77.55","75.87","77.67","75.77","884.15K","2.84%"
"12/28/2022","75.41","76.60","76.90","75.38","744.26K","-1.41%"
"12/27/2022","76.49","76.82","77.12","76.10","599.01K","-0.23%"
"12/23/2022","76.67","75.28","76.67","75.15","675.01K","1.31%"
"12/22/2022","75.68","75.94","76.00","74.60","1.05M","-1.23%"
"12/21/2022","76.62","75.54","77.14","75.53","1.48M","2.34%"
"12/20/2022","74.87","74.82","75.76","74.56","1.44M","-0.19%"
"12/19/2022","75.01","75.77","76.70","74.80","1.45M","-1.04%"
"12/16/2022","75.80","76.03","76.65","75.39","4.25M","-2.12%"
"12/15/2022","77.44","78.04","79.10","77.13","1.44M","-2.48%"
"12/14/2022","79.41","79.39","80.40","78.24","2.03M","-0.56%"
"12/13/2022","79.86","79.42","80.46","78.67","2.65M","4.39%"
"12/12/2022","76.50","75.97","76.55","75.16","1.60M","0.87%"
"12/09/2022","75.84","75.79","76.69","75.67","1.07M","-0.37%"
"12/08/2022","76.12","76.77","77.61","75.71","1.40M","-0.29%"
"12/07/2022","76.34","76.45","77.41","76.06","1.26M","-0.65%"
"12/06/2022","76.84","78.00","78.06","76.38","1.27M","-1.14%"
"12/05/2022","77.73","78.37","78.53","77.12","1.43M","-1.92%"
"12/02/2022","79.25","78.63","79.60","78.47","1.12M","-0.36%"
"12/01/2022","79.54","80.08","80.83","79.18","1.37M","-0.08%"
"11/30/2022","79.60","76.29","79.79","75.49","3.97M","4.11%"
"11/29/2022","76.46","74.93","76.53","74.70","1.22M","1.82%"
"11/28/2022","75.09","76.41","76.95","74.95","1.38M","-2.83%"
"11/25/2022","77.28","76.47","77.64","76.40","589.00K","0.65%"
"11/23/2022","76.78","75.68","76.85","75.65","925.87K","1.05%"
"11/22/2022","75.98","75.52","76.01","74.69","872.43K","0.96%"
"11/21/2022","75.26","75.00","76.03","74.93","850.89K","-0.05%"
"11/18/2022","75.30","76.21","76.21","74.70","1.35M","1.10%"
"11/17/2022","74.48","74.11","74.55","72.82","1.12M","-1.56%"
"11/16/2022","75.66","75.00","76.06","74.95","1.50M","0.13%"
"11/15/2022","75.56","76.92","77.42","74.98","1.45M","0.45%"
"11/14/2022","75.22","78.23","78.62","75.13","1.87M","-4.58%"
"11/11/2022","78.83","78.17","79.97","77.95","2.22M","2.08%"
"11/10/2022","77.22","73.24","77.40","73.24","2.62M","10.16%"
"11/09/2022","70.10","70.75","71.25","69.55","1.41M","-1.75%"
"11/08/2022","71.35","71.21","72.36","70.56","1.25M","0.25%"
"11/07/2022","71.17","71.75","71.81","70.45","1.36M","0.58%"
"11/04/2022","70.76","69.77","72.19","69.51","1.52M","2.79%"
"11/03/2022","68.84","68.89","70.03","68.07","1.68M","-1.45%"
"11/02/2022","69.85","72.20","73.59","69.85","3.63M","-4.03%"
"11/01/2022","72.78","72.11","73.15","71.28","2.25M","2.59%"
"10/31/2022","70.94","70.41","71.90","70.28","3.03M","0.27%"
"10/28/2022","70.75","69.12","71.26","68.83","2.00M","0.68%"
"10/27/2022","70.27","72.00","72.00","67.78","3.17M","-3.28%"
"10/26/2022","72.65","72.00","73.69","71.62","1.86M","0.96%"
"10/25/2022","71.96","70.00","72.23","70.00","1.38M","3.07%"
"10/24/2022","69.82","69.82","70.46","69.33","1.14M","0.74%"
"10/21/2022","69.31","67.27","69.35","66.89","1.65M","2.27%"
"10/20/2022","67.77","67.81","68.80","67.31","1.82M","-0.09%"
"10/19/2022","67.83","68.98","69.15","67.73","1.35M","-3.47%"
"10/18/2022","70.27","71.55","71.79","69.58","1.25M","0.69%"
"10/17/2022","69.79","69.16","70.42","69.16","1.54M","3.33%"
"10/14/2022","67.54","70.49","70.62","67.40","1.58M","-2.69%"
"10/13/2022","69.41","66.95","69.52","66.31","2.14M","1.30%"
"10/12/2022","68.52","69.19","69.19","68.01","1.18M","-1.05%"
"10/11/2022","69.25","69.15","70.23","68.45","1.42M","-0.30%"
"10/10/2022","69.46","70.02","70.46","69.09","896.22K","0.04%"
"10/07/2022","69.43","70.67","70.89","68.90","1.55M","-3.13%"
"10/06/2022","71.67","72.95","73.33","71.37","2.02M","-1.74%"
"10/05/2022","72.94","72.72","73.69","72.27","1.68M","-0.73%"
"10/04/2022","73.48","71.34","73.51","71.11","2.19M","4.55%"
"10/03/2022","70.28","68.66","71.04","67.22","2.38M","4.10%"
"09/30/2022","67.51","68.29","68.81","67.18","3.48M","-0.41%"
"09/29/2022","67.79","69.12","69.50","66.74","2.06M","-3.41%"
"09/28/2022","70.18","68.95","70.46","68.06","3.11M","2.41%"
"09/27/2022","68.53","69.92","70.72","68.19","1.23M","-0.72%"
"09/26/2022","69.03","70.18","70.69","68.94","1.76M","-2.31%"
"09/23/2022","70.66","71.37","71.39","69.56","1.79M","-2.13%"
"09/22/2022","72.20","72.68","72.74","71.62","1.50M","-1.11%"
"09/21/2022","73.01","75.73","75.90","72.99","1.37M","-2.63%"
"09/20/2022","74.98","75.55","76.22","74.50","1.58M","-2.48%"
"09/19/2022","76.89","75.41","77.57","75.41","1.82M","1.02%"
"09/16/2022","76.11","77.65","77.80","75.34","4.17M","-2.71%"
"09/15/2022","78.23","78.36","79.84","77.82","1.51M","0.12%"
"09/14/2022","78.14","77.76","78.32","76.95","2.16M","-0.45%"
"09/13/2022","78.49","79.34","79.67","78.04","1.65M","-3.91%"
"09/12/2022","81.68","81.54","82.33","81.21","1.28M","0.63%"
"09/09/2022","81.17","80.07","81.40","79.73","1.01M","1.78%"
"09/08/2022","79.75","78.54","79.78","77.60","1.48M","0.34%"
"09/07/2022","79.48","76.92","79.53","76.66","1.50M","3.29%"
"09/06/2022","76.95","77.78","78.76","76.52","1.35M","-0.25%"
"09/02/2022","77.14","78.60","79.62","76.88","1.17M","-0.45%"
"09/01/2022","77.49","78.26","78.26","76.05","1.30M","-1.86%"
"08/31/2022","78.96","79.46","79.65","78.53","2.93M","0.19%"
"08/30/2022","78.81","79.77","79.83","78.49","1.10M","-0.78%"
"08/29/2022","79.43","79.73","80.60","79.34","1.11M","-1.24%"
"08/26/2022","80.43","83.56","83.56","80.39","1.10M","-3.62%"
"08/25/2022","83.45","81.67","83.51","81.66","2.21M","2.53%"
"08/24/2022","81.39","81.59","82.14","81.24","1.31M","0.22%"
"08/23/2022","81.21","80.99","82.48","80.99","1.64M","0.28%"
"08/22/2022","80.98","83.70","83.70","80.89","1.22M","-4.64%"
"08/19/2022","84.92","85.75","86.00","84.72","998.30K","-1.70%"
"08/18/2022","86.39","86.29","86.80","86.22","846.07K","-0.01%"
"08/17/2022","86.40","86.25","86.84","85.31","1.10M","-1.02%"
"08/16/2022","87.29","87.45","87.83","86.64","1,000.00K","-0.44%"
"08/15/2022","87.68","87.23","87.96","86.84","1.30M","0.33%"
"08/12/2022","87.39","86.03","87.62","85.59","1.29M","2.39%"
"08/11/2022","85.35","86.14","86.45","85.20","1.28M","0.08%"
"08/10/2022","85.28","85.02","86.32","84.72","1.18M","2.28%"
"08/09/2022","83.38","83.36","83.81","82.91","1.46M","-0.45%"
"08/08/2022","83.76","84.59","85.32","83.42","1.14M","-0.25%"
"08/05/2022","83.97","81.51","84.03","81.51","1.46M","2.02%"
"08/04/2022","82.31","82.80","83.05","81.74","1.49M","-1.54%"
"08/03/2022","83.60","83.08","84.17","82.93","1.47M","1.58%"
"08/02/2022","82.30","84.18","84.55","82.22","1.74M","-2.87%"
"08/01/2022","84.73","84.69","85.24","83.28","1.34M","-1.04%"
"07/29/2022","85.62","84.76","85.93","84.46","1.50M","1.07%"
"07/28/2022","84.71","83.11","84.78","82.69","1.14M","2.33%"
"07/27/2022","82.78","81.99","82.90","80.87","1.61M","1.35%"
"07/26/2022","81.68","82.39","82.49","81.27","1.59M","-1.39%"
"07/25/2022","82.83","82.40","83.28","82.13","1.47M","0.69%"
"07/22/2022","82.26","82.16","82.46","81.39","1.41M","1.23%"
