"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","76.20","75.23","78.20","75.00","976.30K","-2.30%"
"02/02/2023","77.99","76.59","79.29","76.59","1.91M","2.94%"
"02/01/2023","75.76","72.35","76.14","71.87","1.50M","4.81%"
"01/31/2023","72.28","71.01","72.38","70.39","768.48K","2.39%"
"01/30/2023","70.59","71.58","71.97","70.42","910.00K","-2.93%"
"01/27/2023","72.72","72.00","73.62","71.95","827.34K","-0.32%"
"01/26/2023","72.95","72.74","73.54","72.07","683.99K","2.31%"
"01/25/2023","71.30","70.86","71.67","67.82","854.99K","-2.37%"
"01/24/2023","73.03","72.26","74.00","71.86","1.27M","0.33%"
"01/23/2023","72.79","70.00","73.00","69.04","1.27M","4.36%"
"01/20/2023","69.75","67.61","69.86","67.61","899.16K","3.72%"
"01/19/2023","67.25","66.93","67.87","66.75","1.18M","-0.59%"
"01/18/2023","67.65","68.42","69.32","67.12","1.02M","-0.04%"
"01/17/2023","67.68","67.54","68.52","66.15","760.63K","0.09%"
"01/13/2023","67.62","65.56","67.88","65.56","945.04K","1.30%"
"01/12/2023","66.75","66.19","66.85","64.75","844.22K","1.35%"
"01/11/2023","65.86","63.58","65.87","62.90","1.02M","4.61%"
"01/10/2023","62.96","61.99","63.42","61.99","913.55K","0.13%"
"01/09/2023","62.88","61.52","64.36","61.52","881.24K","3.15%"
"01/06/2023","60.96","60.30","61.96","57.98","1.07M","1.91%"
"01/05/2023","59.82","61.84","62.48","59.58","931.25K","-5.14%"
"01/04/2023","63.06","62.30","63.57","61.12","1.01M","2.42%"
"01/03/2023","61.57","65.14","66.23","61.56","967.79K","-4.02%"
"12/30/2022","64.15","62.03","64.34","62.03","1.16M","1.46%"
"12/29/2022","63.23","61.42","63.72","60.88","614.18K","4.32%"
"12/28/2022","60.61","60.34","61.36","60.16","664.67K","0.02%"
"12/27/2022","60.60","61.69","61.78","60.43","654.12K","-2.31%"
"12/23/2022","62.03","61.43","62.08","60.55","449.65K","0.40%"
"12/22/2022","61.78","63.26","63.26","60.28","764.80K","-4.25%"
"12/21/2022","64.52","63.25","64.89","62.04","767.92K","2.51%"
"12/20/2022","62.94","62.72","63.83","62.02","797.71K","-0.32%"
"12/19/2022","63.14","63.75","64.64","62.93","1.16M","-1.17%"
"12/16/2022","63.89","65.28","65.88","63.42","2.04M","-2.64%"
"12/15/2022","65.62","67.20","68.05","65.31","740.06K","-5.10%"
"12/14/2022","69.15","68.93","70.32","68.03","977.49K","-0.19%"
"12/13/2022","69.28","70.92","71.96","68.10","2.01M","2.73%"
"12/12/2022","67.44","64.41","69.89","64.01","11.51M","3.91%"
"12/09/2022","64.90","65.66","66.29","64.73","911.86K","-1.40%"
"12/08/2022","65.82","63.05","66.06","62.21","887.45K","5.03%"
"12/07/2022","62.67","62.63","63.50","61.51","721.03K","-0.13%"
"12/06/2022","62.75","64.69","65.20","62.01","672.67K","-2.76%"
"12/05/2022","64.53","68.79","69.40","64.40","1.15M","-7.44%"
"12/02/2022","69.72","69.21","70.86","68.75","1.19M","-2.13%"
"12/01/2022","71.24","68.32","71.54","68.22","1.28M","4.09%"
"11/30/2022","68.44","64.08","68.50","63.97","2.21M","6.75%"
"11/29/2022","64.11","65.00","65.58","63.72","863.80K","-1.23%"
"11/28/2022","64.91","66.45","67.42","64.78","695.07K","-3.26%"
"11/25/2022","67.10","66.48","67.29","66.07","342.11K","0.33%"
"11/23/2022","66.88","65.56","67.16","64.25","737.54K","2.28%"
"11/22/2022","65.39","63.92","65.71","62.56","1.26M","2.32%"
"11/21/2022","63.91","64.78","65.43","63.79","1.57M","-2.10%"
"11/18/2022","65.28","68.04","68.37","64.64","1.22M","-2.30%"
"11/17/2022","66.82","67.76","68.45","66.09","1.59M","-4.35%"
"11/16/2022","69.86","71.79","71.92","69.20","1.69M","-3.88%"
"11/15/2022","72.68","68.52","73.04","68.52","2.58M","8.30%"
"11/14/2022","67.11","64.77","68.17","63.62","3.26M","2.77%"
"11/11/2022","65.30","63.55","66.20","62.57","3.10M","3.22%"
"11/10/2022","63.26","59.64","63.55","59.58","3.32M","13.94%"
"11/09/2022","55.52","57.51","57.51","52.92","3.31M","-4.31%"
"11/08/2022","58.02","57.59","59.64","55.44","5.16M","1.03%"
"11/07/2022","57.43","61.96","62.26","56.70","5.37M","-5.17%"
"11/04/2022","60.56","65.04","65.08","57.94","2.10M","-4.51%"
"11/03/2022","63.42","62.80","65.21","61.13","2.51M","2.37%"
"11/02/2022","61.95","65.28","65.28","61.49","2.77M","-5.35%"
"11/01/2022","65.45","67.21","67.68","64.88","1.35M","-1.12%"
"10/31/2022","66.19","66.29","66.55","65.04","1.77M","0.36%"
"10/28/2022","65.95","63.73","65.96","63.09","1.69M","3.11%"
"10/27/2022","63.96","63.48","65.36","63.17","1.09M","0.99%"
"10/26/2022","63.33","62.22","64.74","62.17","1.53M","-0.20%"
"10/25/2022","63.46","60.00","63.65","59.91","1.54M","5.78%"
"10/24/2022","59.99","58.39","60.00","57.44","1.67M","3.59%"
"10/21/2022","57.91","55.71","57.93","54.58","1.06M","3.82%"
"10/20/2022","55.78","57.02","58.72","55.01","946.09K","-1.86%"
"10/19/2022","56.84","57.56","57.94","55.81","818.91K","-2.54%"
"10/18/2022","58.32","58.16","59.04","57.11","1.10M","4.11%"
"10/17/2022","56.02","53.35","56.57","53.24","1.59M","8.04%"
"10/14/2022","51.85","56.32","56.92","51.75","1.25M","-6.49%"
"10/13/2022","55.45","53.75","56.26","51.52","1.66M","-0.41%"
"10/12/2022","55.68","56.20","56.20","54.52","852.22K","-0.62%"
"10/11/2022","56.03","57.29","57.30","54.35","933.99K","-2.57%"
"10/10/2022","57.51","59.83","59.83","56.51","863.66K","-3.57%"
"10/07/2022","59.64","60.71","61.03","59.13","947.01K","-4.25%"
"10/06/2022","62.29","61.64","62.80","61.20","860.83K","1.20%"
"10/05/2022","61.55","59.45","61.81","59.42","810.36K","1.37%"
"10/04/2022","60.72","58.80","60.78","58.56","1.17M","6.02%"
"10/03/2022","57.27","56.71","58.03","56.14","1.69M","2.49%"
"09/30/2022","55.88","56.96","57.57","55.88","1.44M","-1.27%"
"09/29/2022","56.60","56.73","57.20","55.86","804.47K","-1.87%"
"09/28/2022","57.68","55.95","58.05","55.47","922.73K","3.69%"
"09/27/2022","55.63","55.46","56.19","54.48","1.16M","2.52%"
"09/26/2022","54.26","54.88","56.64","54.24","1.39M","-0.97%"
"09/23/2022","54.79","55.00","55.35","53.46","959.48K","-1.23%"
"09/22/2022","55.47","57.12","57.54","55.43","1.04M","-3.26%"
"09/21/2022","57.34","58.16","59.69","57.28","650.40K","-0.85%"
"09/20/2022","57.83","58.33","58.51","57.15","727.01K","-2.26%"
"09/19/2022","59.17","58.13","59.57","58.13","1.69M","0.39%"
"09/16/2022","58.94","58.96","59.41","57.92","4.23M","-2.11%"
"09/15/2022","60.21","60.70","63.03","59.85","1.13M","-1.81%"
"09/14/2022","61.32","60.33","61.58","60.01","863.70K","1.74%"
"09/13/2022","60.27","60.80","61.67","59.99","1.35M","-5.44%"
