"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","185.85","185.20","188.68","184.23","1.15M","-1.78%"
"02/02/2023","189.22","190.73","191.92","188.40","1.90M","0.17%"
"02/01/2023","188.89","181.78","190.25","181.28","1.61M","3.31%"
"01/31/2023","182.83","181.36","183.73","180.75","1.74M","1.16%"
"01/30/2023","180.74","183.61","183.72","180.62","1.16M","-2.32%"
"01/27/2023","185.03","183.93","186.24","183.11","1.14M","-0.32%"
"01/26/2023","185.63","184.90","185.86","182.59","855.86K","1.73%"
"01/25/2023","182.48","179.31","182.76","176.49","1.10M","0.05%"
"01/24/2023","182.38","183.35","183.66","181.38","1.20M","-0.56%"
"01/23/2023","183.41","177.20","184.24","177.20","1.80M","2.89%"
"01/20/2023","178.26","171.69","178.95","171.68","1.77M","3.67%"
"01/19/2023","171.95","171.64","173.43","171.23","1.55M","-0.30%"
"01/18/2023","172.46","174.40","177.60","172.21","1.45M","-0.29%"
"01/17/2023","172.97","171.79","174.52","169.41","2.01M","2.19%"
"01/13/2023","169.26","166.00","169.37","166.00","1.02M","0.71%"
"01/12/2023","168.06","168.17","168.66","164.85","1.04M","-0.24%"
"01/11/2023","168.47","164.58","168.70","163.76","1.52M","2.53%"
"01/10/2023","164.32","164.59","166.61","162.48","1.30M","-0.96%"
"01/09/2023","165.92","161.34","168.52","161.34","1.92M","3.92%"
"01/06/2023","159.66","158.75","160.32","155.20","1.19M","1.82%"
"01/05/2023","156.80","157.56","158.74","154.88","1.73M","-1.53%"
"01/04/2023","159.23","161.00","162.10","157.46","1.32M","-0.26%"
"01/03/2023","159.64","162.83","164.00","157.49","992.48K","-0.62%"
"12/30/2022","160.64","159.92","160.75","158.41","739.44K","-0.80%"
"12/29/2022","161.93","159.59","163.18","159.40","771.61K","2.27%"
"12/28/2022","158.34","159.95","161.73","158.18","769.48K","-1.07%"
"12/27/2022","160.05","161.10","161.10","158.97","615.18K","-0.87%"
"12/23/2022","161.45","160.92","161.95","159.25","709.73K","-0.19%"
"12/22/2022","161.76","162.99","163.34","158.94","1.15M","-2.21%"
"12/21/2022","165.41","162.79","165.76","161.61","1.18M","1.88%"
"12/20/2022","162.36","159.90","162.92","159.12","1.35M","0.88%"
"12/19/2022","160.95","163.15","163.15","160.02","944.62K","-1.38%"
"12/16/2022","163.20","163.01","166.61","161.45","2.99M","0.60%"
"12/15/2022","162.23","163.04","163.96","160.38","1.58M","-1.96%"
"12/14/2022","165.47","168.23","171.23","164.25","1.46M","-1.64%"
"12/13/2022","168.23","174.31","174.48","166.07","1.66M","1.29%"
"12/12/2022","166.09","163.96","166.84","163.76","1.41M","1.48%"
"12/09/2022","163.67","163.32","164.66","162.17","1.30M","-0.24%"
"12/08/2022","164.06","162.12","165.44","161.36","1.40M","2.16%"
"12/07/2022","160.59","162.32","163.10","159.72","1.67M","-1.88%"
"12/06/2022","163.66","166.92","166.92","162.16","1.15M","-1.68%"
"12/05/2022","166.46","170.45","170.92","165.51","1.43M","-3.46%"
"12/02/2022","172.43","172.93","173.45","170.29","1.26M","-2.46%"
"12/01/2022","176.78","174.74","177.27","173.33","1.93M","2.76%"
"11/30/2022","172.04","164.20","172.25","164.02","2.57M","5.21%"
"11/29/2022","163.52","165.36","165.36","161.90","1.14M","-0.87%"
"11/28/2022","164.95","167.54","169.48","164.17","1.40M","-1.41%"
"11/25/2022","167.31","167.51","168.35","166.94","441.08K","-0.12%"
"11/23/2022","167.51","163.00","168.65","163.00","721.52K","1.40%"
"11/22/2022","165.20","162.60","165.63","160.87","1.12M","2.06%"
"11/21/2022","161.86","164.45","164.45","161.65","1.18M","-1.91%"
"11/18/2022","165.02","167.67","168.16","163.61","1.20M","-0.05%"
"11/17/2022","165.10","165.20","166.98","162.87","1.56M","-2.23%"
"11/16/2022","168.86","168.68","170.49","167.16","1.14M","0.07%"
"11/15/2022","168.74","171.78","172.40","167.18","2.01M","0.48%"
"11/14/2022","167.93","166.03","169.38","165.45","1.77M","0.62%"
"11/11/2022","166.90","162.46","167.99","161.49","2.27M","3.01%"
"11/10/2022","162.02","156.66","162.61","155.68","2.66M","9.65%"
"11/09/2022","147.76","147.65","148.55","145.94","1.07M","-0.90%"
"11/08/2022","149.10","147.11","151.09","146.44","1.24M","2.12%"
"11/07/2022","146.00","143.75","146.61","141.62","2.09M","2.52%"
"11/04/2022","142.41","144.34","144.72","138.76","3.00M","-0.31%"
"11/03/2022","142.86","144.00","145.74","142.38","1.87M","-1.54%"
"11/02/2022","145.09","151.54","152.40","145.02","2.67M","-3.87%"
"11/01/2022","150.93","153.25","153.76","149.81","1.30M","-0.30%"
"10/31/2022","151.39","150.19","152.56","149.42","1.54M","-0.06%"
"10/28/2022","151.48","149.66","151.82","148.83","1.94M","1.95%"
"10/27/2022","148.58","149.70","150.96","146.36","2.17M","-0.32%"
"10/26/2022","149.05","148.23","152.26","147.44","2.49M","-1.50%"
"10/25/2022","151.32","158.21","160.74","150.86","5.08M","-5.55%"
"10/24/2022","160.22","160.04","161.40","157.07","1.83M","1.19%"
"10/21/2022","158.34","152.10","158.86","150.69","2.03M","3.46%"
"10/20/2022","153.05","154.12","156.61","152.00","1.60M","-0.44%"
"10/19/2022","153.72","152.66","154.28","151.73","1.16M","-1.18%"
"10/18/2022","155.56","158.00","159.82","154.15","1.68M","0.97%"
"10/17/2022","154.07","152.23","155.16","151.84","2.29M","4.49%"
"10/14/2022","147.45","152.32","152.92","147.23","2.37M","-2.06%"
"10/13/2022","150.55","142.37","151.62","142.34","4.68M","1.74%"
"10/12/2022","147.97","149.24","151.33","147.83","2.66M","-0.05%"
"10/11/2022","148.04","154.57","154.90","147.06","4.03M","-4.31%"
"10/10/2022","154.71","159.48","159.86","152.73","2.24M","-2.64%"
"10/07/2022","158.90","165.26","165.62","158.00","2.42M","-5.65%"
"10/06/2022","168.41","169.95","171.64","168.17","1.85M","-0.76%"
"10/05/2022","169.70","170.01","170.79","167.72","2.59M","-0.95%"
"10/04/2022","171.33","173.28","174.33","170.34","2.13M","0.62%"
"10/03/2022","170.28","164.39","171.26","164.39","1.80M","4.19%"
"09/30/2022","163.43","164.75","167.58","163.27","2.16M","-0.77%"
"09/29/2022","164.69","165.59","166.85","163.15","1.58M","-1.37%"
"09/28/2022","166.97","164.00","167.66","162.09","1.48M","2.35%"
"09/27/2022","163.13","164.26","164.91","160.61","1.54M","0.46%"
"09/26/2022","162.38","161.49","164.99","161.49","1.78M","0.88%"
"09/23/2022","160.97","160.96","162.50","159.12","1.67M","-0.83%"
"09/22/2022","162.32","164.31","165.79","161.87","1.81M","-2.24%"
"09/21/2022","166.04","168.54","172.06","166.00","2.10M","-0.57%"
"09/20/2022","166.99","165.97","168.30","165.79","1.73M","-0.12%"
"09/19/2022","167.19","162.63","167.29","162.57","1.56M","1.78%"
"09/16/2022","164.27","161.92","164.80","160.82","3.47M","0.75%"
"09/15/2022","163.05","165.38","165.76","161.16","2.16M","-2.50%"
"09/14/2022","167.23","168.38","168.84","165.19","1.56M","0.19%"
"09/13/2022","166.92","169.68","170.49","166.66","1.95M","-4.63%"
