"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","125.45","125.00","126.87","124.94","696.96K","-1.04%"
"02/02/2023","126.77","125.57","128.35","124.53","959.12K","1.43%"
"02/01/2023","124.98","122.42","126.70","122.25","1.01M","1.44%"
"01/31/2023","123.20","122.55","123.54","121.07","1.10M","1.03%"
"01/30/2023","121.95","118.72","122.58","118.72","973.18K","1.20%"
"01/27/2023","120.50","119.20","120.84","119.00","889.83K","0.05%"
"01/26/2023","120.44","121.16","121.30","118.50","953.40K","-0.85%"
"01/25/2023","121.47","120.38","121.48","118.74","627.27K","-0.70%"
"01/24/2023","122.33","122.48","123.36","120.85","569.89K","-0.50%"
"01/23/2023","122.95","121.70","123.17","121.04","665.09K","1.12%"
"01/20/2023","121.59","117.38","121.83","116.72","920.60K","4.30%"
"01/19/2023","116.58","117.22","118.17","114.54","686.48K","-1.77%"
"01/18/2023","118.68","120.93","122.00","118.22","733.16K","-1.16%"
"01/17/2023","120.07","121.95","122.05","119.82","1.16M","-1.01%"
"01/13/2023","121.29","119.79","121.49","119.54","765.89K","-0.29%"
"01/12/2023","121.64","119.33","122.22","117.58","1.53M","2.11%"
"01/11/2023","119.13","120.04","120.79","117.26","892.36K","0.51%"
"01/10/2023","118.53","117.34","118.80","116.26","915.62K","1.48%"
"01/09/2023","116.80","117.52","119.46","115.63","1.59M","0.15%"
"01/06/2023","116.62","112.12","116.93","112.09","1.20M","5.20%"
"01/05/2023","110.86","107.56","111.42","106.57","1.25M","1.57%"
"01/04/2023","109.15","107.54","109.58","105.47","1.02M","6.73%"
"01/03/2023","102.27","103.34","104.47","100.93","885.43K","0.03%"
"12/30/2022","102.24","102.25","102.89","100.93","506.55K","-1.21%"
"12/29/2022","103.49","101.26","103.93","100.69","532.45K","2.98%"
"12/28/2022","100.50","104.10","104.65","100.36","577.28K","-3.13%"
"12/27/2022","103.75","103.00","103.86","101.98","624.51K","1.16%"
"12/23/2022","102.56","101.01","102.60","100.20","810.98K","1.41%"
"12/22/2022","101.13","101.26","102.29","98.84","992.52K","-1.86%"
"12/21/2022","103.05","102.28","104.00","102.28","710.19K","1.64%"
"12/20/2022","101.39","100.53","101.65","100.24","751.95K","0.41%"
"12/19/2022","100.98","101.79","102.94","100.30","752.77K","-0.54%"
"12/16/2022","101.53","101.29","102.33","100.55","2.15M","-0.85%"
"12/15/2022","102.40","104.13","104.64","102.11","1.58M","-3.38%"
"12/14/2022","105.98","107.56","109.34","103.83","1.27M","-2.76%"
