"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","85.93","84.91","86.58","84.65","2.39M","1.06%"
"02/02/2023","85.03","85.18","86.99","84.39","3.10M","-0.29%"
"02/01/2023","85.28","84.01","86.66","83.31","2.42M","0.68%"
"01/31/2023","84.70","82.68","84.84","82.50","2.17M","2.42%"
"01/30/2023","82.70","82.27","83.67","81.81","2.49M","-0.46%"
"01/27/2023","83.08","84.71","85.68","83.01","2.92M","-2.37%"
"01/26/2023","85.10","84.39","85.14","82.86","2.79M","1.60%"
"01/25/2023","83.76","84.11","84.94","82.68","2.62M","-1.39%"
"01/24/2023","84.94","85.00","86.00","82.83","2.63M","-0.68%"
"01/23/2023","85.52","86.79","87.19","84.79","2.40M","-1.11%"
"01/20/2023","86.48","84.95","86.52","84.10","1.70M","1.28%"
"01/19/2023","85.39","85.40","85.82","83.29","2.26M","0.90%"
"01/18/2023","84.63","86.75","87.38","84.15","2.62M","-1.59%"
"01/17/2023","86.00","87.36","88.08","85.98","2.76M","-1.05%"
"01/13/2023","86.91","85.32","87.09","84.70","2.07M","0.70%"
"01/12/2023","86.31","84.14","86.52","83.31","2.89M","2.69%"
"01/11/2023","84.05","83.27","84.80","82.51","2.80M","1.27%"
"01/10/2023","83.00","86.69","86.99","82.41","3.53M","-3.49%"
"01/09/2023","86.00","84.77","86.53","84.02","3.38M","1.88%"
"01/06/2023","84.41","83.90","85.75","82.66","2.96M","0.75%"
"01/05/2023","83.78","82.11","84.39","81.64","3.30M","1.66%"
"01/04/2023","82.41","81.62","82.68","80.32","4.53M","0.56%"
"01/03/2023","81.95","84.69","84.99","81.29","4.93M","-3.81%"
"12/30/2022","85.20","85.35","85.95","84.47","1.67M","-0.36%"
"12/29/2022","85.51","86.28","87.31","85.15","2.15M","-0.96%"
"12/28/2022","86.34","87.00","87.98","85.84","2.08M","-1.44%"
"12/27/2022","87.60","90.75","91.15","87.22","2.53M","-3.46%"
"12/23/2022","90.74","90.68","91.43","90.00","1.50M","0.93%"
"12/22/2022","89.90","93.34","93.34","88.32","2.95M","-3.88%"
"12/21/2022","93.53","93.80","94.24","92.00","1.66M","-0.02%"
"12/20/2022","93.55","93.50","94.42","92.49","1.51M","0.90%"
"12/19/2022","92.72","95.33","96.27","92.03","2.23M","-2.47%"
"12/16/2022","95.07","93.34","95.29","92.66","4.98M","0.55%"
