"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","44.44","44.15","44.81","44.15","2.97M","-0.04%"
"02/02/2023","44.46","43.88","44.78","43.72","3.60M","1.83%"
"02/01/2023","43.66","43.00","44.03","42.90","3.59M","0.78%"
"01/31/2023","43.32","42.41","43.34","42.18","2.92M","2.44%"
"01/30/2023","42.29","42.63","43.02","42.19","3.41M","-2.31%"
"01/27/2023","43.29","43.04","43.47","43.04","2.86M","0.39%"
"01/26/2023","43.12","43.05","43.36","42.48","3.79M","0.87%"
"01/25/2023","42.75","41.58","42.77","41.49","5.27M","2.22%"
"01/24/2023","41.82","42.42","42.57","41.63","4.27M","-1.41%"
"01/23/2023","42.42","41.49","42.72","41.26","4.22M","2.81%"
"01/20/2023","41.26","40.52","41.26","40.11","7.98M","2.46%"
"01/19/2023","40.27","40.49","40.68","39.86","4.81M","-1.54%"
"01/18/2023","40.90","40.60","41.49","40.24","7.23M","0.20%"
"01/17/2023","40.82","41.49","41.61","40.47","6.03M","-2.16%"
"01/13/2023","41.72","41.28","41.78","40.69","3.89M","-0.26%"
"01/12/2023","41.83","41.78","42.24","41.59","3.02M","0.87%"
"01/11/2023","41.47","41.32","41.74","41.17","3.41M","0.51%"
"01/10/2023","41.26","41.07","41.32","40.84","2.51M","0.39%"
"01/09/2023","41.10","41.66","41.85","41.01","2.41M","-1.30%"
"01/06/2023","41.64","40.59","41.81","40.51","3.24M","2.89%"
"01/05/2023","40.47","40.40","40.66","39.92","3.82M","-0.44%"
"01/04/2023","40.65","40.01","40.93","39.90","3.24M","2.83%"
"01/03/2023","39.53","39.50","40.02","39.19","3.78M","0.41%"
"12/30/2022","39.37","39.24","39.51","39.12","2.20M","-0.25%"
"12/29/2022","39.47","39.06","39.68","38.91","2.30M","1.28%"
"12/28/2022","38.97","39.26","39.40","38.87","1.88M","-0.61%"
"12/27/2022","39.21","38.95","39.28","38.78","1.66M","0.80%"
"12/23/2022","38.90","38.82","39.11","38.61","1.81M","0.03%"
"12/22/2022","38.89","38.37","38.94","37.97","3.05M","0.49%"
"12/21/2022","38.70","38.59","39.09","38.56","3.83M","1.71%"
"12/20/2022","38.05","38.34","38.66","38.00","4.14M","-0.39%"
"12/19/2022","38.20","38.29","38.77","37.88","2.72M","-0.34%"
"12/16/2022","38.33","37.92","38.41","37.75","6.15M","0.03%"
"12/15/2022","38.32","38.38","38.75","38.13","4.83M","-1.89%"
"12/14/2022","39.06","39.89","40.00","38.88","4.26M","-2.11%"
"12/13/2022","39.90","41.35","41.59","39.61","4.63M","-1.31%"
"12/12/2022","40.43","39.90","40.55","39.33","3.30M","1.53%"
"12/09/2022","39.82","39.38","39.96","39.18","3.37M","0.61%"
"12/08/2022","39.58","39.68","39.95","39.29","4.39M","0.20%"
"12/07/2022","39.50","39.11","39.96","38.86","4.53M","0.46%"
"12/06/2022","39.32","39.31","39.90","38.82","4.91M","-0.41%"
"12/05/2022","39.48","41.43","41.43","39.25","4.51M","-5.32%"
"12/02/2022","41.70","41.52","41.94","41.32","2.58M","-0.67%"
"12/01/2022","41.98","42.51","42.76","41.57","3.30M","-0.94%"
"11/30/2022","42.38","41.59","42.38","40.73","4.43M","1.41%"
"11/29/2022","41.79","41.21","41.90","41.00","3.32M","1.63%"
"11/28/2022","41.12","41.41","41.63","40.99","2.95M","-1.88%"
"11/25/2022","41.91","41.75","42.09","41.75","1.30M","0.84%"
"11/23/2022","41.56","41.29","41.74","41.15","2.60M","0.41%"
"11/22/2022","41.39","41.04","41.47","40.98","3.14M","1.85%"
"11/21/2022","40.64","40.27","40.72","40.26","3.06M","0.57%"
"11/18/2022","40.41","40.42","40.56","39.86","3.74M","1.81%"
"11/17/2022","39.69","39.12","39.78","38.85","2.95M","-0.05%"
"11/16/2022","39.71","40.40","40.59","39.51","3.11M","-1.85%"
"11/15/2022","40.46","40.86","41.49","40.14","3.91M","0.40%"
"11/14/2022","40.30","41.23","41.46","40.28","3.73M","-3.01%"
"11/11/2022","41.55","41.58","41.88","41.19","3.18M","0.31%"
"11/10/2022","41.42","40.91","41.64","40.85","4.43M","4.44%"
"11/09/2022","39.66","39.78","40.06","39.19","4.28M","-1.34%"
"11/08/2022","40.20","40.17","40.56","39.79","3.74M","-0.07%"
"11/07/2022","40.23","40.37","40.50","39.79","4.81M","0.27%"
"11/04/2022","40.12","39.63","40.54","39.41","5.91M","2.53%"
"11/03/2022","39.13","39.00","39.45","38.32","3.19M","-1.09%"
"11/02/2022","39.56","40.32","40.93","39.54","4.36M","-2.18%"
"11/01/2022","40.44","40.96","41.02","40.20","5.97M","-1.12%"
"10/31/2022","40.90","40.78","41.20","40.65","4.03M","-0.20%"
"10/28/2022","40.98","40.26","41.00","40.01","3.60M","2.35%"
"10/27/2022","40.04","40.52","40.87","39.98","3.14M","-0.37%"
"10/26/2022","40.19","40.52","40.82","40.06","4.65M","-0.62%"
"10/25/2022","40.44","39.07","40.58","38.85","6.43M","2.67%"
"10/24/2022","39.39","38.25","39.65","38.04","6.39M","3.82%"
"10/21/2022","37.94","35.85","38.08","35.64","6.97M","5.68%"
"10/20/2022","35.90","36.90","37.75","35.64","5.98M","-2.23%"
"10/19/2022","36.72","37.35","38.42","36.54","6.10M","-0.60%"
"10/18/2022","36.94","36.93","37.44","36.34","5.09M","1.79%"
"10/17/2022","36.29","36.77","36.92","36.05","5.15M","1.31%"
"10/14/2022","35.82","36.36","37.21","35.75","4.02M","-0.86%"
