"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","82.90","80.06","84.40","80.06","2.29M","3.87%"
"02/02/2023","79.81","80.77","80.95","79.34","1.80M","-1.95%"
"02/01/2023","81.40","80.73","81.71","80.07","2.05M","0.67%"
"01/31/2023","80.86","80.78","81.06","80.15","2.09M","0.34%"
"01/30/2023","80.59","79.72","80.96","79.43","1.60M","1.31%"
"01/27/2023","79.55","80.74","81.08","78.63","2.37M","-2.14%"
"01/26/2023","81.29","81.91","82.23","80.84","845.00K","-1.01%"
"01/25/2023","82.12","81.83","82.40","80.62","1.13M","-0.73%"
"01/24/2023","82.72","83.41","83.96","82.27","1.09M","-0.84%"
"01/23/2023","83.42","83.31","83.79","82.69","1.01M","0.26%"
"01/20/2023","83.20","80.43","83.26","79.55","1.51M","3.29%"
"01/19/2023","80.55","81.20","81.66","80.54","1.26M","-1.84%"
"01/18/2023","82.06","84.38","84.67","82.05","1.37M","-3.14%"
"01/17/2023","84.72","84.94","86.04","84.47","2.55M","3.43%"
"01/13/2023","81.91","81.21","82.00","81.13","778.19K","0.64%"
"01/12/2023","81.39","81.85","81.96","80.90","1.16M","-0.40%"
"01/11/2023","81.72","81.69","81.97","80.87","1.05M","0.53%"
"01/10/2023","81.29","82.34","82.72","81.04","992.85K","-1.17%"
"01/09/2023","82.25","83.33","83.74","82.21","1.54M","-1.60%"
"01/06/2023","83.59","82.80","84.00","82.54","902.72K","1.96%"
"01/05/2023","81.98","82.44","82.77","81.61","915.34K","-0.98%"
"01/04/2023","82.79","82.08","83.07","81.75","1.19M","0.94%"
"01/03/2023","82.02","80.75","82.09","80.34","1.55M","1.75%"
"12/30/2022","80.61","81.50","81.50","79.97","917.78K","-1.19%"
"12/29/2022","81.58","81.05","81.88","81.00","587.02K","0.82%"
"12/28/2022","80.92","82.02","82.44","80.91","684.99K","-1.21%"
"12/27/2022","81.91","82.13","82.45","81.72","803.82K","-0.18%"
"12/23/2022","82.06","81.74","82.19","81.24","538.75K","0.27%"
"12/22/2022","81.84","80.81","81.91","80.52","1.14M","1.05%"
"12/21/2022","80.99","80.01","81.15","79.82","810.45K","1.47%"
"12/20/2022","79.82","79.69","80.36","78.92","962.25K","-0.09%"
"12/19/2022","79.89","80.04","80.96","79.39","1.30M","-0.27%"
"12/16/2022","80.11","81.18","81.53","79.86","2.53M","-1.81%"
"12/15/2022","81.59","81.54","81.94","80.42","1.88M","-0.75%"
"12/14/2022","82.21","81.83","82.89","81.83","1.51M","0.27%"
"12/13/2022","81.99","82.14","82.67","81.14","2.05M","0.99%"
"12/12/2022","81.19","80.31","81.39","79.58","1.05M","1.45%"
"12/09/2022","80.03","80.67","81.17","79.84","1.75M","-1.38%"
"12/08/2022","81.15","80.27","81.19","80.27","1.19M","0.56%"
"12/07/2022","80.70","80.63","81.22","79.77","1.16M","0.32%"
"12/06/2022","80.44","80.78","81.04","80.03","1.40M","0.06%"
"12/05/2022","80.39","81.93","82.11","80.31","1.42M","-3.23%"
"12/02/2022","83.07","81.94","83.44","81.77","2.06M","1.01%"
"12/01/2022","82.24","82.38","83.59","81.73","1.58M","0.45%"
"11/30/2022","81.87","79.35","81.90","79.06","2.26M","2.99%"
"11/29/2022","79.49","79.21","80.36","78.80","1.43M","0.00%"
"11/28/2022","79.49","78.82","79.68","78.72","1.54M","0.76%"
"11/25/2022","78.89","78.94","78.94","78.18","495.66K","0.41%"
"11/23/2022","78.57","78.43","78.68","78.10","1.07M","0.61%"
"11/22/2022","78.09","77.82","78.25","77.43","1.27M","0.63%"
"11/21/2022","77.60","76.59","78.16","76.24","1.31M","1.54%"
"11/18/2022","76.42","75.93","76.53","75.86","1.50M","1.58%"
"11/17/2022","75.23","74.88","75.28","74.24","1.62M","-0.09%"
"11/16/2022","75.30","75.96","76.82","75.26","1.22M","-0.28%"
"11/15/2022","75.51","75.23","75.71","74.33","1.75M","1.38%"
"11/14/2022","74.48","74.52","76.40","74.46","1.37M","0.01%"
"11/11/2022","74.47","75.00","75.13","73.21","2.02M","-0.63%"
"11/10/2022","74.94","74.04","75.10","72.98","1.75M","3.32%"
"11/09/2022","72.53","72.92","73.51","72.36","1.20M","-0.48%"
"11/08/2022","72.88","72.78","73.58","72.27","1.24M","0.03%"
"11/07/2022","72.86","72.26","72.99","71.75","1.30M","2.04%"
"11/04/2022","71.40","71.94","72.31","70.30","2.22M","-0.11%"
"11/03/2022","71.48","71.47","72.18","70.46","2.28M","-1.37%"
"11/02/2022","72.47","73.55","74.49","72.08","2.14M","-1.59%"
"11/01/2022","73.64","74.53","75.60","73.48","2.33M","-0.66%"
"10/31/2022","74.13","76.39","76.97","73.26","4.85M","-2.93%"
"10/28/2022","76.37","76.83","77.42","74.57","3.34M","-0.18%"
"10/27/2022","76.51","76.86","78.16","76.47","2.34M","-0.07%"
"10/26/2022","76.56","75.92","77.01","75.71","1.75M","1.24%"
"10/25/2022","75.62","74.16","75.79","73.44","1.71M","1.95%"
"10/24/2022","74.17","73.64","74.49","73.12","1.25M","1.34%"
"10/21/2022","73.19","71.21","73.34","71.21","1.31M","1.36%"
"10/20/2022","72.21","73.56","73.98","72.14","1.45M","-1.92%"
"10/19/2022","73.62","74.03","75.02","73.29","1.51M","-0.30%"
"10/18/2022","73.84","74.79","75.89","73.60","1.11M","-0.19%"
"10/17/2022","73.98","72.96","74.45","72.96","1.51M","2.04%"
"10/14/2022","72.50","73.46","73.55","72.15","1.47M","-0.83%"
"10/13/2022","73.11","71.30","73.40","70.91","1.17M","1.71%"
"10/12/2022","71.88","72.26","72.68","71.86","1.45M","-0.04%"
"10/11/2022","71.91","71.29","72.59","71.22","1.41M","1.04%"
"10/10/2022","71.17","70.42","71.30","70.16","786.24K","0.64%"
"10/07/2022","70.72","71.89","71.92","70.31","1.18M","-1.53%"
"10/06/2022","71.82","72.63","72.64","71.67","1.24M","-0.95%"
"10/05/2022","72.51","73.44","73.44","71.89","2.57M","-1.15%"
"10/04/2022","73.35","72.90","73.97","72.58","1.32M","0.62%"
"10/03/2022","72.90","71.80","73.03","71.65","1.37M","2.04%"
"09/30/2022","71.44","72.88","73.22","71.39","1.72M","-2.03%"
"09/29/2022","72.92","74.01","74.08","72.57","1.27M","-1.47%"
"09/28/2022","74.01","73.75","74.49","72.86","1.66M","1.08%"
"09/27/2022","73.22","75.28","75.89","72.87","1.70M","-2.71%"
"09/26/2022","75.26","75.45","75.91","74.83","1.60M","0.05%"
"09/23/2022","75.22","75.02","75.62","74.32","1.18M","0.03%"
"09/22/2022","75.20","74.39","75.65","74.16","1.41M","0.68%"
"09/21/2022","74.69","75.29","76.01","74.67","1.33M","-0.52%"
"09/20/2022","75.08","75.90","76.26","74.68","1.59M","-1.97%"
"09/19/2022","76.59","76.50","76.67","75.69","1.30M","0.07%"
"09/16/2022","76.54","77.11","77.43","76.41","1.89M","-0.65%"
"09/15/2022","77.04","77.76","77.90","76.32","1.87M","-0.64%"
"09/14/2022","77.54","78.76","79.06","77.17","1.99M","-1.61%"
"09/13/2022","78.81","81.98","82.00","78.71","1.78M","-4.18%"
"09/12/2022","82.25","81.60","82.79","81.27","1.46M","0.85%"
"09/09/2022","81.56","80.78","82.26","80.36","1.65M","0.89%"
"09/08/2022","80.84","80.88","81.22","79.35","1.70M","-0.86%"
"09/07/2022","81.54","80.58","81.71","80.41","1.69M","1.63%"
"09/06/2022","80.23","81.88","82.94","80.10","2.92M","-4.69%"
"09/02/2022","84.18","85.24","85.73","83.89","1.48M","-0.80%"
