"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","115.11","114.90","116.46","114.67","682.33K","-0.26%"
"02/02/2023","115.41","114.06","115.69","113.00","668.04K","0.96%"
"02/01/2023","114.31","112.85","114.85","111.90","697.15K","1.03%"
"01/31/2023","113.15","111.66","113.44","110.26","1.31M","1.46%"
"01/30/2023","111.52","106.25","113.57","105.78","1.34M","5.77%"
"01/27/2023","105.44","105.39","105.99","104.41","392.82K","-0.33%"
"01/26/2023","105.79","105.36","105.91","104.75","376.50K","0.59%"
"01/25/2023","105.17","104.27","105.49","103.42","378.02K","-0.31%"
"01/24/2023","105.50","105.32","106.25","105.09","340.54K","0.29%"
"01/23/2023","105.19","103.35","105.73","101.98","416.71K","2.39%"
"01/20/2023","102.73","101.15","102.95","98.83","570.48K","1.56%"
"01/19/2023","101.15","103.58","104.21","101.05","678.11K","-3.11%"
"01/18/2023","104.40","106.19","107.01","104.33","355.39K","-1.69%"
"01/17/2023","106.19","108.75","109.04","105.12","573.66K","-2.35%"
"01/13/2023","108.75","107.09","109.11","106.83","317.29K","0.76%"
"01/12/2023","107.93","109.88","110.31","107.72","475.47K","-1.78%"
"01/11/2023","109.89","110.14","111.28","109.35","457.54K","-0.56%"
"01/10/2023","110.51","108.35","111.10","108.26","456.67K","1.67%"
"01/09/2023","108.69","109.74","109.85","108.43","621.93K","-0.96%"
"01/06/2023","109.74","107.88","110.22","107.21","476.38K","2.88%"
"01/05/2023","106.67","106.25","106.91","105.32","575.88K","0.30%"
"01/04/2023","106.35","104.81","106.57","104.81","440.46K","2.25%"
"01/03/2023","104.01","102.40","104.66","102.40","526.46K","1.58%"
"12/30/2022","102.39","103.08","103.86","101.48","394.80K","-1.70%"
"12/29/2022","104.16","103.19","104.68","102.89","383.43K","1.41%"
"12/28/2022","102.71","104.81","104.99","102.69","284.39K","-1.66%"
"12/27/2022","104.44","104.67","105.34","103.85","246.36K","-0.02%"
"12/23/2022","104.46","103.72","104.52","103.11","216.45K","0.68%"
"12/22/2022","103.75","104.07","104.36","102.24","321.86K","-0.77%"
"12/21/2022","104.55","102.80","104.68","102.76","404.30K","2.19%"
"12/20/2022","102.31","101.46","102.96","101.33","480.63K","1.36%"
"12/19/2022","100.94","102.44","103.03","100.15","603.76K","-1.25%"
"12/16/2022","102.22","102.50","103.09","100.93","2.36M","-1.39%"
"12/15/2022","103.66","103.90","104.78","103.42","496.60K","-2.58%"
"12/14/2022","106.41","107.67","109.23","105.66","615.47K","-1.10%"
"12/13/2022","107.59","109.23","110.01","107.34","648.49K","0.20%"
"12/12/2022","107.37","106.11","107.41","104.89","458.72K","1.38%"
"12/09/2022","105.91","106.25","106.89","104.69","463.07K","-0.28%"
"12/08/2022","106.21","104.99","106.27","104.61","464.21K","1.35%"
