"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","74.29","73.96","74.39","73.22","3.86M","0.76%"
"02/02/2023","73.73","74.18","74.20","73.31","5.00M","-1.68%"
"02/01/2023","74.99","74.43","75.30","74.11","3.69M","0.62%"
"01/31/2023","74.53","73.38","74.54","73.26","5.89M","2.26%"
"01/30/2023","72.88","72.20","73.73","72.05","8.91M","1.80%"
"01/27/2023","71.59","72.85","73.04","70.94","13.48M","-5.22%"
"01/26/2023","75.53","75.62","75.81","75.12","3.73M","-0.32%"
"01/25/2023","75.77","75.48","75.99","74.63","3.14M","-0.22%"
"01/24/2023","75.94","75.80","75.99","74.50","4.22M","0.58%"
"01/23/2023","75.50","75.54","75.67","74.94","2.46M","0.08%"
"01/20/2023","75.44","74.75","75.54","74.03","11.90M","0.32%"
"01/19/2023","75.20","75.77","76.53","75.18","4.44M","-1.47%"
"01/18/2023","76.32","77.99","78.33","76.31","4.00M","-2.44%"
"01/17/2023","78.23","78.16","78.96","78.08","5.61M","0.49%"
"01/13/2023","77.85","76.69","78.00","76.57","3.80M","1.31%"
"01/12/2023","76.84","77.36","77.60","76.35","5.78M","-0.38%"
"01/11/2023","77.13","78.44","78.71","76.69","9.12M","-1.51%"
"01/10/2023","78.31","78.97","78.97","78.02","3.39M","-0.53%"
"01/09/2023","78.73","79.96","80.40","78.56","2.83M","-1.56%"
"01/06/2023","79.98","79.40","80.46","79.17","2.27M","1.83%"
"01/05/2023","78.54","79.52","79.81","78.44","2.30M","-1.38%"
"01/04/2023","79.64","79.20","80.13","79.18","3.73M","0.64%"
"01/03/2023","79.13","78.79","79.17","77.72","2.89M","0.43%"
"12/30/2022","78.79","79.33","79.45","78.21","2.24M","-0.73%"
"12/29/2022","79.37","79.29","79.66","78.96","1.95M","0.70%"
"12/28/2022","78.82","80.17","80.44","78.81","1.90M","-1.40%"
"12/27/2022","79.94","79.56","80.23","79.26","3.04M","0.62%"
"12/23/2022","79.45","79.21","79.58","78.94","1.49M","0.21%"
"12/22/2022","79.28","78.99","79.31","78.22","2.55M","0.37%"
"12/21/2022","78.99","78.02","78.99","78.00","3.02M","1.67%"
"12/20/2022","77.69","77.90","78.07","77.13","2.77M","-0.37%"
"12/19/2022","77.98","77.60","78.92","77.42","3.35M","0.28%"
"12/16/2022","77.76","77.47","78.12","77.25","9.43M","-0.15%"
"12/15/2022","77.88","78.51","78.86","77.22","3.61M","-1.84%"
"12/14/2022","79.34","78.94","79.84","78.57","3.69M","0.75%"
"12/13/2022","78.75","79.25","79.45","78.02","3.69M","0.18%"
"12/12/2022","78.61","77.99","78.71","77.62","4.37M","1.07%"
"12/09/2022","77.78","77.97","78.36","77.70","2.52M","-0.46%"
"12/08/2022","78.14","77.38","78.17","77.06","2.65M","0.76%"
"12/07/2022","77.55","77.26","77.68","77.00","3.97M","0.44%"
"12/06/2022","77.21","77.22","77.67","76.69","3.02M","0.12%"
"12/05/2022","77.12","77.48","77.73","76.96","3.15M","-1.34%"
"12/02/2022","78.17","77.47","78.25","77.27","2.80M","0.54%"
"12/01/2022","77.75","77.77","78.45","77.68","3.51M","0.35%"
"11/30/2022","77.48","75.86","77.48","75.70","5.82M","1.99%"
"11/29/2022","75.97","75.96","76.38","75.64","2.50M","-0.54%"
"11/28/2022","76.38","76.54","76.97","76.25","2.51M","-0.51%"
"11/25/2022","76.77","77.13","77.23","76.66","1.39M","-0.21%"
"11/23/2022","76.93","76.54","77.00","76.48","3.86M","0.73%"
"11/22/2022","76.37","77.22","77.39","76.09","4.29M","-0.72%"
"11/21/2022","76.92","76.70","77.29","76.34","4.23M","0.60%"
"11/18/2022","76.46","76.07","76.68","75.71","4.06M","1.55%"
"11/17/2022","75.29","75.85","76.25","75.04","4.62M","-0.95%"
"11/16/2022","76.01","75.69","76.57","75.65","2.80M","0.92%"
"11/15/2022","75.32","75.48","75.92","74.58","3.50M","1.01%"
"11/14/2022","74.57","74.90","76.11","74.55","3.24M","0.00%"
"11/11/2022","74.57","74.87","75.38","73.64","3.16M","-0.53%"
"11/10/2022","74.97","74.78","75.11","73.79","3.83M","2.06%"
"11/09/2022","73.46","73.77","73.88","73.42","3.37M","-0.47%"
"11/08/2022","73.81","73.87","74.75","73.35","3.29M","0.42%"
"11/07/2022","73.50","73.49","74.01","73.11","3.05M","0.42%"
"11/04/2022","73.19","73.00","73.68","72.31","3.95M","1.11%"
"11/03/2022","72.39","72.21","72.76","72.07","3.00M","-0.52%"
"11/02/2022","72.77","73.62","74.40","72.76","3.99M","-1.32%"
"11/01/2022","73.74","73.75","74.55","73.54","3.72M","-0.14%"
"10/31/2022","73.84","74.61","75.10","73.57","6.69M","-1.07%"
"10/28/2022","74.64","71.64","74.68","71.29","5.61M","1.93%"
"10/27/2022","73.23","73.69","74.24","73.06","5.13M","-0.27%"
"10/26/2022","73.43","73.01","73.66","72.51","3.62M","0.92%"
"10/25/2022","72.76","72.00","72.95","71.79","3.98M","1.03%"
