"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","154.77","153.00","157.77","148.27","5.15M","9.77%"
"02/02/2023","141.00","142.97","143.66","139.72","1.86M","-2.36%"
"02/01/2023","144.41","144.10","145.08","141.85","1.27M","-0.19%"
"01/31/2023","144.69","142.53","144.95","141.96","1.79M","1.79%"
"01/30/2023","142.15","141.00","142.71","140.85","1.32M","1.17%"
"01/27/2023","140.50","140.96","140.96","137.70","1.45M","-0.97%"
"01/26/2023","141.88","141.34","141.93","140.55","1.20M","0.29%"
"01/25/2023","141.47","139.36","141.52","137.75","1.28M","0.35%"
"01/24/2023","140.98","142.41","142.70","140.57","895.62K","-1.32%"
"01/23/2023","142.86","143.05","143.89","141.86","1.02M","0.21%"
"01/20/2023","142.56","140.01","142.69","138.75","1.11M","1.98%"
"01/19/2023","139.79","141.99","142.72","139.78","1.37M","-2.46%"
"01/18/2023","143.32","147.47","147.47","143.19","1.33M","-3.16%"
"01/17/2023","147.99","146.77","149.40","146.52","1.49M","1.29%"
"01/13/2023","146.11","142.74","146.15","142.74","1.16M","2.30%"
"01/12/2023","142.82","141.92","142.99","140.69","1.02M","0.61%"
"01/11/2023","141.95","141.30","142.63","140.50","1.08M","0.69%"
"01/10/2023","140.98","143.02","143.18","140.66","852.34K","-1.18%"
"01/09/2023","142.66","144.14","145.16","142.56","905.88K","-1.23%"
"01/06/2023","144.44","142.94","145.21","142.89","748.43K","1.66%"
"01/05/2023","142.08","143.44","143.71","141.45","947.96K","-1.14%"
"01/04/2023","143.72","142.54","144.43","142.32","865.91K","1.03%"
"01/03/2023","142.26","140.33","142.56","138.39","1.40M","1.38%"
"12/30/2022","140.33","142.35","142.55","139.01","789.57K","-1.47%"
"12/29/2022","142.42","142.72","143.34","141.84","682.65K","0.04%"
"12/28/2022","142.36","144.63","145.17","142.17","484.93K","-1.30%"
"12/27/2022","144.24","144.01","144.85","143.34","661.48K","0.09%"
"12/23/2022","144.11","145.42","145.42","143.56","562.77K","-0.89%"
"12/22/2022","145.40","143.40","145.62","143.07","841.08K","1.25%"
"12/21/2022","143.60","143.40","145.18","143.20","761.83K","0.51%"
"12/20/2022","142.87","144.48","144.48","141.24","826.44K","-1.34%"
"12/19/2022","144.81","144.26","146.65","143.62","838.10K","0.15%"
"12/16/2022","144.60","145.41","146.70","143.63","1.68M","-1.21%"
"12/15/2022","146.37","146.60","147.67","144.74","715.94K","-1.27%"
"12/14/2022","148.26","147.60","149.94","147.08","748.75K","0.43%"
"12/13/2022","147.62","151.97","151.97","146.87","1.18M","-1.57%"
"12/12/2022","149.97","149.85","149.98","147.65","572.49K","0.80%"
"12/09/2022","148.78","149.63","150.25","148.52","662.10K","-0.95%"
"12/08/2022","150.21","148.79","151.16","147.85","820.92K","0.60%"
"12/07/2022","149.32","147.32","149.38","147.25","808.10K","1.61%"
"12/06/2022","146.95","149.02","149.98","146.06","793.07K","-1.39%"
"12/05/2022","149.02","148.88","149.52","148.34","654.38K","-1.10%"
"12/02/2022","150.68","148.85","151.18","148.30","885.94K","0.55%"
"12/01/2022","149.86","149.77","151.18","148.48","1.25M","0.81%"
"11/30/2022","148.65","147.22","149.01","145.03","5.17M","0.83%"
"11/29/2022","147.43","148.16","148.95","145.77","1.44M","-1.07%"
"11/28/2022","149.03","149.50","150.65","148.48","812.25K","-0.31%"
"11/25/2022","149.50","149.12","149.55","147.09","655.04K","0.26%"
"11/23/2022","149.11","151.55","151.92","149.05","929.95K","-1.25%"
"11/22/2022","151.00","150.07","151.32","149.03","1.04M","1.12%"
"11/21/2022","149.33","146.83","150.51","145.39","1.31M","1.73%"
"11/18/2022","146.79","147.52","148.01","145.58","1.03M","0.64%"
"11/17/2022","145.86","142.12","145.93","141.87","996.13K","2.11%"
"11/16/2022","142.84","145.08","145.84","142.55","1.01M","-1.44%"
"11/15/2022","144.93","145.02","145.64","143.48","771.93K","1.60%"
"11/14/2022","142.65","142.52","147.58","141.09","1.37M","0.52%"
