"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","75.39","74.35","76.35","73.65","1.20M","0.68%"
"02/02/2023","74.88","74.97","76.60","74.53","1.66M","0.71%"
"02/01/2023","74.35","72.52","75.13","72.30","1.12M","1.42%"
"01/31/2023","73.31","71.64","73.40","71.33","1.64M","2.68%"
"01/30/2023","71.40","72.00","72.50","71.38","673.17K","-1.61%"
"01/27/2023","72.57","72.00","72.95","71.79","1.98M","0.75%"
"01/26/2023","72.03","71.98","72.44","71.32","811.48K","0.71%"
"01/25/2023","71.52","70.63","71.81","70.00","1.30M","0.51%"
"01/24/2023","71.16","72.00","72.04","70.64","1.08M","-1.11%"
"01/23/2023","71.96","69.76","72.02","69.52","1.87M","4.09%"
"01/20/2023","69.13","70.12","70.55","68.75","2.41M","-1.02%"
"01/19/2023","69.84","67.30","71.22","67.17","3.42M","5.91%"
"01/18/2023","65.94","67.65","67.71","65.53","1.80M","-3.31%"
"01/17/2023","68.20","68.32","68.48","67.21","1.34M","-0.50%"
"01/13/2023","68.54","67.92","68.58","66.22","1.51M","-0.54%"
"01/12/2023","68.91","68.51","69.34","68.12","1.42M","1.28%"
"01/11/2023","68.04","68.02","68.53","67.25","1.11M","0.68%"
"01/10/2023","67.58","67.15","67.61","66.32","1.60M","1.15%"
"01/09/2023","66.81","67.73","67.89","66.79","1.02M","-1.17%"
"01/06/2023","67.60","66.56","67.93","65.93","1.15M","2.33%"
"01/05/2023","66.06","66.45","66.64","65.46","1.08M","-1.26%"
"01/04/2023","66.90","66.57","67.88","66.17","1.90M","1.29%"
"01/03/2023","66.05","67.25","67.78","65.22","1.45M","-1.20%"
"12/30/2022","66.85","66.23","66.96","66.23","672.24K","0.29%"
"12/29/2022","66.66","65.72","67.15","65.44","696.64K","1.57%"
"12/28/2022","65.63","66.49","66.60","65.16","907.59K","-1.10%"
"12/27/2022","66.36","66.35","66.74","65.53","579.39K","0.42%"
"12/23/2022","66.08","65.66","66.10","65.14","756.18K","0.79%"
"12/22/2022","65.56","64.46","65.64","63.83","2.78M","0.82%"
"12/21/2022","65.03","64.95","65.52","64.64","1.09M","2.26%"
"12/20/2022","63.59","63.66","64.19","63.33","1.45M","0.11%"
"12/19/2022","63.52","63.86","64.61","62.96","881.90K","-0.38%"
"12/16/2022","63.76","63.00","64.03","62.83","3.14M","0.09%"
