"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","176.55","175.68","179.50","174.54","3.08M","0.32%"
"02/02/2023","175.99","176.76","178.63","175.09","2.57M","0.26%"
"02/01/2023","175.54","176.26","177.64","174.90","1.95M","-0.63%"
"01/31/2023","176.66","175.87","176.67","174.16","1.85M","0.40%"
"01/30/2023","175.96","175.96","178.53","175.54","2.07M","0.16%"
"01/27/2023","175.68","176.44","176.59","174.73","1.58M","-0.62%"
"01/26/2023","176.77","174.08","177.13","173.87","2.44M","1.96%"
"01/25/2023","173.38","172.00","174.46","172.00","2.60M","0.14%"
"01/24/2023","173.13","174.97","175.99","171.93","1.55M","-0.71%"
"01/23/2023","174.36","176.24","176.24","173.75","1.69M","-0.40%"
"01/20/2023","175.06","174.63","175.74","173.63","2.33M","0.45%"
"01/19/2023","174.27","174.97","175.84","173.63","1.88M","-0.86%"
"01/18/2023","175.78","175.97","178.21","175.60","1.88M","-0.12%"
"01/17/2023","175.99","176.70","177.82","175.67","1.76M","0.21%"
"01/13/2023","175.62","175.16","177.04","174.90","1.07M","-0.61%"
"01/12/2023","176.71","175.00","176.84","173.06","1.96M","0.61%"
"01/11/2023","175.64","177.61","177.97","175.39","1.40M","-1.05%"
"01/10/2023","177.50","176.09","178.47","176.04","1.38M","0.97%"
"01/09/2023","175.80","175.33","178.67","174.85","2.17M","0.41%"
"01/06/2023","175.09","170.55","175.64","169.23","1.95M","3.15%"
"01/05/2023","169.75","170.54","171.76","169.41","1.48M","-0.19%"
"01/04/2023","170.08","169.92","170.47","168.03","2.24M","0.67%"
"01/03/2023","168.95","168.27","168.99","166.54","2.27M","0.47%"
"12/30/2022","168.16","168.09","169.26","166.95","1.05M","-0.59%"
"12/29/2022","169.16","168.70","170.29","168.28","1.35M","0.73%"
"12/28/2022","167.94","168.16","169.51","167.51","1.20M","0.16%"
"12/27/2022","167.68","170.31","170.74","166.61","1.95M","-3.26%"
"12/23/2022","173.33","173.29","173.85","172.35","1.31M","0.09%"
"12/22/2022","173.17","172.04","173.26","170.23","1.80M","0.17%"
"12/21/2022","172.87","170.01","172.90","169.25","1.71M","2.18%"
"12/20/2022","169.19","171.16","172.06","169.07","1.77M","-0.87%"
"12/19/2022","170.68","171.39","172.04","169.51","1.37M","-0.26%"
"12/16/2022","171.12","171.20","172.12","170.03","3.12M","-0.78%"
"12/15/2022","172.47","173.08","173.93","171.09","1.69M","-1.40%"
"12/14/2022","174.92","178.00","179.85","174.68","2.43M","-1.80%"
"12/13/2022","178.13","183.37","183.46","177.70","1.68M","-1.53%"
"12/12/2022","180.89","178.52","180.93","177.16","2.17M","1.15%"
"12/09/2022","178.83","177.31","179.25","177.27","2.47M","0.92%"
"12/08/2022","177.20","174.91","177.77","174.75","1.77M","0.68%"
"12/07/2022","176.00","179.35","180.51","175.35","2.32M","-2.16%"
"12/06/2022","179.89","181.12","181.99","179.70","2.48M","-0.27%"
"12/05/2022","180.38","176.98","180.68","175.06","2.92M","2.12%"
"12/02/2022","176.63","176.59","177.90","175.47","3.19M","-0.71%"
"12/01/2022","177.90","178.21","179.42","176.98","3.25M","0.79%"
"11/30/2022","176.50","174.94","177.20","172.05","3.87M","0.97%"
"11/29/2022","174.81","173.50","175.38","172.77","2.12M","0.97%"
"11/28/2022","173.13","174.80","175.36","172.31","2.30M","-1.07%"
"11/25/2022","175.00","176.44","176.74","174.00","1.09M","-0.57%"
"11/23/2022","176.00","174.81","177.73","174.65","2.09M","1.00%"
"11/22/2022","174.25","177.55","177.60","174.02","1.56M","-1.27%"
"11/21/2022","176.50","172.97","176.94","172.70","2.52M","2.32%"
"11/18/2022","172.50","174.00","174.34","171.16","2.07M","-0.59%"
"11/17/2022","173.53","174.43","175.37","173.41","2.40M","-0.78%"
"11/16/2022","174.89","174.29","176.39","173.99","2.68M","0.63%"
"11/15/2022","173.79","174.82","175.76","171.68","2.02M","-0.06%"
"11/14/2022","173.90","174.08","178.64","173.82","2.02M","-0.20%"
"11/11/2022","174.25","175.12","175.56","171.35","2.72M","-0.05%"
"11/10/2022","174.34","175.90","175.90","171.86","2.42M","1.95%"
"11/09/2022","171.00","174.54","174.56","170.81","1.77M","-1.27%"
"11/08/2022","173.20","169.75","174.16","169.25","3.23M","2.04%"
"11/07/2022","169.74","171.14","171.55","169.39","1.74M","-0.54%"
"11/04/2022","170.67","171.89","172.92","169.22","2.07M","-0.15%"
"11/03/2022","170.92","171.13","173.32","170.80","973.32K","-1.13%"
"11/02/2022","172.88","173.22","175.74","171.76","2.56M","-0.37%"
"11/01/2022","173.53","174.51","175.30","172.00","1.56M","0.13%"
"10/31/2022","173.30","173.37","174.91","172.79","1.61M","-0.83%"
"10/28/2022","174.75","173.80","175.56","171.68","1.66M","1.17%"
"10/27/2022","172.73","172.75","175.07","171.65","2.03M","0.47%"
"10/26/2022","171.93","176.55","178.22","171.07","2.17M","-2.20%"
"10/25/2022","175.80","171.26","176.36","171.07","3.03M","2.20%"
"10/24/2022","172.01","170.42","173.52","170.02","2.40M","1.19%"
"10/21/2022","169.99","170.40","170.40","166.58","3.40M","-0.24%"
"10/20/2022","170.40","171.98","173.68","169.95","1.78M","-1.39%"
"10/19/2022","172.80","173.64","175.29","172.46","1.14M","-0.84%"
"10/18/2022","174.26","177.04","177.07","173.88","1.24M","0.06%"
"10/17/2022","174.15","174.25","176.51","173.49","1.49M","1.36%"
"10/14/2022","171.82","174.50","175.83","171.35","1.30M","-1.50%"
"10/13/2022","174.44","170.88","175.05","168.50","2.23M","1.59%"
"10/12/2022","171.71","173.11","175.82","171.49","2.46M","1.04%"
"10/11/2022","169.95","169.93","171.70","169.01","1.70M","0.29%"
"10/10/2022","169.46","170.67","171.09","168.49","2.17M","-0.27%"
"10/07/2022","169.92","174.81","174.99","169.33","1.95M","-3.26%"
"10/06/2022","175.65","180.88","181.54","175.44","1.88M","-2.89%"
"10/05/2022","180.87","180.47","184.54","179.35","1.42M","-0.69%"
"10/04/2022","182.13","179.33","182.23","177.42","2.06M","2.22%"
"10/03/2022","178.18","177.58","179.27","175.11","2.02M","0.59%"
"09/30/2022","177.13","179.16","180.90","176.96","1.64M","-0.86%"
"09/29/2022","178.67","179.51","180.57","177.51","1.62M","-0.48%"
"09/28/2022","179.53","176.40","180.41","175.37","1.81M","1.86%"
"09/27/2022","176.26","180.95","181.96","175.08","1.78M","-2.07%"
"09/26/2022","179.98","180.40","180.96","177.87","1.20M","-0.61%"
"09/23/2022","181.08","183.00","184.13","178.75","1.27M","-1.23%"
"09/22/2022","183.33","183.20","184.79","181.29","1.24M","0.71%"
"09/21/2022","182.03","186.57","187.72","181.97","1.38M","-2.79%"
"09/20/2022","187.25","189.29","189.84","185.17","984.21K","-1.82%"
"09/19/2022","190.72","190.77","190.79","188.71","819.91K","-0.44%"
"09/16/2022","191.56","191.12","193.82","189.94","1.71M","0.41%"
"09/15/2022","190.77","191.97","194.18","190.57","1.42M","-0.28%"
"09/14/2022","191.30","195.73","195.73","189.75","1.86M","-1.43%"
"09/13/2022","194.08","197.77","199.69","193.59","1.93M","-3.06%"
"09/12/2022","200.21","201.18","202.18","199.69","953.82K","-0.55%"
"09/09/2022","201.32","201.97","201.97","199.15","1.64M","-0.33%"
"09/08/2022","201.98","198.79","202.48","198.50","983.86K","0.82%"
"09/07/2022","200.34","196.89","200.47","196.84","1.24M","1.17%"
"09/06/2022","198.03","195.47","199.72","194.62","1.67M","1.72%"
"09/02/2022","194.69","200.93","201.26","193.98","1.51M","-2.37%"
"09/01/2022","199.42","194.50","199.53","194.02","1.70M","1.95%"
"08/31/2022","195.61","197.23","198.26","195.16","1.77M","0.22%"
"08/30/2022","195.19","197.00","197.83","193.88","1.61M","-0.11%"
"08/29/2022","195.40","195.69","197.13","194.32","1.16M","-0.48%"
"08/26/2022","196.35","199.54","200.43","196.18","1.06M","-1.40%"
"08/25/2022","199.13","199.97","201.49","197.89","815.12K","0.12%"
"08/24/2022","198.90","197.99","199.50","197.17","987.81K","0.62%"
"08/23/2022","197.68","199.24","199.24","197.16","1.09M","-1.01%"
"08/22/2022","199.69","201.96","204.00","199.32","1.01M","-1.18%"
"08/19/2022","202.07","206.47","206.61","201.64","1.87M","-2.81%"
"08/18/2022","207.92","207.10","209.24","207.00","1.08M","0.71%"
"08/17/2022","206.45","203.48","206.58","202.03","1.45M","0.48%"
"08/16/2022","205.46","201.24","205.66","200.07","1.38M","1.57%"
"08/15/2022","202.29","199.97","205.25","199.97","972.22K","-0.15%"
"08/12/2022","202.60","200.01","202.74","198.59","1.45M","1.80%"
"08/11/2022","199.02","198.57","201.93","197.51","1.97M","0.31%"
"08/10/2022","198.40","204.35","204.35","196.92","2.31M","-2.24%"
"08/09/2022","202.95","202.03","203.59","201.06","731.47K","0.74%"
"08/08/2022","201.46","204.06","204.18","199.41","742.13K","-0.34%"
"08/05/2022","202.15","199.98","202.21","199.40","1.17M","1.06%"
"08/04/2022","200.03","198.00","202.56","198.00","1.08M","1.16%"
"08/03/2022","197.74","198.70","199.34","196.08","982.68K","0.11%"
"08/02/2022","197.52","195.91","198.88","194.94","1.06M","0.90%"
"08/01/2022","195.75","197.52","198.80","193.88","1.50M","-1.87%"
"07/29/2022","199.48","198.87","200.60","197.85","1.49M","-0.02%"
"07/28/2022","199.52","195.45","200.35","191.71","1.79M","1.80%"
"07/27/2022","195.99","201.79","202.74","194.22","2.32M","-3.82%"
"07/26/2022","203.78","204.45","205.56","202.88","1.19M","-0.33%"
"07/25/2022","204.46","204.50","205.75","203.06","1.24M","-0.01%"
"07/22/2022","204.48","205.43","206.55","202.92","951.20K","-0.64%"
"07/21/2022","205.79","204.55","205.81","203.36","1.04M","0.80%"
"07/20/2022","204.15","205.28","206.20","202.86","1.40M","0.16%"
"07/19/2022","203.82","202.47","204.70","200.90","1.34M","1.69%"
"07/18/2022","200.44","202.58","203.29","199.99","964.67K","-0.74%"
"07/15/2022","201.94","200.09","202.29","198.77","1.76M","1.21%"
"07/14/2022","199.53","200.79","201.67","198.01","1.56M","-1.97%"
"07/13/2022","203.55","201.42","205.55","201.32","759.64K","0.19%"
"07/12/2022","203.17","208.54","210.17","202.53","959.53K","-2.48%"
"07/11/2022","208.34","209.55","210.00","206.74","798.37K","-0.27%"
"07/08/2022","208.90","207.56","211.19","207.36","1.27M","0.06%"
"07/07/2022","208.78","204.90","209.26","204.51","1.28M","2.36%"
"07/06/2022","203.96","205.81","206.96","202.92","1.12M","-0.20%"
"07/05/2022","204.36","203.58","204.49","199.53","1.07M","0.04%"
"07/01/2022","204.28","203.87","204.51","200.41","1.82M","-0.21%"
"06/30/2022","204.70","204.52","206.26","202.54","1.15M","-0.70%"
"06/29/2022","206.15","206.31","208.88","204.71","853.54K","0.01%"
"06/28/2022","206.12","209.55","212.09","205.42","1.22M","-1.59%"
"06/27/2022","209.44","211.08","211.29","208.65","1.05M","-0.27%"
"06/24/2022","210.00","209.12","210.38","207.01","1.56M","0.74%"
"06/23/2022","208.46","209.31","211.29","206.40","1.22M","0.00%"
"06/22/2022","208.46","206.60","210.60","205.39","1.58M","-0.02%"
"06/21/2022","208.50","202.47","209.30","201.78","1.94M","3.97%"
"06/17/2022","200.53","202.72","203.25","197.12","3.57M","-1.35%"
"06/16/2022","203.28","197.33","204.97","196.73","2.17M","1.19%"
"06/15/2022","200.88","197.50","203.13","196.84","1.43M","2.43%"
"06/14/2022","196.11","202.76","202.94","195.18","2.35M","-3.39%"
