"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","29.20","29.64","29.74","28.93","5.40M","-1.95%"
"02/02/2023","29.78","30.12","30.41","29.61","6.11M","-1.06%"
"02/01/2023","30.10","29.93","30.27","29.65","5.27M","-0.07%"
"01/31/2023","30.12","29.96","30.13","29.48","3.29M","0.94%"
"01/30/2023","29.84","29.64","30.17","29.58","3.51M","0.34%"
"01/27/2023","29.74","29.96","30.05","29.70","4.20M","-0.87%"
"01/26/2023","30.00","29.94","30.06","29.63","4.16M","-0.13%"
"01/25/2023","30.04","30.03","30.13","29.79","3.45M","-0.50%"
"01/24/2023","30.19","29.91","30.32","29.51","3.02M","0.63%"
"01/23/2023","30.00","29.98","30.30","29.84","2.71M","-0.37%"
"01/20/2023","30.11","30.32","30.37","29.70","3.67M","-0.56%"
"01/19/2023","30.28","30.35","30.39","29.98","2.77M","-0.36%"
"01/18/2023","30.39","31.14","31.20","30.32","3.73M","-2.22%"
"01/17/2023","31.08","30.83","31.27","30.83","4.20M","-0.73%"
"01/13/2023","31.31","30.88","31.47","30.76","4.32M","0.77%"
"01/12/2023","31.07","31.21","31.28","30.84","4.10M","-0.26%"
"01/11/2023","31.15","30.62","31.18","30.62","2.64M","1.93%"
"01/10/2023","30.56","30.42","30.59","30.19","1.86M","0.30%"
"01/09/2023","30.47","29.96","30.88","29.88","3.55M","1.60%"
"01/06/2023","29.99","29.27","30.17","29.20","3.83M","3.49%"
"01/05/2023","28.98","29.43","29.54","28.90","3.05M","-2.26%"
"01/04/2023","29.65","29.63","30.08","29.53","4.39M","0.30%"
"01/03/2023","29.56","29.90","30.14","29.15","4.28M","-1.43%"
"12/30/2022","29.99","30.45","30.51","29.72","2.91M","-1.61%"
"12/29/2022","30.48","30.70","30.83","30.42","2.98M","-0.13%"
"12/28/2022","30.52","30.95","31.15","30.46","2.18M","-1.29%"
"12/27/2022","30.92","30.74","31.00","30.59","1.35M","0.75%"
"12/23/2022","30.69","30.25","30.70","30.19","2.13M","1.25%"
"12/22/2022","30.31","30.45","30.47","29.75","2.16M","-0.72%"
"12/21/2022","30.53","30.09","30.53","30.00","1.90M","1.87%"
"12/20/2022","29.97","29.95","30.10","29.79","1.83M","-0.03%"
"12/19/2022","29.98","29.95","30.29","29.77","2.90M","-0.10%"
"12/16/2022","30.01","30.36","30.36","29.58","6.19M","-2.02%"
"12/15/2022","30.63","30.81","30.93","30.43","3.78M","-1.03%"
"12/14/2022","30.95","31.05","31.34","30.79","3.39M","0.13%"
"12/13/2022","30.91","31.36","31.48","30.58","5.02M","-0.32%"
"12/12/2022","31.01","30.61","31.02","30.31","2.88M","1.84%"
"12/09/2022","30.45","30.22","30.67","30.19","3.13M","0.33%"
"12/08/2022","30.35","30.40","30.53","30.19","3.70M","-0.13%"
"12/07/2022","30.39","30.68","30.84","30.38","3.49M","-1.40%"
"12/06/2022","30.82","30.47","30.85","30.35","3.75M","1.22%"
"12/05/2022","30.45","30.40","30.61","30.34","2.68M","-0.72%"
"12/02/2022","30.67","30.70","30.83","30.30","3.42M","-1.16%"
"12/01/2022","31.03","31.29","31.52","30.83","4.73M","-0.26%"
"11/30/2022","31.11","30.44","31.18","30.23","5.09M","1.73%"
"11/29/2022","30.58","30.67","30.68","30.34","2.46M","-0.91%"
"11/28/2022","30.86","30.80","30.97","30.53","2.79M","-0.58%"
"11/25/2022","31.04","30.89","31.19","30.89","1.06M","0.75%"
"11/23/2022","30.81","30.38","30.84","30.35","3.54M","1.18%"
"11/22/2022","30.45","30.00","30.48","30.00","3.76M","1.84%"
"11/21/2022","29.90","29.67","30.00","29.49","3.14M","0.78%"
"11/18/2022","29.67","29.49","29.79","29.36","3.84M","1.64%"
"11/17/2022","29.19","29.16","29.22","28.73","2.90M","-0.85%"
"11/16/2022","29.44","28.97","29.64","28.97","2.81M","1.06%"
"11/15/2022","29.13","29.32","29.45","28.71","3.02M","0.00%"
"11/14/2022","29.13","29.13","29.59","29.05","4.99M","0.00%"
"11/11/2022","29.13","29.38","29.53","28.73","4.19M","-0.92%"
"11/10/2022","29.40","29.22","29.56","28.74","3.66M","4.29%"
"11/09/2022","28.19","28.01","28.30","27.94","5.45M","0.14%"
"11/08/2022","28.15","27.98","28.38","27.84","3.61M","0.86%"
"11/07/2022","27.91","28.50","28.50","27.41","4.03M","-2.00%"
"11/04/2022","28.48","28.05","28.58","27.92","4.51M","1.68%"
"11/03/2022","28.01","27.81","28.27","27.61","4.05M","-0.36%"
"11/02/2022","28.11","28.27","28.82","28.08","4.77M","-0.85%"
"11/01/2022","28.35","28.74","29.08","28.09","5.74M","-0.91%"
"10/31/2022","28.61","28.80","28.88","28.42","4.47M","-0.69%"
"10/28/2022","28.81","28.07","28.82","28.07","2.80M","2.93%"
"10/27/2022","27.99","27.89","28.26","27.84","2.83M","1.41%"
"10/26/2022","27.60","27.83","27.97","27.55","3.13M","-0.18%"
"10/25/2022","27.65","27.20","27.82","27.20","3.56M","1.62%"
"10/24/2022","27.21","27.23","27.41","26.88","4.03M","0.74%"
"10/21/2022","27.01","26.71","27.15","26.51","4.46M","1.54%"
"10/20/2022","26.60","26.95","27.04","26.40","6.64M","-1.48%"
"10/19/2022","27.00","26.60","27.12","26.55","6.06M","0.15%"
"10/18/2022","26.96","26.69","27.00","26.57","6.47M","2.70%"
"10/17/2022","26.25","26.23","26.65","26.17","4.43M","1.43%"
"10/14/2022","25.88","26.28","26.39","25.63","5.26M","-0.65%"
"10/13/2022","26.05","25.26","26.17","25.03","7.32M","1.96%"
"10/12/2022","25.55","26.56","26.57","25.53","6.90M","-3.95%"
"10/11/2022","26.60","26.61","26.98","26.43","4.86M","-0.37%"
"10/10/2022","26.70","26.89","27.12","26.63","4.48M","-0.41%"
"10/07/2022","26.81","27.31","27.37","26.61","5.64M","-1.94%"
"10/06/2022","27.34","28.70","28.79","27.32","7.56M","-5.10%"
"10/05/2022","28.81","28.93","29.04","28.49","4.77M","-2.11%"
"10/04/2022","29.43","28.97","29.52","28.83","3.59M","2.05%"
"10/03/2022","28.84","28.77","29.24","28.47","4.45M","2.34%"
"09/30/2022","28.18","28.97","29.15","28.07","9.06M","-2.29%"
"09/29/2022","28.84","30.04","30.09","28.74","4.13M","-4.34%"
"09/28/2022","30.15","30.26","30.35","29.82","4.53M","0.87%"
"09/27/2022","29.89","30.71","30.74","29.74","6.82M","-2.03%"
"09/26/2022","30.51","31.27","31.57","30.28","5.42M","-3.33%"
"09/23/2022","31.56","31.37","33.50","31.05","4.85M","-0.32%"
"09/22/2022","31.66","31.82","31.86","31.34","3.86M","-0.91%"
"09/21/2022","31.95","32.26","32.51","31.79","5.92M","-0.13%"
"09/20/2022","31.99","32.24","32.34","31.63","3.51M","-1.45%"
"09/19/2022","32.46","31.90","32.53","31.86","3.86M","1.31%"
"09/16/2022","32.04","32.08","32.18","31.83","6.44M","-0.44%"
"09/15/2022","32.18","32.58","32.58","31.99","4.57M","-1.74%"
"09/14/2022","32.75","32.39","32.90","32.39","4.35M","1.24%"
"09/13/2022","32.35","32.66","32.97","32.13","3.57M","-2.27%"
"09/12/2022","33.10","32.92","33.22","32.84","2.75M","0.76%"
"09/09/2022","32.85","32.81","32.95","32.53","2.59M","0.46%"
"09/08/2022","32.70","32.59","32.83","32.40","2.89M","0.09%"
"09/07/2022","32.67","31.83","32.74","31.79","3.26M","3.06%"
"09/06/2022","31.70","31.90","32.10","31.55","4.02M","-0.25%"
"09/02/2022","31.78","31.99","32.46","31.69","4.36M","-0.53%"
"09/01/2022","31.95","31.40","31.97","31.34","2.88M","1.33%"
"08/31/2022","31.53","31.64","31.89","31.46","4.80M","-0.38%"
"08/30/2022","31.65","32.10","32.19","31.50","2.32M","-1.37%"
"08/29/2022","32.09","31.56","32.33","31.39","2.26M","1.07%"
"08/26/2022","31.75","32.45","32.50","31.73","2.51M","-1.92%"
"08/25/2022","32.37","32.34","32.43","32.01","2.23M","0.31%"
"08/24/2022","32.27","32.01","32.33","31.80","3.39M","1.13%"
"08/23/2022","31.91","32.03","32.07","31.75","1.99M","-0.37%"
"08/22/2022","32.03","32.47","32.50","31.83","2.56M","-1.90%"
"08/19/2022","32.65","32.63","32.74","32.43","2.95M","0.18%"
"08/18/2022","32.59","32.43","32.87","32.43","3.07M","0.25%"
"08/17/2022","32.51","32.66","32.76","32.28","3.18M","-0.97%"
