"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","121.44","118.79","123.04","117.75","3.20M","-0.31%"
"02/02/2023","121.82","118.20","123.09","117.51","5.89M","4.72%"
"02/01/2023","116.33","113.00","117.70","111.93","6.73M","-2.24%"
"01/31/2023","119.00","116.07","119.02","114.80","4.30M","3.48%"
"01/30/2023","115.00","116.44","117.45","115.00","4.31M","-2.19%"
"01/27/2023","117.58","117.32","119.44","116.46","3.61M","1.30%"
"01/26/2023","116.07","116.50","117.83","114.53","4.88M","-0.02%"
"01/25/2023","116.09","104.94","116.68","103.11","10.46M","8.99%"
"01/24/2023","106.51","105.76","108.89","105.76","3.54M","-0.57%"
"01/23/2023","107.12","104.29","107.35","103.80","3.57M","2.82%"
"01/20/2023","104.18","99.05","104.33","98.88","4.14M","6.40%"
"01/19/2023","97.91","97.31","98.57","94.01","5.09M","-3.92%"
"01/18/2023","101.90","103.35","104.64","101.85","2.64M","-1.67%"
"01/17/2023","103.63","103.00","104.34","102.37","3.45M","0.76%"
"01/13/2023","102.85","99.41","103.36","98.63","3.23M","1.81%"
"01/12/2023","101.02","102.62","102.83","99.68","2.58M","-0.76%"
"01/11/2023","101.79","99.23","102.68","98.82","4.05M","3.34%"
"01/10/2023","98.50","96.60","98.53","95.35","3.11M","1.08%"
"01/09/2023","97.45","97.84","99.43","96.58","4.21M","0.39%"
"01/06/2023","97.07","94.32","97.76","94.21","3.67M","3.29%"
"01/05/2023","93.98","92.50","94.36","91.53","3.31M","-1.90%"
"01/04/2023","95.80","94.56","97.98","94.23","3.09M","3.04%"
"01/03/2023","92.97","92.66","95.60","92.41","2.62M","0.01%"
"12/30/2022","92.96","91.51","93.07","91.24","2.07M","0.31%"
"12/29/2022","92.67","90.12","92.81","89.93","1.74M","3.31%"
"12/28/2022","89.70","91.07","91.94","89.54","2.23M","-1.16%"
"12/27/2022","90.75","90.83","91.44","89.91","1.79M","0.07%"
"12/23/2022","90.69","89.81","90.76","89.11","1.90M","1.34%"
"12/22/2022","89.49","88.45","89.50","87.22","4.60M","-0.26%"
"12/21/2022","89.72","89.33","90.35","88.92","4.59M","1.50%"
"12/20/2022","88.39","87.77","88.94","87.31","4.16M","0.59%"
"12/19/2022","87.87","89.83","90.48","86.98","5.12M","-2.48%"
"12/16/2022","90.10","91.75","92.79","89.22","6.73M","-4.00%"
"12/15/2022","93.85","94.98","95.49","92.30","3.32M","-2.85%"
"12/14/2022","96.60","98.24","99.29","95.18","3.35M","-2.29%"
"12/13/2022","98.86","101.31","103.22","97.86","3.41M","1.37%"
"12/12/2022","97.52","94.93","98.11","94.24","2.64M","3.29%"
"12/09/2022","94.41","93.10","95.40","93.10","1.99M","0.89%"
"12/08/2022","93.58","93.79","94.49","92.50","2.70M","0.38%"
"12/07/2022","93.23","93.45","94.97","92.72","2.79M","-0.85%"
"12/06/2022","94.03","95.10","96.72","92.76","3.41M","-1.04%"
"12/05/2022","95.02","96.33","96.89","94.09","3.46M","-2.73%"
"12/02/2022","97.69","98.15","100.25","97.50","2.92M","-1.64%"
"12/01/2022","99.32","100.03","102.07","98.46","2.35M","-3.80%"
"11/30/2022","103.24","102.15","103.37","98.50","3.16M","1.14%"
"11/29/2022","102.08","99.81","102.16","99.28","1.49M","2.51%"
"11/28/2022","99.58","100.12","101.27","99.13","1.63M","-2.10%"
"11/25/2022","101.72","101.14","101.95","100.90","589.20K","0.09%"
"11/23/2022","101.63","101.09","102.00","100.15","1.28M","0.08%"
"11/22/2022","101.55","102.09","103.53","101.05","1.95M","0.24%"
"11/21/2022","101.31","98.19","101.41","98.05","2.23M","2.37%"
"11/18/2022","98.96","101.14","101.59","98.21","2.77M","-0.48%"
"11/17/2022","99.44","99.68","100.01","97.55","2.93M","-2.28%"
"11/16/2022","101.76","103.96","104.23","100.16","3.46M","-1.74%"
"11/15/2022","103.56","109.50","110.14","103.34","5.86M","-7.18%"
"11/14/2022","111.57","114.40","115.53","111.44","3.10M","-4.03%"
"11/11/2022","116.25","114.83","118.40","114.25","4.48M","2.50%"
"11/10/2022","113.42","106.55","114.12","106.55","3.76M","11.78%"
"11/09/2022","101.47","104.32","104.32","101.39","1.75M","-3.86%"
"11/08/2022","105.54","104.74","106.41","103.98","1.80M","0.76%"
"11/07/2022","104.74","103.74","104.79","101.84","2.45M","2.16%"
"11/04/2022","102.53","100.71","102.72","100.19","2.30M","3.75%"
"11/03/2022","98.82","100.96","101.10","98.35","2.62M","-4.25%"
"11/02/2022","103.21","106.33","107.66","102.98","2.62M","-3.37%"
"11/01/2022","106.81","107.49","108.33","106.00","1.91M","0.75%"
"10/31/2022","106.02","106.07","107.09","105.05","2.89M","-1.01%"
"10/28/2022","107.10","99.00","107.42","98.51","4.40M","4.87%"
"10/27/2022","102.13","103.14","104.03","101.53","3.47M","0.21%"
"10/26/2022","101.92","101.70","103.56","101.65","2.19M","0.33%"
"10/25/2022","101.58","97.22","102.35","97.22","2.77M","4.12%"
"10/24/2022","97.56","97.57","98.50","96.43","2.84M","1.36%"
"10/21/2022","96.25","94.62","96.25","92.94","3.59M","1.34%"
"10/20/2022","94.98","95.20","97.71","94.33","3.54M","-0.26%"
"10/19/2022","95.23","96.67","97.87","94.58","2.93M","-4.38%"
"10/18/2022","99.59","100.00","100.41","98.05","2.31M","2.18%"
"10/17/2022","97.47","98.24","98.85","96.39","1.88M","2.18%"
"10/14/2022","95.39","98.92","99.59","95.27","2.87M","-2.48%"
"10/13/2022","97.82","92.75","98.25","90.71","2.81M","4.63%"
"10/12/2022","93.49","93.87","94.82","92.98","1.86M","-0.29%"
"10/11/2022","93.76","92.34","95.79","92.19","2.49M","0.76%"
"10/10/2022","93.05","94.55","95.12","92.69","1.72M","-0.87%"
"10/07/2022","93.87","95.29","95.85","93.32","2.96M","-2.96%"
"10/06/2022","96.73","97.72","98.46","96.13","2.30M","-2.23%"
"10/05/2022","98.94","97.44","99.43","96.86","2.52M","-0.93%"
"10/04/2022","99.87","97.73","99.97","97.40","3.17M","4.50%"
"10/03/2022","95.57","94.10","95.94","91.96","2.16M","3.69%"
"09/30/2022","92.17","93.79","94.61","92.02","2.40M","-1.61%"
"09/29/2022","93.68","93.34","94.47","91.94","2.46M","-1.43%"
"09/28/2022","95.04","92.07","95.66","91.42","3.48M","3.99%"
"09/27/2022","91.39","92.99","93.45","90.27","2.74M","0.10%"
"09/26/2022","91.30","92.95","94.65","90.85","2.55M","-2.64%"
"09/23/2022","93.78","93.74","95.00","92.19","2.54M","-1.77%"
"09/22/2022","95.47","99.62","99.96","95.35","2.45M","-4.04%"
"09/21/2022","99.49","102.05","103.40","99.40","3.39M","-1.85%"
"09/20/2022","101.37","101.00","101.60","99.57","2.83M","-1.08%"
"09/19/2022","102.48","100.09","102.85","99.79","1.95M","0.79%"
"09/16/2022","101.68","101.56","102.21","99.42","5.63M","-1.06%"
"09/15/2022","102.77","100.94","104.79","100.86","3.27M","2.11%"
"09/14/2022","100.65","101.54","101.61","98.53","3.35M","-0.39%"
"09/13/2022","101.04","105.93","106.33","100.84","3.12M","-7.97%"
"09/12/2022","109.79","109.68","111.37","109.15","2.21M","1.36%"
"09/09/2022","108.32","107.49","108.95","106.97","1.73M","1.77%"
"09/08/2022","106.44","103.85","106.56","102.37","2.18M","1.48%"
"09/07/2022","104.89","101.69","105.20","101.69","2.40M","2.66%"
"09/06/2022","102.17","104.64","104.93","101.12","2.25M","-1.97%"
"09/02/2022","104.22","106.72","107.46","103.65","1.86M","-0.56%"
