"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","354.49","356.94","362.18","354.14","261.44K","-2.22%"
"02/02/2023","362.53","360.10","371.76","358.23","489.78K","1.67%"
"02/01/2023","356.58","349.84","357.47","347.42","302.22K","2.19%"
"01/31/2023","348.93","342.61","349.36","339.17","271.08K","2.37%"
"01/30/2023","340.85","340.44","343.15","338.61","220.34K","-1.05%"
"01/27/2023","344.48","346.79","349.16","344.05","155.05K","-1.33%"
"01/26/2023","349.11","345.68","349.46","342.68","193.95K","1.61%"
"01/25/2023","343.58","339.14","344.01","337.79","177.32K","0.13%"
"01/24/2023","343.15","348.02","349.26","340.21","218.80K","-0.86%"
"01/23/2023","346.14","343.71","346.16","341.66","314.41K","0.70%"
"01/20/2023","343.73","342.71","345.77","339.91","254.84K","0.39%"
"01/19/2023","342.39","336.35","344.86","336.35","193.08K","0.88%"
"01/18/2023","339.42","345.94","350.72","337.52","441.28K","-1.71%"
"01/17/2023","345.33","349.23","351.45","343.11","399.93K","-1.44%"
"01/13/2023","350.39","348.15","352.11","347.63","206.06K","0.27%"
"01/12/2023","349.45","353.00","353.93","346.38","224.23K","-0.25%"
"01/11/2023","350.31","347.71","352.56","346.10","359.16K","1.88%"
"01/10/2023","343.85","344.19","347.97","343.61","318.14K","-0.12%"
"01/09/2023","344.25","347.54","348.04","340.98","356.39K","-0.27%"
"01/06/2023","345.17","342.98","347.90","333.88","271.59K","1.71%"
"01/05/2023","339.36","338.30","341.01","336.62","261.17K","-0.65%"
"01/04/2023","341.57","338.24","341.99","335.68","294.08K","2.67%"
"01/03/2023","332.68","333.91","338.77","328.45","269.62K","0.61%"
"12/30/2022","330.67","332.00","334.33","327.14","256.95K","-1.11%"
"12/29/2022","334.38","331.31","337.93","329.90","140.11K","1.82%"
"12/28/2022","328.39","333.48","336.09","328.28","152.77K","-1.51%"
"12/27/2022","333.44","333.64","336.20","330.29","224.21K","0.21%"
"12/23/2022","332.73","329.58","333.09","328.03","234.19K","0.57%"
"12/22/2022","330.83","328.22","331.23","322.63","288.52K","0.65%"
"12/21/2022","328.69","322.81","331.48","322.62","316.69K","2.75%"
"12/20/2022","319.89","315.44","320.32","312.89","246.89K","1.15%"
"12/19/2022","316.26","316.72","318.10","314.84","208.17K","-0.50%"
