"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","514.80","519.13","521.55","512.50","1.84M","-1.65%"
"02/02/2023","523.43","524.29","530.05","520.64","2.26M","1.07%"
"02/01/2023","517.91","508.31","520.45","504.72","2.04M","1.32%"
"01/31/2023","511.14","503.23","511.41","502.00","1.92M","1.56%"
"01/30/2023","503.28","500.37","505.60","500.37","1.82M","0.00%"
"01/27/2023","503.29","499.76","509.10","497.86","2.03M","1.00%"
"01/26/2023","498.30","493.20","498.67","491.77","1.57M","1.51%"
"01/25/2023","490.88","489.36","491.94","484.50","1.33M","-0.25%"
"01/24/2023","492.11","492.05","493.60","487.01","1.51M","-0.10%"
"01/23/2023","492.61","479.95","495.24","477.60","2.68M","2.60%"
"01/20/2023","480.11","473.92","480.32","469.47","2.59M","2.26%"
"01/19/2023","469.49","476.24","477.56","468.07","1.90M","-2.08%"
"01/18/2023","479.47","484.81","488.81","478.52","1.93M","-1.50%"
"01/17/2023","486.77","485.13","490.48","484.36","1.53M","0.31%"
"01/13/2023","485.25","480.89","485.59","479.00","1.41M","0.58%"
"01/12/2023","482.43","484.99","485.00","478.75","1.63M","-0.39%"
"01/11/2023","484.31","480.33","484.52","479.11","1.57M","0.60%"
"01/10/2023","481.40","477.14","482.09","475.48","1.64M","0.55%"
"01/09/2023","478.75","482.93","486.87","478.14","2.38M","-0.85%"
"01/06/2023","482.87","463.08","484.42","462.22","5.17M","7.26%"
"01/05/2023","450.19","454.54","456.43","449.62","2.02M","-1.40%"
"01/04/2023","456.56","457.18","459.51","452.59","1.98M","0.72%"
"01/03/2023","453.28","458.00","458.80","447.90","1.97M","-0.71%"
"12/30/2022","456.50","454.65","456.70","450.75","1.80M","-0.01%"
"12/29/2022","456.53","455.63","459.00","453.46","1.46M","0.78%"
"12/28/2022","452.99","457.54","460.46","452.80","1.32M","-1.20%"
"12/27/2022","458.50","464.40","464.70","457.11","1.23M","-0.90%"
"12/23/2022","462.65","457.52","463.18","454.80","1.23M","0.86%"
"12/22/2022","458.71","458.65","460.40","453.39","1.90M","-0.73%"
"12/21/2022","462.06","459.38","463.69","456.20","1.46M","0.93%"
"12/20/2022","457.82","456.56","460.25","452.53","1.98M","-0.18%"
"12/19/2022","458.63","460.92","463.41","455.36","1.93M","-0.61%"
"12/16/2022","461.45","461.26","464.79","456.88","4.91M","-0.53%"
"12/15/2022","463.91","475.34","476.70","463.16","3.43M","-4.06%"
"12/14/2022","483.52","488.86","491.69","481.04","2.15M","-0.96%"
"12/13/2022","488.20","497.04","497.97","481.55","2.56M","0.11%"
"12/12/2022","487.68","482.73","487.82","480.67","2.27M","0.96%"
"12/09/2022","483.02","475.10","490.09","470.50","4.21M","0.33%"
"12/08/2022","481.42","482.90","483.33","473.50","2.84M","-0.11%"
"12/07/2022","481.97","479.09","486.54","478.87","2.07M","0.17%"
"12/06/2022","481.16","490.66","491.47","477.17","2.97M","-1.53%"
"12/05/2022","488.66","492.50","492.70","484.73","2.45M","-1.19%"
"12/02/2022","494.53","498.52","498.97","492.11","3.63M","-1.85%"
"12/01/2022","503.86","519.14","519.14","495.67","6.97M","-6.56%"
"11/30/2022","539.25","527.41","542.58","522.14","3.60M","1.95%"
"11/29/2022","528.96","531.04","533.72","528.00","1.69M","-0.37%"
"11/28/2022","530.92","530.89","536.25","528.94","1.68M","-0.51%"
"11/25/2022","533.66","534.16","535.86","533.07","744.22K","-0.16%"
"11/23/2022","534.49","534.00","536.80","530.40","1.29M","0.48%"
"11/22/2022","531.95","529.96","532.80","526.68","1.81M","1.64%"
"11/21/2022","523.37","525.74","527.28","522.08","1.27M","-0.06%"
"11/18/2022","523.67","526.87","529.54","518.19","1.58M","0.45%"
"11/17/2022","521.32","519.00","521.79","512.96","1.90M","-0.53%"
"11/16/2022","524.11","521.31","528.56","520.17","1.83M","-0.45%"
"11/15/2022","526.47","520.00","529.80","520.00","2.50M","3.29%"
"11/14/2022","509.68","515.77","520.70","509.42","1.82M","-1.12%"
"11/11/2022","515.47","513.13","516.84","506.71","2.39M","0.46%"
