"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","50.88","50.70","50.97","49.85","2.37M","0.99%"
"02/02/2023","50.38","50.93","50.93","49.90","3.31M","-2.50%"
"02/01/2023","51.67","51.73","52.25","51.54","2.23M","-0.50%"
"01/31/2023","51.93","52.41","52.48","51.44","2.12M","0.06%"
"01/30/2023","51.90","51.33","52.08","51.32","2.07M","1.51%"
"01/27/2023","51.13","50.79","51.24","50.45","2.45M","0.91%"
"01/26/2023","50.67","51.37","51.38","50.47","2.45M","-1.92%"
"01/25/2023","51.66","51.39","52.29","51.23","2.48M","0.51%"
"01/24/2023","51.40","51.44","51.88","50.71","3.50M","-0.35%"
"01/23/2023","51.58","52.01","52.09","51.40","2.20M","-0.88%"
"01/20/2023","52.04","52.35","52.46","51.59","3.54M","-0.67%"
"01/19/2023","52.39","52.59","53.00","52.35","2.52M","-0.36%"
"01/18/2023","52.58","54.46","54.59","52.47","3.95M","-3.81%"
"01/17/2023","54.66","55.01","55.57","54.63","2.32M","-0.55%"
"01/13/2023","54.96","54.57","55.47","54.57","2.18M","0.42%"
"01/12/2023","54.73","55.64","55.69","54.55","2.85M","-1.62%"
"01/11/2023","55.63","56.26","56.45","55.48","1.85M","-0.66%"
"01/10/2023","56.00","56.18","56.18","55.67","1.98M","0.09%"
"01/09/2023","55.95","56.91","57.24","55.93","2.30M","-1.86%"
"01/06/2023","57.01","56.52","57.24","56.42","2.28M","1.55%"
"01/05/2023","56.14","55.98","56.33","55.65","2.04M","0.68%"
"01/04/2023","55.76","55.68","56.27","55.37","2.39M","-0.78%"
"01/03/2023","56.20","56.43","56.67","55.60","2.72M","-0.97%"
"12/30/2022","56.75","56.78","57.06","56.36","1.47M","0.07%"
"12/29/2022","56.71","57.26","57.26","56.50","2.23M","-0.58%"
"12/28/2022","57.04","57.65","57.78","56.97","1.26M","-0.89%"
"12/27/2022","57.55","57.39","57.65","57.07","1.56M","0.47%"
"12/23/2022","57.28","56.84","57.29","56.48","1.61M","0.81%"
"12/22/2022","56.82","56.92","56.92","56.29","1.74M","-0.16%"
"12/21/2022","56.91","56.43","57.14","56.38","1.70M","1.30%"
"12/20/2022","56.18","56.36","56.75","55.70","2.77M","-1.14%"
"12/19/2022","56.83","57.14","57.64","56.56","2.25M","-0.40%"
"12/16/2022","57.06","56.44","57.18","56.34","4.43M","0.25%"
"12/15/2022","56.92","56.97","57.17","56.34","2.22M","-0.14%"
"12/14/2022","57.00","56.45","57.40","56.33","2.18M","1.30%"
"12/13/2022","56.27","56.90","56.97","55.79","4.04M","-1.12%"
"12/12/2022","56.91","55.81","56.99","55.44","2.57M","2.25%"
"12/09/2022","55.66","57.00","57.10","55.60","3.57M","-2.47%"
"12/08/2022","57.07","56.10","57.08","55.51","4.45M","1.58%"
"12/07/2022","56.18","54.81","56.24","54.12","8.86M","6.02%"
"12/06/2022","52.99","53.26","53.70","52.54","3.33M","-0.58%"
"12/05/2022","53.30","53.50","53.59","52.75","2.47M","-1.48%"
"12/02/2022","54.10","53.51","54.18","53.36","2.10M","0.95%"
"12/01/2022","53.59","53.63","54.13","53.24","2.60M","-0.15%"
"11/30/2022","53.67","52.49","53.73","52.15","3.62M","2.00%"
"11/29/2022","52.62","52.91","53.17","52.43","2.08M","-0.57%"
"11/28/2022","52.92","53.00","53.48","52.83","1.88M","-0.23%"
"11/25/2022","53.04","52.76","53.11","52.66","911.40K","0.95%"
"11/23/2022","52.54","52.72","52.81","52.23","1.69M","-0.06%"
"11/22/2022","52.57","52.41","52.84","52.20","1.76M","0.73%"
"11/21/2022","52.19","51.78","52.28","51.24","1.50M","1.22%"
"11/18/2022","51.56","50.81","51.57","50.64","2.03M","2.12%"
"11/17/2022","50.49","50.65","51.31","49.94","2.41M","-0.43%"
"11/16/2022","50.71","48.98","50.75","48.85","2.75M","3.89%"
"11/15/2022","48.81","48.65","49.06","48.00","2.39M","0.35%"
"11/14/2022","48.64","49.11","49.77","48.63","2.75M","-0.67%"
"11/11/2022","48.97","50.46","50.51","47.56","3.77M","-3.13%"
"11/10/2022","50.55","52.00","52.00","49.27","3.19M","-1.73%"
"11/09/2022","51.44","51.51","51.96","51.21","1.84M","-0.19%"
"11/08/2022","51.54","51.07","51.74","51.00","1.71M","0.82%"
"11/07/2022","51.12","50.80","51.50","50.57","2.23M","0.57%"
"11/04/2022","50.83","51.40","51.75","50.22","2.52M","-0.78%"
"11/03/2022","51.23","52.00","52.16","51.09","3.43M","-1.97%"
"11/02/2022","52.26","52.46","53.01","52.01","2.22M","-0.59%"
"11/01/2022","52.57","52.85","53.28","52.51","1.61M","-0.64%"
"10/31/2022","52.91","52.73","53.23","52.41","1.79M","0.34%"
"10/28/2022","52.73","51.94","52.80","51.83","2.28M","1.80%"
"10/27/2022","51.80","51.69","52.69","51.66","3.00M","0.50%"
"10/26/2022","51.54","51.53","51.97","50.95","2.12M","0.74%"
"10/25/2022","51.16","50.46","51.27","50.12","1.68M","1.11%"
"10/24/2022","50.60","50.61","51.10","50.38","1.65M","0.70%"
"10/21/2022","50.25","50.01","50.53","49.73","1.71M","0.74%"
"10/20/2022","49.88","51.03","51.17","49.84","2.25M","-2.16%"
"10/19/2022","50.98","50.69","51.16","50.45","2.55M","0.85%"
"10/18/2022","50.55","50.28","50.67","50.13","2.92M","1.08%"
"10/17/2022","50.01","50.60","50.87","49.65","2.44M","-0.71%"
"10/14/2022","50.37","50.77","51.17","50.00","2.13M","-0.49%"
"10/13/2022","50.62","48.83","50.63","48.66","2.66M","3.12%"
"10/12/2022","49.09","48.82","49.31","48.58","2.23M","0.97%"
"10/11/2022","48.62","47.85","48.80","47.82","1.76M","1.89%"
"10/10/2022","47.72","46.92","47.85","46.81","1.88M","2.34%"
"10/07/2022","46.63","46.77","46.97","46.41","1.82M","-0.38%"
"10/06/2022","46.81","47.57","47.81","46.47","2.59M","-1.64%"
"10/05/2022","47.59","47.31","47.92","47.07","2.05M","-0.98%"
"10/04/2022","48.06","47.80","48.50","47.53","2.75M","0.71%"
"10/03/2022","47.72","47.39","47.83","46.91","2.53M","1.27%"
"09/30/2022","47.12","47.17","47.29","46.67","3.69M","0.23%"
"09/29/2022","47.01","47.79","47.91","46.78","1.74M","-1.82%"
"09/28/2022","47.88","47.38","48.18","46.86","2.02M","1.70%"
"09/27/2022","47.08","48.05","48.42","46.94","2.25M","-1.88%"
"09/26/2022","47.98","48.49","48.64","47.78","1.87M","-1.28%"
"09/23/2022","48.60","48.76","49.22","48.05","2.18M","-1.18%"
"09/22/2022","49.18","48.65","49.49","48.59","2.61M","1.34%"
"09/21/2022","48.53","48.07","49.31","47.89","2.55M","1.59%"
"09/20/2022","47.77","47.79","47.94","47.35","1.74M","-0.58%"
"09/19/2022","48.05","47.65","48.09","47.53","1.79M","0.75%"
"09/16/2022","47.69","47.11","47.81","46.88","7.70M","1.27%"
"09/15/2022","47.09","47.41","47.51","46.77","3.06M","-0.53%"
"09/14/2022","47.34","47.42","47.50","47.10","2.94M","0.13%"
"09/13/2022","47.28","48.26","48.56","47.15","2.61M","-2.54%"
"09/12/2022","48.51","48.00","48.76","47.61","3.00M","1.21%"
"09/09/2022","47.93","48.03","48.41","47.28","2.34M","0.19%"
"09/08/2022","47.84","48.92","49.01","47.12","4.53M","-2.98%"
"09/07/2022","49.31","48.82","49.35","48.27","2.78M","1.02%"
"09/06/2022","48.81","49.25","49.90","48.68","3.22M","-0.65%"
"09/02/2022","49.13","49.63","50.76","49.01","3.18M","-0.49%"
"09/01/2022","49.37","48.59","49.42","47.18","6.19M","-2.00%"
"08/31/2022","50.38","50.71","50.98","50.17","2.89M","-0.61%"
"08/30/2022","50.69","51.31","51.41","50.58","2.47M","-0.88%"
"08/29/2022","51.14","50.56","51.36","50.28","2.21M","0.89%"
"08/26/2022","50.69","51.58","51.58","50.68","2.36M","-0.98%"
"08/25/2022","51.19","51.36","51.41","50.96","1.85M","-0.70%"
"08/24/2022","51.55","51.28","51.58","50.98","1.52M","0.76%"
"08/23/2022","51.16","50.91","51.38","50.66","1.43M","0.61%"
"08/22/2022","50.85","51.34","51.40","50.72","1.40M","-0.90%"
"08/19/2022","51.31","50.83","51.63","50.77","1.68M","1.02%"
"08/18/2022","50.79","50.64","50.84","50.26","924.14K","0.20%"
"08/17/2022","50.69","50.67","51.10","50.52","1.16M","0.00%"
"08/16/2022","50.69","50.09","50.79","49.95","1.49M","1.28%"
"08/15/2022","50.05","50.00","50.30","49.63","1.17M","0.22%"
"08/12/2022","49.94","50.25","50.34","49.59","1.10M","-0.30%"
"08/11/2022","50.09","50.01","50.70","49.82","1.43M","0.30%"
"08/10/2022","49.94","49.91","50.12","49.65","1.35M","0.52%"
"08/09/2022","49.68","49.59","50.05","49.53","1.21M","0.28%"
"08/08/2022","49.54","49.47","49.79","49.38","1.16M","0.24%"
"08/05/2022","49.42","48.99","49.46","48.53","1.03M","0.98%"
"08/04/2022","48.94","49.42","49.84","48.90","1.62M","-1.51%"
"08/03/2022","49.69","49.13","49.84","48.73","1.42M","1.00%"
"08/02/2022","49.20","49.85","49.95","49.09","1.70M","-0.77%"
"08/01/2022","49.58","49.46","49.91","49.36","1.95M","0.47%"
"07/29/2022","49.35","48.89","49.52","48.66","7.00M","0.47%"
"07/28/2022","49.12","48.51","49.17","48.21","1.87M","1.15%"
"07/27/2022","48.56","48.89","48.89","47.14","2.59M","-0.90%"
"07/26/2022","49.00","48.16","49.02","47.89","2.22M","0.80%"
"07/25/2022","48.61","47.75","48.64","47.66","2.22M","1.59%"
"07/22/2022","47.85","47.73","48.22","47.60","1.30M","0.50%"
"07/21/2022","47.61","47.89","48.10","47.43","1.40M","-0.92%"
"07/20/2022","48.05","48.43","48.63","47.81","1.41M","-0.76%"
"07/19/2022","48.42","48.44","48.63","48.13","1.66M","0.50%"
"07/18/2022","48.18","48.65","48.87","48.08","1.44M","-1.13%"
"07/15/2022","48.73","49.31","49.44","48.53","1.66M","-0.65%"
"07/14/2022","49.05","48.69","49.16","48.29","2.23M","-0.83%"
"07/13/2022","49.46","48.80","49.99","48.76","3.33M","1.17%"
"07/12/2022","48.89","48.80","49.46","48.68","1.73M","0.31%"
"07/11/2022","48.74","48.70","49.26","48.48","1.53M","0.33%"
"07/08/2022","48.58","48.72","48.92","48.27","2.86M","0.02%"
"07/07/2022","48.57","48.20","48.61","47.83","2.57M","0.43%"
"07/06/2022","48.36","47.95","48.71","47.88","2.48M","0.23%"
"07/05/2022","48.25","48.43","48.73","47.47","2.45M","-0.49%"
"07/01/2022","48.49","48.20","48.60","47.75","3.00M","0.92%"
"06/30/2022","48.05","48.30","48.52","47.84","2.36M","-0.72%"
"06/29/2022","48.40","48.17","48.86","48.03","2.37M","1.06%"
"06/28/2022","47.89","48.33","48.45","47.60","2.19M","-0.52%"
"06/27/2022","48.14","48.29","48.50","47.90","1.90M","-0.62%"
"06/24/2022","48.44","47.61","48.51","47.02","3.77M","2.19%"
"06/23/2022","47.40","47.00","47.60","46.83","2.26M","0.92%"
"06/22/2022","46.97","46.87","47.40","46.39","2.39M","-0.06%"
"06/21/2022","47.00","46.44","47.28","45.42","3.00M","3.55%"
"06/17/2022","45.39","45.47","46.05","44.69","8.97M","0.46%"
"06/16/2022","45.18","44.96","45.57","44.37","2.65M","-0.29%"
"06/15/2022","45.31","45.51","45.93","45.00","2.61M","-0.29%"
"06/14/2022","45.44","45.96","46.43","44.83","2.57M","-0.92%"
"06/13/2022","45.86","46.70","47.08","45.65","2.68M","-2.28%"
"06/10/2022","46.93","46.75","47.76","46.47","2.85M","-0.15%"
"06/09/2022","47.00","47.56","48.80","46.97","3.88M","-0.66%"
"06/08/2022","47.31","47.45","48.24","46.12","5.12M","1.52%"
"06/07/2022","46.60","45.36","46.64","45.31","3.18M","1.50%"
"06/06/2022","45.91","46.00","46.18","45.63","2.00M","0.39%"
"06/03/2022","45.73","45.81","46.11","45.39","2.48M","-0.04%"
"06/02/2022","45.75","46.86","46.93","44.66","4.45M","-2.66%"
"06/01/2022","47.00","47.86","47.98","46.22","2.46M","-1.90%"
"05/31/2022","47.91","47.96","48.13","47.07","5.46M","-0.62%"
"05/27/2022","48.21","47.99","48.24","47.67","1.55M","0.65%"
"05/26/2022","47.90","47.81","48.34","47.65","1.85M","-0.17%"
"05/25/2022","47.98","47.76","48.06","47.32","2.12M","0.46%"
"05/24/2022","47.76","46.36","47.87","46.24","2.62M","3.47%"
"05/23/2022","46.16","46.50","46.89","45.94","2.29M","0.28%"
"05/20/2022","46.03","46.18","46.49","44.95","3.41M","-0.07%"
"05/19/2022","46.06","45.80","46.57","45.02","2.58M","-0.35%"
"05/18/2022","46.22","49.52","49.93","46.03","3.91M","-8.07%"
"05/17/2022","50.28","50.28","50.65","48.59","2.91M","-0.75%"
"05/16/2022","50.66","50.63","50.88","50.17","1.14M","0.22%"
"05/13/2022","50.55","50.20","50.57","49.84","1.71M","1.08%"
"05/12/2022","50.01","49.70","50.26","49.54","2.04M","1.34%"
"05/11/2022","49.35","49.50","50.20","49.16","1.95M","-0.46%"
"05/10/2022","49.58","51.17","51.49","49.42","3.56M","-3.52%"
"05/09/2022","51.39","49.51","51.94","49.34","6.19M","3.46%"
"05/06/2022","49.67","48.57","49.85","48.51","3.05M","2.16%"
"05/05/2022","48.62","47.80","48.88","47.80","3.22M","1.29%"
"05/04/2022","48.00","47.13","48.05","47.00","1.84M","1.87%"
"05/03/2022","47.12","46.99","47.67","46.80","2.13M","0.47%"
"05/02/2022","46.90","47.59","47.94","45.73","2.97M","-0.68%"
"04/29/2022","47.22","48.04","48.32","47.15","2.35M","-2.18%"
"04/28/2022","48.27","47.30","48.29","46.99","2.80M","2.61%"
"04/27/2022","47.04","46.60","47.30","46.44","2.53M","1.47%"
"04/26/2022","46.36","46.81","47.20","46.33","1.89M","-1.00%"
"04/25/2022","46.83","47.08","47.34","45.94","2.01M","-0.23%"
"04/22/2022","46.94","47.57","47.79","46.92","1.96M","-1.14%"
"04/21/2022","47.48","47.14","47.80","47.00","1.77M","0.72%"
"04/20/2022","47.14","46.24","47.25","46.24","1.43M","2.03%"
"04/19/2022","46.20","45.53","46.34","45.53","1.46M","1.61%"
"04/18/2022","45.47","46.20","46.29","45.29","1.12M","-1.58%"
"04/14/2022","46.20","46.00","46.43","45.87","1.42M","0.85%"
"04/13/2022","45.81","45.59","45.83","45.33","1.45M","0.22%"
"04/12/2022","45.71","45.61","46.08","45.35","1.54M","-0.13%"
"04/11/2022","45.77","45.73","46.09","45.57","1.43M","0.66%"
"04/08/2022","45.47","45.31","45.53","45.02","1.67M","0.69%"
"04/07/2022","45.16","44.90","45.27","44.66","1.55M","0.60%"
"04/06/2022","44.89","44.61","45.04","44.35","2.17M","0.02%"
"04/05/2022","44.88","44.98","45.54","44.78","2.55M","-0.24%"
