"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","121.74","122.32","123.57","120.23","1.33M","-3.62%"
"02/02/2023","126.31","124.73","127.60","124.73","1.32M","2.07%"
"02/01/2023","123.75","122.47","124.90","121.18","915.36K","0.44%"
"01/31/2023","123.21","119.74","123.22","119.37","1.01M","2.86%"
"01/30/2023","119.78","120.84","122.03","119.73","564.69K","-1.54%"
"01/27/2023","121.65","119.82","122.22","119.69","639.41K","1.50%"
"01/26/2023","119.85","119.90","120.48","118.97","614.22K","0.49%"
"01/25/2023","119.27","117.66","119.33","117.16","1.78M","1.05%"
"01/24/2023","118.03","115.18","118.12","114.11","886.49K","2.75%"
"01/23/2023","114.87","114.60","115.60","113.73","505.71K","0.17%"
"01/20/2023","114.68","114.66","114.94","113.06","872.77K","0.12%"
"01/19/2023","114.54","114.74","116.54","114.38","565.67K","-0.62%"
"01/18/2023","115.26","117.92","118.05","115.18","549.06K","-2.11%"
"01/17/2023","117.74","118.27","119.55","117.60","706.46K","-0.18%"
"01/13/2023","117.95","117.20","118.42","116.49","795.26K","-0.32%"
"01/12/2023","118.33","118.86","119.60","117.61","804.53K","0.04%"
"01/11/2023","118.28","114.41","118.37","114.09","856.59K","4.31%"
"01/10/2023","113.39","113.96","113.96","112.50","612.97K","0.34%"
"01/09/2023","113.01","113.46","114.56","112.69","1.11M","-0.87%"
"01/06/2023","114.00","109.99","114.35","109.92","578.71K","3.95%"
"01/05/2023","109.67","111.86","112.20","108.60","935.71K","-2.73%"
"01/04/2023","112.75","111.61","113.38","111.27","657.43K","1.87%"
"01/03/2023","110.68","112.62","113.21","109.97","556.57K","-1.07%"
"12/30/2022","111.88","112.34","112.96","110.57","555.48K","-0.94%"
"12/29/2022","112.94","110.57","113.53","109.95","946.31K","2.80%"
"12/28/2022","109.86","111.86","112.21","109.79","437.57K","-1.48%"
"12/27/2022","111.51","111.36","111.66","110.25","311.07K","0.18%"
"12/23/2022","111.31","110.12","111.31","109.47","472.12K","1.04%"
"12/22/2022","110.16","109.81","110.54","108.59","713.22K","-0.33%"
"12/21/2022","110.52","110.35","111.52","110.00","565.69K","0.66%"
"12/20/2022","109.80","109.56","110.74","108.71","882.41K","-0.53%"
"12/19/2022","110.39","111.98","111.98","109.73","669.64K","-1.61%"
"12/16/2022","112.20","113.12","113.12","110.47","1.60M","-2.21%"
"12/15/2022","114.73","115.83","116.59","113.87","1.31M","-1.76%"
"12/14/2022","116.78","118.23","119.75","116.27","815.48K","-1.40%"
"12/13/2022","118.44","119.68","120.00","116.40","879.72K","1.85%"
"12/12/2022","116.29","115.79","116.36","113.80","703.56K","0.25%"
"12/09/2022","116.00","116.15","117.22","115.57","799.10K","-0.18%"
"12/08/2022","116.21","114.50","116.71","114.37","990.75K","1.69%"
"12/07/2022","114.28","114.44","115.44","113.58","1.19M","-0.31%"
"12/06/2022","114.63","116.99","117.06","113.92","970.48K","-1.51%"
"12/05/2022","116.39","118.77","118.77","115.75","1.08M","-2.91%"
"12/02/2022","119.88","118.16","120.40","117.86","619.38K","0.33%"
