"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","250.35","254.98","258.11","249.00","411.32K","-3.68%"
"02/02/2023","259.92","251.04","260.52","250.00","769.65K","4.72%"
"02/01/2023","248.21","243.21","248.97","241.26","304.59K","2.04%"
"01/31/2023","243.25","240.71","243.61","239.36","267.94K","1.45%"
"01/30/2023","239.77","242.36","244.09","236.92","373.71K","-2.17%"
"01/27/2023","245.09","242.63","246.88","240.14","366.84K","0.33%"
"01/26/2023","244.29","244.28","245.49","241.68","285.66K","1.40%"
"01/25/2023","240.92","243.05","245.71","238.38","544.73K","-2.17%"
"01/24/2023","246.26","248.55","252.48","245.14","457.61K","-2.49%"
"01/23/2023","252.55","244.38","254.05","243.15","874.69K","3.86%"
"01/20/2023","243.17","233.74","243.55","232.80","555.24K","4.13%"
"01/19/2023","233.53","232.98","234.95","228.04","332.11K","-0.43%"
"01/18/2023","234.53","237.70","241.88","234.46","499.70K","-0.85%"
"01/17/2023","236.53","231.64","238.71","230.89","640.36K","1.68%"
"01/13/2023","232.62","230.35","234.31","229.92","407.23K","0.16%"
"01/12/2023","232.25","237.48","242.09","229.70","802.16K","-5.95%"
"01/11/2023","246.94","239.96","250.26","237.73","797.28K","5.47%"
"01/10/2023","234.13","227.31","234.28","227.31","444.97K","2.80%"
"01/09/2023","227.75","222.35","230.46","221.57","473.35K","3.60%"
"01/06/2023","219.84","222.69","222.75","215.11","486.16K","-0.11%"
"01/05/2023","220.08","218.57","220.96","215.48","334.23K","-0.83%"
"01/04/2023","221.93","221.31","222.87","219.36","304.77K","1.62%"
"01/03/2023","218.40","220.32","220.32","216.12","350.56K","0.23%"
"12/30/2022","217.90","221.27","222.71","214.76","472.04K","-2.53%"
"12/29/2022","223.55","217.37","224.63","217.37","447.47K","3.96%"
"12/28/2022","215.04","219.47","222.76","215.01","279.98K","-1.77%"
"12/27/2022","218.92","218.11","221.48","215.13","423.29K","0.19%"
"12/23/2022","218.50","218.32","219.11","216.22","285.19K","0.06%"
"12/22/2022","218.36","218.07","218.95","212.24","354.45K","-0.89%"
"12/21/2022","220.31","214.94","221.00","214.14","378.59K","3.43%"
"12/20/2022","213.01","216.65","218.26","212.72","463.21K","-1.63%"
