"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","171.04","170.02","175.08","169.86","6.48M","-2.06%"
"02/02/2023","174.64","175.71","178.84","172.90","10.60M","1.64%"
"02/01/2023","171.82","167.73","173.08","167.00","8.69M","2.29%"
"01/31/2023","167.97","164.28","168.01","164.28","6.42M","1.95%"
"01/30/2023","164.75","164.07","166.44","163.40","8.05M","0.14%"
"01/27/2023","164.52","165.05","167.24","163.60","9.87M","-0.35%"
"01/26/2023","165.09","158.19","165.17","158.10","13.26M","5.71%"
"01/25/2023","156.17","151.21","156.40","149.82","9.27M","0.85%"
"01/24/2023","154.86","154.61","160.21","154.50","6.29M","-0.65%"
"01/23/2023","155.87","157.35","157.87","153.23","19.81M","3.05%"
"01/20/2023","151.25","144.30","151.52","144.30","10.13M","3.31%"
"01/19/2023","146.41","143.52","146.68","143.16","7.03M","0.66%"
"01/18/2023","145.45","148.86","149.54","145.29","7.77M","-2.03%"
"01/17/2023","148.47","149.60","150.49","146.10","9.35M","-0.70%"
"01/13/2023","149.51","146.20","149.96","146.09","8.38M","-0.06%"
"01/12/2023","149.60","147.84","149.82","143.94","11.64M","3.24%"
"01/11/2023","144.90","145.28","147.04","143.56","13.03M","-1.72%"
"01/10/2023","147.44","145.81","149.28","145.60","6.50M","0.23%"
"01/09/2023","147.10","142.59","149.20","142.59","13.64M","4.69%"
"01/06/2023","140.51","137.58","141.65","135.55","9.15M","3.06%"
"01/05/2023","136.34","137.64","138.59","134.24","8.33M","-2.33%"
"01/04/2023","139.59","141.22","141.85","137.62","14.14M","3.57%"
"01/03/2023","134.78","135.19","136.95","133.03","8.04M","1.65%"
"12/30/2022","132.59","130.61","132.64","130.36","5.63M","0.04%"
"12/29/2022","132.54","129.70","132.95","129.50","5.76M","3.17%"
"12/28/2022","128.47","129.71","131.14","128.17","6.21M","-1.68%"
"12/27/2022","130.66","128.56","131.75","127.65","7.82M","0.94%"
"12/23/2022","129.44","128.73","129.86","127.59","5.82M","0.19%"
"12/22/2022","129.19","128.67","129.54","126.34","9.97M","-0.85%"
"12/21/2022","130.30","127.96","132.16","126.60","9.27M","1.44%"
"12/20/2022","128.45","127.50","129.99","127.19","8.37M","-0.43%"
"12/19/2022","129.01","127.77","129.58","127.20","9.18M","0.58%"
"12/16/2022","128.27","128.92","129.88","126.89","15.46M","-1.66%"
"12/15/2022","130.44","131.67","134.12","129.68","10.79M","-3.20%"
"12/14/2022","134.75","135.01","137.27","133.23","9.61M","-0.64%"
"12/13/2022","135.62","137.39","139.88","134.04","12.21M","1.89%"
"12/12/2022","133.11","131.10","134.09","130.95","11.51M","1.53%"
"12/09/2022","131.11","129.74","133.37","128.36","10.29M","0.75%"
"12/08/2022","130.13","128.43","131.46","127.02","15.07M","-0.27%"
"12/07/2022","130.48","132.50","133.75","130.02","12.84M","-2.09%"
"12/06/2022","133.27","132.71","134.55","130.91","16.95M","-0.49%"
"12/05/2022","133.93","142.80","144.39","132.88","20.06M","-7.35%"
"12/02/2022","144.56","144.29","145.21","142.78","15.09M","-1.66%"
"12/01/2022","147.00","147.55","147.59","142.08","33.72M","-8.27%"
"11/30/2022","160.25","150.75","160.25","150.13","14.59M","5.65%"
"11/29/2022","151.68","152.72","154.02","151.26","6.40M","-1.31%"
