"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2023","6,420.41","6,423.43","6,445.41","6,385.12","129.63K","-0.08%"
"01/03/2023","6,425.63","6,286.81","6,433.61","6,275.69","131.45K","2.29%"
"12/30/2022","6,281.68","6,283.50","6,296.24","6,262.60","95.70K","0.30%"
"12/29/2022","6,263.09","6,253.79","6,322.25","6,245.23","101.21K","-0.13%"
"12/28/2022","6,270.94","6,304.59","6,306.95","6,251.41","104.10K","-0.89%"
"12/27/2022","6,326.95","6,288.61","6,328.36","6,256.04","107.97K","0.83%"
"12/26/2022","6,274.65","6,161.94","6,275.93","6,161.94","98.69K","1.86%"
"12/23/2022","6,160.36","6,154.66","6,197.21","6,120.94","97.06K","-0.45%"
"12/22/2022","6,188.50","6,314.55","6,318.31","6,171.26","111.92K","-1.59%"
"12/21/2022","6,288.41","6,341.22","6,344.66","6,255.59","101.55K","-0.87%"
"12/20/2022","6,343.29","6,380.22","6,388.61","6,321.14","108.74K","-0.77%"
"12/19/2022","6,392.23","6,518.38","6,537.14","6,367.45","134.11K","-1.95%"
"12/16/2022","6,519.43","6,569.06","6,581.93","6,504.05","132.70K","-1.17%"
"12/15/2022","6,596.92","6,557.90","6,605.70","6,545.00","127.15K","0.41%"
"12/14/2022","6,569.76","6,600.41","6,626.54","6,556.81","138.17K","-0.35%"
"12/13/2022","6,593.05","6,654.67","6,654.67","6,586.88","148.65K","-0.94%"
"12/12/2022","6,655.43","6,669.17","6,680.61","6,626.93","152.08K","-0.32%"
"12/09/2022","6,676.48","6,661.90","6,684.09","6,626.94","158.00K","0.21%"
"12/08/2022","6,662.69","6,694.84","6,699.30","6,648.35","146.83K","-0.68%"
"12/07/2022","6,708.39","6,684.61","6,732.05","6,677.82","154.37K","0.08%"
"12/06/2022","6,702.76","6,690.92","6,731.07","6,667.00","153.01K","-0.16%"
"12/05/2022","6,713.56","6,710.73","6,723.46","6,675.72","176.80K","0.47%"
"12/02/2022","6,682.35","6,644.44","6,721.69","6,638.10","147.52K","0.36%"
"12/01/2022","6,658.35","6,645.47","6,691.51","6,639.63","160.41K","1.12%"
"11/30/2022","6,584.32","6,591.68","6,619.19","6,561.27","153.00K","-0.13%"
"11/29/2022","6,592.78","6,529.38","6,607.37","6,529.18","155.90K","1.57%"
"11/28/2022","6,490.93","6,426.93","6,494.98","6,412.46","128.43K","-0.34%"
"11/25/2022","6,513.23","6,573.02","6,573.02","6,508.70","122.97K","-1.13%"
"11/24/2022","6,587.39","6,573.47","6,611.79","6,553.96","124.68K","0.39%"
"11/23/2022","6,561.93","6,572.17","6,592.30","6,451.96","131.43K","-0.31%"
"11/22/2022","6,582.35","6,682.05","6,692.18","6,556.34","149.47K","-1.57%"
"11/21/2022","6,687.61","6,622.60","6,687.61","6,586.33","135.51K","0.43%"
"11/18/2022","6,658.84","6,715.64","6,744.53","6,650.83","166.16K","-0.79%"
"11/17/2022","6,711.68","6,685.94","6,711.83","6,630.08","157.17K","0.15%"
"11/16/2022","6,701.63","6,749.96","6,775.38","6,687.32","153.56K","-0.75%"
"11/15/2022","6,752.18","6,593.63","6,752.18","6,577.12","170.73K","2.31%"
"11/14/2022","6,599.66","6,639.02","6,688.00","6,570.52","172.43K","-0.66%"
"11/11/2022","6,643.66","6,749.07","6,776.74","6,641.76","191.54K","0.62%"
"11/10/2022","6,602.48","6,638.52","6,662.86","6,583.91","140.62K","-1.11%"
"11/09/2022","6,676.42","6,694.40","6,735.30","6,664.37","124.90K","-0.24%"
"11/08/2022","6,692.26","6,707.01","6,708.08","6,647.83","133.96K","-0.31%"
"11/07/2022","6,712.77","6,713.73","6,749.76","6,660.98","158.51K","0.07%"
"11/04/2022","6,707.78","6,569.19","6,719.30","6,568.78","162.96K","2.14%"
"11/03/2022","6,567.12","6,467.23","6,576.06","6,461.78","139.89K","0.68%"
"11/02/2022","6,522.51","6,434.95","6,556.97","6,433.23","160.90K","1.27%"
"11/01/2022","6,440.84","6,299.03","6,440.92","6,277.69","150.05K","2.37%"
"10/31/2022","6,291.83","6,201.75","6,349.12","6,201.75","145.52K","0.83%"
"10/28/2022","6,240.03","6,412.61","6,446.60","6,216.40","156.00K","-3.44%"
"10/27/2022","6,462.00","6,497.52","6,544.42","6,459.92","145.18K","-0.42%"
"10/26/2022","6,489.23","6,358.06","6,548.57","6,349.12","149.04K","2.11%"
"10/25/2022","6,355.24","6,346.15","6,411.17","6,248.84","128.94K","-0.38%"
"10/24/2022","6,379.54","6,448.87","6,554.37","6,335.07","140.07K","-0.83%"
"10/21/2022","6,432.78","6,433.33","6,469.09","6,387.84","119.38K","0.05%"
"10/20/2022","6,429.36","6,431.99","6,525.80","6,342.43","132.10K","-0.52%"
"10/19/2022","6,463.02","6,492.60","6,533.57","6,460.70","123.20K","-0.69%"
"10/18/2022","6,507.88","6,490.60","6,551.80","6,447.95","129.31K","0.55%"
"10/17/2022","6,472.39","6,380.21","6,476.40","6,372.45","130.83K","1.04%"
"10/14/2022","6,405.62","6,296.35","6,427.47","6,286.75","140.04K","2.45%"
"10/13/2022","6,252.63","6,162.71","6,311.51","6,146.40","127.24K","0.99%"
"10/12/2022","6,191.12","6,017.67","6,191.20","5,918.02","118.34K","2.93%"
"10/11/2022","6,014.75","5,994.76","6,043.51","5,939.07","93.04K","0.49%"
"10/10/2022","5,985.53","6,136.71","6,153.83","5,964.62","101.37K","-2.29%"
"09/30/2022","6,125.63","6,221.83","6,241.87","6,123.99","91.06K","-1.68%"
"09/29/2022","6,230.42","6,270.91","6,307.78","6,192.77","104.27K","0.23%"
"09/28/2022","6,216.17","6,397.84","6,401.84","6,214.11","103.53K","-2.98%"
"09/27/2022","6,407.01","6,302.89","6,407.07","6,287.96","104.49K","1.92%"
"09/26/2022","6,286.12","6,318.30","6,403.98","6,274.34","109.04K","-1.22%"
"09/23/2022","6,363.51","6,486.79","6,504.03","6,306.96","110.71K","-1.93%"
"09/22/2022","6,488.47","6,461.30","6,554.30","6,437.69","103.84K","0.12%"
"09/21/2022","6,480.64","6,461.25","6,506.06","6,378.63","105.52K","-0.01%"
"09/20/2022","6,480.97","6,441.10","6,536.42","6,437.11","99.31K","1.29%"
"09/19/2022","6,398.43","6,468.39","6,504.75","6,364.07","106.79K","-1.28%"
"09/16/2022","6,481.52","6,599.27","6,632.56","6,480.10","133.35K","-2.10%"
"09/15/2022","6,620.24","6,859.25","6,865.71","6,543.26","159.04K","-3.04%"
"09/14/2022","6,827.66","6,800.93","6,851.09","6,783.19","119.85K","-1.10%"
"09/13/2022","6,903.62","6,935.59","6,956.51","6,886.36","124.50K","-0.12%"
"09/09/2022","6,912.01","6,908.71","6,918.13","6,848.27","129.24K","0.21%"
"09/08/2022","6,897.75","6,965.56","6,975.09","6,889.86","131.31K","-0.93%"
"09/07/2022","6,962.27","6,894.71","6,989.75","6,882.59","141.17K","0.65%"
"09/06/2022","6,917.08","6,808.87","6,918.07","6,780.46","142.29K","1.86%"
"09/05/2022","6,791.09","6,774.19","6,831.22","6,739.14","131.91K","0.21%"
"09/02/2022","6,776.75","6,731.67","6,801.35","6,695.10","126.89K","0.87%"
"09/01/2022","6,718.42","6,757.01","6,819.62","6,698.84","135.20K","-0.45%"
"08/31/2022","6,748.62","6,954.51","6,966.51","6,738.52","164.71K","-3.25%"
"08/30/2022","6,975.15","7,018.72","7,025.46","6,943.14","152.20K","-0.62%"
"08/29/2022","7,018.58","6,884.73","7,022.79","6,858.43","151.83K","0.55%"
"08/26/2022","6,980.47","7,032.66","7,103.83","6,966.07","160.01K","-0.51%"
"08/25/2022","7,016.31","7,065.34","7,080.73","6,930.84","174.35K","-0.35%"
"08/24/2022","7,040.79","7,312.55","7,314.86","7,029.88","205.50K","-3.59%"
"08/23/2022","7,303.27","7,275.38","7,310.13","7,267.79","169.00K","0.21%"
