"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","442.42","441.83","444.24","434.07","398.37K","-0.54%"
"02/02/2023","444.81","444.42","447.43","440.42","382.84K","-0.35%"
"02/01/2023","446.36","443.26","449.03","434.83","428.11K","0.59%"
"01/31/2023","443.74","437.64","443.96","436.83","438.11K","1.77%"
"01/30/2023","436.04","436.88","441.21","434.80","319.03K","-0.28%"
"01/27/2023","437.27","438.78","440.90","435.90","224.69K","-0.87%"
"01/26/2023","441.09","438.28","441.16","435.73","256.66K","0.97%"
"01/25/2023","436.87","434.95","437.11","430.97","233.85K","-0.77%"
"01/24/2023","440.24","438.42","440.63","431.67","274.37K","0.56%"
"01/23/2023","437.77","436.74","441.47","434.38","310.72K","0.28%"
"01/20/2023","436.55","425.10","437.72","423.06","394.40K","2.10%"
"01/19/2023","427.59","436.70","439.23","427.30","349.88K","-2.42%"
"01/18/2023","438.21","448.23","451.11","437.83","437.94K","-1.50%"
"01/17/2023","444.88","447.78","453.49","444.33","391.84K","-0.90%"
"01/13/2023","448.92","445.90","449.27","443.43","460.12K","0.60%"
"01/12/2023","446.23","451.74","453.05","441.51","411.73K","-1.70%"
"01/11/2023","453.96","447.60","454.18","446.14","441.98K","2.02%"
"01/10/2023","444.97","439.66","445.06","438.31","278.66K","0.83%"
"01/09/2023","441.31","442.46","448.01","439.04","380.12K","-0.14%"
"01/06/2023","441.94","434.99","445.50","434.58","429.96K","1.94%"
"01/05/2023","433.53","438.72","440.57","431.49","463.32K","-2.32%"
"01/04/2023","443.83","452.97","454.29","440.78","348.19K","-1.15%"
"01/03/2023","448.99","453.93","454.91","445.99","306.55K","-0.58%"
"12/30/2022","451.62","453.47","455.43","445.88","312.63K","-1.17%"
"12/29/2022","456.95","454.25","459.34","453.50","252.48K","1.31%"
"12/28/2022","451.04","460.84","464.63","450.96","265.70K","-1.74%"
"12/27/2022","459.03","459.10","462.03","455.94","317.55K","0.39%"
"12/23/2022","457.24","451.03","457.49","448.01","205.09K","1.05%"
"12/22/2022","452.50","460.38","460.71","446.46","439.23K","-2.56%"
"12/21/2022","464.39","453.36","464.66","447.66","529.83K","4.61%"
"12/20/2022","443.94","442.56","446.09","440.78","428.10K","0.10%"
"12/19/2022","443.51","444.35","448.25","441.21","335.82K","-0.40%"
"12/16/2022","445.28","439.54","446.76","439.54","854.96K","0.17%"
"12/15/2022","444.51","453.49","458.06","442.79","591.58K","-3.22%"
"12/14/2022","459.28","462.74","467.70","454.95","286.33K","-0.68%"
"12/13/2022","462.42","467.49","470.23","457.89","515.53K","1.09%"
"12/12/2022","457.42","455.19","458.60","452.39","319.86K","0.87%"
"12/09/2022","453.46","454.57","457.00","452.09","236.83K","-0.37%"
"12/08/2022","455.14","453.28","458.21","452.02","364.59K","0.41%"
"12/07/2022","453.28","452.72","456.07","450.74","408.80K","0.15%"
"12/06/2022","452.62","456.62","458.36","449.57","295.27K","-1.48%"
"12/05/2022","459.41","458.24","459.77","454.73","251.90K","-0.67%"
"12/02/2022","462.53","457.01","463.60","454.78","285.97K","0.02%"
"12/01/2022","462.45","463.25","463.25","456.94","370.87K","0.15%"
"11/30/2022","461.78","450.69","463.72","447.57","818.76K","2.46%"
"11/29/2022","450.69","451.98","453.28","446.24","273.80K","-0.80%"
"11/28/2022","454.34","457.51","458.39","452.02","255.53K","-0.42%"
"11/25/2022","456.27","457.73","458.92","454.90","113.28K","0.19%"
"11/23/2022","455.40","456.86","457.70","452.36","268.56K","0.02%"
"11/22/2022","455.32","450.06","457.46","450.02","360.20K","1.26%"
"11/21/2022","449.66","451.41","454.46","448.44","240.06K","0.06%"
"11/18/2022","449.37","448.70","451.15","445.04","265.09K","1.37%"
"11/17/2022","443.28","441.00","445.39","438.14","321.93K","-0.55%"
"11/16/2022","445.71","445.93","450.11","444.16","276.36K","0.20%"
"11/15/2022","444.81","451.90","452.42","442.14","337.60K","0.21%"
"11/14/2022","443.88","442.50","451.67","441.50","458.74K","0.00%"
"11/11/2022","443.86","444.10","450.51","440.44","455.96K","-0.15%"
"11/10/2022","444.51","439.37","445.83","435.55","597.07K","5.83%"
"11/09/2022","420.03","426.99","430.70","419.76","398.58K","-2.55%"
"11/08/2022","431.02","423.10","435.51","421.25","419.35K","2.66%"
"11/07/2022","419.86","415.74","420.05","411.21","703.34K","2.25%"
"11/04/2022","410.64","415.00","415.90","405.63","557.49K","-0.07%"
"11/03/2022","410.94","411.72","418.88","410.19","435.69K","-1.17%"
"11/02/2022","415.81","427.39","433.49","415.69","406.76K","-2.91%"
"11/01/2022","428.27","428.90","429.91","424.14","366.54K","0.17%"
"10/31/2022","427.55","424.15","429.01","423.49","458.05K","-0.02%"
"10/28/2022","427.64","416.23","427.99","414.88","338.61K","3.13%"
"10/27/2022","414.65","412.96","417.45","411.38","354.20K","0.67%"
"10/26/2022","411.90","411.54","416.58","408.65","444.22K","0.37%"
"10/25/2022","410.39","406.12","410.91","404.91","340.69K","1.00%"
"10/24/2022","406.32","404.61","407.96","399.57","332.76K","1.60%"
"10/21/2022","399.94","391.26","401.22","389.48","386.40K","1.84%"
"10/20/2022","392.70","400.88","402.95","390.56","399.68K","-1.89%"
"10/19/2022","400.25","395.77","401.28","395.05","289.38K","-0.46%"
"10/18/2022","402.08","402.97","404.41","396.38","429.45K","2.04%"
"10/17/2022","394.05","388.94","398.14","388.94","422.97K","3.33%"
"10/14/2022","381.36","397.51","398.75","379.61","427.83K","-2.92%"
"10/13/2022","392.82","378.92","394.99","370.93","686.42K","1.38%"
"10/12/2022","387.48","395.02","397.28","387.18","395.81K","-1.53%"
"10/11/2022","393.50","396.42","397.40","390.28","433.07K","-1.06%"
"10/10/2022","397.71","399.77","402.18","396.28","300.46K","-0.18%"
"10/07/2022","398.41","404.99","409.81","396.92","512.50K","-2.97%"
"10/06/2022","410.61","411.45","414.02","408.98","345.52K","-0.32%"
"10/05/2022","411.94","409.15","415.28","406.13","586.15K","0.22%"
"10/04/2022","411.02","405.61","413.30","405.61","609.28K","2.54%"
"10/03/2022","400.84","392.67","402.39","390.75","474.01K","3.26%"
"09/30/2022","388.19","390.66","394.86","385.53","557.59K","-0.35%"
"09/29/2022","389.55","390.23","393.03","386.57","648.91K","-1.27%"
"09/28/2022","394.55","395.46","399.08","380.99","723.38K","2.87%"
"09/27/2022","383.53","390.72","392.94","382.61","442.50K","-0.94%"
"09/26/2022","387.15","388.36","393.03","386.62","394.64K","-0.70%"
"09/23/2022","389.89","388.78","390.26","385.04","420.33K","0.29%"
"09/22/2022","388.77","397.82","398.30","388.52","430.25K","-2.77%"
"09/21/2022","399.84","409.28","410.81","399.60","461.19K","-1.52%"
"09/20/2022","406.00","404.09","407.84","401.92","384.76K","-0.45%"
"09/19/2022","407.84","402.61","408.15","400.23","338.01K","0.87%"
"09/16/2022","404.33","395.34","405.51","391.91","930.40K","1.45%"
"09/15/2022","398.57","404.25","404.87","396.87","462.34K","-1.07%"
"09/14/2022","402.89","409.99","409.99","399.23","591.72K","-1.41%"
"09/13/2022","408.64","420.32","423.22","406.96","606.86K","-4.73%"
"09/12/2022","428.91","432.67","433.64","425.04","504.50K","-0.57%"
"09/09/2022","431.35","429.78","435.25","428.90","398.57K","0.46%"
"09/08/2022","429.39","427.55","431.88","425.99","321.33K","0.28%"
"09/07/2022","428.19","415.10","429.14","415.10","489.55K","3.52%"
"09/06/2022","413.65","406.86","414.23","406.86","479.76K","1.94%"
"09/02/2022","405.79","409.60","412.35","403.09","508.13K","-0.43%"
"09/01/2022","407.54","404.26","407.54","402.02","291.96K","0.17%"
"08/31/2022","406.84","413.09","413.17","405.57","448.26K","-0.70%"
"08/30/2022","409.70","417.55","418.08","406.48","326.08K","-1.51%"
