"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2023","24.26","24.68","25.06","24.23","6.87M","-1.90%"
"02/02/2023","24.73","24.62","25.14","24.40","9.43M","0.77%"
"02/01/2023","24.54","24.84","24.90","24.16","7.65M","-1.96%"
"01/31/2023","25.03","24.78","25.04","24.50","5.25M","1.50%"
"01/30/2023","24.66","24.83","25.25","24.64","5.02M","-2.65%"
"01/27/2023","25.33","25.37","25.49","25.10","4.53M","0.28%"
"01/26/2023","25.26","25.26","25.35","24.47","8.12M","0.64%"
"01/25/2023","25.10","25.08","25.15","24.66","5.75M","-0.40%"
"01/24/2023","25.20","25.68","26.20","25.12","5.22M","-2.25%"
"01/23/2023","25.78","25.75","25.92","25.48","6.19M","0.62%"
"01/20/2023","25.62","25.40","25.72","25.08","5.55M","1.26%"
"01/19/2023","25.30","24.67","25.44","24.48","8.34M","2.51%"
"01/18/2023","24.68","25.35","25.51","24.67","6.76M","-2.60%"
"01/17/2023","25.34","25.45","25.65","25.09","5.84M","0.96%"
"01/13/2023","25.10","25.13","25.27","24.79","6.76M","-1.14%"
"01/12/2023","25.39","25.01","25.58","24.88","8.08M","2.84%"
"01/11/2023","24.69","25.36","25.43","24.67","12.88M","-1.56%"
"01/10/2023","25.08","24.91","25.09","24.51","10.58M","1.17%"
"01/09/2023","24.79","24.81","25.11","24.57","8.82M","2.18%"
"01/06/2023","24.26","23.92","24.43","23.87","9.89M","2.49%"
"01/05/2023","23.67","23.50","23.85","23.40","14.08M","-1.29%"
"01/04/2023","23.98","22.97","24.22","22.76","8.61M","3.32%"
"01/03/2023","23.21","24.20","24.29","23.05","8.23M","-5.54%"
"12/30/2022","24.57","24.40","24.63","24.28","5.49M","0.20%"
"12/29/2022","24.52","24.10","24.59","24.05","5.64M","0.62%"
"12/28/2022","24.37","25.26","25.38","24.32","6.94M","-4.73%"
"12/27/2022","25.58","25.36","25.66","25.13","6.20M","1.51%"
"12/23/2022","25.20","24.71","25.22","24.52","6.80M","2.82%"
"12/22/2022","24.51","25.07","25.15","24.13","8.78M","-2.23%"
"12/21/2022","25.07","25.00","25.09","24.62","9.34M","2.41%"
"12/20/2022","24.48","24.03","24.73","23.86","8.16M","0.70%"
"12/19/2022","24.31","24.45","24.80","24.17","9.23M","-1.74%"
"12/16/2022","24.74","24.82","25.01","24.19","33.23M","-2.33%"
"12/15/2022","25.33","24.56","25.49","24.52","14.24M","2.55%"
"12/14/2022","24.70","24.98","25.14","24.61","11.49M","-0.80%"
"12/13/2022","24.90","25.48","25.55","24.78","16.40M","0.20%"
"12/12/2022","24.85","24.67","25.15","24.33","13.50M","1.51%"
"12/09/2022","24.48","24.96","25.20","24.43","13.37M","-1.88%"
"12/08/2022","24.95","25.85","25.90","24.83","12.21M","-2.08%"
"12/07/2022","25.48","25.75","25.91","25.33","12.72M","-1.24%"
"12/06/2022","25.80","26.06","26.37","25.59","8.02M","-1.53%"
"12/05/2022","26.20","27.51","27.73","26.17","9.13M","-3.89%"
"12/02/2022","27.26","27.09","27.49","26.85","8.63M","-0.62%"
"12/01/2022","27.43","28.19","28.34","27.40","8.21M","-1.72%"
"11/30/2022","27.91","28.28","28.40","27.42","10.70M","-0.57%"
"11/29/2022","28.07","27.61","28.16","27.49","6.70M","3.39%"
"11/28/2022","27.15","26.90","27.45","26.69","6.49M","-1.67%"
"11/25/2022","27.61","27.68","27.94","27.55","3.05M","0.25%"
"11/23/2022","27.54","27.30","27.90","27.26","6.54M","0.15%"
"11/22/2022","27.50","26.79","27.52","26.62","9.38M","4.25%"
"11/21/2022","26.38","26.30","26.51","25.83","10.68M","-0.83%"
"11/18/2022","26.60","26.20","26.78","26.11","13.22M","-0.75%"
"11/17/2022","26.80","26.18","26.82","25.95","8.38M","1.44%"
"11/16/2022","26.42","27.31","27.50","26.40","12.23M","-5.00%"
"11/15/2022","27.81","27.64","27.81","27.40","12.25M","-1.14%"
"11/14/2022","28.13","28.77","29.04","28.05","13.11M","-1.12%"
"11/11/2022","28.45","28.08","28.58","27.73","14.00M","3.34%"
"11/10/2022","27.53","27.50","27.69","26.91","16.66M","2.95%"
"11/09/2022","26.74","28.66","28.77","26.72","16.88M","-8.20%"
"11/08/2022","29.13","29.26","29.40","28.28","12.90M","-1.29%"
"11/07/2022","29.51","29.55","30.14","29.33","13.71M","2.00%"
"11/04/2022","28.93","28.75","29.53","27.80","22.51M","-5.49%"
"11/03/2022","30.61","30.37","30.93","30.06","7.09M","-0.23%"
"11/02/2022","30.68","30.87","31.76","30.50","7.71M","-0.23%"
"11/01/2022","30.75","31.46","31.49","30.74","6.59M","-1.22%"
"10/31/2022","31.13","30.22","31.31","30.22","7.01M","3.42%"
"10/28/2022","30.10","30.41","30.80","29.30","5.75M","-0.13%"
"10/27/2022","30.14","30.64","31.09","30.10","6.44M","-0.43%"
"10/26/2022","30.27","30.25","30.56","29.93","5.24M","0.40%"
"10/25/2022","30.15","30.31","30.32","29.72","5.93M","-0.43%"
"10/24/2022","30.28","29.79","30.47","29.48","5.58M","2.06%"
"10/21/2022","29.67","29.97","30.24","29.05","7.45M","-0.07%"
"10/20/2022","29.69","30.30","30.55","29.49","5.74M","-1.43%"
"10/19/2022","30.12","29.53","30.16","29.30","6.08M","2.31%"
"10/18/2022","29.44","29.24","29.90","29.05","5.93M","1.80%"
"10/17/2022","28.92","28.62","29.34","28.32","5.75M","1.76%"
"10/14/2022","28.42","30.09","30.49","28.38","6.41M","-6.70%"
"10/13/2022","30.46","29.40","30.71","29.35","6.94M","2.21%"
"10/12/2022","29.80","28.90","29.98","28.55","6.85M","3.47%"
"10/11/2022","28.80","28.03","28.92","27.82","6.88M","1.16%"
"10/10/2022","28.47","29.38","29.81","28.30","4.23M","-2.50%"
"10/07/2022","29.20","28.75","29.71","28.60","8.53M","1.18%"
"10/06/2022","28.86","28.61","29.35","28.60","7.09M","0.24%"
"10/05/2022","28.79","28.58","29.11","27.79","7.99M","0.73%"
"10/04/2022","28.58","28.05","28.65","27.74","5.90M","4.46%"
"10/03/2022","27.36","27.02","27.48","26.78","7.81M","4.75%"
"09/30/2022","26.12","25.63","26.61","25.52","7.83M","0.58%"
"09/29/2022","25.97","26.31","26.47","25.20","6.17M","-2.59%"
"09/28/2022","26.66","25.62","26.77","25.62","7.30M","4.51%"
"09/27/2022","25.51","25.81","26.24","25.36","11.05M","0.75%"
"09/26/2022","25.32","25.98","26.39","25.31","9.00M","-3.95%"
"09/23/2022","26.36","26.92","27.47","25.92","10.21M","-5.99%"
"09/22/2022","28.04","29.19","29.27","28.02","7.76M","-2.23%"
"09/21/2022","28.68","29.62","29.66","28.55","6.62M","-0.83%"
"09/20/2022","28.92","28.70","28.95","28.36","6.29M","-0.07%"
"09/19/2022","28.94","27.91","29.05","27.86","6.83M","0.70%"
"09/16/2022","28.74","30.10","30.25","28.49","21.41M","-6.60%"
"09/15/2022","30.77","31.05","31.77","30.69","7.46M","-4.53%"
"09/14/2022","32.23","30.68","32.47","30.55","10.37M","7.22%"
"09/13/2022","30.06","30.26","30.89","29.96","4.89M","-2.05%"
"09/12/2022","30.69","30.09","30.78","30.00","6.59M","3.09%"
"09/09/2022","29.77","29.70","29.98","29.43","4.96M","2.23%"
"09/08/2022","29.12","29.26","29.39","28.88","6.20M","0.07%"
"09/07/2022","29.10","28.65","29.30","28.19","8.52M","-0.21%"
"09/06/2022","29.16","30.18","30.26","29.08","7.28M","-3.16%"
"09/02/2022","30.11","30.69","30.96","29.86","5.66M","-0.40%"
"09/01/2022","30.23","30.50","30.68","29.89","5.58M","-2.20%"
"08/31/2022","30.91","29.94","31.06","29.58","7.41M","1.68%"
"08/30/2022","30.40","31.00","31.04","30.10","6.67M","-3.52%"
"08/29/2022","31.51","30.71","31.99","30.60","6.14M","2.07%"
"08/26/2022","30.87","31.39","31.72","30.86","4.94M","-1.25%"
"08/25/2022","31.26","31.59","31.72","30.90","4.88M","-0.03%"
"08/24/2022","31.27","30.44","31.33","30.08","6.44M","3.17%"
"08/23/2022","30.31","31.25","31.90","29.36","10.82M","-0.88%"
"08/22/2022","30.58","30.21","30.91","29.81","7.38M","0.92%"
"08/19/2022","30.30","30.34","30.82","30.16","5.71M","-0.92%"
"08/18/2022","30.58","29.77","30.67","29.77","6.22M","4.19%"
"08/17/2022","29.35","29.38","29.75","28.85","6.24M","0.58%"
"08/16/2022","29.18","29.10","29.48","28.65","8.63M","2.93%"
"08/15/2022","28.35","27.72","28.57","27.24","4.48M","-1.08%"
"08/12/2022","28.66","28.58","28.80","28.16","6.27M","-2.28%"
"08/11/2022","29.33","28.87","29.46","28.80","6.81M","3.53%"
"08/10/2022","28.33","28.11","28.35","27.49","5.72M","0.71%"
"08/09/2022","28.13","28.32","28.83","28.04","6.76M","1.11%"
"08/08/2022","27.82","27.89","28.17","27.76","5.78M","-0.39%"
"08/05/2022","27.93","27.03","28.32","26.96","6.84M","1.97%"
"08/04/2022","27.39","28.42","28.64","27.32","9.84M","-4.50%"
"08/03/2022","28.68","29.00","29.20","27.72","12.65M","-2.38%"
"08/02/2022","29.38","29.42","29.77","28.89","6.76M","-0.64%"
"08/01/2022","29.57","30.04","30.06","28.92","7.91M","-3.33%"
"07/29/2022","30.59","29.86","30.76","29.86","7.02M","2.58%"
"07/28/2022","29.82","30.20","30.40","29.38","4.72M","-0.80%"
"07/27/2022","30.06","29.60","30.16","29.25","5.67M","2.07%"
"07/26/2022","29.45","29.52","30.03","29.14","9.31M","1.94%"
"07/25/2022","28.89","28.15","28.91","27.64","5.27M","4.26%"
"07/22/2022","27.71","28.16","28.42","27.65","7.06M","-1.25%"
"07/21/2022","28.06","28.32","28.35","27.24","6.50M","-2.94%"
"07/20/2022","28.91","27.86","29.05","27.64","7.58M","2.74%"
"07/19/2022","28.14","27.24","28.25","27.16","5.84M","2.63%"
"07/18/2022","27.42","27.26","28.03","27.25","8.41M","1.86%"
"07/15/2022","26.92","26.78","26.95","26.05","6.23M","2.32%"
"07/14/2022","26.31","26.23","26.70","25.50","8.97M","-3.06%"
"07/13/2022","27.14","26.24","27.54","26.15","9.07M","3.04%"
"07/12/2022","26.34","25.80","26.45","25.65","9.04M","-0.19%"
"07/11/2022","26.39","26.53","27.27","26.08","8.47M","0.30%"
"07/08/2022","26.31","26.64","26.83","26.00","8.43M","-0.27%"
"07/07/2022","26.38","26.00","26.60","25.94","9.50M","4.19%"
"07/06/2022","25.32","25.20","26.11","24.44","13.62M","-1.09%"
"07/05/2022","25.60","25.70","26.07","24.82","14.57M","-2.77%"
"07/01/2022","26.33","26.07","26.37","25.41","9.54M","2.09%"
"06/30/2022","25.79","26.08","26.93","25.50","12.05M","-3.44%"
"06/29/2022","26.71","28.19","28.37","26.46","7.94M","-3.54%"
"06/28/2022","27.69","27.43","27.83","27.02","10.27M","2.44%"
"06/27/2022","27.03","26.59","27.31","26.17","12.19M","2.58%"
"06/24/2022","26.35","25.99","27.08","25.90","23.91M","1.74%"
"06/23/2022","25.90","27.05","27.25","25.37","14.88M","-4.18%"
"06/22/2022","27.03","26.15","27.60","26.11","18.05M","-1.96%"
"06/21/2022","27.57","27.12","27.80","26.71","17.71M","3.88%"
"06/17/2022","26.54","28.47","28.55","26.42","44.02M","-7.30%"
"06/16/2022","28.63","30.03","30.16","28.43","18.67M","-6.65%"
"06/15/2022","30.67","31.26","31.73","30.08","14.68M","-1.41%"
"06/14/2022","31.11","33.21","33.28","30.75","15.80M","-4.45%"
"06/13/2022","32.56","33.46","33.55","31.86","10.78M","-5.10%"
"06/10/2022","34.31","34.45","35.13","33.88","7.56M","-1.86%"
"06/09/2022","34.96","35.48","35.60","34.67","11.24M","-2.29%"
"06/08/2022","35.78","36.25","36.55","35.38","7.79M","-0.91%"
"06/07/2022","36.11","35.68","36.14","35.17","10.10M","0.45%"
"06/06/2022","35.95","35.75","36.06","35.40","7.96M","2.19%"
"06/03/2022","35.18","34.96","35.25","34.59","5.82M","0.57%"
"06/02/2022","34.98","35.06","35.53","34.60","7.58M","-0.60%"
"06/01/2022","35.19","34.87","36.07","34.17","11.21M","2.51%"
"05/31/2022","34.33","36.06","36.45","34.13","22.12M","-3.35%"
"05/27/2022","35.52","34.25","35.53","34.20","8.41M","2.51%"
"05/26/2022","34.65","34.34","35.78","34.22","11.19M","2.09%"
"05/25/2022","33.94","32.94","34.10","32.94","12.64M","4.11%"
"05/24/2022","32.60","31.95","32.90","31.75","9.21M","0.71%"
"05/23/2022","32.37","31.08","32.40","31.02","9.30M","5.47%"
"05/20/2022","30.69","30.78","31.29","30.23","9.06M","0.89%"
"05/19/2022","30.42","30.14","31.00","30.09","7.92M","-0.88%"
"05/18/2022","30.69","31.33","31.37","30.17","8.56M","-1.16%"
"05/17/2022","31.05","31.25","32.03","30.73","9.51M","1.60%"
"05/16/2022","30.56","29.90","30.93","29.87","7.93M","2.62%"
"05/13/2022","29.78","29.67","30.35","29.49","7.62M","2.44%"
"05/12/2022","29.07","28.81","29.26","28.18","8.71M","-1.72%"
"05/11/2022","29.58","30.15","31.05","29.54","11.05M","-0.14%"
"05/10/2022","29.62","30.28","30.48","28.90","10.20M","1.02%"
"05/09/2022","29.32","31.63","31.78","29.00","10.66M","-9.92%"
"05/06/2022","32.55","32.85","32.90","31.63","10.59M","2.13%"
"05/05/2022","31.87","32.98","33.00","30.93","8.60M","-2.75%"
"05/04/2022","32.77","32.38","32.80","30.93","11.87M","3.51%"
"05/03/2022","31.66","30.49","31.76","29.75","14.69M","9.47%"
"05/02/2022","28.92","28.44","29.03","28.16","9.93M","0.45%"
"04/29/2022","28.79","29.34","29.69","28.67","7.20M","-1.23%"
"04/28/2022","29.15","28.95","29.39","28.06","7.22M","1.04%"
"04/27/2022","28.85","28.67","29.28","27.93","6.86M","1.05%"
"04/26/2022","28.55","29.09","29.95","28.52","8.61M","-0.38%"
"04/25/2022","28.66","28.08","28.83","26.91","13.57M","-1.04%"
"04/22/2022","28.96","29.58","29.97","28.58","10.12M","-3.37%"
"04/21/2022","29.97","31.23","31.38","29.80","7.59M","-3.10%"
"04/20/2022","30.93","30.64","31.02","30.20","5.67M","1.51%"
"04/19/2022","30.47","30.59","30.83","29.81","10.06M","-0.97%"
"04/18/2022","30.77","30.00","31.42","29.74","9.78M","4.59%"
"04/14/2022","29.42","29.20","29.63","28.74","11.15M","1.00%"
"04/13/2022","29.13","29.00","29.25","28.36","6.31M","2.68%"
"04/12/2022","28.37","28.85","29.27","28.33","7.10M","-0.39%"
"04/11/2022","28.48","28.62","28.91","28.22","7.98M","-0.94%"
"04/08/2022","28.75","27.18","28.84","27.12","10.20M","7.32%"
"04/07/2022","26.79","26.95","27.08","26.23","9.53M","1.13%"
"04/06/2022","26.49","26.87","27.21","26.18","9.79M","0.42%"
"04/05/2022","26.38","26.70","27.22","26.36","8.26M","-0.75%"
"04/04/2022","26.58","27.39","27.50","26.22","10.43M","-1.92%"
"04/01/2022","27.10","27.03","27.49","26.79","8.06M","0.48%"
"03/31/2022","26.97","27.17","27.82","26.97","9.07M","-0.48%"
"03/30/2022","27.10","27.91","28.15","27.00","9.48M","-1.09%"
"03/29/2022","27.40","27.60","27.74","26.95","11.53M","-2.46%"
"03/28/2022","28.09","28.51","28.60","27.93","15.35M","-2.84%"
"03/25/2022","28.91","27.11","29.49","26.83","15.18M","6.96%"
"03/24/2022","27.03","26.15","27.16","25.96","10.34M","3.21%"
"03/23/2022","26.19","25.87","26.53","25.87","7.56M","2.38%"
"03/22/2022","25.58","25.26","25.64","25.12","11.87M","1.19%"
"03/21/2022","25.28","25.57","25.80","25.01","13.51M","1.73%"
"03/18/2022","24.85","24.84","25.19","24.72","19.82M","0.44%"
"03/17/2022","24.74","24.06","24.92","23.74","15.42M","5.41%"
"03/16/2022","23.47","23.02","23.72","22.88","17.47M","0.17%"
"03/15/2022","23.43","22.20","23.66","21.98","13.02M","1.30%"
"03/14/2022","23.13","24.89","25.04","22.70","22.93M","-9.75%"
"03/11/2022","25.63","26.31","26.31","25.35","10.66M","-2.66%"
"03/10/2022","26.33","25.41","26.53","25.01","12.47M","3.42%"
"03/09/2022","25.46","25.65","25.73","24.68","14.12M","-2.11%"
"03/08/2022","26.01","27.81","27.88","25.65","17.20M","-3.67%"
"03/07/2022","27.00","27.29","27.93","26.21","17.12M","3.41%"
"03/04/2022","26.11","25.06","26.32","25.03","11.67M","2.35%"
"03/03/2022","25.51","25.58","25.84","24.84","11.62M","-0.62%"
"03/02/2022","25.67","25.56","25.94","25.08","15.25M","5.38%"
"03/01/2022","24.36","23.68","24.58","23.40","14.83M","4.41%"
"02/28/2022","23.33","22.70","23.76","22.58","14.81M","2.73%"
